[5.80503326 2.80686357],[ 4.22141962 -3.89122168],[5.79654822 7.07584654],[ 0.53870353 -2.12637513],[0.78121514 0.16725332],[ 0.05268639 -2.04573964],[6.40563389 4.11992662],[-2.25903668  3.42049617],[9.58348262 7.70907276],[3.02735207 3.32920425],[5.04498543 3.37363073],[-2.7158341   1.12647029],[6.13868955 0.61834098],[ 0.21331384 -1.16054558],[9.05294954 0.85092044],[-1.50460967  4.49169326],[2.4350711  2.74879049],[1.39984726 3.50086995],[4.5530903 3.6786744],[-4.91157399 -3.07859411]
[6.03509991 2.59477889],[ 1.61151954 -1.48665231],[5.8426312  6.88828321],[ 0.40023954 -1.69926673],[ 0.79160399 -0.01012613],[ 0.15189382 -1.5702182 ],[6.25427705 4.34718654],[-1.16370963  1.72392357],[9.77252121 7.91698241],[1.38031707 1.51847196],[4.8334712  3.46129893],[-1.75030362  0.72588431],[6.15878558 0.50730339],[ 0.18794446 -1.06569639],[8.95766697 1.12847433],[-0.73529191  2.0536359 ],[2.53554957 2.99255387],[0.81493171 1.89595979],[4.28769234 3.51146716],[-1.84985982 -1.17665282]
[6.17415164 2.46688993],[ 1.23192983 -1.12761013],[5.87867124 6.72840844],[ 0.32822473 -1.51766604],[ 0.81120343 -0.15417511],[ 0.24296768 -1.32810562],[6.15121664 4.49763392],[-0.93268123  1.34182414],[9.89002302 8.04634622],[1.01912812 1.12317221],[4.67662404 3.52670957],[-1.4306961   0.59533833],[6.17664964 0.40483981],[ 0.16762254 -0.98828696],[8.88997506 1.30804727],[-0.64317242  1.6074851 ],[2.6107205  3.15965916],[0.71089431 1.50247925],[4.12876458 3.40919037],[-1.39834121 -0.91175526]
[6.28776022 2.36325933],[ 1.05746118 -0.96171885],[5.90913965 6.58210557],[ 0.28241738 -1.41872625],[ 0.84071551 -0.27796881],[ 0.34372878 -1.16044107],[6.06373863 4.62150128],[-0.82771635  1.15333518],[9.98166142 8.1474531 ],[0.83048847 0.9172807 ],[4.54250109 3.5821646 ],[-1.26621109  0.51983294],[6.19248943 0.30938189],[ 0.15109328 -0.92093032],[8.82696401 1.457801  ],[-0.61939684  1.41239174],[2.67995813 3.29900098],[0.68270438 1.30403208],[4.00069955 3.32454459],[-1.18412996 -0.79475884]
[6.38789869 2.27245689],[ 0.95266231 -0.8616545 ],[5.93533025 6.44323903],[ 0.24453193 -1.36127974],[ 0.88018168 -0.38730198],[ 0.44730691 -1.0290955 ],[5.98396379 4.73034273],[-0.77509421  1.02914301],[10.05730467  8.23117828],[0.69153882 0.76706981],[4.42180903 3.63189711],[-1.15461743  0.47790983],[6.20703274 0.22050779],[ 0.14167973 -0.85610802],[8.76484702 1.5927135 ],[-0.62411158  1.29647843],[2.74805239 3.42265645],[0.68271755 1.17753027],[3.88921453 3.24845553],[-1.05139896 -0.72969627]
[6.47959095 2.19015796],[ 0.88431645 -0.78893037],[5.95858258 6.30945838],[ 0.22089168 -1.31764742],[ 0.93025319 -0.4843796 ],[ 0.55386711 -0.91491255],[5.90814964 4.82860753],[-0.74508855  0.93918682],[10.12068302  8.30167294],[0.58175323 0.64889098],[4.31072289 3.67838142],[-1.0757052   0.44871252],[6.22065702 0.13778362],[ 0.13355913 -0.7965209 ],[8.70180993 1.71835122],[-0.63684198  1.22171153],[2.81693834 3.53562323],[0.6956909  1.08512637],[3.78904836 3.17768326],[-0.95860968 -0.69086509]
[6.56524058 2.11399711],[ 0.83186493 -0.73568876],[5.97917714 6.17887217],[ 0.19259281 -1.29431259],[ 0.99059247 -0.57091327],[ 0.65523012 -0.81410263],[5.83459738 4.91887194],[-0.72432665  0.87179742],[10.17405694  8.36140363],[0.48303603 0.54322789],[4.20616174 3.72195438],[-1.01775813  0.42389213],[6.23319927 0.06053475],[ 0.11838553 -0.74781022],[8.63666675 1.83710569],[-0.66175118  1.16088057],[2.88756302 3.64043681],[0.71848991 1.01438163],[3.69680191 3.10980122],[-0.88541083 -0.66496892]
[6.64628876 2.04264135],[ 0.78851317 -0.69495587],[5.99758523 6.05073043],[ 0.17304796 -1.27249051],[ 1.06159551 -0.646932  ],[ 0.76245597 -0.70824371],[5.76267341 5.00298606],[-0.7149727   0.81229004],[10.21744559  8.41050141],[0.3851697  0.43926377],[4.10676291 3.76327353],[-0.97240565  0.40255294],[ 6.24405325 -0.01210243],[ 0.09924227 -0.7045631 ],[8.56898801 1.95051504],[-0.68959594  1.11133311],[2.96089593 3.73897831],[0.74744747 0.95671709],[3.6113331  3.04418173],[-0.82335515 -0.64632559]
[6.72328637 1.97488753],[ 0.75522968 -0.65830024],[6.01355781 5.92398121],[ 0.14718124 -1.26225629],[ 1.14306026 -0.7124116 ],[ 0.8665369  -0.60036256],[5.69133525 5.08147321],[-0.71017702  0.76079546],[10.25080526  8.44898307],[0.28502645 0.3334115 ],[4.01167067 3.80280022],[-0.93085084  0.38818695],[ 6.25307991 -0.08034548],[ 0.08207523 -0.65954655],[8.49875201 2.05961711],[-0.72028977  1.06660044],[3.03688955 3.8317741 ],[0.77213215 0.89970316],[3.53178136 2.9802541 ],[-0.76957583 -0.63385442]
[6.79740257 1.91074271],[ 0.72676004 -0.62629804],[6.02719713 5.79833598],[ 0.12599307 -1.2508735 ],[ 1.23445063 -0.76713062],[ 0.96045298 -0.49295535],[5.62017589 5.1549538 ],[-0.71421802  0.70878675],[10.27425201  8.47698402],[0.18443223 0.22710916],[3.92037395 3.8409297 ],[-0.89429534  0.37638081],[ 6.26082708 -0.14363852],[ 0.07004854 -0.60907023],[8.42545707 2.16451374],[-0.74482775  1.03254185],[3.11562027 3.91932725],[0.80001031 0.84950334],[3.45739637 2.91741306],[-0.71841134 -0.62312089]
[6.86890617 1.84968134],[ 0.70626912 -0.59293885],[6.03886649 5.67382309],[ 0.10960914 -1.23768655],[ 1.33478101 -0.81095276],[ 1.04425319 -0.3831426 ],[5.54858629 5.22350515],[-0.71654253  0.66406382],[10.28741141  8.49411342],[0.07812765 0.11477942],[3.83266366 3.87811108],[-0.86335261  0.36456537],[ 6.26679927 -0.20238785],[ 0.04764411 -0.56733416],[8.34940164 2.2658038 ],[-0.77266009  0.99710717],[3.19704218 4.00191207],[0.82842514 0.80269005],[3.38775582 2.85528569],[-0.67547073 -0.62051282]
