[7.85735867 0.13918988],[2.9450229  4.27326542],[1.63712968 9.46697231],[-1.70994473 -4.53543834],[2.19238111 8.36035909],[-2.2778282   4.25400882],[6.69148071 6.78406257],[ 2.37524884 -4.65113055],[5.74025126 0.19262562],[ 3.76516458 -2.92166442],[4.69684161 1.23482312],[-2.79147128 -0.34209469],[7.64777523 0.61497971],[2.17347276 3.10077097],[6.7904885  2.18863271],[ 4.28969348 -2.11357022],[8.59259696 9.84264506],[ 4.41963557 -2.63381702],[7.81658011 3.26526254],[ 4.13541233 -2.6407699 ]
[8.02630151 0.39099696],[1.18599638 1.84813966],[1.53821106 9.18786149],[-0.66879547 -2.08990047],[2.05674148 8.61626122],[-0.96156273  1.84348356],[6.8282894  6.51278335],[ 0.97078225 -1.96852988],[5.97165546 0.01727263],[ 1.70897095 -1.24737742],[4.47621236 1.21082377],[-1.84057828 -0.16713629],[7.79649313 0.83339596],[1.13043694 1.73171553],[7.05227683 2.06119733],[ 1.91720135 -0.91482093],[8.84822063 9.68311418],[ 1.80967793 -1.21240191],[8.06423159 3.10689463],[ 1.79098898 -1.14929217]
[8.1262992  0.55466599],[0.8588863  1.49001175],[1.48574622 9.00200038],[-0.40678356 -1.69756087],[1.97619412 8.7739806 ],[-0.68121284  1.38108643],[6.91119976 6.34010678],[ 0.72138052 -1.55803035],[ 6.12157042 -0.08735735],[ 1.34822844 -0.89188606],[4.31105641 1.19922573],[-1.5019773  -0.06900423],[7.89365356 0.98919406],[0.84893853 1.43467377],[7.2188875  1.98347618],[ 1.48501771 -0.67072445],[9.00159062 9.57154862],[ 1.32446731 -1.06008685],[8.21859408 3.00740571],[ 1.36311586 -0.87990464]
[8.20309702 0.69606762],[0.6915526  1.35765121],[1.4543306  8.84120475],[-0.23027528 -1.53961278],[1.91698709 8.89958871],[-0.51377766  1.14986767],[6.97643523 6.19392703],[ 0.59779306 -1.38240711],[ 6.24788018 -0.16562571],[ 1.19684567 -0.68566317],[4.17077127 1.19617289],[-1.31908936  0.00524899],[7.97020327 1.12580201],[0.69551612 1.31509164],[7.35623436 1.92336195],[ 1.28402168 -0.53959245],[9.12039455 9.46720092],[ 1.07201968 -1.03704581],[8.34376672 2.92666998],[ 1.15891907 -0.747788  ]
[8.26623663 0.8284555 ],[0.57527691 1.29604847],[1.43843712 8.69133145],[-0.09087702 -1.46517081],[1.87209126 9.00632043],[-0.39171007  0.98965566],[7.03187041 6.06072734],[ 0.51618766 -1.28968598],[ 6.36318618 -0.22620763],[ 1.11596161 -0.53265571],[4.04558985 1.20041134],[-1.19111836  0.07947025],[8.03332663 1.25336913],[0.57648192 1.2478402 ],[7.47764108 1.87358798],[ 1.15728296 -0.45614658],[9.21840094 9.36270334],[ 0.89539383 -1.05810207],[8.45241768 2.85580119],[ 1.02338323 -0.67436245]
[8.31840969 0.95583547],[0.47068106 1.25523706],[1.43564192 8.54711494],[ 0.02988076 -1.42501665],[1.83859114 9.09909919],[-0.28145048  0.86847779],[7.08014893 5.93459994],[ 0.45839139 -1.23093539],[ 6.47245941 -0.27260193],[ 1.071381   -0.40015263],[3.93116295 1.2116258 ],[-1.10206299  0.14348189],[8.08642128 1.37650647],[0.48702713 1.21717338],[7.58933044 1.83193422],[ 1.08054202 -0.37976199],[9.30068934 9.25512123],[ 0.75460631 -1.09511782],[8.55032628 2.79171631],[ 0.9391577  -0.61026125]
[8.36117487 1.08042872],[0.3869348  1.23903522],[1.44409877 8.40598631],[ 0.14147825 -1.39517071],[1.81556903 9.18049209],[-0.18024813  0.76057366],[7.12341856 5.81332194],[ 0.40793589 -1.19759411],[ 6.57812412 -0.30652253],[ 1.04214059 -0.28165707],[3.82495359 1.22941655],[-1.02445003  0.21222986],[8.13098804 1.49716166],[0.40625868 1.1980767 ],[7.6946285  1.79752053],[ 1.02694991 -0.31098771],[9.36954108 9.14313183],[ 0.62542911 -1.14418683],[8.64028375 2.73267346],[ 0.86332904 -0.57179078]
[8.39630419 1.20411179],[0.31525304 1.23377878],[1.4636066  8.26781797],[ 0.24735701 -1.36857486],[1.80304044 9.25190604],[-0.07342843  0.66491611],[7.1620738  5.69480543],[ 0.3636317  -1.17665384],[ 6.68143734 -0.32888925],[ 1.02450742 -0.167232  ],[3.72585139 1.25398514],[-0.95740109  0.2806089 ],[8.16834946 1.61677795],[0.33976688 1.19284225],[7.79504761 1.76946578],[ 0.98074631 -0.25342   ],[9.42617   9.0263591],[ 0.51134283 -1.18819469],[8.72337814 2.67704907],[ 0.80084409 -0.54132725]
[8.42403424 1.32696226],[0.24244063 1.22595566],[1.49309355 8.13202057],[ 0.33649104 -1.35137828],[1.80140251 9.31385571],[0.04208172 0.57435097],[7.19689916 5.57833683],[ 0.32858335 -1.15865158],[ 6.78307815 -0.34016958],[ 1.01091417 -0.05665806],[3.63356873 1.28586505],[-0.88902169  0.35705632],[8.19914445 1.73588361],[0.28071107 1.193257  ],[7.89106235 1.74671069],[ 0.9424801  -0.20042239],[9.47199073 8.90554046],[ 0.40555323 -1.22799397],[8.80071252 2.6242199 ],[ 0.74364456 -0.5194652 ]
[8.44512873 1.44952953],[0.18168402 1.22684177],[1.5312563  7.99822411],[ 0.42513501 -1.32457555],[1.8111661  9.36609452],[0.15616559 0.47127246],[7.22788866 5.46294702],[ 0.29098596 -1.15035514],[ 6.88351589 -0.34040668],[1.00081953 0.05459299],[3.54757792 1.32503949],[-0.83113529  0.42635886],[8.22415432 1.85498301],[0.22264109 1.19130488],[7.9837568  1.72935999],[ 0.91188612 -0.14713024],[9.5075626  8.78103377],[ 0.30510074 -1.26282798],[8.87285989 2.57360215],[ 0.70088715 -0.49261451]
[8.46069881 1.57246533],[0.13014598 1.2312212 ],[1.57766849 7.86694767],[ 0.50201334 -1.30038578],[1.83298731 9.40787977],[0.28243395 0.36367941],[7.25554743 5.3485428 ],[ 0.26211394 -1.13866932],[ 6.98293599 -0.32952416],[0.9875482  0.16304341],[3.46719548 1.37099916],[-0.77316709  0.49612116],[8.24351945 1.9738835 ],[0.16721456 1.18882522],[8.07383277 1.71754455],[ 0.89255554 -0.08666258],[9.53344381 8.65344846],[ 0.21198272 -1.28923614],[8.94092811 2.52553887],[ 0.65739872 -0.47270568]
[8.47081783 1.69528036],[0.07077241 1.22302743],[1.63126993 7.73807843],[ 0.56924228 -1.2762165 ],[1.86824541 9.43872626],[0.4265005  0.25387093],[7.28022639 5.23500781],[ 0.23417303 -1.12997594],[ 7.08080878 -0.30796134],[0.97055313 0.26906699],[3.39290673 1.42419007],[-0.71287779  0.56703006],[8.25745946 2.09249602],[0.11368954 1.18493876],[8.16204061 1.71176528],[ 0.87405584 -0.02671575],[9.55039126 8.52364429],[ 0.12424475 -1.30947934],[9.00458546 2.4791635 ],[ 0.61524548 -0.45597513]
[8.47534784 1.81745971],[0.02059267 1.22037904],[1.69131523 7.61179017],[ 0.63261477 -1.24726062],[1.91810382 9.45780845],[0.56967229 0.12426471],[7.30204172 5.12212514],[ 0.20563959 -1.1244793 ],[ 7.17702727 -0.27563488],[0.9518884  0.37574843],[3.32520864 1.4848953 ],[-0.64175181  0.64573213],[8.26631989 2.21082349],[0.06688544 1.18406175],[8.2483988  1.71196711],[0.85283423 0.03039879],[9.55856139 8.39189936],[ 0.04002864 -1.32449041],[9.06415243 2.43442708],[ 0.57437494 -0.44092787]
[8.47494252 1.93921457],[-0.02726282  1.21538049],[1.75763541 7.48867806],[ 0.69111353 -1.21646705],[1.98243092 9.46340218],[ 0.71418284 -0.01580568],[7.32114402 5.00983457],[ 0.17925164 -1.11874629],[ 7.27091652 -0.23301043],[0.92673022 0.47769795],[3.26445095 1.55306514],[-0.56960044  0.7204706 ],[8.27057869 2.32891132],[0.017329   1.17623376],[8.33302455 1.71830742],[0.83760273 0.09458471],[9.55881931 8.25916333],[-0.03788528 -1.33329868],[9.11975613 2.39121832],[ 0.53683538 -0.42437183]
[8.46995067 2.06043029],[-0.07428815  1.20657117],[1.8292399  7.36842414],[ 0.74237755 -1.18612283],[2.06116663 9.45493554],[ 0.85788947 -0.1537918 ],[7.33816486 4.89856362],[ 0.16282144 -1.1055442 ],[ 7.3622534  -0.18015395],[0.89867792 0.57805941],[3.21153563 1.62899704],[-0.49061664  0.79495057],[8.27027525 2.44643822],[-0.02335391  1.17364675],[8.41580011 1.73083469],[0.81605833 0.15428469],[9.551676   8.12592764],[-0.10582333 -1.33276423],[9.17171982 2.34972953],[ 0.50352293 -0.40443247]
[8.46037835 2.18071483],[-0.11318517  1.20213514],[1.90598871 7.25149213],[ 0.79071172 -1.15350945],[2.15334357 9.4327089 ],[ 0.98307962 -0.28763743],[7.35317983 4.78814507],[ 0.13830222 -1.10209633],[ 7.45060575 -0.11743131],[0.86561091 0.67337807],[3.16640226 1.71184371],[-0.41218214  0.86038583],[8.26580714 2.56341206],[-0.06447954  1.16669142],[8.49625684 1.74925517],[0.79665527 0.21811609],[9.53839671 7.99324855],[-0.1623446  -1.32413368],[9.22003556 2.30990941],[ 0.46291719 -0.39186075]
[8.44685986 2.30024662],[-0.15860955  1.186754  ],[1.98696071 7.13747   ],[ 0.827004   -1.12781217],[2.25629796 9.39722166],[ 1.07223197 -0.41808227],[7.36558155 4.67790996],[ 0.10879585 -1.10344289],[ 7.53510864 -0.04579854],[0.82456286 0.75880982],[3.12951421 1.80115932],[-0.32568008  0.9241343 ],[8.25744393 2.67972211],[-0.10096788  1.16055435],[8.57484446 1.77429116],[0.77270889 0.28064172],[9.5194197  7.86122899],[-0.21781798 -1.31725938],[9.26476347 2.27184421],[ 0.43098983 -0.3699814 ]
