[9.80682351 8.68420365],[2.37420755 4.89637922],[8.8384686  0.53456428],[0.53236149 0.28022668],[9.72639777 1.541832  ],[ 4.20219175 -0.65036384],[6.30527199 5.76884415],[-0.61174967  0.1984429 ],[3.59454988 9.85288023],[-3.86534636 -3.80478218],[3.74133228 6.91538585],[ 2.37930528 -4.78807838],[2.91409054 5.77845794],[-2.75705808  0.28149095],[0.77415227 6.0650199 ],[ 4.84264921 -0.3625419 ],[6.12219371 0.27577999],[-0.65215288 -4.7431457 ],[1.67788985 7.44680014],[2.88764621 2.14326259]
[9.93736031 8.95893193],[0.88445653 1.93262721],[8.88901296 0.56957483],[0.47949259 0.42259113],[9.99808196 1.50296686],[ 2.02205571 -0.25246604],[6.2415111  5.78895319],[-0.66372969  0.20229292],[3.37803009 9.6335775 ],[-1.5128298  -1.60839215],[3.87830432 6.64098099],[ 0.99305313 -1.96751095],[2.69592334 5.8003061 ],[-1.81601033  0.17812557],[1.07043523 6.04252185],[ 2.19473875 -0.17341949],[ 6.08157768 -0.01034899],[-0.30924355 -2.06158701],[1.88714913 7.59696307],[1.68739874 1.15344533]
[10.00994334  9.12452304],[0.6014     1.45149002],[8.93355941 0.61865307],[0.41156319 0.56051732],[10.1725701   1.48507465],[ 1.53446372 -0.11672883],[6.17265643 5.8092085 ],[-0.71370623  0.2011802 ],[3.25021277 9.49015265],[-1.1015656 -1.3173978],[3.9654612  6.46959707],[ 0.78504036 -1.53329598],[2.53353043 5.81583519],[-1.46900972  0.13942685],[1.26404632 6.02661254],[ 1.75438663 -0.14844329],[ 6.05327251 -0.1864879 ],[-0.26604993 -1.53477927],[2.03983042 7.69574557],[1.41349734 0.85782152]
[10.06133765  9.25695975],[0.43692309 1.21894596],[8.97118944 0.68181941],[0.34065163 0.70302975],[10.31241582  1.47878765],[ 1.28568415 -0.00869951],[6.09909092 5.82926972],[-0.75935015  0.19699521],[3.15143753 9.36385288],[-0.89056232 -1.22498235],[4.03960633 6.32735491],[ 0.70527079 -1.33556568],[2.3970751  5.82833749],[-1.27612797  0.11045372],[1.42911185 6.01218729],[ 1.56848617 -0.14184119],[ 6.02753269 -0.3249072 ],[-0.25212663 -1.25582853],[2.17511947 7.7724869 ],[1.30477566 0.68581955]
[10.0982245   9.37073262],[0.30384753 1.06503013],[9.00135064 0.75898229],[0.2628231  0.83973112],[10.43142755  1.48213372],[1.10452999 0.07564377],[6.02080145 5.84834833],[-0.80752819  0.18195528],[3.07044098 9.24349934],[-0.7365088  -1.18905314],[4.10796712 6.19995288],[ 0.66806362 -1.21977472],[2.27652403 5.83829851],[-1.14241023  0.08909475],[1.5804909  5.99796894],[ 1.46798411 -0.14366333],[ 6.00221156 -0.44066039],[-0.25717893 -1.06988109],[2.30276776 7.83436067],[1.25401942 0.55593322]
[10.12245538  9.47115597],[0.18396493 0.94983826],[9.02343258 0.84921202],[0.17790526 0.96173131],[10.5348034   1.49412857],[0.96824137 0.16532742],[5.93831909 5.86612174],[-0.84525192  0.16891037],[3.00276731 9.12471342],[-0.6185849  -1.18777009],[4.17380014 6.08206264],[ 0.64861451 -1.14491552],[2.16805248 5.84676892],[-1.03309594  0.07876185],[1.72381291 5.98312113],[ 1.40508891 -0.15186534],[ 5.97591399 -0.54007147],[-0.26784403 -0.92103862],[2.42694197 7.88446265],[1.23131207 0.44729715]
[10.13515892  9.56136588],[0.07084818 0.85723804],[9.03658062 0.95047636],[0.08552569 1.06061286],[10.62565327  1.51528304],[0.85390017 0.26142521],[5.85241296 5.88252549],[-0.87156434  0.15930934],[2.94619828 9.00550271],[-0.5150778  -1.19802858],[4.23833094 5.97058241],[ 0.64168618 -1.08903284],[2.06910489 5.85389691],[-0.94894279  0.06319855],[1.86200219 5.96732924],[ 1.36337305 -0.1620246 ],[ 5.94823844 -0.62572578],[-0.28268731 -0.79073451],[2.5497193  7.92443726],[1.22458632 0.35252608]
[10.13668308  9.64302912],[-0.04229478  0.7756255 ],[9.04081668 1.06086957],[-0.00376108  1.14005312],[10.70577168  1.54653648],[0.74634726 0.36144243],[5.76412073 5.89787474],[-0.89369505  0.14714104],[2.89933168 8.88483807],[-0.42160206 -1.21366161],[4.30232638 5.86384112],[ 0.63877099 -1.04770795],[1.9776953  5.85919396],[-0.88050975  0.04287834],[1.9971636  5.95101908],[ 1.34148564 -0.16374099],[ 5.91886206 -0.69887996],[-0.30472745 -0.67257224],[2.6723702  7.95553005],[1.22600268 0.26735111]
[10.12623725  9.71632285],[-0.16533065  0.69276192],[9.0361795  1.17800093],[-0.09160295  1.19557492],[10.77486143  1.58763814],[0.63633775 0.4622359 ],[5.67381926 5.91189067],[-0.912588    0.13196928],[2.86142664 8.76250685],[-0.33339191 -1.22881832],[4.36630643 5.76088143],[ 0.64001062 -1.01383957],[1.89335964 5.86305845],[-0.81031979  0.03128774],[2.13050847 5.93461527],[ 1.32567996 -0.16479246],[ 5.88681213 -0.76065025],[-0.33773739 -0.56373775],[2.79506416 7.97813535],[1.22683877 0.18423257]
[10.10320611  9.78136691],[-0.29236859  0.611668  ],[9.02285251 1.29953268],[-0.1741192   1.23175478],[10.83291569  1.63912582],[0.52436678 0.56830082],[5.58196253 5.92443772],[-0.92324046  0.11953049],[2.83279026 8.6393386 ],[-0.24187017 -1.23619732],[4.43041948 5.66092665],[ 0.64311206 -0.98542227],[1.81526795 5.8651896 ],[-0.75053418  0.01278385],[2.26252733 5.918201  ],[ 1.31291124 -0.16572461],[ 5.85131463 -0.81140843],[-0.37068768 -0.44875979],[2.91776752 7.99251278],[1.22827546 0.10528178]
[10.06754667  9.83850662],[-0.42545406  0.52649334],[9.00203154 1.42422258],[-0.24648324  1.25404067],[10.87982118  1.70168278],[0.41308291 0.68320138],[5.48915836 5.93563761],[-0.93229882  0.10424984],[2.81260237 8.51502993],[-0.16369177 -1.25031626],[4.49491548 5.56362801],[ 0.64763669 -0.96041519],[1.74322556 5.8656266 ],[-0.69036875 -0.00392587],[2.39311708 5.90139812],[ 1.30089669 -0.16863541],[ 5.81275556 -0.84999726],[-0.40120237 -0.32209196],[3.04069933 7.99934362],[1.23093651 0.03296418]
