[5.26283612 0.15010231],[ 1.92358535 -3.31195126],[7.04923577 2.62441857],[ 4.82781865 -1.25664924],[9.77940486 3.86871174],[3.03033044 3.61680912],[8.24474542 4.32860766],[-4.81642792 -2.52503867],[0.75096653 1.62020746],[ 2.62130074 -0.90069741],[0.3989878  8.24807149],[ 2.39335689 -2.81026122],[9.90083711 7.4516995 ],[1.13612151 4.49633442],[2.56831028 2.86019255],[-1.55392484  0.26245726],[5.20090981 5.3857102 ],[-1.90480135 -2.57928119],[4.17524410e-03 7.72668216e+00],[-1.6246001   4.53658037]
[ 5.39593372 -0.07516923],[ 1.04118273 -1.70759458],[7.33562406 2.55111169],[ 2.06430503 -0.51443671],[9.96184121 4.09279859],[1.29435833 1.66664859],[7.97027496 4.18646584],[-1.9782843  -1.00382882],[0.96415611 1.55174769],[ 1.8302159  -0.53850999],[0.57084269 8.04775387],[ 1.3791252  -1.59421562],[9.96682534 7.72968426],[0.43046945 2.03476308],[2.42485879 2.88654571],[-1.33565491  0.2650242 ],[5.05778135 5.19119124],[-1.16113521 -1.58595136],[-0.08977625  8.00120534],[-0.63226024  1.99378376]
[ 5.48835006 -0.22226714],[ 0.8368899  -1.28966801],[7.51385638 2.50842928],[ 1.57532347 -0.35858589],[10.06958666  4.23940071],[0.90823638 1.32282356],[7.79673068 4.10037095],[-1.56232638 -0.75346632],[1.13317422 1.50724459],[ 1.58344021 -0.36715785],[0.69574819 7.90486297],[ 1.15793868 -1.30697017],[9.99881035 7.90531571],[0.2253357  1.54781229],[2.29896883 2.9137747 ],[-1.18747253  0.2841695 ],[4.95411113 5.04884561],[-0.94331673 -1.30248965],[-0.13960262  8.17298198],[-0.38980969  1.51279036]
[ 5.56709566 -0.33863282],[ 0.74792656 -1.05494331],[7.65833968 2.47713118],[ 1.33583454 -0.27385107],[10.14870405  4.36369831],[0.68587062 1.17826952],[7.65011947 4.03164978],[-1.39234124 -0.63366951],[1.28508548 1.47674943],[ 1.46685514 -0.24858458],[0.80676554 7.78166671],[ 1.07250486 -1.17280807],[10.01404811  8.04716153],[0.0840392 1.3100346],[2.18595339 2.94344228],[-1.07792383  0.30942697],[4.86607215 4.9264439 ],[-0.82727252 -1.15905014],[-0.17027682  8.31125438],[-0.23111633  1.27301582]
[ 5.63935229 -0.43539253],[ 0.70179267 -0.88787993],[7.78376061 2.45279427],[ 1.18500443 -0.2126697 ],[10.2083578   4.47719984],[0.5129691  1.09952876],[7.51581069 3.97237181],[-1.30061507 -0.55451154],[1.42821934 1.45676537],[ 1.40476398 -0.15054388],[0.91180504 7.66850871],[ 1.029421   -1.10038145],[10.01583291  8.16972654],[-0.04485582  1.15229132],[2.08254652 2.9756329 ],[-0.99056207  0.3372508 ],[4.78745748 4.81531478],[-0.75095965 -1.07127966],[-0.18642659  8.43041866],[-0.09419619  1.11900118]
[ 5.70809373 -0.51728555],[ 0.67561274 -0.75382477],[7.89653367 2.43411564],[ 1.07664351 -0.16096022],[10.25225086  4.58490499],[0.36837628 1.05925458],[7.3885989  3.91991982],[-1.24563498 -0.49445129],[1.56655755 1.44598189],[ 1.36702749 -0.06458257],[1.0136317  7.56102011],[ 1.01148735 -1.05061523],[10.00496805  8.27861687],[-0.17209131  1.03000066],[1.98746712 3.01104501],[-0.91376685  0.37037046],[4.71515308 4.7111926 ],[-0.69923665 -1.01625159],[-0.18948639  8.5361231 ],[0.0350208  1.00196142]
[ 5.7751722  -0.58638422],[ 0.66673917 -0.63096092],[7.99987178 2.42048634],[ 0.99125972 -0.11399551],[10.28216135  4.68941353],[0.23025482 1.03222249],[7.2656993 3.8727968],[-1.21466108 -0.44935316],[1.70177013 1.44333547],[1.33805557 0.00951448],[1.1141369  7.45761208],[ 0.99904124 -1.02013258],[9.98161424 8.37654489],[-0.29523887  0.93048686],[1.89975697 3.05000734],[-0.8408876   0.40982781],[4.64702263 4.61133956],[-0.66426051 -0.98226974],[-0.1794181   8.63135735],[0.16744564 0.90556495]
[ 5.84179211 -0.64362951],[ 0.66612298 -0.51544141],[8.09531081 2.41130923],[ 0.92037556 -0.06874873],[10.29876696  4.79197544],[0.10276444 1.02015919],[7.14562283 3.83017359],[-1.18850908 -0.40409522],[1.83466495 1.44796504],[1.32037989 0.08210718],[1.21379501 7.35690503],[ 0.99240649 -0.99742036],[9.94599951 8.46510364],[-0.41931601  0.83934913],[1.81923532 3.09318936],[-0.77270701  0.45158464],[4.58251546 4.51485377],[-0.62770258 -0.94976891],[-0.15604048  8.71729633],[0.30202675 0.81522624]
[ 5.90846595 -0.68964902],[ 0.66795576 -0.40527424],[8.18439972 2.40692277],[ 0.8623184  -0.01917838],[10.30246345  4.89326475],[-0.02713521  1.00725279],[7.02762675 3.79171555],[-1.17455424 -0.36792171],[1.96577034 1.45941367],[1.30402978 0.14788815],[1.31288388 7.25814122],[ 0.98819633 -0.98001583],[9.89793472 8.54470022],[-0.54003766  0.75441043],[1.74519705 3.14043417],[-0.70938081  0.49248964],[4.52132331 4.4211478 ],[-0.59720629 -0.92567295],[-0.11883944  8.79442917],[0.44369568 0.72832066]
[ 5.9752205  -0.72492581],[ 0.6692133  -0.29837337],[8.2681998  2.40779457],[0.81291136 0.03542938],[10.29283655  4.99292681],[-0.16252844  0.98840851],[6.9107033  3.75659363],[-1.16351893 -0.33403423],[2.0953917  1.47730975],[1.28588742 0.20653977],[1.41158639 7.16090759],[ 0.98834917 -0.96273905],[9.83738244 8.61527883],[-0.67197814  0.65520755],[1.67782386 3.19222287],[-0.63896398  0.54265512],[4.46288978 4.32948316],[-0.57104965 -0.90746598],[-0.06720384  8.86279985],[0.5878664  0.63696974]
[ 6.0422504  -0.74933153],[ 0.67317106 -0.18756843],[8.34686575 2.41387443],[0.75996729 0.08557761],[10.26975182  5.09062852],[-0.29583417  0.96791368],[6.79466859 3.72466571],[-1.15909688 -0.30656493],[2.22339909 1.50101429],[1.2744131  0.26728999],[1.51019955 7.06515489],[ 0.98467423 -0.95190226],[9.76370929 8.67562288],[-0.79863523  0.55257317],[1.61743643 3.24901026],[-0.56882291  0.59300014],[4.40675507 4.2392678 ],[-0.54993193 -0.8952432 ],[-1.29537899e-03  8.92156172e+00],[0.72935503 0.5367827 ]
