[8.26101595 9.87757704],[ 4.43559869 -1.64071129],[8.13017133 2.0800726 ],[-3.46622106 -2.52766372],[8.83980316 4.04862943],[-4.61753378  2.3320845 ],[6.94600065 4.58694835],[-1.22427828 -3.51173047],[7.26462048 7.70458735],[-2.78068388 -4.83033114],[2.62832783 2.38526589],[ 3.88087128 -2.80800694],[2.04876324 0.50266438],[1.50893752 4.79984863],[8.67565315 1.71159092],[ 3.98777564 -4.54234181],[4.96947205 3.15038394],[2.57260945 4.12265045],[4.25368614 5.81245974],[ 1.41444722 -2.63840282]
[8.53157231 9.77071773],[ 1.96335636 -0.85533001],[7.90298243 1.9179358 ],[-1.73150536 -1.19464032],[8.56889021 4.18431048],[-1.96894415  0.97251362],[6.85935059 4.3404911 ],[-0.68289771 -1.92603197],[7.10967242 7.43368212],[-1.09676571 -1.94011127],[2.86821706 2.2158973 ],[ 1.79448877 -1.21436478],[2.14188624 0.78925322],[0.71671067 2.09619089],[8.88439782 1.47340299],[ 1.4302096  -1.63619973],[5.1262668  3.40057425],[1.15617729 1.83242159],[4.36510984 5.60711447],[ 0.93903248 -1.7049894 ]
[8.69991624 9.68963004],[ 1.47262357 -0.79285939],[7.74946687 1.81587463],[-1.39428474 -0.88720461],[8.39638881 4.26818402],[-1.55349878  0.73839213],[6.79864751 4.17046617],[-0.55253195 -1.53325368],[7.01454044 7.26339716],[-0.84767445 -1.53753038],[3.027472   2.11268653],[ 1.45221139 -0.89331408],[2.20797155 0.97279822],[0.62629501 1.64700872],[9.0059314  1.33382568],[ 1.05750318 -1.22033771],[5.22747158 3.55996937],[0.91023858 1.4219676 ],[4.4510871  5.45320432],[ 0.79962695 -1.41422607]
[8.83319891 9.60920654],[ 1.21431591 -0.82209397],[7.61835678 1.73635722],[-1.249053   -0.71972532],[8.25105701 4.3358874 ],[-1.37229016  0.62728229],[6.74629338 4.0272695 ],[-0.49854217 -1.34666132],[6.93616217 7.11904933],[-0.73070692 -1.36899193],[3.16512667 2.03267325],[ 1.31961187 -0.7190563 ],[2.27015634 1.12689216],[0.62272067 1.45435152],[9.10162772 1.2225472 ],[ 0.87588206 -1.02028861],[5.31275432 3.6918983 ],[0.80723336 1.23528783],[4.52781255 5.32007549],[ 0.74274105 -1.26205375]
[8.94539937 9.5243311 ],[ 1.03687499 -0.87955934],[7.49787978 1.6707563 ],[-1.17067658 -0.60039741],[8.11922156 4.39487036],[-1.27261279  0.55735677],[6.6983564  3.89893964],[-0.46571404 -1.23104264],[6.86678387 6.98685159],[-0.66213312 -1.28391038],[3.29336597 1.96689053],[ 1.25545809 -0.59959608],[2.3329377  1.26595231],[0.6354191 1.3358463],[9.18328677 1.12754066],[ 0.76145062 -0.89051843],[5.3902947  3.80928075],[0.74743434 1.11920645],[4.60031804 5.19860863],[ 0.71103296 -1.17351171]
[9.04184901 9.43305782],[ 0.89589276 -0.94719935],[7.38300303 1.61533014],[-1.1278808 -0.5082498],[7.99494735 4.44759695],[-1.21894461  0.49765775],[6.6527285  3.77987182],[-0.4466105  -1.15324173],[6.80338547 6.86137311],[-0.61094387 -1.23264205],[3.4173339  1.91205322],[ 1.22601549 -0.50182523],[2.39809583 1.39577459],[0.66627387 1.26224398],[9.25493421 1.04338772],[ 0.67266298 -0.79908803],[5.4632554  3.91716529],[0.71542579 1.04351115],[4.67065527 5.08455911],[ 0.69676266 -1.11189742]
[9.12481917 9.33447884],[ 0.76789341 -1.02204896],[7.27157825 1.56854658],[-1.10057297 -0.42687253],[7.87530843 4.49525415],[-1.1774122   0.45585571],[6.60889533 3.6676757 ],[-0.43149758 -1.09410843],[6.74426961 6.73971122],[-0.57713803 -1.20718826],[3.53926037 1.86623787],[ 1.21427582 -0.41634646],[2.4664856  1.51916455],[0.6960539  1.20221777],[9.31838451 0.96716467],[ 0.59845959 -0.7277032 ],[5.53371314 4.01851423],[0.69525832 0.98578599],[4.73997329 4.97572005],[ 0.6935144 -1.0642448]
[9.19605759 9.22904441],[ 0.65577895 -1.08829682],[7.16242837 1.52959932],[-1.08521242 -0.35463184],[7.75902594 4.53891866],[-1.14929217  0.41878856],[6.56642625 3.56074038],[-0.42043466 -1.04852257],[6.68810597 6.61996589],[-0.54618625 -1.18843754],[3.6604597  1.82850171],[ 1.21174205 -0.33850641],[2.53790036 1.63714592],[0.73099021 1.15742884],[9.37509273 0.89765525],[ 0.53572358 -0.66519057],[5.60286303 4.1149766 ],[0.68749174 0.94360024],[4.80926078 4.87110359],[ 0.69286043 -1.02940129]
[9.25597961 9.11684201],[ 0.54365702 -1.15435397],[7.0545301  1.49764986],[-1.07594384 -0.28758586],[7.64521399 4.57914605],[-1.12993418  0.38434931],[6.52457195 3.45756009],[-0.41585186 -1.01516951],[6.6351064  6.50198379],[-0.51238528 -1.17027881],[3.78149158 1.79809953],[ 1.20776082 -0.27217225],[2.6126577  1.75084411],[0.76476664 1.11814151],[9.42573574 0.83394457],[ 0.47992728 -0.60789461],[5.6715963  4.20766341],[0.68618379 0.90933828],[4.87860713 4.76959307],[ 0.69407953 -1.00207184]
[9.30491921 8.99844825],[ 0.43644445 -1.21146896],[6.94741052 1.47225009],[-1.06892112 -0.22294653],[7.53291457 4.61586488],[-1.11800615  0.34904143],[6.48323936 3.35755551],[-0.40961535 -0.98443344],[6.58529998 6.38548318],[-0.48316218 -1.15949442],[3.90223529 1.77405766],[ 1.20523786 -0.21151647],[2.69048878 1.86057968],[0.79152602 1.07718396],[9.47084654 0.77562387],[ 0.4243195  -0.55741195],[5.74041134 4.29717219],[0.68806335 0.87888146],[4.94827755 4.67069125],[ 0.69793158 -0.97818616]
[9.34333802 8.87480871],[ 0.33430471 -1.25817988],[6.84095544 1.45324662],[-1.06187912 -0.15894472],[7.4215849  4.64903462],[-1.1095939   0.31401981],[6.44237951 3.26029699],[-0.40792471 -0.96152389],[6.5377463  6.26934759],[-0.46619963 -1.16126903],[4.02286388 1.75596662],[ 1.20893847 -0.14914757],[2.77086647 1.96633487],[0.81731392 1.03994776],[9.51029051 0.7220557 ],[ 0.36570916 -0.51319681],[5.80944389 4.38367968],[0.69219656 0.8509136 ],[5.01818096 4.57382201],[ 0.70187068 -0.958003  ]
