[2.94002331 7.6923319 ],[4.93192677 3.27044229],[1.16798274 3.97133211],[-0.86544444  4.28211677],[3.47985806 1.26343896],[-2.23698602 -2.15863909],[3.49028887 2.96199059],[-4.39798163 -0.83091064],[0.01189448 7.16107208],[0.65735955 1.22630616],[5.34910659 3.37197869],[-4.87762258  2.3312928 ],[5.69945591 2.38497037],[ 3.86993927 -1.12976732],[5.90603858 0.3144061 ],[-2.49188809  2.89878513],[7.24285143 0.6068491 ],[-4.76242198 -0.80532393],[8.25603349 4.63850754],[-1.17442787  4.05624246]
[3.20559571 7.86355187],[1.87341863 1.14816766],[1.11556379 4.24688754],[-0.35559194  2.06672912],[3.30999919 1.1010437 ],[-1.38689341 -1.30861165],[3.21150839 2.90954779],[-2.073572   -0.38673669],[0.08016862 7.27421202],[0.71025988 1.04479062],[5.07196014 3.50426432],[-1.97971203  0.94295215],[5.9589523  2.31029269],[ 1.97724575 -0.55911275],[5.732871   0.51721878],[-1.35265273  1.59815874],[6.95146437 0.56089001],[-2.15407714 -0.29935116],[8.17503228 4.90333463],[-0.66037987  1.98888167]
[3.36890658 7.95783536],[1.46558956 0.78602356],[1.08827586 4.42772138],[-0.20733444  1.61563667],[3.18608309 0.98593276],[-1.12576669 -1.02637017],[3.03096196 2.87633282],[-1.60757831 -0.29031118],[0.15446773 7.37133693],[0.77579642 0.90073905],[4.89984771 3.58578943],[-1.53693926  0.72171898],[6.13164564 2.26224503],[ 1.54221477 -0.41723028],[5.61312421 0.66047055],[-1.08312257  1.31267561],[6.76193955 0.53832187],[-1.71283274 -0.16705013],[8.11258886 5.07614545],[-0.60962875  1.53030768]
[3.50628381 8.02581961],[1.30127187 0.58624964],[1.07300628 4.57776909],[-0.10404292  1.40447891],[3.08055717 0.89171281],[-0.99595104 -0.86835766],[2.88234415 2.85000962],[-1.38639579 -0.24015744],[0.23556881 7.45499284],[0.84671967 0.77464228],[4.75744806 3.65280711],[-1.33614624  0.62517196],[6.27415262 2.224898  ],[ 1.32757026 -0.33520355],[5.51176103 0.78475501],[-0.95774746  1.18688266],[6.60149799 0.5265809 ],[-1.51730877 -0.07060589],[8.05143631 5.21682959],[-0.62023357  1.30232775]
[3.63152834 8.07651378],[1.21321656 0.43420521],[1.06702567 4.71139492],[-0.01736742  1.27713335],[2.98529566 0.81082736],[-0.91198598 -0.75133291],[2.75087528 2.82778293],[-1.25083289 -0.2041602 ],[0.32337034 7.52605965],[0.91237333 0.65105   ],[4.62981341 3.7120218 ],[-1.22574537  0.56344799],[6.39945021 2.19419618],[ 1.18799995 -0.2804497 ],[5.4205284  0.90036595],[-0.87692996  1.12741785],[6.45521625 0.52326925],[-1.41749641  0.00240288],[7.98775058 5.33916314],[-0.65536526  1.15368906]
[3.74994227 8.11320495],[1.16042975 0.30345018],[1.06897313 4.83418984],[0.05788383 1.18611128],[2.89710058 0.74054421],[-0.8562588 -0.6580001],[2.63068685 2.80885594],[-1.15750491 -0.17462229],[0.41814047 7.58550529],[0.98170764 0.5379322 ],[4.51078175 3.76587759],[-1.15779767  0.51788008],[6.51324594 2.16872522],[ 1.09251262 -0.23017814],[5.33579654 1.01138059],[-0.82276465  1.09414338],[6.31716284 0.52729302],[-1.34897147  0.07665713],[7.91986599 5.44864   ],[-0.70447416  1.0395188 ]
[3.86394726 8.13726162],[1.12390095 0.18103182],[1.07838689 4.94922556],[0.13332765 1.12061981],[2.81368086 0.67901439],[-0.81498597 -0.57477688],[2.51867524 2.79285667],[-1.08851145 -0.14842598],[0.51952771 7.63369711],[1.04530142 0.4268052 ],[4.39786625 3.81630194],[-1.10541785  0.49009489],[6.61853235 2.14789838],[ 1.01416935 -0.18896472],[5.25547138 1.11963443],[-0.78611223  1.07223824],[6.18468971 0.53841446],[-1.30178787  0.14643631],[7.84639822 5.54744246],[-0.76073503  0.94365884]
[3.97465798 8.14918068],[1.09505173 0.06172104],[1.09558599 5.0586711 ],[0.20738302 1.066966  ],[2.73358426 0.62522003],[-0.78714921 -0.50064989],[2.41286705 2.7794975 ],[-1.03375291 -0.12305526],[0.62698313 7.67096033],[1.10113263 0.31775861],[4.28922999 3.86408108],[-1.06806681  0.46743114],[6.71659384 2.13093581],[ 0.94973269 -0.14969438],[5.17846362 1.22627058],[-0.7546352   1.06206164],[6.05622739 0.55627372],[-1.26701974  0.21206516],[7.76753814 5.63760276],[-0.81743658  0.86005746]
[4.08310022 8.14971854],[ 1.07627359 -0.04820748],[1.12012941 5.16314529],[0.28211908 1.02217384],[2.65619107 0.5789894 ],[-0.76369597 -0.42619509],[2.31194047 2.76855267],[-0.98631595 -0.09590691],[0.7398224  7.69771853],[1.1518237  0.21604836],[4.18417444 3.9101585 ],[-1.03337713  0.45584173],[6.80863431 2.11783423],[ 0.88959863 -0.11516068],[5.1039682  1.33181769],[-0.73231002  1.05326887],[5.9309176  0.58058007],[-1.24045206  0.27287527],[7.68265884 5.71939132],[-0.8801544   0.77625224]
[4.19019292 8.13993409],[ 1.06439913 -0.14777879],[1.15192219 5.26316613],[0.35498947 0.98023087],[2.58065732 0.53995562],[-0.74781885 -0.35455367],[2.21499554 2.75992205],[-0.95509304 -0.07842405],[0.85672148 7.71397125],[1.18706718 0.11241585],[4.08167988 3.95466191],[-1.01586582  0.43593457],[6.89496957 2.1081838 ],[ 0.83954138 -0.07602032],[5.03158592 1.436726  ],[-0.71221352  1.0488566 ],[5.80826942 0.61099672],[-1.21379685  0.3341345 ],[7.59170906 5.79308837],[-0.93675512  0.69972266]
[4.2958233 8.1201856],[ 1.04568552 -0.24874866],[1.1910229  5.35915476],[0.4276015  0.94047535],[2.50658738 0.50821224],[-0.73649183 -0.28245635],[2.12133349 2.75343525],[-0.92020265 -0.05251853],[0.97681241 7.72029118],[1.20975312 0.01138042],[3.98103084 3.99756997],[-0.99717026  0.42310032],[6.97675305 2.10280302],[ 0.79793196 -0.02995589],[4.96141243 1.54160457],[-0.68990898  1.05054611],[5.68824886 0.64746134],[-1.18587668  0.3956679 ],[7.49541362 5.85939129],[-0.99016067  0.62489692]
