[8.90928701 4.07786841],[0.34362155 0.34927678],[6.63467735 3.9152066 ],[-1.53453464 -4.07740448],[5.47105288 1.49387727],[-0.76225411  4.51757804],[0.44465594 8.95104186],[ 4.72176228 -1.85757882],[3.64441699 9.36260794],[-2.73085835  3.77900158],[2.55252087 2.45058186],[1.81046062 2.60718182],[5.64172348 6.19275572],[ 1.38554637 -0.05681401],[5.19865546 4.57748984],[4.4135865  4.61916386],[1.04927925 0.45017256],[ 0.26396007 -3.13963428],[5.28800343 3.33940498],[-2.22044097 -2.54996817]
[8.93959206 4.11495313],[0.25863115 0.38997981],[6.53367596 3.65304222],[-0.78345656 -1.96022069],[5.42279819 1.77907977],[-0.36444927  2.1352317 ],[0.72509388 8.83740292],[ 2.04925407 -0.86591305],[3.47493713 9.59320067],[-1.25368239  1.66001323],[2.69079029 2.64890153],[1.13954617 1.62596439],[5.77364822 6.18545885],[ 1.26089174 -0.08943265],[5.42251059 4.81237563],[1.52824247 1.61112784],[1.07317569 0.21575535],[ 0.24017896 -1.87590601],[5.12426387 3.15354302],[-1.31997286 -1.47414293]
[8.9606248  4.15581271],[0.16345724 0.43016207],[6.46274501 3.48243936],[-0.65985337 -1.51709734],[5.39026275 1.96705646],[-0.29851844  1.69571432],[0.90488349 8.75832283],[ 1.61643501 -0.74636572],[3.36525471 9.73375908],[-0.98520249  1.20928733],[2.79422002 2.7955013 ],[0.95570008 1.34473251],[5.89473882 6.17446473],[ 1.16829131 -0.1278953 ],[5.55325089 4.95094248],[1.14806878 1.2245617 ],[1.09893413 0.05100307],[ 0.27831052 -1.46837805],[5.00584026 3.02365595],[-1.08179653 -1.16223415]
[8.97172769 4.20077307],[0.05691129 0.46886685],[6.39930776 3.34283927],[-0.61690006 -1.29536671],[5.36171461 2.12572334],[-0.27731029  1.49782734],[1.05607515 8.68539102],[ 1.4295826  -0.71840932],[3.27349547 9.84156846],[-0.86335426  0.96422218],[2.88491537 2.92222464],[0.86724562 1.20297181],[6.00780691 6.15966275],[ 1.097465   -0.16659373],[5.65854207 5.06400149],[0.97791053 1.05755465],[ 1.12965979 -0.08317435],[ 0.34013216 -1.22991481],[4.90389503 2.91650665],[-0.97122074 -0.99656857]
[8.97186316 4.24976243],[-0.05487778  0.51145253],[6.33820153 3.22062335],[-0.6073388  -1.15643903],[5.33448794 2.26954035],[-0.26842746  1.38814538],[1.19351003 8.61381073],[ 1.32558754 -0.71844221],[3.19100487 9.92894676],[-0.79090003  0.7921304 ],[2.96904501 3.0380276 ],[0.82084621 1.12056543],[6.11475439 6.14123619],[ 1.04107499 -0.20417811],[5.75067794 5.1644014 ],[0.87253563 0.95853442],[ 1.16717887 -0.19728663],[ 0.41001411 -1.06121811],[4.81045551 2.8229962 ],[-0.90599318 -0.88277884]
[8.96037456 4.30292546],[-0.17558084  0.55176187],[6.2770777  3.11006223],[-0.61356185 -1.05597369],[5.30761249 2.40445308],[-0.26935413  1.31559904],[1.32237097 8.54128295],[ 1.25608707 -0.73336615],[ 3.11457147 10.00107159],[-0.74205738  0.6527761 ],[3.04971944 3.1472321 ],[0.79293916 1.06485334],[6.21643267 6.11893663],[ 0.99415416 -0.24139464],[5.83387575 5.25659279],[0.79663534 0.89070933],[ 1.2121678  -0.29615373],[ 0.49055987 -0.92001715],[4.72202576 2.73919752],[-0.86717337 -0.79808916]
[8.93654021 4.36000565],[-0.29980748  0.59085587],[6.21485627 3.00840312],[-0.63158209 -0.97942227],[5.28119173 2.5339942 ],[-0.26069905  1.27631178],[1.44534753 8.46697228],[ 1.207349  -0.7518294],[ 3.04185293 10.0596911 ],[-0.71349762  0.52193834],[3.12804331 3.2515717 ],[0.7762271  1.02524171],[6.31359407 6.09277344],[ 0.94833664 -0.28348225],[5.91033561 5.34291252],[0.7349323  0.83823683],[ 1.26524915 -0.38198817],[ 0.57193205 -0.79815352],[4.63673843 2.6630678 ],[-0.84003783 -0.72608261]
[8.90017517 4.42074416],[-0.42676882  0.6232276 ],[6.15054495 2.91375376],[-0.65415304 -0.9139923 ],[5.25531309 2.65999567],[-0.2562771   1.24600848],[1.56410116 8.3907862 ],[ 1.16734974 -0.77378452],[ 2.97132817 10.10537011],[-0.69569004  0.39460074],[3.20515152 3.35255712],[0.7673294  0.99623594],[6.4066195  6.06261884],[ 0.91434076 -0.31780566],[5.98158617 5.42499126],[0.68718495 0.80055249],[ 1.32700027 -0.4556526 ],[ 0.66591082 -0.67331036],[4.55366892 2.59363541],[-0.82287828 -0.66408332]
[8.85144897 4.48455383],[-0.54717965  0.65091461],[6.08412756 2.82557589],[-0.67504508 -0.85103724],[5.22968595 2.78322687],[-0.25769934  1.21840875],[1.67931412 8.3125033 ],[ 1.13524633 -0.79435374],[ 2.90217895 10.138234  ],[-0.6880464   0.26235508],[3.28139987 3.45077289],[0.75938249 0.9701289 ],[6.49629655 6.02898633],[ 0.876989   -0.35736981],[6.04847075 5.50374726],[0.64870098 0.7728509 ],[ 1.39804521 -0.5171027 ],[ 0.7557209  -0.55480225],[4.47192789 2.53003539],[-0.81029797 -0.60619908]
[8.79096597 4.55056576],[-0.66257544  0.66562991],[6.01537989 2.74331907],[-0.69777624 -0.79236191],[5.20397901 2.90408643],[-0.25637949  1.19951546],[1.79102685 8.23167035],[ 1.10234973 -0.81938968],[ 2.83386479 10.15793166],[-0.67772647  0.13165504],[3.35690312 3.54650654],[0.75173905 0.94583042],[6.58209781 5.9911627 ],[ 0.83914883 -0.3991867 ],[6.11159423 5.57985318],[0.61467961 0.75027135],[ 1.47813929 -0.56648438],[ 0.84558016 -0.43235257],[4.39115277 2.4719766 ],[-0.80619342 -0.55587701]
[8.71958965 4.6175867 ],[-0.76159152  0.67400958],[5.94418823 2.66668132],[-0.72715148 -0.7417141 ],[5.17839857 3.02322221],[-0.25698022  1.18202917],[1.8998371  8.14864109],[ 1.07524849 -0.83993891],[ 2.76677343 10.16451181],[-0.6649254  -0.00195344],[3.43200231 3.64022519],[0.75047034 0.92894186],[6.66421574 5.94921782],[ 0.80185832 -0.44109754],[6.17133721 5.65375518],[0.58014137 0.72782755],[ 1.56701643 -0.60342447],[ 0.92966956 -0.30701898],[4.31076657 2.41897623],[-0.80298861 -0.50541301]
