[4.28936145 6.02892859],[-4.59089833  1.32718776],[8.92682127 3.29573363],[ 3.49229569 -3.21829073],[0.28834369 4.35865179],[-2.59546132  1.87457371],[5.41058783 8.0304389 ],[ 0.80984093 -3.46200289],[0.77211737 9.64212573],[-2.65961465  0.86487663],[3.41267263 6.28008232],[-3.9413112  -1.48871783],[4.73695794 4.28097266],[1.60978156 0.90056169],[0.93031606 4.61478429],[ 1.9965315  -0.41481723],[2.76786802 5.41664622],[-4.56518542  0.21147663],[5.9573616 7.1832247],[-1.29884987 -2.4920136 ]
[4.00817146 6.10969724],[-2.06872406  0.58740175],[9.1371558  3.09950065],[ 1.50169516 -1.42935265],[0.09676743 4.50200307],[-1.52090642  1.18666487],[5.46679391 7.78071481],[ 0.42345968 -1.99013612],[0.56269578 9.70701753],[-1.736648    0.50574103],[3.15402465 6.18178025],[-1.95653096 -0.75128386],[4.8817083 4.3645165],[1.3188427 0.7882759],[1.10958122 4.57987921],[ 1.64335409 -0.2945077 ],[2.48228277 5.43068871],[-2.11012772  0.11242725],[5.85210408 6.98451224],[-0.90590381 -1.67424309]
[3.82791345 6.16068362],[-1.60986847  0.45220753],[9.2636739  2.97612059],[ 1.08676027 -1.08601818],[-0.03593392  4.6100167 ],[-1.17066898  1.00566888],[5.50209479 7.60286955],[ 0.29285344 -1.6243071 ],[0.40766787 9.74895636],[-1.40278156  0.34535943],[2.98295459 6.11547547],[-1.5288283  -0.59900568],[5.00458887 4.44064346],[1.15325148 0.74302739],[1.26456471 4.55408341],[ 1.47397065 -0.22587234],[2.29866007 5.4408425 ],[-1.63293265  0.09595853],[5.76836217 6.8330417 ],[-0.78739899 -1.39072329]
[3.67838629 6.20216033],[-1.40191961  0.3837232 ],[9.35987284 2.87654888],[ 0.85468514 -0.9190785 ],[-0.14180678  4.70664035],[-0.9646376   0.93285684],[5.52672423 7.44975352],[ 0.20579499 -1.45425767],[0.27725978 9.77716143],[-1.21804538  0.22434247],[2.84142522 6.05942722],[-1.3222006  -0.52986495],[5.11375863 4.51377007],[1.0346119  0.72115663],[1.40688884 4.53435035],[ 1.37804265 -0.17316706],[2.14785078 5.45014125],[-1.40231122  0.09409824],[5.69215065 6.70189268],[-0.74280112 -1.24433603]
[3.54502097 6.23852164],[-1.27738512  0.34372594],[9.43648463 2.79024106],[ 0.68333682 -0.81442495],[-0.23063133  4.79798367],[-0.82140591  0.8955249 ],[5.54381695 7.30967796],[ 0.13929144 -1.35423647],[0.16214606 9.79432185],[-1.09036179  0.12107421],[2.71583018 6.0083914 ],[-1.19781704 -0.49361784],[5.21269972 4.58568855],[0.94787426 0.71945562],[1.54165378 4.51951888],[ 1.31974834 -0.12600228],[2.01500351 5.45948492],[-1.26308118  0.09438519],[5.61882175 6.58237354],[-0.72671486 -1.15194106]
[3.42169571 6.27140565],[-1.19442399  0.31525855],[9.49679002 2.7121633 ],[ 0.5263835 -0.7497396],[-0.30597844  4.88742075],[-0.68938428  0.8951711 ],[5.55470167 7.17760829],[ 0.07971316 -1.29125015],[0.05800523 9.80131167],[-0.99538839  0.01982878],[2.6006331  5.96024721],[-1.11046556 -0.47058952],[5.30328492 4.65741466],[0.86954256 0.71997397],[1.67148881 4.50902011],[ 1.27730833 -0.08670184],[1.89380474 5.46904155],[-1.16298979  0.10036482],[5.54633078 6.4706176 ],[-0.72353344 -1.08532277]
[3.30512072 6.30150122],[-1.13890805  0.28845461],[9.5423579  2.64008497],[ 0.38394155 -0.69569163],[-0.36926101  4.97710447],[-0.57867975  0.89936037],[5.55977655 7.05069548],[ 0.02435471 -1.24752112],[-0.03767246  9.7980405 ],[-0.9188892  -0.08420453],[2.49298846 5.91395649],[-1.04556462 -0.45656905],[5.38712476 4.73010922],[0.80694895 0.73319585],[1.79785506 4.5024609 ],[ 1.25059682 -0.04581014],[1.78141523 5.4794297 ],[-1.0896708   0.10582681],[5.47371555 6.36467036],[-0.72935058 -1.03522408]
[3.19338331 6.32913849],[-1.09807724  0.26448488],[9.57376875 2.57293026],[ 0.24651539 -0.64601124],[-0.42169669  5.06776882],[-0.47284676  0.91288875],[5.55919815 6.92730178],[-0.03335003 -1.21940612],[-0.12619137  9.78421559],[-0.85283017 -0.19324463],[2.39125863 5.86894019],[-0.99080961 -0.44434323],[5.46464314 4.80397977],[0.74338541 0.74395522],[1.92132178 4.49925841],[ 1.21960544 -0.01894987],[1.67559653 5.49044628],[-1.03103131  0.11228479],[5.39995152 6.26292927],[-0.74286068 -0.99715988]
[3.08510641 6.35434148],[-1.06784976  0.24071917],[9.59175708 2.51100443],[ 0.10922784 -0.59597849],[-0.46421983  5.1595443 ],[-0.37558191  0.9255937 ],[5.55344053 6.80686409],[-0.07989481 -1.18894028],[-0.2080481   9.75954493],[-0.78360738 -0.29967712],[2.29436722 5.82480837],[-0.94900929 -0.43960338],[5.53647559 4.87956529],[0.69314073 0.76752346],[2.04235717 4.49903771],[1.20177613 0.01435089],[1.57483561 5.50182695],[-0.98490133  0.11603557],[5.32519686 6.16518172],[-0.75343774 -0.95952666]
[2.97972523 6.37743537],[-1.04036759  0.22178083],[9.59473714 2.45315788],[-0.05066133 -0.56023293],[-0.49684959  5.25293931],[-0.27696413  0.94259787],[5.54285401 6.68896698],[-0.12958926 -1.16748284],[-0.28285359  9.72419957],[-0.71067176 -0.40607859],[2.20135531 5.78103122],[-0.9157447  -0.44001697],[5.60289798 4.95712004],[0.63407089 0.78233381],[2.16166021 4.50200116],[1.18450003 0.04453076],[1.47869049 5.5139734 ],[-0.94036147  0.12560649],[5.24917725 6.07086547],[-0.76621723 -0.92646683]
[2.87678498 6.39862154],[-1.02099193  0.20007657],[9.58182863 2.39963823],[-0.21303288 -0.51328882],[-0.51962783  5.34803761],[-0.17923509  0.95857285],[5.52761798 6.5733375 ],[-0.17379655 -1.14442824],[-0.35047641  9.67782637],[-0.64250374 -0.52299762],[2.11151134 5.73715695],[-0.88085874 -0.43678202],[5.6639473  5.03671091],[0.58421872 0.80672952],[2.27916179 4.50774798],[1.16643113 0.07073141],[1.38661223 5.52697342],[-0.90298334  0.13339264],[5.17176897 5.97964778],[-0.7848794  -0.90109217]
[2.77595009 6.41799604],[-0.99742427  0.186388  ],[9.55181486 2.35076687],[-0.3875933  -0.46187887],[-0.53256729  5.44470296],[-0.07883956  0.97501206],[5.50787159 6.45978115],[-0.22190502 -1.12778525],[-0.41100252  9.61972957],[-0.56365435 -0.63527957],[2.02464734 5.69318436],[-0.85554733 -0.44157718],[5.71974497 5.11849688],[0.53222889 0.82948793],[2.39486254 4.51597606],[1.14888691 0.09482987],[1.29812502 5.54081116],[-0.86987238  0.14078697],[5.092622   5.89102744],[-0.79980487 -0.8733187 ]
[2.67718792 6.43588541],[-0.97847436  0.1712381 ],[9.50387809 2.30738405],[-0.57092106 -0.40351041],[-0.53545094  5.54283916],[0.01707181 0.98309054],[5.48384436 6.34833332],[-0.25934394 -1.10236622],[-0.46333967  9.55047637],[-0.48127494 -0.74821397],[1.94010485 5.64855947],[-0.83314494 -0.44866317],[5.77010363 5.20234639],[0.47582255 0.84847194],[2.50906522 4.52678866],[1.13573475 0.12193294],[1.21281961 5.55540046],[-0.83857237  0.14912086],[5.01220453 5.80534286],[-0.80872646 -0.84080046]
[2.57958664 6.45159662],[-0.96932315  0.14732783],[9.43762394 2.27040925],[-0.75486449 -0.33615886],[-0.52897706  5.64138683],[0.11231894 0.98719921],[5.45541332 6.23871106],[-0.30724315 -1.08811725],[-0.50704062  9.47025751],[-0.39377505 -0.85669732],[1.85799002 5.60344101],[-0.81056849 -0.45498871],[5.81457179 5.28789364],[0.41668321 0.86569327],[2.62211365 4.54046162],[1.12570093 0.15197603],[1.13031408 5.57059412],[-0.81209201  0.15450322],[4.93096531 5.722925  ],[-0.81815425 -0.80984683]
[2.48321257 6.46527443],[-0.95804502  0.12645007],[9.35350926 2.24071649],[-0.92514696 -0.25716037],[-0.51322659  5.73991294],[0.20487951 0.98504152],[5.42228352 6.13061731],[-0.35306646 -1.07143792],[-0.54170895  9.37965256],[-0.29789317 -0.9523647 ],[1.77823763 5.55781334],[-0.78391903 -0.45684292],[5.85295541 5.37504017],[0.35309321 0.87948467],[2.73387812 4.55685199],[1.10946645 0.17558732],[1.05038771 5.58632568],[-0.7864064   0.16041246],[4.84825525 5.64303113],[-0.8356451  -0.78780425]
[2.38829511 6.47724524],[-0.94223952  0.11118642],[9.25361795 2.21949452],[-1.06592609 -0.16427072],[-0.48807803  5.83817031],[0.29694003 0.97850109],[5.38465478 6.02428858],[-0.39778057 -1.05348905],[-0.56653753  9.28015629],[-0.1981442  -1.03485081],[1.70098335 5.51186096],[-0.76377007 -0.46479441],[5.88534721 5.46396937],[0.29306324 0.89737165],[2.84363442 4.57514922],[1.08625057 0.19053325],[0.97289905 5.60256884],[-0.76055833  0.16743315],[4.76384274 5.56534666],[-0.84944105 -0.76288366]
[2.29456498 6.48732267],[-0.9331743   0.08959038],[9.1408746  2.20752877],[-1.18202708 -0.07374995],[-0.45380459  5.93552818],[0.3871124  0.96690057],[5.34281905 5.92001026],[-0.44174617 -1.03492696],[-0.58171432  9.17279414],[-0.10268028 -1.10664948],[1.62559459 5.46495409],[-0.7449657  -0.47428004],[5.9115038 5.5544735],[0.2277093  0.91030558],[2.95159122 4.59539762],[1.07279063 0.21433496],[0.89807069 5.61963962],[-0.73552505  0.17464624],[4.67842018 5.49049171],[-0.86013186 -0.73546981]
[2.20174086 6.49523329],[-0.9214336   0.07042728],[9.01819397 2.20461824],[-1.26671441  0.01431921],[-0.41073893  6.0313781 ],[0.47080253 0.94655813],[5.29663336 5.81765024],[-0.48127389 -1.01160653],[-0.58737638  9.05912681],[-0.0114275  -1.16393277],[1.55209263 5.41709481],[-0.72511682 -0.48294819],[5.93133011 5.64647651],[0.16731553 0.92805292],[3.05803125 4.61785742],[1.05695705 0.23576311],[0.82574466 5.637471  ],[-0.71426575  0.17874046],[4.59175044 5.41816971],[-0.87408443 -0.71194304]
