[0.82113415 5.0129618 ],[ 1.57009383 -0.75097662],[9.15398839 5.04200827],[0.06496552 3.62115319],[6.585984   1.60629904],[-4.66983396  2.75480697],[3.88198071 8.11174173],[3.86432015 4.12859546],[0.25259968 6.12817468],[-0.8745922  -4.58694872],[2.96238863 4.02686538],[-4.02087614 -3.88262156],[3.23784477 5.53939166],[4.43408702 1.28483348],[5.01961089 0.78891249],[ 4.00091191 -3.90400225],[8.88131088 6.63111236],[-4.44427075 -0.53974332],[9.15655087 7.57093188],[3.52616585 0.82705651]
[0.96980426 4.94428575],[ 1.42258849 -0.63198308],[9.15411529 5.29904152],[-0.05014935  2.0207959 ],[6.32088083 1.76476067],[-1.88832426  1.16268498],[4.09628539 8.33655517],[1.52531839 1.5495178 ],[0.20311117 5.84289145],[-0.30624961 -2.11377146],[2.74067872 3.81185035],[-1.54944784 -1.51428745],[3.51565271 5.61881713],[2.06789818 0.57833947],[5.24220209 0.5754128 ],[ 1.58090772 -1.46901887],[8.59662964 6.59546214],[-2.14844692 -0.28225383],[9.40399073 7.62739393],[1.9184005  0.41988735]
[1.10786737 4.8850957 ],[ 1.34798434 -0.55487654],[9.14481883 5.47768627],[-0.13353098  1.61106876],[6.15722043 1.86856343],[-1.45781471  0.95128524],[4.22984328 8.46733311],[1.20260202 1.12625699],[0.18181248 5.65754158],[-0.13262878 -1.66459539],[2.60854342 3.68154998],[-1.15680109 -1.15340681],[3.69726081 5.66854098],[1.63207881 0.43407059],[5.37999609 0.4524796 ],[ 1.2341332  -1.04781047],[8.40678299 6.56924591],[-1.71749691 -0.24889404],[9.57112401 7.66217007],[1.4818489  0.28932537]
[1.24062829 4.83283899],[ 1.31129346 -0.49235425],[9.12736182 5.62750146],[-0.21254164  1.40644075],[6.02241275 1.9595746 ],[-1.25999779  0.87879027],[4.34291446 8.5681908 ],[1.07476869 0.90740646],[0.17525668 5.50242264],[-0.00159117 -1.45834521],[2.50315152 3.57516485],[-0.96697305 -0.98987359],[3.84974023 5.70797314],[1.43851146 0.36061371],[5.49519328 0.35990907],[ 1.08830181 -0.81851742],[8.24509298 6.54416064],[-1.53483053 -0.25312182],[9.70636052 7.6863298 ],[1.23973125 0.19589828]
[1.37057189 4.78617481],[ 1.28812046 -0.44408648],[9.10205914 5.76112888],[-0.29338008  1.27441271],[5.90261828 2.04572646],[-1.14342366  0.84998938],[4.44672164 8.65073399],[1.01162154 0.7536144 ],[0.18082902 5.36295643],[ 0.11451772 -1.33684761],[2.41346249 3.48190684],[-0.83647095 -0.88497219],[3.98763584 5.74141546],[1.32713459 0.30913778],[5.60008359 0.28698467],[ 1.01557421 -0.64797086],[8.09751032 6.51871867],[-1.4275943  -0.25832805],[9.82223157 7.70254963],[1.08373038 0.1278251 ]
[1.49889907 4.74414397],[ 1.27840803 -0.39845611],[9.06857401 5.88346137],[-0.37302893  1.17949575],[5.79265161 2.13035186],[-1.05682024  0.8484135 ],[4.54633673 8.71994719],[0.98277789 0.63246926],[0.19778408 5.23361817],[ 0.22314585 -1.25485871],[2.33490914 3.39719233],[-0.74057721 -0.81546871],[4.11656782 5.77024524],[1.25629855 0.26870488],[5.69908516 0.22914813],[ 0.96711519 -0.51332764],[7.95854888 6.49264018],[-1.35830078 -0.26571556],[9.92446239 7.71226569],[0.96441972 0.06624473]
[1.62636158 4.70626353],[ 1.27291059 -0.35831164],[9.02741046 5.99755275],[-0.44791701  1.10663017],[5.69063503 2.21578514],[-0.987976    0.85948759],[4.64366547 8.77750612],[0.96775727 0.52222195],[0.22550866 5.11156288],[ 0.33434837 -1.18499309],[2.26508436 3.31849679],[-0.66175134 -0.76454626],[4.23992114 5.79568572],[1.21317478 0.24056516],[5.79446312 0.18427516],[ 0.94525942 -0.38301213],[7.82498453 6.46530471],[-1.31624118 -0.28201117],[10.01540419  7.71547569],[8.59291244e-01 2.75168891e-04]
[1.75323732 4.67203113],[ 1.26411262 -0.32790306],[8.97839218 6.10448133],[-0.52911174  1.0362848 ],[5.59452407 2.3022608 ],[-0.93534318  0.87103183],[4.74048811 8.82489871],[0.97229283 0.42902411],[0.26376949 4.99554684],[ 0.43144487 -1.13498611],[2.2026457 3.2443018],[-0.58739585 -0.72008453],[4.35957461 5.81845637],[1.17955031 0.21316823],[5.88817241 0.15209774],[ 0.9290621  -0.26233656],[7.69529358 6.4365779 ],[-1.27874717 -0.29201345],[10.09617607  7.71176005],[ 0.76020205 -0.07232329]
[1.87960428 4.64095798],[ 1.26130339 -0.29609455],[8.92139184 6.20472574],[-0.60936177  0.97033743],[5.50308016 2.38981818],[-0.89031275  0.88457601],[4.83771616 8.86283281],[0.97355877 0.3305955 ],[0.31202805 4.88480877],[ 0.53191523 -1.08124178],[2.14726965 3.17405543],[-0.52228162 -0.68741343],[4.47602897 5.83829095],[1.14972763 0.18272997],[5.98025367 0.13153764],[ 0.91666237 -0.14564635],[7.5685085 6.4063843],[-1.25611623 -0.31022555],[10.16790032  7.70119359],[ 0.67475019 -0.13965294]
[2.00547729 4.61267576],[ 1.2570779  -0.26919627],[8.85672415 6.29873314],[-0.68367947  0.90971693],[5.4160372  2.47893553],[-0.84938263  0.89965838],[4.93528973 8.89102979],[0.97901823 0.23426598],[0.37041953 4.77967504],[ 0.63173801 -1.02476229],[2.09811258 3.10664639],[-0.46087524 -0.6612375 ],[4.58966724 5.8549555 ],[1.12567322 0.1525745 ],[6.07143366 0.12286092],[ 0.90443539 -0.03052503],[7.44417022 6.37477657],[-1.22982358 -0.32019017],[10.23124851  7.68376914],[ 0.59417965 -0.20757997]
[2.1311258  4.58717267],[ 1.25533586 -0.2417573 ],[8.78455095 6.38646001],[-0.75961437  0.84429095],[5.33307041 2.56971743],[-0.81188482  0.91446953],[5.03362135 8.90975246],[0.98600974 0.13867722],[0.43853572 4.68022959],[ 0.72677048 -0.96667177],[2.05513862 3.04173795],[-0.40274386 -0.6415719 ],[4.70144918 5.8689987 ],[1.10845086 0.12640039],[6.16160154 0.12594996],[0.89914731 0.09306499],[7.32197452 6.34187872],[-1.21356024 -0.33689785],[10.28665253  7.65948806],[ 0.51005563 -0.28231868]
