[1.01472531 2.92295678],[3.31733621 4.45997942],[5.1946151  7.49854447],[4.38816143 3.72606525],[8.61310337 3.28205537],[ 3.57117023 -0.91893295],[2.11905001 0.18511143],[4.72514966 0.01155988],[9.73378549 8.75994939],[ 0.77237662 -4.94982381],[0.44013303 2.53463443],[-1.95814408  2.6096809 ],[1.90586656 2.07059405],[4.26661693 1.46817922],[7.38692549 8.77811961],[1.46847092 3.82697473],[9.58401556 6.57337956],[3.43280693 1.0710327 ],[9.86255863 8.37550144],[3.01390997 1.94773018]
[1.2031473  3.17235577],[1.37469244 1.77223855],[5.43434065 7.69941597],[1.6912306  1.38391854],[8.86206176 3.21869933],[ 1.92665957 -0.48153804],[2.41206588 0.19058918],[2.18000178 0.09868254],[9.7753702  8.46310861],[ 0.25200498 -2.1791301 ],[0.29976573 2.7324832 ],[-1.0730526   1.63276904],[2.17788471 2.16600398],[2.04924013 0.74078737],[7.48347107 9.0306464 ],[0.72333224 1.89974577],[9.82581828 6.64869756],[1.87668078 0.58232297],[10.07461647  8.51207667],[1.64320332 1.05250674]
[1.32578665 3.32606775],[1.12702659 1.36784331],[5.58136991 7.81649173],[1.31360442 1.01174233],[9.03043521 3.17782772],[ 1.49933094 -0.35015477],[2.60388956 0.20464177],[1.73334365 0.18551371],[9.792352   8.27132476],[ 0.10152446 -1.73099754],[0.21033853 2.88155438],[-0.74543813  1.38943796],[2.35882827 2.23345436],[1.63854121 0.63256868],[7.54561798 9.19485004],[0.54444358 1.44733229],[9.98926107 6.69910325],[1.44784694 0.44285458],[10.21763746  8.60313606],[1.2643783  0.79841279]
[1.43384412 3.45294243],[1.04736476 1.18768854],[5.70420887 7.90783226],[1.15912083 0.82789657],[9.16837149 3.14712959],[ 1.28026903 -0.26624549],[2.76630016 0.22754442],[1.53560656 0.27127058],[9.79672402 8.10875602],[-0.01016288 -1.54174972],[0.14698608 3.01461572],[-0.52968045  1.28703513],[2.51258461 2.29479148],[1.45555895 0.59965245],[7.5952611  9.32709624],[0.45495769 1.2158319 ],[10.1217441   6.73935802],[1.22252429 0.370696  ],[10.33271193  8.6749968 ],[1.05417878 0.64990527]
[1.53698337 3.56594256],[1.02222517 1.08129526],[5.81557737 7.98400215],[1.07728054 0.70301897],[9.28883977 3.1239127 ],[ 1.13766732 -0.20007963],[2.91386706 0.25897891],[1.4229531  0.35530305],[9.7907798  7.96020116],[-0.10742335 -1.43878568],[0.10316995 3.14071889],[-0.35164857  1.24004276],[2.65254115 2.35421551],[1.35408721 0.59343775],[7.63750193 9.44042129],[0.39289338 1.05894815],[10.235724    6.77354963],[1.06734537 0.31762745],[10.43085759  8.73471315],[0.91714694 0.55012237]
[1.63891541 3.67013857],[1.01952959 1.007061  ],[5.9208794 8.0493988],[1.03050699 0.60576541],[9.39708317 3.10682299],[ 1.03173552 -0.14271059],[3.0520034  0.29834888],[1.34704462 0.43424158],[9.77607212 7.82026878],[-0.185393   -1.36444669],[0.07642633 3.26372011],[-0.18258192  1.22504076],[2.78461258 2.41387753],[1.29388002 0.60328691],[7.67426093 9.54003881],[0.34558524 0.93936671],[10.33661931  6.80348711],[0.95345641 0.28097515],[10.51698181  8.7854585 ],[0.80867869 0.46648056]
[1.74130599 3.76797473],[1.02650878 0.94885061],[6.02206063 8.10533035],[0.99593522 0.51475155],[9.49573833 3.09512206],[ 0.94639724 -0.08946868],[3.18409768 0.34596572],[1.29718805 0.51756248],[9.75383237 7.68655221],[-0.25589586 -1.31003579],[0.06611917 3.38572927],[-0.0260836   1.21477084],[2.91140457 2.47450373],[1.24494074 0.61008559],[7.70686907 9.62892028],[0.3104647  0.84358667],[10.42706263  6.82993033],[0.85935554 0.25002957],[10.59305281  8.82820789],[0.7137369 0.3883996]
[1.84454592 3.86038858],[1.04244508 0.90439177],[6.12096296 8.15310309],[0.98443936 0.44255067],[9.58671424 3.08885275],[ 0.87807823 -0.03248456],[3.31150752 0.40147215],[1.25453041 0.59405141],[9.72501943 7.5578128 ],[-0.31986244 -1.26671009],[0.07100216 3.50672269],[0.12411399 1.20633498],[3.03434668 2.53634733],[1.21467516 0.62638765],[7.73673094 9.70929955],[0.28614411 0.76406317],[10.50862556  6.85335764],[0.77241498 0.21782403],[10.66020626  8.8634278 ],[0.62934259 0.31522625]
[1.94971266 3.94891478],[1.05809184 0.86407272],[6.21876456 8.19355445],[0.97120137 0.36553444],[9.67144752 3.08853463],[0.81332224 0.02192194],[3.43527295 0.46473846],[1.21872293 0.66764141],[9.6899131  7.43290673],[-0.38194914 -1.23258359],[0.09083648 3.62694596],[0.27416492 1.19985861],[3.15433851 2.59956845],[1.18881746 0.64082427],[7.76418717 9.78190202],[0.26187806 0.68721595],[10.58207993  6.87385623],[0.69853779 0.1933656 ],[10.71927246  8.89146436],[0.55237414 0.24528559]
[2.05647156 4.03363112],[1.0744795  0.82832857],[6.3158758  8.22678669],[0.97095034 0.29881016],[9.75016484 3.09395048],[0.76189574 0.08715187],[3.55511217 0.53454244],[1.18028682 0.7290485 ],[9.6487415  7.31116426],[-0.44151193 -1.20344608],[0.12546361 3.74627644],[0.4127345  1.18148532],[3.27252237 2.66481813],[1.17401021 0.66279618],[7.78927    9.84692904],[0.24178823 0.61534345],[10.6483103   6.89191979],[0.62864886 0.17008674],[10.77109015  8.91278996],[0.48353379 0.18032605]
[2.164843   4.11492789],[1.09356839 0.79888739],[6.41307384 8.25338466],[0.97200928 0.23202724],[9.82380953 3.10600048],[0.7120054 0.1552122],[3.67124164 0.6101861 ],[1.14192273 0.78198705],[9.60232549 7.19270842],[-0.48973348 -1.16973585],[0.17306368 3.86300966],[0.53827176 1.15280008],[3.38901542 2.73190173],[1.15622723 0.67867873],[7.81236444 9.90475368],[0.21996724 0.54080344],[10.70770961  6.9077387 ],[0.55825645 0.14505658],[10.81574802  8.92721047],[0.40996519 0.10800461]
