[5.01991801 2.96633688],[-1.11137137  4.45934878],[9.92241772 3.17231227],[-1.83710144  2.50518208],[8.71020555 9.26812622],[-3.79821856 -1.80312687],[8.40522547 0.52089687],[-2.53709003 -2.26847397],[3.49947372 9.99525238],[-2.16275957 -0.5874184 ],[1.76457225 8.12559098],[-2.84005319 -4.13827359],[2.2418747  4.77927182],[0.33068511 1.66506093],[2.48561214 0.45218247],[-2.51186746  3.40786407],[3.53149757 8.61831486],[0.56150787 0.54953277],[5.42906306 1.28260383],[ 1.82333001 -2.19048187]
[4.95062758 3.24659676],[-0.50918321  2.09110216],[9.77793152 3.36410928],[-1.22751859  1.57444586],[8.45836522 9.14592437],[-1.92972116 -0.96734793],[8.2161968  0.35978523],[-1.55082865 -1.23448485],[3.31524941 9.93882588],[-1.61027549 -0.56117837],[1.59956974 7.87712966],[-1.1539298  -1.83488537],[2.27563748 4.93307079],[0.34815609 1.43478898],[2.32373791 0.67899783],[-1.18944586  1.75780906],[3.59075235 8.66972445],[0.62496922 0.47979697],[5.5729646  1.11279197],[ 1.20610279 -1.38418793]
[4.90663112 3.43026687],[-0.39159589  1.65067984],[9.66393028 3.5052812 ],[-1.07986558  1.28654402],[8.28765366 9.0575555 ],[-1.54761379 -0.83075922],[8.07413845 0.25500526],[-1.32783015 -0.89456001],[3.16860286 9.88106547],[-1.34820682 -0.60114404],[1.5033046  7.71451386],[-0.81488916 -1.48066749],[2.31183839 5.06913408],[0.37886232 1.29804884],[2.2230231  0.83699137],[-0.86387053  1.45784401],[3.6563021  8.71399204],[0.68322074 0.40243715],[5.68223671 0.99131233],[ 1.00597778 -1.07763671]
[4.87055037 3.58441216],[-0.33387841  1.45488836],[9.55878084 3.62565448],[-1.03313618  1.13310057],[8.14256917 8.97698171],[-1.37553209 -0.79206393],[7.94615666 0.17695803],[-1.24689332 -0.67992939],[3.0426481  9.81790518],[-1.17996632 -0.6635691 ],[1.43214447 7.5744377 ],[-0.6236019  -1.34182552],[2.35155224 5.19400893],[0.41656779 1.20505759],[2.14647369 0.97623244],[-0.67777275  1.34501628],[3.72772363 8.75045459],[0.74288393 0.3243638 ],[5.77708726 0.89329851],[ 0.90099838 -0.89404845]
[4.83897475 3.72378191],[-0.30070943  1.34130767],[9.45586015 3.73337951],[-1.02999644  1.02659943],[8.01021182 8.89807777],[-1.27726165 -0.7869997 ],[7.82349954 0.11803139],[-1.21602191 -0.50762027],[2.93119564 9.74796529],[-1.05397922 -0.73618662],[1.3770678  7.44392191],[-0.48017873 -1.27302306],[2.39534968 5.31096193],[0.45571065 1.13316239],[2.08575063 1.10795341],[-0.54133457  1.29709131],[3.8049586 8.7789033],[0.80116361 0.24410321],[5.86398229 0.8111874 ],[ 0.84121944 -0.75398442]
[4.81003417 3.85397999],[-0.27761633  1.269335  ],[9.3526279  3.83220666],[-1.0348031  0.9547977],[7.88598899 8.81912318],[-1.21064849 -0.79281127],[7.70246777 0.07505079],[-1.20712546 -0.35441529],[2.83158353 9.67096456],[-0.94178458 -0.80488228],[1.33547345 7.31881236],[-0.35612522 -1.23468306],[2.44270297 5.42107163],[0.49019321 1.06971562],[2.03713541 1.2363041 ],[-0.43119298  1.27594084],[3.88764909 8.79899258],[0.84946069 0.15493519],[5.94596938 0.74170374],[ 0.79975188 -0.63992402]
[4.78297106 3.97810767],[-0.2595084   1.22082961],[9.24847137 3.92463462],[-1.04995193  0.894804  ],[7.76734555 8.73917358],[-1.16339587 -0.80560737],[7.58161992 0.04668933],[-1.20946386 -0.21292981],[2.74203325 9.58654107],[-0.84644017 -0.87899574],[1.30499902 7.1960466 ],[-0.25290388 -1.22017214],[2.4937132  5.52549459],[0.52983933 1.01975985],[1.99935641 1.36382642],[-0.32746658  1.27460556],[3.97491805 8.81003138],[0.89457844 0.06542995],[6.02476682 0.68325609],[ 0.77597662 -0.53230861]
[4.75775947 4.09828911],[-0.24869467  1.18129241],[9.14264452 4.0115653 ],[-1.06592119  0.84594199],[7.65296089 8.65792537],[-1.12293704 -0.81672099],[7.46024067 0.03198833],[-1.21766511 -0.08169718],[2.66166199 9.49482191],[-0.76136163 -0.95410485],[1.28459204 7.07448742],[-0.15530074 -1.21075165],[2.54859697 5.62511133],[0.56727214 0.97291231],[1.97101814 1.49109652],[-0.23831072  1.27387847],[4.06627405 8.81195531],[ 0.92939013 -0.02888469],[6.10131007 0.63495986],[ 0.75590743 -0.43431183]
[4.73321844 4.21476988],[-0.24026131  1.15170107],[9.03542377 4.09418745],[-1.08144574  0.80437788],[7.54203083 8.57530953],[-1.09593451 -0.83496862],[7.33834792 0.03036116],[-1.22066674  0.04702524],[2.58997165 9.39620975],[-0.67537272 -1.01940973],[1.27364014 6.95368194],[-0.06282974 -1.20372741],[2.6071564  5.72018684],[0.60370617 0.92901662],[1.9512877  1.61846067],[-0.1572168   1.27387227],[4.16038119 8.80405403],[ 0.94984503 -0.13060052],[6.17628086 0.59652239],[ 0.74191635 -0.33681665]
[4.70961774 4.3287717 ],[-0.23208867  1.12902416],[8.92653513 4.17273668],[-1.0984932   0.76486394],[7.43391788 8.49123317],[-1.06447486 -0.8438811 ],[7.2160973  0.04102024],[-1.2228493   0.16533588],[2.52684464 9.29148622],[-0.58755906 -1.07378286],[1.27179762 6.8336334 ],[ 0.02380622 -1.19854183],[2.6695882  5.81124429],[0.64327026 0.89093136],[1.93920152 1.74569533],[-0.08503536  1.27111874],[4.25626504 8.78613886],[ 0.96666697 -0.22700828],[6.24996979 0.56781645],[ 0.73164942 -0.237651  ]
[4.68689083 4.44081832],[-0.22288971  1.11212885],[8.81578055 4.2472631 ],[-1.11601911  0.72640422],[7.32843371 8.40596835],[-1.04513965 -0.86074312],[7.09406321 0.06328076],[-1.21730684  0.27803727],[2.47217317 9.18146174],[-0.5084663  -1.12738961],[1.27852461 6.71427255],[ 0.105736   -1.19243092],[2.73588175 5.89850591],[0.67789533 0.84998941],[1.93444465 1.87295176],[-0.01269966  1.2719751 ],[4.35347675 8.75879482],[ 0.97375531 -0.32154592],[6.32278078 0.54923065],[ 0.7213393 -0.1369198]
[4.66520406 4.5514484 ],[-0.21414932  1.09754268],[8.7034433  4.31815421],[-1.12915847  0.69311849],[7.22509075 8.31939556],[-1.02303024 -0.87146369],[6.97271641 0.09620928],[-1.20818804  0.37928366],[2.42542158 9.06661867],[-0.42786009 -1.16899441],[1.29317703 6.59560671],[ 0.18658917 -1.18043192],[2.80582314 5.98195451],[0.7194746  0.81785294],[1.93686929 2.00033304],[0.05840768 1.27316424],[4.45092685 8.72214825],[ 0.9734269  -0.41092099],[6.39448178 0.54081964],[ 0.71555234 -0.0275572 ]
