[9.33663046 6.04077884],[3.93726335 1.88925177],[2.08223574 8.90832466],[-1.73373852  0.00459229],[7.59879948 7.49705481],[3.8603575  0.33469596],[1.02104122 3.62099805],[4.41010542 3.28055802],[5.71263931 2.72637273],[ 2.78649667 -3.88404475],[2.44011416 5.14988102],[-0.34559934  1.89211449],[4.6105734 7.1592806],[-4.02673812 -1.52432669],[7.75718342 3.71924534],[-0.91915497 -0.96023002],[8.36764994 7.15171738],[-0.60744115 -3.2925417 ],[7.81441429 7.30527125],[1.72153643 3.07057425]
[9.58736732 6.16276183],[1.8510902  0.91991659],[1.92619492 8.90488446],[-1.41965647 -0.0720706 ],[7.86232337 7.51827941],[2.02219998 0.14331374],[1.27182504 3.80650752],[1.81385502 1.32879621],[5.8833432  2.49137642],[ 1.26080196 -1.69384048],[2.41286694 5.32049289],[-0.20811789  1.56533917],[4.35028958 7.05912594],[-1.94861211 -0.76902282],[7.66585917 3.6291852 ],[-0.9111696 -0.8461959],[8.32003366 6.90818865],[-0.41276913 -1.9613444 ],[7.93637389 7.52541152],[0.94629607 1.73708937]
[9.74636538 6.24367894],[1.39234453 0.72890686],[1.79469291 8.89438589],[-1.22435486 -0.13896492],[8.03906168 7.52888904],[1.57876164 0.078215  ],[1.43191993 3.92254842],[1.45259845 1.03984074],[5.99404476 2.34687871],[ 0.99654199 -1.25803956],[2.39742545 5.46807453],[-0.10512896  1.40082983],[4.18078169 6.9902419 ],[-1.5057021  -0.63263931],[7.5746295  3.54951566],[-0.91698614 -0.7515142 ],[8.28034386 6.73315989],[-0.39245414 -1.59288966],[8.01836473 7.67875539],[0.72071427 1.37867884]
[9.87248551 6.31171249],[1.15042738 0.64236184],[1.67983416 8.87731907],[-1.08258246 -0.2062338 ],[8.18452424 7.53410109],[1.35185896 0.02899064],[1.56921467 4.01962405],[1.30857997 0.9123357 ],[6.08701963 2.23304438],[ 0.87999869 -1.03290783],[2.39117374 5.60251994],[-0.02352941  1.29350727],[4.04226798 6.92999713],[-1.28502403 -0.58034553],[7.48247882 3.47881027],[-0.92618352 -0.66319948],[8.24071298 6.58405885],[-0.40155352 -1.40495654],[8.08384156 7.80689726],[0.59537677 1.19790959]
[9.97908074 6.37357354],[0.99102491 0.60047922],[1.57762965 8.85335351],[-0.96566463 -0.27449527],[8.31223422 7.53506502],[ 1.21289474 -0.00735535],[1.69607998 4.1068527 ],[1.23463748 0.83618603],[6.1715393  2.13775441],[ 0.81561322 -0.88135088],[2.39308231 5.72839364],[0.06223196 1.22876683],[3.92128627 6.87322518],[-1.14312029 -0.55824552],[7.38910511 3.41654597],[-0.94231205 -0.5834427 ],[8.19943949 6.44967877],[-0.42554479 -1.2907815 ],[8.13862554 7.92052432],[0.50230806 1.08022354]
[10.07140612  6.43200565],[0.86250881 0.57330352],[1.48624571 8.82228628],[-0.86394709 -0.34772208],[8.4280083  7.53233288],[ 1.10614614 -0.04856459],[1.81737867 4.18782761],[1.19601266 0.78714154],[6.25109451 2.05580154],[ 0.78004435 -0.76034957],[2.40347291 5.8487344 ],[0.14523745 1.18020834],[3.81219565 6.81761518],[-1.04284922 -0.55550688],[7.29418115 3.36226114],[-0.9583212  -0.50466137],[8.15528061 6.32467193],[-0.45929375 -1.21438504],[8.18481174 8.02401116],[0.42656623 0.99673611]
[10.15211441  6.48855159],[0.75460832 0.55981305],[1.40450987 8.78353702],[-0.77424958 -0.43072847],[8.53398537 7.52509888],[ 1.01939671 -0.09317054],[1.93609492 4.26499755],[1.17953927 0.75729436],[6.32795966 1.98504536],[ 0.76076356 -0.65540153],[2.42200467 5.96464832],[0.22320256 1.13747331],[3.71210218 6.76187532],[-0.96007787 -0.5588331 ],[7.19722739 3.31535997],[-0.98152694 -0.43456283],[8.10778602 6.20650687],[-0.48974886 -1.15044971],[8.22381793 8.12009181],[0.35819763 0.93095341]
[10.22279487  6.54438178],[0.66092428 0.55860114],[1.33179172 8.73643487],[-0.68376418 -0.51542721],[8.63245769 7.51381111],[ 0.95150361 -0.1329326 ],[2.05327833 4.33923612],[1.16355476 0.72668031],[6.40360629 1.9244776 ],[ 0.75199139 -0.55856525],[2.44819995 6.07653104],[0.30025606 1.10068058],[3.61986968 6.70574991],[-0.88550994 -0.56370282],[7.09811108 3.27552882],[-1.00047056 -0.36219155],[8.05711104 6.09403579],[-0.52273672 -1.09941792],[8.25677196 8.21074023],[0.30207352 0.88407005]
[10.28421888  6.60023698],[0.56646828 0.55767582],[1.26808866 8.68060304],[-0.58702636 -0.5986466 ],[8.72446093 7.49836805],[ 0.8871544 -0.1787086],[2.16911007 4.4106074 ],[1.1513577  0.69883956],[6.47850918 1.87313195],[ 0.7488279  -0.46699245],[2.48190767 6.18475961],[0.37457468 1.0651492 ],[3.53425234 6.64848385],[-0.82682938 -0.58121603],[6.99724982 3.24298877],[-1.01500686 -0.28731889],[8.00304024 5.98621295],[-0.55804319 -1.05733618],[8.28383733 8.29669377],[0.24400743 0.84058724]
[10.33639533  6.65633712],[0.47607237 0.56390519],[1.214243   8.61636023],[-0.49121962 -0.68824088],[8.81015714 7.47808032],[ 0.83094474 -0.22380004],[2.28400462 4.47944274],[1.14999761 0.68144641],[6.5533182  1.83084577],[ 0.75007451 -0.37675001],[2.52289659 6.28941571],[0.4452553  1.02849199],[3.45435247 6.58938379],[-0.77031144 -0.59975541],[6.89489087 3.21778754],[-1.03143719 -0.21658548],[7.94557018 5.88248704],[-0.59016229 -1.016742  ],[8.3057642 8.3791674],[0.19613111 0.81094865]
[10.37922861  6.71298135],[0.38011138 0.56930574],[1.1701529  8.54309573],[-0.38774769 -0.77461688],[8.89050246 7.45330993],[ 0.77766482 -0.27059977],[2.39889197 4.54672017],[1.14894215 0.66549329],[6.62873641 1.79794821],[ 0.75739278 -0.28224549],[2.5711409  6.39067451],[0.51809701 0.99539629],[3.38006492 6.52840345],[-0.71561984 -0.62002632],[6.79101281 3.19962311],[-1.04596271 -0.14726158],[7.88478682 5.78253484],[-0.62225414 -0.97966759],[8.32265183 8.45857511],[0.14156932 0.77769418]
[10.41242677  6.77041778],[0.28475818 0.58128258],[1.13704171 8.46168043],[-0.27846362 -0.85754332],[8.96594821 7.42412447],[ 0.72768654 -0.31709325],[2.51364355 4.61241965],[1.1452093  0.64774868],[6.70501428 1.77465986],[ 0.76470382 -0.1866715 ],[2.62634238 6.48835427],[0.58387522 0.95647746],[3.31145592 6.46557488],[-0.6603147  -0.64040895],[6.68600858 3.18853471],[-1.05299968 -0.07413838],[7.82116388 5.68649526],[-0.65080199 -0.9422436 ],[8.33416435 8.53489523],[0.08827089 0.74874327]
