[8.09254258 2.83287916],[-3.86635024 -2.0191921 ],[5.35474431 9.47966055],[ 2.02950415 -0.55316385],[1.14552749 4.8050083 ],[-2.31146671  4.13753581],[0.63818114 0.22698582],[-4.7003927  -2.89525533],[8.60803947 4.5470967 ],[ 0.28973642 -4.88298035],[2.33881304 1.4264564 ],[-1.15674624  1.42959409],[2.70068618 4.831035  ],[-0.50944821  2.19093024],[7.66075488 5.03130229],[ 1.26774422 -2.19237638],[1.70636042 3.99340408],[-0.36445132  2.0348917 ],[7.32466492 8.15636102],[4.86092292 4.42087372]
[7.84059805 2.70490932],[-1.92169668 -0.93400851],[5.53142673 9.42549346],[ 1.57270565 -0.54198832],[1.00665772 5.05950069],[-0.98175115  1.87763287],[0.3773215  0.06815178],[-1.82287745 -1.0860968 ],[8.62150058 4.252642  ],[ 0.05031241 -2.1478318 ],[2.23641498 1.55952742],[-0.91349027  1.25899281],[2.65903827 5.01897864],[-0.34504037  1.6593635 ],[7.76183821 4.84934084],[ 0.83255363 -1.57409702],[1.67774472 4.17326254],[-0.22390311  1.62179674],[7.56536143 8.3742098 ],[1.61929545 1.45214072]
[7.66956514 2.62571578],[-1.56075281 -0.68236893],[5.67574795 9.36905511],[ 1.33750072 -0.58760529],[0.92494762 5.2236287 ],[-0.68994265  1.46930706],[ 0.2217441  -0.02222801],[-1.35817793 -0.76363111],[8.62118022 4.0659489 ],[-0.05406126 -1.66351355],[2.15302914 1.68111477],[-0.75969668  1.18606916],[2.62936612 5.17197378],[-0.2536911  1.42613  ],[7.83428707 4.70494767],[ 0.63232543 -1.34334909],[1.66070059 4.32506244],[-0.12428488  1.43040997],[7.70291527 8.49628016],[1.19742057 1.04886832]
[7.52207908 2.56522963],[-1.40666349 -0.53601167],[5.80143258 9.30735826],[ 1.18653941 -0.64614917],[0.86470301 5.36014363],[-0.52757751  1.27878912],[ 0.09843177 -0.08891963],[-1.1251368 -0.5788957],[8.61089254 3.91184255],[-0.14877077 -1.43884678],[2.0832514 1.7980327],[-0.63661455  1.160334  ],[2.60730136 5.30711901],[-0.18673994  1.29064285],[7.89051742 4.57736644],[ 0.49609952 -1.22213788],[1.65232345 4.4618634 ],[-0.04361245  1.31598575],[7.81181315 8.59031536],[0.99978319 0.84933215]
[7.38577659 2.51724661],[-1.32779427 -0.42803206],[5.9138514  9.23920691],[ 1.06676912 -0.71693118],[0.81824664 5.48209149],[-0.40525034  1.16948312],[-0.00628031 -0.13985828],[-0.97591561 -0.44259767],[8.59171936 3.77551642],[-0.23532387 -1.29808649],[2.02467675 1.91340213],[-0.5382821   1.14850874],[2.59115565 5.43105663],[-0.13660532  1.19473385],[7.93381822 4.45852628],[ 0.37701709 -1.15590102],[1.65165713 4.58936271],[0.0245351 1.2341204],[7.90475973 8.66778444],[0.86679489 0.70674329]
[7.25510714 2.47872013],[-1.28966561 -0.3450642 ],[6.01551095 9.1640257 ],[ 0.97014775 -0.7852047 ],[0.78348932 5.5956516 ],[-0.29194211  1.10600672],[-0.09798562 -0.17803858],[-0.86333297 -0.32360951],[8.56396283 3.6510266 ],[-0.31845093 -1.19529376],[1.9752385  2.02809518],[-0.45150427  1.14706383],[2.57987943 5.54696481],[-0.08725274  1.1290608 ],[7.9660684  4.34516157],[ 0.27524423 -1.10873114],[1.65744855 4.70975736],[0.09033851 1.17604111],[7.98659445 8.732936  ],[0.77529448 0.60108679]
[7.12737915 2.44799493],[-1.26550808 -0.26932486],[6.10807567 9.0820798 ],[ 0.88297491 -0.8527175 ],[0.75921959 5.70358826],[-0.19141766  1.05838592],[-0.1795153  -0.20471709],[-0.76648821 -0.20724469],[8.52788834 3.53562252],[-0.403571   -1.11585981],[1.93389832 2.14275915],[-0.37249996  1.15067932],[2.57363024 5.65733919],[-0.0371818   1.08121077],[7.98899191 4.23620869],[ 0.1820733  -1.07405878],[1.6698     4.82511091],[0.156331   1.13244285],[8.06025181 8.78832823],[0.70107869 0.50947463]
[7.00170407 2.42469031],[-1.2487983  -0.19736316],[6.19204993 8.99335651],[ 0.79513545 -0.9231066 ],[0.74469435 5.8073163 ],[-0.09950027  1.01790328],[-0.25177493 -0.21960945],[-0.6818374  -0.09217532],[8.48332691 3.42758162],[-0.4871698  -1.04600551],[1.90047051 2.25816927],[-0.29476551  1.15960385],[2.57245653 5.76354301],[0.0138558 1.0443681],[8.00289715 4.13040624],[ 0.09499917 -1.04457734],[1.68848077 4.93629621],[0.2167642  1.09205771],[8.12682125 8.83474163],[0.6314023  0.41938417]
[6.87713526 2.40807032],[-1.24380398 -0.13679224],[6.26760301 8.89802448],[ 0.71620079 -0.98278357],[0.73909887 5.90723907],[-0.01241644  0.98178794],[-0.31586193 -0.22283631],[-0.59966035  0.02921452],[8.43047779 3.32625163],[-0.56898375 -0.98078693],[1.8746758  2.37451358],[-0.21985043  1.16903793],[2.57635159 5.86634671],[0.06204971 1.01072442],[8.00808365 4.02720741],[ 0.00696715 -1.02190093],[1.71325207 5.04380099],[0.279336   1.05940107],[8.18672625 8.87229227],[0.56821457 0.33263991]
[6.753215   2.39755922],[-1.23458392 -0.07360487],[6.3351637  8.79681319],[ 0.63743721 -1.03824715],[0.74224766 6.00385024],[0.07641297 0.9519017 ],[-0.37193314 -0.21374208],[-0.52093648  0.15451377],[8.36951846 3.23129763],[-0.65068979 -0.91942456],[1.85614699 2.49166839],[-0.15165714  1.17342412],[2.58480217 5.9657699 ],[0.11048128 0.98175898],[8.00447078 3.92615806],[-0.08025494 -1.00040714],[1.74455606 5.14845329],[0.34258987 1.02990397],[8.24042031 8.90111508],[0.50629073 0.24391717]
[6.63010545 2.39318027],[-1.22722612 -0.01401356],[6.39533361 8.69077113],[ 0.56863019 -1.07927326],[0.75455251 6.09780199],[0.16935877 0.92680202],[-0.41975647 -0.19145608],[-0.43518446  0.29217216],[8.30048251 3.14243186],[-0.73033571 -0.85875973],[1.84444706 2.60933406],[-0.08199034  1.18028867],[2.59799917 6.06231114],[0.15391805 0.9500561 ],[7.99181176 3.82694895],[-0.17003069 -0.98073631],[1.7816699  5.24976628],[0.40176265 0.99885979],[8.28802071 8.92099454],[0.44570457 0.15310294]
