[1.94150783 5.7073268 ],[-4.16189348 -4.53533965],[0.86669363 9.98224844],[-4.3666041   0.28866196],[7.17485411 0.67481386],[ 0.48154666 -0.80952915],[8.78152542 7.50498494],[-2.37019122  0.98707698],[1.23800292 2.87064993],[-4.53842009  0.52422501],[3.11544076 2.03734535],[-3.36878314 -4.47194524],[8.96730428 2.34311183],[-0.18351534 -0.45501991],[5.11783565 6.56087083],[-4.07590423  1.90540564],[7.40286511 8.04883147],[ 4.68330412 -0.18952674],[0.59290484 2.06470332],[ 3.36727035 -3.84602015]
[1.72669451 5.46969169],[-1.45711253 -1.65654486],[0.58833765 9.99564842],[-2.06309774  0.03803436],[7.22020011 0.59847026],[ 0.42465579 -0.72084001],[8.58299008 7.58307058],[-1.73997564  0.63332132],[0.95522571 2.90514231],[-2.07273975  0.27877379],[2.92926473 1.79111529],[-1.30928646 -1.71977686],[8.94263681 2.29910524],[-0.31315528 -0.42631269],[4.85907967 6.679644  ],[-1.93521863  0.86247009],[7.69049284 8.03390252],[ 2.09575573 -0.1519069 ],[0.79430378 1.84173086],[ 1.49893514 -1.57272051]
[1.60370548 5.32549231],[-1.06223071 -1.29244381],[0.41043859 9.99301744],[-1.56592263 -0.08745488],[7.25983479 0.53032541],[ 0.36822179 -0.64334872],[8.42095436 7.63682861],[-1.53218246  0.45337076],[0.77678425 2.93183398],[-1.56607505  0.26644264],[2.81680765 1.64451231],[-0.99249112 -1.28119648],[8.90462729 2.25826604],[-0.44744406 -0.38895571],[4.68904164 6.75244908],[-1.52790053  0.62666178],[7.87115852 8.0169418 ],[ 1.59120404 -0.19041347],[0.92824572 1.70844409],[ 1.233836   -1.14968288]
[1.50861367 5.20495231],[-0.8562299 -1.1368054],[0.26773555 9.97848641],[-1.3083291  -0.20178212],[7.29422196 0.47001741],[ 0.31984491 -0.56311532],[8.27330315 7.67568125],[-1.43113052  0.33017852],[0.63392363 2.95901258],[-1.31482772  0.27764583],[2.72589441 1.52835577],[-0.8391656  -1.05992175],[8.85271644 2.22127043],[-0.59145569 -0.35032064],[4.54635627 6.80800397],[-1.34434452  0.49478137],[8.0161937  7.99502829],[ 1.33299863 -0.24760802],[1.046493   1.60571146],[ 1.14292589 -0.92501404]
[1.4303452 5.0957303],[-0.71942559 -1.05883497],[0.1460327  9.95254081],[-1.13683101 -0.31972792],[7.32340297 0.41729854],[ 0.26609922 -0.48881168],[8.13288257 7.70324019],[-1.38412537  0.22188405],[0.51146318 2.98819354],[-1.14771198  0.30352775],[2.64668522 1.42968186],[-0.75213087 -0.92239203],[8.78627181 2.18835498],[-0.73361897 -0.30391431],[4.41769642 6.85264894],[-1.23593096  0.40375679],[8.14020858 7.96680088],[ 1.15814099 -0.31672102],[1.15884305 1.52140489],[ 1.11023513 -0.76843133]
[1.36380885 4.99211775],[-0.61332453 -1.01614236],[0.03922922 9.91438748],[-1.00297162 -0.44351625],[7.34671998 0.37166215],[ 0.19720846 -0.42614639],[7.99613058 7.72078274],[-1.35417044  0.13007647],[0.40341605 3.0203077 ],[-1.01872184  0.33918504],[2.57481376 1.34299661],[-0.68783039 -0.81466134],[8.70620284 2.16068227],[-0.86629055 -0.24911009],[4.2977649  6.88915228],[-1.16719106  0.328494  ],[8.24901637 7.93139453],[ 1.02279372 -0.39215424],[1.26917211 1.45079629],[ 1.1033447  -0.64337209]
[1.307105   4.89180498],[-0.52331829 -0.99304808],[-0.05514707  9.86362994],[-0.88669004 -0.57244505],[7.36331581 0.3327913 ],[ 0.13243764 -0.35223365],[7.86163442 7.7294412 ],[-1.33736646  0.04393544],[0.30682623 3.05602027],[-0.91601162  0.37556879],[2.50796273 1.26550178],[-0.65018566 -0.73649663],[8.61328317 2.13848256],[-0.98654207 -0.1917549 ],[4.18368004 6.91875979],[-1.12063268  0.26129861],[8.34528695 7.88807132],[ 0.90612995 -0.47382996],[1.37953322 1.39180409],[ 1.10868596 -0.53528518]
[1.25872453 4.79300795],[-0.44247487 -0.98134727],[-0.13803984  9.80008703],[-0.77451195 -0.70109239],[7.37320526 0.3015712 ],[ 0.06116781 -0.2745013 ],[7.72853767 7.72979243],[-1.32509661 -0.03594799],[0.21974374 3.09547192],[-0.8255371   0.41572465],[2.4451594  1.19605538],[-0.60805349 -0.65467889],[8.50967297 2.12257535],[-1.08430916 -0.1284112 ],[4.07317402 6.94147042],[-1.08847765  0.19619456],[8.4307667 7.8367229],[ 0.8050027  -0.55308133],[1.49137775 1.34374768],[ 1.12672817 -0.42897194]
[1.21825829 4.69510851],[-0.36612847 -0.97610635],[-0.20954938  9.72396264],[-0.66094169 -0.82595147],[7.37553182 0.2783429 ],[-0.01577166 -0.18884364],[7.5966957  7.72256338],[-1.3114424  -0.10708359],[0.14107733 3.13884686],[-0.74720197  0.45362011],[2.38572034 1.13395489],[-0.58095417 -0.5874231 ],[8.39700167 2.11264993],[-1.16473309 -0.06983232],[3.96568317 6.95804399],[-1.06136271  0.13677526],[8.50619775 7.77717083],[ 0.70467318 -0.63743445],[1.60481131 1.30569436],[ 1.1436375  -0.33139789]
[1.18520273 4.59744019],[-0.29494097 -0.9771869 ],[-0.2696242   9.63562013],[-0.54095646 -0.94004478],[7.36946484 0.26378409],[-0.10588005 -0.09986885],[7.46592474 7.70820103],[-1.30481484 -0.18041798],[0.07081518 3.18691541],[-0.66277224  0.50384249],[2.32860604 1.07826086],[-0.56090418 -0.52576695],[8.27764566 2.10878042],[-1.22016594 -0.00917482],[3.86074314 6.96889217],[-1.04055491  0.07791974],[8.57148552 7.7090007 ],[ 0.59893077 -0.72783662],[1.71989185 1.27716467],[ 1.15843803 -0.23914282]
[1.15930542 4.49967551],[-0.22646457 -0.98148921],[-0.31776005  9.53619326],[-0.42179047 -1.0463377 ],[7.35379402 0.25844289],[-0.21067802 -0.00715258],[7.33589993 7.68671428],[-1.29533703 -0.24839764],[0.00835587 3.2395437 ],[-0.58375504  0.55171832],[2.2734428  1.02878148],[-0.54236353 -0.46345237],[8.15359686 2.11073201],[-1.25768057  0.04792312],[3.75735993 6.97349822],[-1.02691514  0.01475768],[8.62581715 7.63157921],[ 0.48727119 -0.81995915],[1.83633933 1.25767251],[ 1.17162099 -0.14952566]
