[9.7383273  4.99954654],[-0.95858563 -3.94197986],[9.39617837 6.8679603 ],[ 0.61950043 -2.57847665],[6.26038509 0.27928771],[-2.99891362  2.87080541],[1.17085325 6.54840634],[-3.91135422 -0.47723676],[8.53940827 9.65415766],[-0.51260919 -4.2574303 ],[8.23493898 5.92149689],[-2.22933753  0.17570173],[4.91524845 4.84204868],[ 4.29000173 -1.32061665],[4.57010424 1.79924232],[ 4.78906485 -4.29456226],[3.67648302 1.86110174],[-3.15250445 -3.7628436 ],[8.69476791 7.91142387],[2.50500286 4.86426691]
[9.67109088 4.7358541 ],[-0.54874125 -2.01007573],[9.44351609 6.65711078],[ 0.36728837 -1.81058518],[6.06291859 0.47348613],[-1.48694632  1.52035436],[0.90858172 6.51411934],[-1.98027266 -0.28718424],[8.50403883 9.37409295],[-0.28843677 -2.14209442],[8.04158775 5.93558195],[-1.72483057  0.11208251],[5.18828379 4.75861298],[ 2.04718164 -0.61632855],[4.8144606  1.58503691],[ 1.69953566 -1.42715176],[3.48880779 1.6368526 ],[-1.34700337 -1.6123529 ],[8.83417864 8.18343915],[0.97287938 1.91323598]
[9.61912482 4.55961619],[-0.50520106 -1.57726767],[9.47313474 6.49109743],[ 0.23643756 -1.54188057],[5.93421915 0.61114033],[-1.13730733  1.27643269],[0.7381236  6.48655805],[-1.49046442 -0.27032214],[8.47673542 9.18384769],[-0.26735964 -1.73233422],[7.88141522 5.94494167],[-1.50493015  0.07499555],[5.36820599 4.70541901],[ 1.62126335 -0.4668824 ],[4.96300758 1.46570658],[ 1.3395699  -1.01634724],[3.37375132 1.49880524],[-1.00418277 -1.20835362],[8.91644877 8.34698951],[0.7152859  1.43578661]
[9.56843096 4.41359975],[-0.51168119 -1.36100151],[9.49167307 6.34439449],[ 0.14046736 -1.40273093],[5.83022331 0.73362418],[-0.95805638  1.18641659],[0.60331359 6.45882069],[-1.226246   -0.28832443],[8.44976311 9.02049061],[-0.27322115 -1.55426153],[7.73764989 5.95093896],[-1.38194753  0.04446874],[5.51908879 4.66218055],[ 1.42027137 -0.40137705],[5.08882494 1.37549265],[ 1.19630247 -0.80304359],[3.28255678 1.38874566],[-0.83321027 -1.0092703 ],[8.98065545 8.47766496],[0.57912159 1.19844635]
[9.51607586 4.28475336],[-0.53696792 -1.22399909],[9.50137176 6.20847096],[ 0.05519441 -1.32176176],[5.74106197 0.85054685],[-0.83206798  1.15737376],[0.49064154 6.42869704],[-1.03486347 -0.31484053],[8.4219309  8.87047051],[-0.28560661 -1.45630056],[7.6034339 5.9537453],[-1.30622245  0.01329975],[5.65492811 4.62429285],[ 1.30277633 -0.36233712],[5.20482268 1.3032779 ],[ 1.13136678 -0.64796494],[3.20569648 1.29514189],[-0.71243609 -0.87263061],[9.03360936 8.58935505],[0.48310023 1.04320608]
[9.46052475 4.16736834],[-0.57620789 -1.12912581],[9.5028029  6.07903201],[-0.02586251 -1.27032411],[5.66276766 0.9657577 ],[-0.73544769  1.15133823],[0.39501997 6.39536058],[-0.88145451 -0.35304718],[8.3925423  8.72804015],[-0.30065315 -1.39510103],[7.47563164 5.95365012],[-1.25191556 -0.01398716],[5.78160212 4.58997607],[ 1.23294542 -0.32795799],[5.31594749 1.24474132],[ 1.09551572 -0.52575878],[3.13909675 1.21304422],[-0.62262086 -0.77316853],[9.07821415 8.6878916 ],[0.41157417 0.93256273]
[9.40051952 4.05814832],[-0.6241623  -1.05745526],[9.49670983 5.95427261],[-0.09803863 -1.22945012],[5.59328995 1.08101252],[-0.65451149  1.15665526],[0.31369671 6.35769326],[-0.74741379 -0.40205894],[8.3615759  8.59060722],[-0.31963447 -1.35691163],[7.35228946 5.95066276],[-1.21874785 -0.04791693],[5.902245   4.55849205],[ 1.18283717 -0.30253613],[5.42438398 1.19752777],[ 1.07864075 -0.41719018],[3.08069159 1.1399019 ],[-0.54881011 -0.69351841],[9.11623819 8.77653035],[0.34774273 0.84056689]
[9.33589247 3.95578589],[-0.67047853 -0.99323502],[9.4834963  5.83307417],[-0.16556513 -1.19558332],[5.53115505 1.19687327],[-0.58941588  1.16137082],[0.24545797 6.31481631],[-0.61867747 -0.45730269],[8.32873718 8.45644536],[-0.33468327 -1.32555616],[7.23185921 5.94427916],[-1.18899109 -0.07761824],[6.01857441 4.52930743],[ 1.145965  -0.2812768],[5.5317549  1.16082779],[ 1.06975267 -0.31811649],[3.02908028 1.07400221],[-0.48223791 -0.62368316],[9.14811762 8.85659548],[0.28982812 0.76168769]
[9.26660617 3.85948921],[-0.71256099 -0.931017  ],[9.46333107 5.71467817],[-0.23632887 -1.17193041],[5.47523567 1.31341179],[-0.53019701  1.16938364],[0.1900606  6.26609029],[-0.48853639 -0.5177405 ],[8.2944506 8.3250409],[-0.3526891  -1.30513989],[7.11444715 5.93531691],[-1.16085562 -0.10226003],[6.1316408  4.50207207],[ 1.11773811 -0.2626154 ],[5.63891264 1.1341876 ],[ 1.0750145  -0.21401671],[2.98431421 1.01516173],[-0.41529621 -0.55568311],[9.17420789 8.92903129],[0.23302365 0.68877678]
[9.19323405 3.76927763],[-0.75523185 -0.87436502],[9.43640147 5.59872604],[-0.30043021 -1.14606207],[5.42530478 1.43108449],[-0.4714016  1.1817328],[0.14785437 6.21101767],[-0.35395592 -0.5837057 ],[8.25800799 8.19512264],[-0.37546375 -1.29283922],[6.99927429 5.92352478],[-1.14052953 -0.131039  ],[6.24216701 4.47659879],[ 1.0910937  -0.24986731],[5.74616665 1.11730315],[ 1.06896052 -0.12561932],[2.94605799 0.96284177],[-0.34919216 -0.49038051],[9.19459224 8.99433449],[0.17604842 0.61915718]
[9.11536782 3.68431052],[-0.80140797 -0.82496828],[9.40318347 5.48529038],[-0.36379955 -1.1230545 ],[5.38081602 1.54971066],[-0.4205309   1.18917115],[0.11941505 6.14910363],[-0.21373339 -0.65500478],[8.2196292  8.06663897],[-0.39369782 -1.27892382],[6.88610781 5.9089631 ],[-1.12430307 -0.16143261],[6.35006304 4.45209257],[ 1.0677211  -0.24020686],[5.85300651 1.10928121],[ 1.06918816 -0.03361442],[2.91420383 0.91675689],[-0.28871027 -0.43238063],[9.20919093 9.05271687],[0.11291726 0.54588188]
[9.03307499 3.60430222],[-0.84448269 -0.7758879 ],[9.36375159 5.37415921],[-0.42327194 -1.09852946],[5.34135235 1.6691222 ],[-0.37316563  1.19496967],[0.10498687 6.07958526],[-0.07316185 -0.73449686],[8.17963247 7.93961438],[-0.40680817 -1.26268206],[6.77449403 5.89134183],[-1.10785082 -0.19067307],[6.45600788 4.42872648],[ 1.05055781 -0.2282843 ],[5.95950861 1.1100775 ],[1.0594814  0.04799037],[2.88850786 0.87650625],[-0.22284668 -0.37052466],[9.21708298 9.10348916],[0.04446001 0.46941219]
[8.9468654  3.52942593],[-0.88041344 -0.72296261],[9.31842662 5.26542257],[-0.48117092 -1.07457401],[5.30633918 1.78892346],[-0.32790504  1.20038546],[0.10555796 6.00284693],[ 0.08202437 -0.80246068],[8.13782851 7.81361988],[-0.42723012 -1.25517994],[6.66459093 5.87091055],[-1.09041439 -0.21794971],[6.56029209 4.40646564],[ 1.03415892 -0.21836143],[6.06534799 1.1193449 ],[1.05544815 0.13560243],[2.86971362 0.84267708],[-0.15244196 -0.30571743],[9.21791553 9.14647605],[-0.02630622  0.39196652]
[8.8568699  3.45948306],[-0.91872246 -0.6757963 ],[9.26744711 5.15911516],[-0.5379775  -1.05147932],[5.27550122 1.90897318],[-0.28851756  1.20113951],[0.12172349 5.91959584],[ 0.2418167  -0.86004564],[8.09433325 7.68867296],[-0.44307994 -1.24449824],[6.55629941 5.84764665],[-1.07369511 -0.24548896],[6.66270566 4.38483565],[ 1.01292133 -0.21603857],[6.17033276 1.13697246],[1.04525797 0.21813256],[2.85767414 0.81496783],[-0.08262779 -0.24298674],[9.21147723 9.18155136],[-0.10089099  0.31111145]
[8.76329573 3.39433062],[-0.94997992 -0.62512845],[9.21099835 5.05524167],[-0.58915075 -1.02460195],[5.24911265 2.02960807],[-0.24142413  1.20920543],[0.15397014 5.8314044 ],[ 0.40404513 -0.89912829],[8.04921021 7.56468198],[-0.46040995 -1.23639104],[6.44952092 5.82147039],[-1.05645123 -0.27252203],[6.76303948 4.36332673],[ 0.99597482 -0.21218674],[6.27412058 1.16273968],[1.03117146 0.29797155],[2.85327633 0.79411778],[-0.00243125 -0.17134817],[9.19722632 9.2081683 ],[-0.1867296   0.21845731]
[8.66645245 3.33392266],[-0.98632568 -0.58329445],[9.14971971 4.95422015],[-0.63683035 -0.99667955],[5.2270597  2.15064084],[-0.20087586  1.21038561],[0.20184796 5.73994168],[ 0.55005556 -0.92822667],[8.00272626 7.44181139],[-0.47043917 -1.22245218],[6.34467949 5.79283672],[-1.03953597 -0.29924261],[6.86175818 4.34221044],[ 0.97698757 -0.2119271 ],[6.37630541 1.19634841],[1.01080311 0.37251069],[2.8574677  0.78093273],[ 0.08714388 -0.09165529],[9.17398138 9.22503354],[-0.27823073  0.11836871]
[8.56659787 3.27811322],[-1.01026519 -0.53301269],[9.08384935 4.85604766],[-0.68117884 -0.96783343],[5.20841011 2.27120667],[-0.17044954  1.2029933 ],[0.26361834 5.64650618],[ 0.68391528 -0.9359497 ],[7.95542656 7.32041817],[-0.47448058 -1.20482272],[6.24139478 5.76138575],[-1.02625411 -0.3299493 ],[6.95894138 4.32140726],[ 0.96560924 -0.205243  ],[6.47631435 1.23728875],[0.9904182  0.44734311],[2.87080583 0.77585432],[ 0.18099894 -0.00863841],[9.14100951 9.23115363],[-0.38084719  0.00364808]
[8.46405414 3.22684669],[-1.04112494 -0.49379494],[9.01365126 4.76074506],[-0.72291941 -0.93884318],[5.19311347 2.39139318],[-0.1371613   1.19923305],[0.33810822 5.55337952],[ 0.80282065 -0.92384784],[7.90745922 7.20041166],[-0.48376625 -1.19440552],[6.13967179 5.72706711],[-1.00807782 -0.35628598],[7.05482435 4.30108441],[ 0.94992164 -0.20346605],[6.57426564 1.28573035],[0.96776461 0.5205542 ],[2.89408187 0.77960726],[0.28709646 0.08630825],[9.09764514 9.22540765],[-0.48845936 -0.12170068]
[8.35896674 3.17980573],[-1.05911625 -0.44623206],[8.9394776 4.6684123],[-0.75956483 -0.90735581],[5.1811123 2.5111937],[-0.10366831  1.19608003],[0.42339062 5.46201735],[ 0.90186804 -0.89926441],[7.85887435 7.08168185],[-0.49047807 -1.18301349],[6.03967352 5.69000377],[-0.98997258 -0.38307151],[7.14930684 4.28107564],[ 0.93666655 -0.19989114],[6.66953238 1.3410592 ],[0.94146624 0.58976589],[2.92847655 0.79339207],[0.40216662 0.19100976],[9.04372083 9.20695573],[-0.59096845 -0.24969713]
[8.25201631 3.13726003],[-1.07625319 -0.4017365 ],[8.86170383 4.57915545],[-0.79476535 -0.87713529],[5.17265561 2.6308525 ],[-0.06884791  1.19365781],[0.51789368 5.3738424 ],[ 0.98496609 -0.86334402],[7.80916641 6.96362384],[-0.50105836 -1.17562365],[5.94145943 5.65021373],[-0.97034081 -0.40875626],[7.24240154 4.26133527],[ 0.92537367 -0.19483003],[6.7621212  1.40324212],[0.90679318 0.65000485],[2.97469379 0.81806469],[0.51924282 0.30002914],[8.97921108 9.17490605],[-0.69615072 -0.38988879]
[8.14350791 3.09913591],[-1.09443222 -0.36211704],[8.78062541 4.49300085],[-0.82699717 -0.84666737],[5.16725169 2.74985688],[-0.04069662  1.18515733],[0.61974505 5.28941863],[ 1.05114685 -0.82288008],[7.75879441 6.84665162],[-0.50645585 -1.16408963],[5.84538888 5.60803438],[-0.94991377 -0.43365287],[7.33433156 4.24206055],[ 0.912816   -0.19102768],[6.8510992  1.47121921],[0.87040124 0.70673036],[3.03238483 0.85358377],[0.63728318 0.413843  ],[8.90499254 9.12914468],[-0.78379067 -0.52239413]
[8.03327846 3.06483062],[-1.10761366 -0.32219892],[8.69652147 4.4099543 ],[-0.85487426 -0.81456812],[5.16419628 2.86763322],[-0.0196465   1.17141652],[0.72758631 5.20925892],[ 1.10492097 -0.77879114],[7.70739268 6.73033107],[-0.51766265 -1.1584036 ],[5.75154256 5.56354651],[-0.92951633 -0.45863889],[7.42501346 4.22317562],[ 0.90089286 -0.18662443],[6.93624297 1.5445658 ],[0.83371163 0.76099329],[3.10158846 0.90045862],[0.74313707 0.52095027],[8.82275959 9.07044964],[-0.85427454 -0.6459939 ]
[7.9219462  3.03453474],[-1.11708106 -0.28241208],[8.6093367 4.3296864],[-0.88807951 -0.79059121],[5.16366275 2.98449616],[0.00520222 1.16215311],[0.8399382 5.1332433],[ 1.14088249 -0.74133209],[7.65559047 6.61525115],[-0.52043804 -1.14554904],[5.65957431 5.51636666],[-0.90856129 -0.4837281 ],[7.51449222 4.2047279 ],[ 0.8858198  -0.18523668],[7.01779166 1.62329641],[0.79447833 0.81029927],[3.18024236 0.95719298],[0.82789211 0.6126132 ],[8.73508708 9.00072538],[-0.89446823 -0.74420771]
[7.81015495 3.00855367],[-1.11763575 -0.23645188],[8.51980911 4.25265825],[-0.90441997 -0.75239203],[5.16574351 3.10057373],[0.03337855 1.15633136],[0.9556711  5.06115003],[ 1.17416966 -0.69899225],[7.60336386 6.50126084],[-0.52488272 -1.13524766],[5.56952606 5.4664694 ],[-0.88984399 -0.5117318 ],[7.60245737 4.18639953],[ 0.87322162 -0.18160722],[7.0947353  1.70613915],[0.74773496 0.84934531],[3.26614587 1.02212458],[0.88796098 0.68448021],[8.64447579 8.92216811],[-0.91835811 -0.82748592]
[7.69826382 2.98702029],[-1.12057905 -0.19507293],[8.42824107 4.17891717],[-0.9258481  -0.72179607],[5.17019092 3.21564019],[0.05904247 1.1485253 ],[1.07472478 4.99360504],[ 1.20388379 -0.65415981],[7.55075816 6.38832808],[-0.52562191 -1.12199788],[5.48150128 5.41389406],[-0.87070709 -0.53992623],[7.68885681 4.16811896],[ 0.85589883 -0.18288351],[7.16744644 1.79318143],[0.70539112 0.88981016],[3.35696573 1.09333519],[0.92816141 0.73988967],[8.55230338 8.83614892],[-0.92316942 -0.89053654]
[7.58587605 2.96925774],[-1.12575269 -0.15939165],[8.33466632 4.10824822],[-0.94686316 -0.69330933],[5.17768939 3.33035787],[0.09064764 1.14528885],[1.19613566 4.93012424],[ 1.22306651 -0.61631037],[7.49791718 6.27651375],[-0.52876639 -1.11197628],[5.3955723  5.35864976],[-0.84675682 -0.5638856 ],[7.77355338 4.14972938],[ 0.83885011 -0.18412831],[7.23580249 1.88399258],[0.66018033 0.92427093],[3.45115392 1.16955364],[0.9513326  0.78041461],[8.4603425  8.74465616],[-0.9184809  -0.94111034]
[7.4732622  2.95519781],[-1.12836716 -0.12426844],[8.23914927 4.04045728],[-0.96449475 -0.66399519],[5.1879816  3.44433833],[0.11440395 1.13372538],[1.31921774 4.87028531],[ 1.23819828 -0.58059111],[7.44493118 6.16583015],[-0.53307453 -1.1039039 ],[5.31211257 5.30106546],[-0.82274936 -0.58809487],[7.85656721 4.1312321 ],[ 0.82108604 -0.18616831],[7.29971055 1.97816534],[0.62009418 0.96059873],[3.54676742 1.24897476],[0.9596878  0.80676522],[8.36917213 8.64861483],[-0.90447453 -0.97854325]
[7.36060311 2.94471071],[-1.1271732  -0.08827727],[8.14191583 3.97552083],[-0.98087627 -0.63590904],[5.20050634 3.55706415],[0.13692466 1.12161957],[1.44382869 4.81411322],[ 1.25348426 -0.54305927],[7.39134744 6.05579079],[-0.53876213 -1.09703807],[5.23101734 5.2410048 ],[-0.79996205 -0.61394517],[7.93765974 4.11237752],[ 0.79956089 -0.19221494],[7.35968343 2.07584523],[0.57648554 0.98948471],[3.64332292 1.33114519],[0.96826292 0.8334513 ],[8.27963968 8.54927052],[-0.88587137 -1.00731897]
[7.24817331 2.9377983 ],[-1.12071215 -0.04951269],[8.04315701 3.91338425],[-0.99521016 -0.60817492],[5.21507116 3.668406  ],[0.15840605 1.1093005 ],[1.56962485 4.76141661],[ 1.26244052 -0.51098056],[7.33744249 5.94667725],[-0.53965458 -1.0856881 ],[5.15217023 5.17830392],[-0.77562914 -0.63872639],[8.0168868  4.09319249],[ 0.78556878 -0.19076195],[7.41525509 2.17619899],[0.5325577  1.01454492],[3.74029482 1.41552946],[0.96892149 0.85187583],[8.19193735 8.44722079],[-0.86764488 -1.0324369 ]
