[2.66310151 6.2687702 ],[ 0.95820972 -1.95182424],[3.64149584 7.95218371],[-2.5267865  -1.09509599],[3.06765359 8.63733628],[3.95452837 2.84772856],[4.91875271 2.79933979],[-0.22407195 -3.15831855],[4.16828142 1.90028418],[4.61404275 4.07445986],[8.2501269 8.672318 ],[ 4.90119499 -4.2504091 ],[0.27258746 9.85072984],[2.10532227 1.58450069],[5.43730583 4.26616345],[-2.06835852 -1.21081728],[2.30250421 9.64058639],[-1.24602281 -2.72822467],[5.74091938 5.00397637],[4.32271038 2.25075505]
[2.7478123 6.0997956],[ 0.77029435 -1.49889698],[3.43962102 7.86272959],[-1.69402372 -0.77116076],[3.30776412 8.80739799],[1.76547215 1.2156815 ],[4.90072406 2.5634985 ],[-0.15848133 -1.89143375],[4.40787898 2.11631877],[1.64226227 1.5356868 ],[8.49286324 8.45587617],[ 1.61354687 -1.51055789],[0.44817959 9.97602872],[1.53801331 1.02469542],[5.26186052 4.16691002],[-1.54047252 -0.8342782 ],[2.20811679 9.42653691],[-0.75336494 -1.79442777],[6.00091683 5.14187489],[1.88298801 1.02819392]
[2.82080818 5.96161409],[ 0.70424816 -1.28122124],[3.28718199 7.79130738],[-1.39184889 -0.67425069],[3.46248637 8.91048989],[1.39275785 0.89233105],[4.88541653 2.39700165],[-0.15076322 -1.4876373 ],[4.54817732 2.25275301],[1.22759212 1.2489822 ],[8.62746524 8.32295171],[ 1.14721643 -1.2046051 ],[ 0.59184161 10.06474727],[1.36171725 0.76993889],[5.11907751 4.09299253],[-1.3448189  -0.66436652],[2.14293144 9.26272727],[-0.56833681 -1.52134261],[6.16281819 5.23290158],[1.42326189 0.82761973]
[2.88953477 5.84042225],[ 0.67436898 -1.15187935],[3.1571017  7.72608243],[-1.2252171  -0.63847986],[3.59288117 8.99051374],[1.23227983 0.71977838],[4.87006184 2.26023924],[-0.15675236 -1.26378599],[4.65999292 2.37189975],[1.02720274 1.15000014],[8.72884085 8.20873444],[ 0.89590651 -1.098787  ],[ 0.72383089 10.13252309],[1.28667237 0.59161725],[4.99062508 4.03294724],[-1.23711374 -0.54534959],[2.0925336  9.11777891],[-0.44936763 -1.39498384],[6.29301463 5.31143784],[1.20109712 0.75407373]
[2.95614738 5.72982463],[ 0.66079056 -1.06422487],[3.04091285 7.66335491],[-1.10802914 -0.62204115],[3.71130393 9.05601883],[1.14632999 0.59778747],[4.85372645 2.14182697],[-0.17022055 -1.11195615],[4.75601423 2.48483079],[0.90178674 1.11580389],[8.80915459 8.10134182],[ 0.71900939 -1.05489624],[ 0.85096279 10.18451062],[1.26154051 0.45297287],[4.87049561 3.98332099],[-1.16827403 -0.44784266],[2.05210755 8.98178903],[-0.36041935 -1.32938899],[6.40544488 5.38491885],[1.05702632 0.72102978]
[3.02230837 5.62713539],[ 0.66301068 -0.99311712],[2.93471462 7.60135867],[-1.01913997 -0.61928221],[3.82293354 9.11042296],[1.09239498 0.49475774],[4.83629566 2.03709358],[-0.17945451 -0.98790992],[4.84115941 2.59567137],[0.80644076 1.10536688],[8.87326039 7.9963989 ],[ 0.56337761 -1.05061361],[ 0.97664741 10.22353236],[1.25498052 0.33038261],[4.75598663 3.94273633],[-1.12173316 -0.36241733],[2.02021749 8.85113345],[-0.2782353  -1.28649604],[6.50560464 5.45627298],[0.94695459 0.70465704]
[3.0888515  5.53066568],[ 0.67242459 -0.93432872],[2.83618018 7.53882555],[-0.95204843 -0.63098487],[3.93055925 9.15546288],[1.06528083 0.4102818 ],[4.81770798 1.94356376],[-0.19331537 -0.8858979 ],[4.91760884 2.70605143],[0.72367783 1.10263448],[8.92233593 7.89078781],[ 0.42004863 -1.06307589],[ 1.10209628 10.25075121],[1.2574995  0.21808221],[4.64526932 3.91016631],[-1.09332721 -0.28912457],[1.99574027 8.72351345],[-0.21223385 -1.26748444],[6.59591398 5.52662642],[0.86075944 0.70275392]
[3.15668929 5.43974754],[ 0.68380429 -0.88623423],[2.74417245 7.47514695],[-0.88922888 -0.6431518 ],[4.0361155  9.19243883],[1.04541329 0.32800668],[4.79747516 1.85947173],[-0.21486628 -0.80052466],[4.98658283 2.81674959],[0.65651404 1.11120151],[8.95832467 7.78433862],[ 0.30004034 -1.06765166],[ 1.22805434 10.26721664],[1.26212834 0.11277522],[4.53711993 3.88483099],[-1.07361215 -0.22125949],[1.97835173 8.59806358],[-0.13779211 -1.24443519],[6.67839099 5.59730061],[0.7889124  0.71017115]
[3.22580024 5.35334492],[ 0.6997437 -0.8415979],[2.65821197 7.41012974],[-0.83300752 -0.66000319],[4.14016935 9.22144873],[1.03577979 0.25182967],[4.77508624 1.78370189],[-0.23368313 -0.71620355],[5.04939952 2.92862966],[0.60308542 1.12862971],[8.98213399 7.67682332],[ 0.17983854 -1.07980893],[ 1.35418529 10.2731603 ],[1.26032358 0.00692025],[4.43040257 3.86579256],[-1.05954378 -0.15842119],[1.96797154 8.47432917],[-0.07220418 -1.23258345],[6.75397657 5.66885319],[0.72463238 0.72228621]
[3.29688879 5.27149898],[ 0.71890927 -0.79917116],[2.57754227 7.34312175],[-0.77856084 -0.67825431],[4.24321886 9.24264316],[1.02581123 0.17229109],[4.75051723 1.71599876],[-0.25731781 -0.6374575 ],[5.10675873 3.0418778 ],[0.548355   1.13975671],[8.99405822 7.56808049],[ 0.06178849 -1.09212217],[ 1.47999809 10.26870104],[ 1.25433668 -0.09644299],[4.32537736 3.85337019],[-1.04620459 -0.09540828],[1.96395855 8.35161212],[-0.00829847 -1.22189513],[6.82332437 5.74171918],[0.6644983  0.73693569]
[3.36966001 5.19348054],[ 0.73805745 -0.76011656],[2.50202645 7.27398626],[-0.73115851 -0.70391286],[4.34551328 9.25601275],[1.02046327 0.0953011 ],[4.72353217 1.65619016],[-0.28309421 -0.55904292],[5.15911768 3.15646366],[0.50112507 1.15335159],[8.99438176 7.45831615],[-0.05264936 -1.10035453],[ 1.60518993 10.25425817],[ 1.25155471 -0.18848181],[4.22129456 3.84680192],[-1.0331403  -0.03381537],[1.9659867  8.22968943],[ 0.04766745 -1.21719792],[6.88678051 5.81612399],[0.60613961 0.75250449]
