[2.00284343 7.94577352],[-1.09552001 -2.51690754],[3.35016273 0.74146596],[0.53502045 2.8772267 ],[1.02826061 0.87293777],[ 2.41722565 -3.59670716],[0.19593158 1.65582378],[-2.72480698  4.20734322],[3.57397578 3.02083924],[ 3.23886026 -1.02136922],[6.38817501 3.13361887],[3.10387974 4.32542051],[9.89775118 0.81181637],[1.24380244 2.80054643],[3.90813807 6.03811101],[ 3.19329477 -3.35890998],[8.94418541 6.65331823],[-2.97729762  0.35536976],[1.27931905 7.84068341],[4.13742752 1.25496743]
[1.91767345 7.74030208],[-0.68789593 -1.76906805],[3.39261108 0.96881026],[0.35881374 1.91101083],[1.18792842 0.64338303],[ 1.23736749 -1.69347568],[0.03771713 1.90792976],[-1.10187675  1.85419691],[3.81175153 2.94717645],[ 1.90566136 -0.57846387],[6.5639469 3.3823388],[1.23064403 1.78845814],[9.98681204 1.0297388 ],[0.66251888 1.82426973],[4.10676342 5.82741794],[ 1.46243148 -1.57863993],[8.70998294 6.67780919],[-1.9705743   0.16692962],[1.54956796 7.91785546],[2.05819738 0.53166224]
[1.8582827  7.57681817],[-0.5170689  -1.53620218],[3.42563707 1.14279749],[0.31068914 1.61121994],[1.29984086 0.49849324],[ 1.03930011 -1.26254433],[-0.05341182  2.07152201],[-0.76021598  1.48493797],[3.98164845 2.89695468],[ 1.54190409 -0.44411415],[6.66800569 3.53826426],[0.89816671 1.39643471],[10.03927061  1.19631302],[0.40683563 1.54967818],[4.23407046 5.68830586],[ 1.13311371 -1.25806917],[8.53003859 6.68943609],[-1.67048401  0.07275125],[1.7318568  7.95944156],[1.65399684 0.32057603]
[1.81295369 7.42954435],[-0.394581   -1.42142804],[3.45560071 1.29582151],[0.29075901 1.46346614],[1.40027358 0.38502917],[ 0.98023583 -1.02516176],[-0.11885575  2.21150792],[-0.56221886  1.33241873],[4.1262137  2.85683524],[ 1.36806515 -0.36195248],[6.74894061 3.66891509],[0.72873958 1.23027803],[10.07005313  1.34415775],[0.21838083 1.42425759],[4.33869764 5.57011707],[ 0.97470257 -1.12145807],[8.37072204 6.69287211],[-1.53019193e+00 -1.19217337e-03],[1.88752312 7.98417362],[1.48026019 0.18152957]
[1.77837168 7.29060576],[-0.29894784 -1.36214092],[3.48401962 1.43735786],[0.27702062 1.37252945],[1.49732151 0.29113039],[ 0.96724443 -0.85894206],[-0.16730266  2.34047556],[-0.41381097  1.25297373],[4.25725004 2.82356861],[ 1.26089128 -0.30548335],[6.81561115 3.7869391 ],[0.61058317 1.1385921 ],[10.08400001  1.48309631],[0.06063054 1.35737448],[4.43091295 5.46191327],[ 0.8763198  -1.04947672],[8.22198919 6.68946988],[-1.4542405  -0.06877336],[2.03012818 7.99616315],[1.38354487 0.06428437]
[1.75266607 7.15619679],[-0.21779263 -1.32984848],[3.51134215 1.57152378],[0.27042525 1.31488904],[1.59456293 0.21233506],[ 0.97901133 -0.72185094],[-0.20201589  2.46350444],[-0.28042646  1.21377497],[4.3797188  2.79557265],[ 1.18953427 -0.25906042],[6.87170494 3.89767352],[0.51488233 1.08109635],[10.08257761  1.61638735],[-0.0855242   1.31246666],[4.5148967 5.3592415],[ 0.80469303 -1.0097191 ],[8.07929175 6.67961823],[-1.40443615 -0.12879302],[2.16524918 7.99728055],[ 1.32374504 -0.03950547]
[1.73483994 7.0244893 ],[-0.13779708 -1.3039228 ],[3.5383467  1.70102542],[0.27122154 1.27826172],[1.69374706 0.14650155],[ 1.00414253 -0.59862451],[-0.22372146  2.58373793],[-0.15675874  1.19101548],[4.49633366 2.77207999],[ 1.14528353 -0.21132428],[6.91929144 4.00407517],[0.43362037 1.04467361],[10.06711771  1.74580219],[-0.22189015  1.27683576],[4.59275085 5.2598161 ],[ 0.75668648 -0.97872233],[7.94094484 6.66420276],[-1.36409471 -0.17813705],[2.29537898 7.98842132],[ 1.28160208 -0.13587404]
[1.72466881 6.89488062],[-0.06849741 -1.2910355 ],[3.5657882  1.82759387],[0.27665175 1.25310056],[1.79579851 0.09258435],[ 1.03581545 -0.48237425],[-0.23363078  2.70190777],[-0.04209082  1.17349735],[4.60888977 2.75292437],[ 1.10620766 -0.17364924],[6.95885218 4.10721918],[0.3635836  1.02461298],[10.03888716  1.87219528],[-0.34098239  1.25085036],[4.66625992 5.16287544],[ 0.71215286 -0.96397455],[7.80567012 6.64356489],[-1.34091281 -0.23269344],[2.42188395 7.97032519],[ 1.24863406 -0.22585525]
[1.72113136 6.76634383],[-0.00349712 -1.28055159],[3.59347271 1.9516044 ],[0.27657874 1.227534  ],[1.90085906 0.04978141],[ 1.06900853 -0.37063558],[-0.23244839  2.81837085],[0.0659769  1.15693333],[4.71800092 2.73743222],[ 1.07616785 -0.13743419],[6.99213502 4.20916853],[0.2983257  1.01097067],[9.99873059 1.99543033],[-0.45841842  1.21572927],[4.7358086  5.06724772],[ 0.68047179 -0.94869066],[7.67281911 6.61797647],[-1.31811844 -0.27985008],[2.54510586 7.94325475],[ 1.21800885 -0.31283441]
[1.72412781 6.63900116],[ 0.06430429 -1.26501439],[3.62150111 2.07359618],[0.2812957  1.20992512],[2.00921124 0.01805723],[ 1.09861513 -0.26328926],[-0.21990076  2.93387766],[0.1828825  1.15119866],[4.82463991 2.72575277],[ 1.05598395 -0.09764036],[7.01840089 4.30939539],[0.22794991 0.99488657],[9.94763725 2.11533428],[-0.56312495  1.18039485],[4.80210354 4.97262005],[ 0.64685877 -0.94355542],[7.54214228 6.5878671 ],[-1.29441727 -0.32030282],[2.66593661 7.9083823 ],[ 1.19638444 -0.38577217]
[1.73349546 6.51292532],[ 0.12382695 -1.25494939],[3.6499835 2.1939128],[0.28798467 1.19625895],[ 2.12052957 -0.00285505],[ 1.12613149 -0.15612464],[-0.1965735   3.04793544],[0.28645525 1.13311135],[4.92922543 2.71780762],[ 1.0351713  -0.06258512],[7.03783973 4.4083253 ],[0.16024022 0.98326209],[9.88643086 2.23140024],[-0.66151566  1.13816132],[4.86526711 4.87845012],[ 0.61813565 -0.93891299],[7.41377645 6.55391961],[-1.27055847 -0.35520207],[2.78453625 7.86646691],[ 1.17321399 -0.45381119]
