[1.37680096 0.37655935],[-4.26094988 -4.03060817],[3.44987912 6.84891591],[3.71552603 2.97180114],[5.53458426 3.42652324],[ 2.9000969  -4.96818392],[9.07320641 9.30347639],[0.76089219 0.95470331],[9.04124769 7.66563801],[-1.22270571 -0.32506457],[6.29894861 9.6299828 ],[-2.87293659 -2.60798584],[9.47704415 1.10322127],[ 2.32357407 -2.85783583],[5.77664015 1.66206253],[ 1.41643759 -4.53362632],[6.17698815 3.19976125],[-3.26379907  3.89593528],[8.96616116 5.29815037],[0.82146543 0.88477005]
[1.15079343 0.16236595],[-1.54277965 -1.46753431],[3.6803578  7.02880831],[1.72282099 1.29159761],[5.69340146 3.1567043 ],[ 1.12464229 -1.88206681],[9.14471554 9.39163772],[0.67549175 0.81575268],[8.91930152 7.63034646],[-1.21229264 -0.37693125],[6.10291818 9.44686742],[-1.5017457  -1.46250997],[9.63821392 0.9044682 ],[ 1.23955198 -1.53014714],[5.86425243 1.38596734],[ 0.65499613 -2.00393047],[5.98519827 3.43055058],[-1.37891524  1.68213976],[9.04376952 5.38441032],[0.7319479  0.84137582]
[1.02104905 0.03835995],[-1.11225707 -1.06963613],[3.8334562  7.13857827],[1.39586124 0.94875802],[5.79182855 2.99556426],[ 0.88382422 -1.41613008],[9.20891039 9.46733861],[0.60794529 0.69814528],[8.79881069 7.5902996 ],[-1.19826581 -0.4247307 ],[5.9720449  9.31354925],[-1.16139748 -1.24491654],[9.74597658 0.77201568],[ 0.94865176 -1.17004068],[5.92230361 1.21368459],[ 0.53089199 -1.5112087 ],[5.86633617 3.57790573],[-1.04975211  1.32390961],[9.11314996 5.46700729],[0.65547353 0.81034842]
[ 0.92198198 -0.05763371],[-0.88361298 -0.86410527],[3.96574274 7.22347925],[1.26776032 0.76354215],[5.87462569 2.86604041],[ 0.78399227 -1.19539949],[9.26679955 9.53176885],[0.55308754 0.59360569],[8.67960296 7.54535931],[-1.18511392 -0.47325938],[5.86584096 9.19356967],[-0.97552352 -1.16598852],[9.83232456 0.66558723],[ 0.78980002 -0.97421009],[5.97274227 1.07605232],[ 0.48713315 -1.26051788],[5.77054842 3.70214673],[-0.88432458  1.17468924],[9.17505177 5.54669191],[0.5865997  0.78745512]
[ 0.84195102 -0.13678254],[-0.72492314 -0.72672963],[4.08916863 7.29295858],[1.21026131 0.63397606],[5.95042328 2.75405325],[ 0.73914253 -1.05146536],[9.31988641 9.58634986],[0.50730384 0.49626526],[8.56242339 7.49634328],[-1.15988186 -0.50784178],[5.77492366 9.078521  ],[-0.85019748 -1.14149919],[9.90581145 0.57551309],[ 0.6854818 -0.8339484],[6.02025644 0.95844657],[ 0.46832818 -1.09871802],[5.68743682 3.81494593],[-0.78418277  1.08897874],[9.23041989 5.62448566],[0.52120842 0.76904337]
[ 0.77613608 -0.20386483],[-0.59492489 -0.61866694],[4.20857411 7.35083417],[1.18169358 0.52660088],[6.02302054 2.65428341],[ 0.71399208 -0.95023482],[9.36831207 9.63095139],[0.46176738 0.39566753],[8.44711897 7.44331464],[-1.14310438 -0.54945899],[5.69477868 8.96438573],[-0.75511797 -1.14279283],[9.96982747 0.49751092],[ 0.60106598 -0.72621366],[6.06696542 0.85507916],[ 0.46980313 -0.97147105],[5.61275908 3.92095782],[-0.71062864  1.03730441],[9.2795293  5.70078793],[0.45698432 0.75324735]
[ 0.72289494 -0.26065327],[-0.47034519 -0.51793243],[4.3257203  7.39833941],[1.16560186 0.42747555],[6.09362985 2.56330315],[ 0.69894932 -0.87300625],[9.41220176 9.66527339],[0.41723986 0.29109458],[8.33402378 7.38674162],[-1.11855042 -0.58135688],[5.62331238 8.84950725],[-0.67599542 -1.15583684],[10.02626264  0.42961382],[ 0.526541   -0.63626317],[6.11416806 0.76310082],[ 0.47724959 -0.86904907],[5.54482526 4.02298375],[-0.65269072  1.00284562],[9.322566   5.77595013],[0.40200811 0.74843831]
[ 0.68198894 -0.3076296 ],[-0.3456413  -0.41999313],[4.4420517  7.43662812],[1.16085272 0.33820111],[6.16313093 2.47932624],[ 0.69245479 -0.80795545],[9.45186285 9.68905722],[0.3773256  0.18485263],[8.22321949 7.32691388],[-1.09793936 -0.61526507],[5.55963839 8.73340064],[-0.60125155 -1.16930886],[10.07558551  0.3702469 ],[ 0.46023591 -0.55256486],[6.16257683 0.68082315],[ 0.49127815 -0.77867042],[5.48221038 4.12216565],[-0.59976836  0.98317085],[9.35975117 5.85036571],[0.34321965 0.74165254]
[ 0.65386066 -0.34468945],[-0.21818851 -0.3231328 ],[4.5581693  7.46624166],[1.16375804 0.25661422],[6.23239184 2.40154278],[ 0.69581927 -0.7465173 ],[9.48776258 9.70208955],[0.33806524 0.07197377],[8.1143673  7.26365133],[-1.0780234  -0.64863266],[5.50268526 8.61542817],[-0.53717172 -1.18855779],[10.11866013  0.3192522 ],[ 0.40097271 -0.46831786],[6.21284185 0.60740114],[ 0.51148459 -0.69390406],[5.4247096  4.21984721],[-0.54846156  0.97381654],[9.3911267  5.92426872],[0.28648675 0.73882336]
[ 0.63874129 -0.37201997],[-0.08359383 -0.22363129],[4.67461424 7.48783407],[1.16371501 0.1740624 ],[6.30223179 2.3296654 ],[ 0.70238168 -0.69089125],[9.51940893 9.70310622],[ 0.29368723 -0.0541104 ],[8.00772982 7.19734982],[-1.05394196 -0.67626333],[5.45204422 8.49568263],[-0.47601556 -1.20585051],[10.15574952  0.27654306],[ 0.33648215 -0.39004625],[6.26502084 0.54195692],[ 0.53039536 -0.61767443],[5.37202306 4.31667356],[-0.50716293  0.96194253],[9.4166738  5.99782358],[0.22093035 0.7290624 ]
[ 0.63794757 -0.38877765],[ 0.06938233 -0.11063716],[4.79104672 7.50124236],[1.16577706 0.09563115],[6.37312252 2.26342528],[ 0.7150377  -0.63515202],[9.54598734 9.69047454],[ 0.23631392 -0.20129017],[7.90349673 7.12837279],[-1.03426737 -0.70657706],[5.40751438 8.37443436],[-0.41714947 -1.22081184],[10.18585756  0.2412909 ],[ 0.26425713 -0.31555459],[6.31934832 0.48415805],[ 0.55677348 -0.53825329],[5.32360082 4.41272067],[-0.46372572  0.95725163],[9.43555955 6.07042581],[0.15770288 0.72415793]
