[8.40283455 4.44048706],[1.85792114 4.7800786 ],[8.66328163 5.13576503],[4.22841897 4.91077041],[4.3773455  5.17270372],[-2.7860974  -4.21651893],[1.45252328 6.12413048],[-3.37159254  1.0983486 ],[1.77244855 9.56214582],[-3.97135919 -0.51164725],[8.65381188 5.12613114],[0.01797263 0.91855469],[6.03694134 4.86337572],[-3.4138275  -4.06649992],[7.3513028  3.27933715],[4.43433463 0.46389509],[9.67426926 6.77267706],[ 1.81882973 -2.36604136],[1.10478138 0.02974928],[-2.00950043  0.68816821]
[8.50919455 4.72136449],[0.73774542 2.03546608],[8.87363422 5.38324528],[1.40556096 1.69454034],[4.21381472 4.92310012],[-1.16844922 -1.80941524],[1.21377361 6.20203603],[-1.85757269  0.60754128],[1.50757636 9.52287746],[-1.99714709 -0.3551026 ],[8.65188211 5.21847458],[-0.05398726  0.93047519],[5.84079796 4.63028921],[-1.40517594 -1.66315149],[7.63239796 3.31084071],[2.08573809 0.25867989],[9.81126688 6.58732402],[ 1.08733697 -1.55453463],[0.93419637 0.09598369],[-1.47627655  0.65748094]
[8.57005387 4.8986615 ],[0.51120385 1.5873457 ],[8.99171073 5.52964047],[1.01189145 1.29906309],[4.11385712 4.76574992],[-0.87531045 -1.40428797],[1.05208134 6.25515295],[-1.43140542  0.47180076],[1.33553298 9.48664227],[-1.51194754 -0.38207693],[8.64292345 5.31201783],[-0.12582171  0.93907045],[5.71867317 4.48644278],[-1.08789533 -1.27414982],[7.81331734 3.3356724 ],[1.60316798 0.24467142],[9.90431002 6.44524373],[ 0.80416613 -1.31897851],[0.80167335 0.16333283],[-1.19298602  0.69836683]
[8.6138015  5.04599741],[0.37403226 1.38328101],[9.08200583 5.65013032],[0.80894148 1.12877782],[4.03444955 4.63560701],[-0.72768163 -1.2199147 ],[0.92169677 6.29865149],[-1.19513849  0.40314598],[1.19820361 9.44528919],[-1.2554337  -0.44969027],[8.62647539 5.405922  ],[-0.20472173  0.93679423],[5.61797008 4.36920402],[-0.94306105 -1.09027914],[7.9604176  3.36039084],[1.36192206 0.25373465],[9.97536426 6.31954731],[ 0.62580195 -1.20805384],[0.69274949 0.23629985],[-0.99245971  0.76539439]
[8.64583568 5.17807406],[0.27131689 1.26898405],[9.15553737 5.75790516],[0.66731101 1.03403614],[3.96676705 4.51937242],[-0.63116167 -1.11290188],[0.81078992 6.33664671],[-1.03234008  0.35825781],[1.08239225 9.39665396],[-1.07279136 -0.52845478],[8.60213962 5.49940204],[-0.28106093  0.93281433],[5.52802543 4.26601912],[-0.86098166 -0.9796377 ],[8.08880409 3.38712948],[1.21770567 0.28522609],[10.03047996  6.20174911],[ 0.48174886 -1.15257809],[0.6023804  0.31713765],[-0.81738451  0.85401434]
[8.66832973 5.30094376],[0.18312359 1.19613733],[9.21624018 5.85802443],[0.55012629 0.9729949 ],[3.90736763 4.41175848],[-0.56047528 -1.04450746],[0.71390467 6.37047995],[-0.90699786  0.32250454],[0.98242178 9.33914212],[-0.92971304 -0.62206687],[8.57017082 5.59221124],[-0.35874078  0.92187524],[5.44486252 4.17221828],[-0.80770567 -0.90229345],[8.20446564 3.41685238],[1.1041779  0.31362825],[10.07202503  6.0879618 ],[ 0.35069735 -1.12661664],[0.52825372 0.40671808],[-0.66772939  0.93691081]
[8.6825791 5.4178956],[0.10045165 1.14345525],[9.26632177 5.95350168],[0.45291178 0.93884445],[3.85413377 4.30970916],[-0.5035344  -0.99669897],[0.62892121 6.40152322],[-0.79611211  0.2981777 ],[0.89647261 9.27258975],[-0.79205587 -0.71041305],[8.53060074 5.68378263],[-0.43240971  0.90859423],[5.36617437 4.08518824],[-0.76832444 -0.84081085],[8.31026113 3.44992389],[1.01463472 0.34857182],[10.10104011  5.97616215],[ 0.22950563 -1.11206603],[0.46867294 0.50452851],[-0.52223107  1.0210362 ]
[8.68874711 5.53028833],[0.02268894 1.10533435],[9.30710055 6.04626108],[0.36254654 0.91704953],[3.80617929 4.2117876 ],[-0.45591724 -0.96265651],[0.55419301 6.43008374],[-0.69996113  0.2733729 ],[0.82372036 9.19689376],[-0.66627878 -0.80605639],[8.48393131 5.77393354],[-0.4980179  0.8959725],[5.29068716 4.00352368],[-0.74027045 -0.79141166],[8.4077589  3.48664569],[0.93497604 0.38431888],[10.11783853  5.8651662 ],[ 0.11171105 -1.10388922],[0.42385359 0.61082639],[-0.37419342  1.10370015]
[8.68680495 5.63888106],[-0.0576761  1.0711614],[9.33870621 6.1369702 ],[0.2693167  0.89769885],[3.76293608 4.11706393],[-0.40865381 -0.93204508],[0.48904607 6.4565497 ],[-0.60275944  0.25712275],[0.76353783 9.11177512],[-0.54170799 -0.89980602],[8.43097004 5.86267671],[-0.56418599  0.87459565],[5.21739428 3.92618076],[-0.72590219 -0.75574024],[8.4975113  3.52689968],[0.86067278 0.42072286],[10.12313735  5.75500295],[-0.00260717 -1.09677029],[0.39328858 0.72443959],[-0.23734591  1.16693489]
[8.67730809 5.74471109],[-0.13248457  1.04545358],[9.36084111 6.22586598],[0.17609407 0.88368293],[3.72452334 4.02535416],[-0.36390034 -0.90682716],[0.43337683 6.48132914],[-0.51095874  0.23837991],[0.7157006  9.01740522],[-0.4146702  -0.98596658],[8.37128974 5.94880575],[-0.62789339  0.84819055],[5.14526232 3.85214704],[-0.71620395 -0.7243328 ],[8.58031268 3.57118582],[0.79613138 0.46573746],[10.11715294  5.64562529],[-0.11671864 -1.09031661],[0.37632937 0.84384049],[-0.10270632  1.21869251]
[8.6604794  5.84818136],[-0.20133686  1.0264882 ],[9.37353282 6.31346926],[0.07938899 0.8706282 ],[3.69032541 3.93581518],[-0.31764854 -0.8818958 ],[0.38726064 6.50459319],[-0.410827    0.22715644],[0.6807054  8.91493519],[-0.28727054 -1.06341699],[8.305351   6.03202227],[-0.69099023  0.81475719],[5.07446922 3.7816535 ],[-0.70171823 -0.68749349],[8.6567203  3.62008079],[0.73415223 0.51454534],[10.09991398  5.53711207],[-0.22747284 -1.07911228],[0.37303604 0.96812166],[0.03628036 1.26463679]
