[6.28742588 9.98269911],[-0.31968047  1.34865612],[1.05885636 1.27047917],[ 2.33794576 -1.61383388],[6.25829834 5.96421317],[-2.46707755  0.7888575 ],[7.80675974 7.03350868],[2.34046884 3.45590309],[8.82190584 0.2849306 ],[ 1.00106288 -1.4017015 ],[0.51984698 5.7785209 ],[ 4.8468955  -1.53511972],[8.5974378  4.96560907],[1.9438482  0.01485471],[1.64696609 7.18435817],[3.00614075 0.77737933],[1.78924144 5.73228976],[ 3.93916013 -3.86322731],[7.55468578 6.8199386 ],[0.66881075 3.88652657]
[ 6.25506748 10.10709985],[-0.3299854  1.1507201],[1.24787619 1.14761463],[ 1.62725369 -0.97206721],[6.05530318 6.02837968],[-1.74672544  0.54093552],[7.95899246 7.26083286],[1.13110776 1.7182189 ],[8.91003752 0.1609554 ],[ 0.78330696 -1.10692638],[0.8084247  5.68839176],[ 2.11685029 -0.64908728],[8.76778328 4.9673973 ],[1.51713365 0.02010064],[1.87903902 7.24168286],[1.92876768 0.44804054],[2.01228481 5.51642   ],[ 1.61107558 -1.52281793],[7.59746949 7.08333413],[0.30120791 2.02006458]
[ 6.2214865  10.21480037],[-0.34525663  1.00665047],[1.3987834  1.06526362],[ 1.42470171 -0.69779367],[5.89547504 6.07665553],[-1.4806344   0.43692127],[8.0558258  7.41080831],[0.84243167 1.3361546 ],[8.98143889 0.060363  ],[ 0.65048687 -0.91823515],[0.99539139 5.63280256],[ 1.69541839 -0.48765585],[8.9073973  4.97006425],[1.2924858 0.0326511],[2.05404101 7.27939557],[1.61645849 0.31781078],[2.1543878  5.38536532],[ 1.28916321 -1.15628708],[7.6214443  7.26041304],[0.18628061 1.58157179]
[ 6.18607556 10.30950304],[-0.36478693  0.88940653],[1.5364295  1.00507792],[ 1.34165079 -0.51252875],[5.75517085 6.11700518],[-1.33934775  0.37277112],[8.1315789  7.53415176],[0.68516092 1.14885311],[ 9.04131418 -0.02402812],[ 0.55093299 -0.7745588 ],[1.15499736 5.58814247],[ 1.51927323 -0.4112122 ],[9.02872102 4.97397852],[1.1432275  0.04666808],[2.20764999 7.30670631],[1.47053745 0.23159677],[2.27627359 5.279308  ],[ 1.16443425 -0.98207274],[7.63577097 7.40648894],[0.1070182  1.36314077]
[ 6.14835264 10.39309101],[-0.39157882  0.78280959],[1.66882486 0.96185195],[ 1.311875   -0.35522657],[5.62639912 6.15229364],[-1.24191963  0.33590272],[8.19440728 7.64289058],[0.5764107  1.03359809],[ 9.09190754 -0.09545935],[ 0.46511315 -0.65424694],[1.30182818 5.54951942],[ 1.42605895 -0.36451368],[9.13687133 4.97903204],[1.025274   0.05532747],[2.35016793 7.32615951],[1.39104829 0.16365857],[2.38975394 5.1872174 ],[ 1.11421217 -0.86468537],[7.64327524 7.53560506],[0.04197282 1.22573856]
[ 6.10804241 10.46668606],[-0.41716394  0.68787895],[1.79949693 0.93353303],[ 1.303902   -0.21317164],[5.50571933 6.18435684],[-1.17324462  0.30852633],[8.24755881 7.74196959],[0.49020111 0.95309418],[ 9.1344329  -0.15532753],[ 0.38477341 -0.5456079 ],[1.4417866  5.51514198],[ 1.37812737 -0.32379074],[9.23431718 4.98490919],[0.92824468 0.06404604],[2.48672437 7.33962598],[1.34395745 0.10711474],[2.49993176 5.10524636],[ 1.09252383 -0.77866037],[7.6442594  7.65286233],[-0.02142405  1.12440922]
[ 6.06475162 10.53068476],[-0.45267121  0.58882669],[1.92967682 0.91869133],[ 1.30089615 -0.08479306],[5.39068607 6.21365263],[-1.12846721  0.27904057],[8.2928488  7.83415527],[0.41697729 0.8930197 ],[ 9.16954133 -0.20405269],[ 0.31586277 -0.43071827],[1.57817868 5.48466678],[ 1.3481654  -0.29064146],[9.32320574 4.99217029],[0.85075683 0.080981  ],[2.61956106 7.34783834],[1.31675077 0.05998144],[2.60857365 5.03075476],[ 1.08358126 -0.71192972],[7.63923535 7.76137127],[-0.07745016  1.04987699]
[ 6.01807431 10.58509179],[-0.48459276  0.49580493],[2.05932434 0.91586255],[1.29632215 0.03087379],[5.27984126 6.24041564],[-1.09018313  0.25641578],[8.3310842  7.92088443],[0.35097312 0.845602  ],[ 9.19773093 -0.24121265],[ 0.24876738 -0.31064936],[1.71178751 5.45682685],[ 1.32451644 -0.26778834],[9.40482781 5.00127831],[0.78406939 0.10281295],[2.7500517  7.35146331],[1.29290955 0.01166897],[2.71669517 4.9623064 ],[ 1.07884445 -0.65952903],[7.6289045  7.86333028],[-0.12951771  0.99043889]
[ 5.96772393 10.62971743],[-0.52379554  0.39510277],[2.18881108 0.92458332],[1.29411991 0.14356234],[5.17244182 6.26501055],[-1.05547699  0.23915723],[8.36284777 8.00321744],[0.2859267  0.80337392],[ 9.21868059 -0.26642782],[ 0.17249833 -0.18929832],[1.84366688 5.43138352],[ 1.31180559 -0.24362455],[9.47996933 5.01261444],[0.72006799 0.12486443],[2.87830291 7.35021234],[ 1.2734666  -0.03563549],[2.82486495 4.89900728],[ 1.08597731 -0.60643722],[7.61375376 7.96009163],[-0.17677501  0.9424425 ]
[ 5.91322309 10.6639141 ],[-0.56646134  0.28794354],[2.31798622 0.94432054],[1.2881792  0.24944526],[5.06825563 6.28798441],[-1.02961464  0.21979386],[8.38818146 8.08160051],[0.2219342  0.76606731],[ 9.23192012 -0.27880985],[ 0.09143973 -0.05620518],[1.97461709 5.40840984],[ 1.30586795 -0.21784487],[9.5489009 5.0263165],[0.6572277  0.14785419],[3.00523177 7.34482636],[ 1.26679157 -0.06990111],[2.93385577 4.84078649],[ 1.09455267 -0.55815911],[7.59330225 8.0517473 ],[-0.23100326  0.89264887]
[ 5.85463615 10.68732402],[-0.60182332  0.18274875],[2.44609211 0.973998  ],[1.27464874 0.34404372],[4.96644979 6.3090223 ],[-1.00603658  0.20208732],[8.40737617 8.1566858 ],[0.16123206 0.73535218],[ 9.23710257 -0.27680155],[0.00948781 0.09722574],[2.10451363 5.38733297],[ 1.29379374 -0.20267843],[9.61145623 5.04228244],[0.5940498  0.17193936],[3.13134062 7.33598442],[ 1.25530109 -0.1067647 ],[3.04370446 4.78718267],[ 1.10337039 -0.51347457],[7.56746714 8.13864942],[-0.28490018  0.84660976]
[ 5.79265491 10.70002006],[-0.6376451   0.07006739],[2.57242599 1.01250188],[1.25204105 0.42497443],[4.86675123 6.32819184],[-0.98746495  0.18211377],[8.42021158 8.22857264],[0.09639767 0.70379518],[ 9.23326801 -0.25911602],[-0.08913823  0.25701314],[2.23384455 5.36828285],[ 1.29305448 -0.1782323 ],[9.66781894 5.06093207],[0.53238082 0.20081647],[3.25631855 7.32354266],[ 1.24495884 -0.14095947],[3.15456103 4.73806106],[ 1.11529933 -0.46767591],[7.53634947 8.22115901],[-0.33778563  0.80344236]
[ 5.72679566 10.70070755],[-0.67888137 -0.05729071],[2.69694904 1.05932226],[1.23726778 0.50980535],[4.76907225 6.3456239 ],[-0.96357612  0.16956038],[8.42652921 8.29742906],[0.03127214 0.67509395],[ 9.21924834 -0.22474486],[-0.19252339  0.43137381],[2.36294424 5.35149168],[ 1.28901935 -0.1576284 ],[9.71759905 5.08227929],[0.4635488  0.22727652],[3.37984857 7.30732919],[ 1.22785677 -0.18102377],[3.26653851 4.69340204],[ 1.12634701 -0.42342219],[7.50010402 8.29954925],[-0.39015076  0.76139543]
[ 5.65703455 10.68834026],[-0.71153983 -0.18697703],[2.81938916 1.11383934],[1.21041625 0.57837263],[4.67369161 6.36183436],[-0.94431858  0.15460705],[8.42627609 8.36349829],[-0.03676848  0.64629522],[ 9.19462543 -0.17269627],[-0.29981822  0.60917537],[2.49155366 5.33663016],[ 1.28166623 -0.14139438],[9.76095088 5.10703327],[0.40105262 0.26647025],[3.50260925 7.28816879],[ 1.22609806 -0.20254384],[3.3795233  4.65306733],[ 1.135073   -0.38158491],[7.45844548 8.37356379],[-0.44215765  0.71963251]
