[5.20745893 7.36269056],[ 2.82324853 -2.32960865],[0.15325973 0.12930253],[3.86914092 3.74604068],[4.9600991 2.8533667],[-4.46243233 -0.02302957],[5.36609247 9.32461874],[ 0.24607742 -0.59484101],[4.17636901 4.33090912],[-3.40260285  4.00389377],[8.45612305 2.13307119],[ 2.82469161 -0.59957533],[8.49873209 5.20622017],[ 1.76600628 -3.67189953],[7.29967839 3.46190388],[4.12920152 0.93765075],[8.75761607 1.83191215],[-0.21528874  1.77435737],[1.41494771 1.04423537],[-4.65414445 -1.32640658]
[5.40632543 7.19464039],[ 1.55286985 -1.35466074],[0.3768181  0.34431645],[1.63362163 1.55412565],[4.67664155 2.85288969],[-2.11240852  0.00613499],[5.39131906 9.25646161],[ 0.25905895 -0.76496271],[3.98118028 4.56201243],[-1.38493783  1.65706909],[8.67554946 2.08750965],[ 1.8057129  -0.36180106],[8.61375096 4.95932924],[ 0.84171371 -1.90182436],[7.56865367 3.52357631],[2.02080823 0.47296954],[8.7338223  1.99565894],[-0.25820597  1.53210674],[1.13503707 0.96602436],[-2.02042959 -0.54599474]
[5.54279812 7.07162526],[ 1.22328937 -1.14131424],[0.52195611 0.48080233],[1.3260135  1.23075809],[4.49258561 2.85451041],[-1.64311289  0.02281429],[5.41726955 9.17172462],[ 0.26139256 -0.92338084],[3.86232788 4.70543047],[-1.0462852   1.27019962],[8.83610236 2.05650696],[ 1.44604334 -0.26890668],[8.68395851 4.79072429],[ 0.59320352 -1.52768238],[7.74431034 3.5655677 ],[1.5588566  0.38176834],[8.70566102 2.1415889 ],[-0.30609456  1.39710165],[0.96197952 0.92128106],[-1.5152422  -0.37066295]
[5.65615361 6.96246524],[ 1.05668875 -1.05551127],[0.64777842 0.59604739],[1.20480491 1.08809711],[4.34067223 2.85767194],[-1.41644785  0.04078701],[5.44349907 9.07274766],[ 0.26279592 -1.0505666 ],[3.76676772 4.82268031],[-0.88156091  1.09096198],[8.96994814 2.03296945],[ 1.24663156 -0.20434908],[8.73537768 4.64728729],[ 0.44530394 -1.35827586],[7.88729123 3.60117187],[1.32294957 0.33641913],[8.67237096 2.27646287],[-0.36007669  1.30572695],[0.82431785 0.88977475],[-1.25971305 -0.26548434]
[5.75602756 6.85895049],[ 0.94518463 -1.02219598],[0.76527317 0.70072929],[1.15260978 1.01305406],[4.20675219 2.86300483],[-1.27390814  0.06388967],[5.4697374  8.96267505],[ 0.26175851 -1.14536106],[3.68475946 4.92657332],[-0.76531181  0.99436492],[9.08768218 2.01548134],[ 1.11488899 -0.14696353],[8.77374606 4.51629761],[ 0.32538445 -1.26989714],[8.0118518  3.63373893],[1.17725989 0.31698101],[8.63379661 2.40368757],[-0.41216832  1.24091994],[0.70729955 0.86751166],[-1.09088067 -0.18297873]
[5.8463418  6.75751064],[ 0.86466744 -1.00918409],[0.87914978 0.79951373],[1.12815764 0.96601985],[4.08401988 2.86990412],[-1.18485511  0.07482555],[5.49525907 8.84416208],[ 0.24802281 -1.22042048],[3.61199277 5.02185572],[-0.69182399  0.91708853],[9.19362269 2.00305272],[ 1.00631888 -0.10400608],[8.80104782 4.39227921],[ 0.22575972 -1.21155874],[8.12388803 3.66471949],[1.06900593 0.30441721],[8.59009961 2.52522238],[-0.45812762  1.1946403 ],[0.60495929 0.85302701],[-0.96407005 -0.1111462 ]
[5.92966145 6.65690463],[ 0.80081512 -1.00736301],[0.99123755 0.89429182],[1.11602154 0.93213361],[3.96977696 2.87877068],[-1.10515139  0.10070597],[5.5193087  8.71944656],[ 0.23142136 -1.2715381 ],[3.54605498 5.11077054],[-0.6295418   0.86305509],[9.28975994 1.99480396],[ 0.91784853 -0.06221142],[8.8187151  4.27291352],[ 0.12911181 -1.177414  ],[8.2264121  3.69483579],[0.98530349 0.29962919],[8.54183778 2.64244901],[-0.50749181  1.15036188],[0.5144453  0.84584163],[-0.85181543 -0.03564662]
[6.00695009 6.55596511],[ 0.74559762 -1.01284682],[1.10253937 0.9861652 ],[1.11075823 0.90631544],[3.86227853 2.88983552],[-1.0475142   0.11989345],[5.54159003 8.59054803],[ 0.21225812 -1.3055386 ],[3.48595944 5.19501525],[-0.57462603  0.82237262],[9.37786936 1.99092507],[ 0.8459231  -0.01508065],[8.82744746 4.15686997],[ 0.04644408 -1.14471687],[8.32137272 3.72476258],[0.9186478  0.30238781],[8.48890153 2.75567632],[-0.54930858  1.11623603],[0.43432444 0.84601419],[-0.75385092  0.03739117]
[6.07911803 6.45435727],[ 0.69641392 -1.02189966],[1.21339037 1.07559574],[1.10583446 0.8820608 ],[3.76019285 2.90298721],[-0.99533715  0.14349008],[5.56188379 8.45891315],[ 0.19575068 -1.32331026],[3.43078792 5.2753366 ],[-0.52885817  0.78588612],[9.45878182 1.99144946],[0.77445354 0.0270231 ],[8.82787289 4.04355168],[-0.03527715 -1.12031183],[8.41020891 3.7552266 ],[0.85900065 0.30706118],[8.43145661 2.86519493],[-0.59717326  1.07663788],[0.36367295 0.8535747 ],[-0.66211399  0.11193607]
[6.14634358 6.35151876],[ 0.64797389 -1.03564578],[1.32404885 1.16296096],[1.10726493 0.86546516],[3.66290195 2.9184653 ],[-0.95373412  0.16363525],[5.58056396 8.32595746],[ 0.17757408 -1.33507479],[3.38053158 5.35280987],[-0.47360253  0.76736082],[9.53289838 1.99642405],[0.70793492 0.07244596],[8.82030536 3.93255597],[-0.1175354  -1.10173228],[8.49309845 3.78599566],[0.80013764 0.30916545],[8.36977055 2.97127521],[-0.63600547  1.04521057],[0.30239835 0.86907126],[-0.56473876  0.19732687]
[6.2089436 6.2473568],[ 0.60483752 -1.04720842],[1.43481562 1.24870741],[1.10956803 0.85122486],[3.56977112 2.93620283],[-0.91044514  0.1903756 ],[5.59779357 8.19243983],[ 0.16752848 -1.33435172],[3.33573613 5.42863196],[-0.42521146  0.74696806],[9.60034033 2.00596251],[0.64255666 0.12033985],[8.80456178 3.82335506],[-0.19840794 -1.08379576],[8.57043127 3.81720749],[0.74719108 0.31554097],[8.30396319 3.07390063],[-0.67855161  1.00862788],[0.25063409 0.89304383],[-0.47039211  0.28258237]
