[2.64205475 4.81017604],[3.37300369 3.5597946 ],[1.5348835  2.69598035],[ 1.06105777 -3.60528545],[8.84290519 4.34526561],[ 3.04368149 -4.02906851],[9.61948705 9.13016657],[-2.12846565 -2.49006927],[0.68367943 7.40312889],[-1.87683772 -4.6265448 ],[9.27285378 2.11663876],[-2.39348977 -0.61521689],[4.69859319 7.26705628],[4.72960718 3.27425573],[2.88249481 0.08202049],[-3.57528673 -4.09202252],[8.79991829 1.97605967],[2.80288778 3.67019655],[3.66337849 4.21660611],[ 3.41818289 -4.9020082 ]
[2.84743044 5.02371771],[1.52283678 1.54506387],[1.61294337 2.4463316 ],[ 0.65651972 -1.92552886],[9.02002834 4.10654257],[ 1.24522453 -1.73642274],[9.4576926  8.94121177],[-1.33812631 -1.55960009],[0.57656353 7.12494399],[-0.72115538 -2.05022792],[9.06982921 2.06808605],[-1.7882796  -0.38882645],[4.95712311 7.44277573],[1.82463816 1.19986121],[ 2.68166778 -0.14631655],[-1.41327221 -1.5889312 ],[8.97117495 2.20737026],[1.22679012 1.74101941],[3.84632164 3.95636304],[ 1.28977215 -1.80476751]
[2.98239362 5.1569361 ],[1.2274695  1.17302124],[1.67536761 2.27819458],[ 0.61066398 -1.49394001],[9.12506601 3.95539095],[ 0.89961979 -1.35230818],[9.33586031 8.79941426],[-1.13089372 -1.31451736],[0.51980562 6.94428031],[-0.44388967 -1.63563237],[8.90361353 2.03560888],[-1.56553729 -0.26979873],[5.11609311 7.54351796],[1.42215009 0.86072155],[ 2.56061501 -0.28069356],[-1.06274746 -1.16133802],[9.07396238 2.36170857],[0.87501186 1.40545325],[3.95911232 3.80121387],[ 1.01660968 -1.36712168]
[3.09839162 5.26402038],[1.10949678 0.98626423],[1.73676623 2.1409584 ],[ 0.62624847 -1.26596258],[9.20471031 3.82939811],[ 0.70574917 -1.18708186],[9.22771094 8.67383783],[-1.04212773 -1.20905366],[0.48452903 6.79007452],[-0.26915784 -1.46821075],[8.75333405 2.01325796],[-1.45282866 -0.18218785],[5.24855467 7.61956415],[1.25094617 0.67751382],[ 2.46357071 -0.38491858],[-0.89345246 -0.94060887],[9.15109673 2.4948421 ],[0.67931855 1.27289016],[4.05445721 3.6754634 ],[ 0.90479979 -1.16711176]
[3.2062358  5.35617072],[1.05563972 0.86516389],[1.80106002 2.0222789 ],[ 0.66241478 -1.11549005],[9.26795127 3.71562948],[ 0.56376304 -1.09730333],[9.12615038 8.55604037],[-0.99515619 -1.15396744],[0.46485538 6.64797231],[-0.12592474 -1.38039498],[8.61175036 1.99892819],[-1.38663414 -0.10865533],[5.36875505 7.68061381],[1.16211113 0.54950161],[ 2.38000115 -0.47098865],[-0.78209599 -0.7857365 ],[9.21130742 2.61833925],[0.53036153 1.2044587 ],[4.1420824  3.56547768],[ 0.85337666 -1.04146639]
[3.31029046 5.43781762],[1.02961488 0.77193957],[1.86946319 1.9165832 ],[ 0.70562059 -1.00383176],[9.31853437 3.60908476],[ 0.45152487 -1.03709865],[9.02842189 8.44263469],[-0.96497473 -1.12028006],[0.45847882 6.51248973],[-0.00229722 -1.33164966],[8.47517492 1.99113577],[-1.34885711 -0.04983425],[5.48153844 7.72950313],[1.09960789 0.4322201 ],[ 2.30605994 -0.54324013],[-0.70181097 -0.66462079],[9.25776728 2.73662933],[0.40156397 1.16505331],[4.22603343 3.46602325],[ 0.83008778 -0.95078068]
[3.41276537 5.51115005],[1.02110929 0.6959347 ],[1.94275289 1.82130027],[ 0.76111201 -0.90386608],[9.35790271 3.5068572 ],[ 0.34011696 -1.00702692],[8.93294874 8.33168837],[-0.94695782 -1.10147994],[0.46425401 6.38125662],[ 0.11507329 -1.29614093],[8.34190827 1.98908208],[-1.31793749  0.00790731],[5.58952364 7.767549  ],[1.06273493 0.33000462],[ 2.23903152 -0.6045262 ],[-0.63948488 -0.56179299],[9.29218355 2.85207545],[0.29067862 1.14790542],[4.30807363 3.37417105],[ 0.81327472 -0.88809709]
[3.51463385 5.57710234],[1.01573956 0.62246712],[2.02196877 1.73567771],[ 0.82144933 -0.81179202],[9.3865587  3.40714289],[ 0.23179153 -0.99040085],[8.83879378 8.22204586],[-0.93753532 -1.09297616],[0.48133339 6.25310588],[ 0.22388215 -1.26882621],[8.21138466 1.99262315],[-1.29504045  0.06042337],[5.69441144 7.79557483],[1.03601545 0.23051654],[ 2.17793573 -0.65578494],[-0.58267577 -0.46338825],[9.31587346 2.96620604],[0.18215106 1.13379634],[4.38904956 3.28808881],[ 0.80808508 -0.83446318]
[3.61636315 5.63605625],[1.02245188 0.5602399 ],[2.1070713  1.65879184],[ 0.88121322 -0.72583806],[9.40456803 3.30882943],[ 0.12975962 -0.97564807],[8.74571911 8.11332652],[-0.92630575 -1.08396793],[0.50918631 6.12778109],[ 0.33305922 -1.23684362],[8.08286457 2.00111015],[-1.27451402  0.11016984],[5.79707755 7.81380044],[1.01945783 0.13562637],[ 2.12248522 -0.69713606],[-0.52501024 -0.36189544],[9.32895295 3.07916906],[0.07935559 1.12494269],[4.46964256 3.20679864],[ 0.80556234 -0.79136128]
[3.71886238 5.68888473],[1.0301995  0.49903241],[2.1981367  1.59040984],[ 0.93807199 -0.64372647],[9.41259286 3.21197084],[ 0.02985474 -0.96293858],[8.65375625 8.00543919],[-0.91354534 -1.07455381],[0.54735634 6.00536401],[ 0.42733574 -1.21287963],[7.95612469 2.01425298],[-1.26259701  0.14971354],[5.89818983 7.82245867],[1.00341366 0.03767731],[ 2.07241723 -0.72856982],[-0.4764388  -0.26634787],[9.33188016 3.19125691],[-0.01805139  1.11885249],[4.55019957 3.12956862],[ 0.80576836 -0.75427336]
[3.82243722 5.73590966],[1.03902067 0.43931252],[2.29507668 1.5305168 ],[ 0.99599383 -0.55830036],[9.41083471 3.11651874],[-0.06444465 -0.94582646],[8.56274174 7.89811901],[-0.90581316 -1.07103096],[0.59484867 5.88570949],[ 0.52276708 -1.17842605],[7.83035997 2.03091602],[-1.25051082  0.18515526],[5.99775111 7.82124151],[ 0.98896139 -0.06104067],[ 2.02753882 -0.74992932],[-0.42150152 -0.16055498],[9.32509809 3.30254282],[-0.11629367  1.10728448],[4.63089005 3.05584354],[ 0.80949024 -0.71960968]
