[7.77239425 2.51468855],[3.25021419 1.66173831],[9.99124468 2.68075905],[-0.05312502  0.88114036],[7.13362011 5.04244706],[-2.01649081 -4.5154448 ],[2.8488721  8.40368391],[-4.69765702 -1.09534083],[7.62290142 7.36186737],[-4.51306013 -4.93167979],[3.80426456 8.00151239],[2.50710819 3.38367567],[3.4845408  6.74789272],[ 0.77647819 -1.74895786],[6.13592237 7.55551346],[3.33695178 0.52929591],[2.13314892 1.55317032],[ 0.40810321 -2.46886813],[3.97468287 0.25087545],[-3.13993448 -4.35464135]
[8.000209  2.6350495],[1.76294058 0.97444978],[9.98028113 2.77254023],[-0.16559472  0.95192467],[7.01139578 4.77219222],[-0.90773912 -1.96417599],[2.56517747 8.33332427],[-2.05326651 -0.55954409],[7.39936492 7.11755084],[-1.52991572 -1.67304559],[3.97119846 8.22127081],[1.28943746 1.63384455],[3.55646955 6.58911841],[ 0.67669719 -1.46464514],[6.38035384 7.5914843 ],[1.95355589 0.25697266],[2.17060551 1.35145881],[ 0.36483774 -1.70781094],[3.7964653  0.00626017],[-1.26652229 -1.70695656]
[8.15390489 2.72437779],[1.36366974 0.83924922],[9.95820176 2.87056251],[-0.27578381  1.00474697],[6.93100308 4.60197945],[-0.73257976 -1.51157943],[2.38885794 8.28034062],[-1.54600024 -0.51693172],[7.26641872 6.9720717 ],[-1.19162232 -1.30485944],[4.08635    8.36115309],[1.0575286  1.22162085],[3.6219178  6.45076426],[ 0.63503703 -1.31893164],[6.55377974 7.61134476],[1.56685416 0.14753403],[2.20833072 1.19855992],[ 0.39300309 -1.38456563],[ 3.68719899 -0.13793907],[-0.96672384 -1.243111  ]
[8.27839916 2.80556411],[1.143205   0.79325962],[9.92535971 2.9729369 ],[-0.37771876  1.04165821],[6.86162156 4.46251136],[-0.6667656  -1.30083045],[2.24843372 8.2282262 ],[-1.28693298 -0.53369011],[7.15531775 6.85026434],[-1.04671205 -1.1492777 ],[4.18702859 8.47131145],[0.96835916 0.99765307],[3.68411437 6.32341231],[ 0.61190582 -1.23412594],[6.6997078  7.62189345],[1.36847983 0.06472374],[2.25016386 1.07087903],[ 0.44661113 -1.18109684],[ 3.59828683 -0.24903418],[-0.82487286 -0.99707137]
[8.38501375 2.88447962],[0.99707021 0.78952393],[9.88283782 3.078209  ],[-0.47154731  1.06060562],[6.79641639 4.33912913],[-0.64318016 -1.17732572],[2.12886625 8.17292491],[-1.11360284 -0.57512306],[7.05522849 6.74014234],[-0.96175724 -1.06064795],[4.2817773  8.56285542],[0.93378595 0.84169818],[3.74498825 6.20330418],[ 0.6068648 -1.1718181],[6.82990465 7.62463868],[ 1.24484658 -0.00756539],[2.29768436 0.96032116],[ 0.50639648 -1.03472234],[ 3.52018742 -0.3399637 ],[-0.74265749 -0.82882234]
[8.47842457 2.96362431],[0.87400505 0.79439508],[9.83106193 3.18427795],[-0.56290231  1.05802805],[6.73261925 4.2260018 ],[-0.63177451 -1.08695446],[2.02459313 8.11289994],[-0.97511845 -0.62574829],[6.96202035 6.63706914],[-0.90625375 -1.00512328],[4.37438784 8.64037186],[0.92164488 0.71225126],[3.80565446 6.08845789],[ 0.60556255 -1.12888743],[6.9498065  7.62045046],[ 1.16058943 -0.0726139 ],[2.35159434 0.86302927],[ 0.56981915 -0.91694838],[ 3.44870024 -0.41603905],[-0.68864658 -0.69479421]
[8.5603599 3.043678 ],[0.76922083 0.81026722],[9.77092223 3.28977259],[-0.63824686  1.05007518],[6.66965194 4.12091689],[-0.62903041 -1.01781421],[1.93277453 8.04705492],[-0.8623166  -0.69093091],[6.8732345  6.53830223],[-0.87148945 -0.97249459],[4.46670179 8.70589917],[0.9264014  0.60009752],[3.86625935 5.9772513 ],[ 0.60767195 -1.09588463],[7.06216208 7.60963729],[ 1.0921332  -0.14044122],[2.41210763 0.77683526],[ 0.6403111  -0.80915214],[ 3.38191216 -0.479485  ],[-0.64756216 -0.57449165]
[8.63261083 3.12591532],[0.67770117 0.83585092],[9.70363856 3.39390699],[-0.70711479  1.03013646],[6.60639076 4.02178573],[-0.63434989 -0.96397335],[1.85153766 7.9742491 ],[-0.76149972 -0.76362648],[6.78731739 6.44211838],[-0.84706526 -0.95157611],[4.55970843 8.76037877],[0.93291833 0.48844454],[3.92732334 5.86913094],[ 0.61296308 -1.06835555],[7.16851668 7.59227621],[ 1.03298033 -0.21050726],[2.48022564 0.70148602],[ 0.72109048 -0.69969539],[ 3.31889339 -0.53114581],[-0.6168649  -0.46229858]
[8.69612257 3.2110155 ],[0.59135736 0.86460557],[9.62983567 3.49564499],[-0.76989745  1.00145737],[6.54283082 3.92800361],[-0.63603287 -0.91164167],[1.78068451 7.89458995],[-0.65813307 -0.83170408],[6.70351241 6.34764358],[-0.83083279 -0.93984582],[4.65382719 8.80404938],[0.95090412 0.38625704],[3.98911292 5.76366096],[ 0.62407387 -1.04062432],[7.26940617 7.56791309],[ 0.9864649  -0.27593152],[2.55596141 0.63645901],[ 0.79073857 -0.60375444],[ 3.25861222 -0.57172039],[-0.59084152 -0.35050362]
[8.75093044 3.2988609 ],[0.50772659 0.89495145],[9.55031551 3.59445946],[-0.82136028  0.97211575],[6.47874088 3.83890124],[-0.64588558 -0.87104812],[1.72009959 7.80812753],[-0.55408804 -0.89763813],[6.62128855 6.2542616 ],[-0.81396333 -0.92822771],[4.75003353 8.83774298],[0.97054129 0.28496466],[4.05191655 5.66066157],[ 0.6337763  -1.01810093],[7.36520586 7.5363128 ],[ 0.93207778 -0.35425942],[2.63860476 0.5810321 ],[ 0.86058839 -0.5057883 ],[ 3.20072363 -0.6010457 ],[-0.56730774 -0.23538391]
[8.79752238 3.38982263],[0.42585009 0.92567315],[9.46550092 3.68969436],[-0.87503887  0.93106085],[6.413487  3.7535594],[-0.6582697  -0.83524667],[1.66997034 7.71521524],[-0.4494365 -0.9609073],[6.54054395 6.1617996 ],[-0.79930003 -0.91949676],[4.84792186 8.86099368],[0.98643227 0.17934802],[4.1158312  5.55992235],[ 0.64252207 -0.99898604],[7.45596652 7.4971156 ],[ 0.88336185 -0.42967915],[2.72828138 0.53568409],[ 0.93414649 -0.39878614],[ 3.14525902 -0.61844547],[-0.54187861 -0.1113566 ]
