[5.89271954 2.50509897],[ 1.16676187 -0.76658515],[2.37526021 1.56068012],[-3.97506157  4.52337756],[2.63760175 3.48229735],[-4.07130551  3.08092333],[2.11804715 7.94857695],[ 4.30538366 -4.35537403],[4.9487702  3.04224511],[-0.96091892 -0.06056534],[8.95498943 2.92940679],[-4.95601757  4.30341235],[3.77977106 1.67035698],[3.87241745 0.28776731],[4.61355392 3.27725581],[-2.19972717 -3.16198868],[3.22960413 9.36743652],[4.55494845 4.22735071],[6.33680518 3.96051884],[-2.60658112  2.54854262]
[6.00332084 2.4335601 ],[ 1.05205771 -0.6709687 ],[2.16720201 1.80210261],[-1.41781041  1.70383966],[2.40018379 3.66434864],[-1.69210173  1.32790163],[2.34438119 7.71826859],[ 1.58042065 -1.62096832],[4.85182937 3.03737631],[-0.97728171 -0.03676705],[8.70448837 3.14400865],[-1.74816649  1.45685857],[4.04566962 1.69238503],[2.05931453 0.19809346],[4.46208522 3.06035273],[-1.17475149 -1.67190787],[3.46738725 9.58187229],[1.66143135 1.42084261],[6.15041669 4.14040334],[-1.48144875  1.40860657]
[6.10428253 2.37013347],[ 0.97026426 -0.60177181],[2.04780281 1.95177464],[-1.02881432  1.35234403],[2.25510741 3.78057463],[-1.27468187  1.04163975],[2.48152132 7.57583392],[ 1.22502399 -1.28694162],[4.75352561 3.03500855],[-0.98841634 -0.01074003],[8.55079423 3.2691111 ],[-1.39403915  1.10232897],[4.22716421 1.71244204],[1.63553021 0.21012202],[4.35811631 2.91360401],[-0.93783493 -1.3116654 ],[3.61290839 9.69895177],[1.31467865 0.98136829],[6.01766595 4.26433417],[-1.21470823  1.11172094]
[6.19814813 2.31290825],[ 0.90949729 -0.54455735],[1.95539646 2.07897678],[-0.835107    1.21005362],[2.13868803 3.87765848],[-1.06957161  0.91652069],[2.59545087 7.45452164],[ 1.07025688 -1.1562796 ],[4.65416018 3.03512911],[-0.99742638  0.01414025],[8.41912339 3.37064546],[-1.25963679  0.94249698],[4.37929141 1.73467077],[1.42614463 0.23513741],[4.27029637 2.79213639],[-0.82868719 -1.13258774],[3.73669964 9.78388703],[1.17902757 0.7332283 ],[5.90280089 4.36724679],[-1.09479388  0.96126226]
[6.2867883  2.26119514],[ 0.86414386 -0.49152349],[1.87897399 2.19630677],[-0.69846407  1.14579655],[2.03877294 3.96563263],[-0.93226099  0.85362693],[2.69737556 7.34213149],[ 0.97512579 -1.09858155],[4.55431902 3.03803153],[-1.00177352  0.0410616 ],[8.29686331 3.45994539],[-1.19521516  0.84816956],[4.51520538 1.75990572],[1.30508754 0.27487645],[4.19084151 2.68494423],[-0.76477261 -1.01767964],[3.85103214 9.84755616],[1.1165462  0.54790066],[5.79703958 4.45846648],[-1.02703505  0.86878967]
[6.37110308 2.21433078],[ 0.82160738 -0.44807004],[1.81474954 2.30916928],[-0.58978101  1.11496999],[1.95071569 4.0488711 ],[-0.83389806  0.81362223],[2.79181961 7.23421368],[ 0.91635142 -1.0641729 ],[4.4543973  3.04385372],[-0.99771261  0.07418463],[8.17905487 3.54122528],[-1.16586212  0.7795769 ],[4.64105834 1.78934951],[1.21539816 0.31295966],[4.11672903 2.58770235],[-0.72058409 -0.93132034],[3.96071412 9.89392044],[1.08036912 0.38162071],[5.69639232 4.5417508 ],[-0.98944779  0.79992179]
[6.45142991 2.17163833],[ 0.78475922 -0.40711573],[1.76047735 2.41982324],[-0.49902537  1.09887369],[1.87160546 4.12908272],[-0.75256143  0.79077974],[2.88115866 7.12879649],[ 0.87257305 -1.04587591],[4.35450734 3.05251275],[-0.99758296  0.10109357],[8.06317014 3.61636307],[-1.15130205  0.72764278],[4.75918689 1.82279615],[1.149981   0.35649448],[4.04629196 2.49810474],[-0.69093728 -0.86396011],[4.06770021 9.9242691 ],[1.06321476 0.22866487],[5.59861016 4.61888993],[-0.96707141  0.74584049]
[6.52828913 2.13298032],[ 0.7538326  -0.36534305],[1.71489796 2.52950768],[-0.41081376  1.09886468],[1.80036017 4.20785613],[-0.67665259  0.78314469],[2.96648621 7.02461954],[ 0.83475845 -1.03912094],[4.2546831  3.06379116],[-0.99521694  0.12777596],[7.94830174 3.68685747],[-1.14845287  0.68210503],[4.87086383 1.86008188],[1.08570285 0.38962359],[3.97843242 2.41473496],[-0.66652093 -0.80399767],[4.17335276 9.93954758],[1.05230019 0.07932461],[5.5027823  4.69132556],[-0.95066418  0.7041772 ]
[6.60201005 2.09829211],[ 0.72224823 -0.32717924],[1.6780761  2.63965789],[-0.32526199  1.10566239],[1.73605138 4.28591382],[-0.61012031  0.77919396],[3.04889416 6.92140914],[ 0.81110661 -1.02882174],[4.15522728 3.07776586],[-0.99354301  0.15169397],[7.83336577 3.75299909],[-1.15044536  0.64185325],[4.97711196 1.90128818],[1.03734529 0.43174411],[3.91249189 2.33678433],[-0.65219158 -0.75500313],[4.27836152 9.94035797],[ 1.0499338  -0.06018303],[5.4077423  4.75935923],[-0.94789539  0.66029343]
[6.67285848 2.0676279 ],[ 0.69675355 -0.28421302],[1.64902481 2.75001785],[-0.25624992  1.10217667],[1.67839402 4.36402036],[-0.54738218  0.77972882],[3.12879739 6.81873848],[ 0.78940121 -1.02303942],[4.05613302 3.09421476],[-0.9884841   0.17674091],[7.71821989 3.81544415],[-1.15369077  0.60677828],[5.0787615  1.94673552],[0.99618873 0.47727196],[3.84794198 2.26368529],[-0.63845701 -0.70661392],[4.38299574 9.92735319],[ 1.04266645 -0.19866494],[5.31322842 4.82365928],[-0.94195815  0.62723143]
[6.74090768 2.04100521],[ 0.66549077 -0.24703378],[1.62727028 2.86064172],[-0.18115286  1.10829384],[1.62688973 4.44234621],[-0.48220917  0.78796934],[3.20687609 6.71676115],[ 0.77360011 -1.01567696],[3.95786191 3.11339642],[-0.97739751  0.20628562],[7.60266204 3.87451109],[-1.15906927  0.57344449],[5.1761462  1.99646862],[0.95595843 0.52150302],[3.78426473 2.19494963],[-0.63443582 -0.6673357 ],[4.48634738 9.90036654],[ 1.02428465 -0.33924883],[5.21917664 4.88480429],[-0.93995599  0.59556565]
