[2.46458279 6.67522902],[ 1.79264338 -2.13470888],[1.7019971  9.98437179],[ 0.72849993 -4.21700974],[1.81668832 2.05418449],[-4.38770806 -1.94334516],[6.51701301 2.63724577],[-3.65929747  2.31831265],[7.46178898 3.09890946],[0.37939543 1.70025421],[1.61902803 7.3706628 ],[ 4.25401719 -4.74249986],[7.50666675 6.47908252],[4.05767408 1.47524258],[8.78878503 0.69287757],[ 4.51953501 -1.35735132],[6.75245643 1.37486004],[ 0.45209503 -0.96495142],[4.52101493 4.67843358],[-3.78864882  3.93547465]
[2.60960019 6.50349467],[ 1.24161028 -1.45525782],[1.75250729 9.70630564],[ 0.4155244  -2.13177665],[1.55110218 1.93766237],[-1.92504623 -0.83138163],[6.27940179 2.78860779],[-1.79688098  1.15153487],[7.49343381 3.25650596],[0.26370406 1.47996579],[1.83782102 7.12770514],[ 1.52528713 -1.68338386],[7.76784682 6.57286641],[1.95038932 0.68904056],[9.06474362 0.61256508],[ 2.00374724 -0.55483042],[6.79518103 1.28258946],[ 0.40472782 -0.88242638],[4.3080417  4.90016509],[-1.50904465  1.57352952]
[2.72348611 6.3707582 ],[ 1.06015113 -1.23026885],[1.79213413 9.51670029],[ 0.38936212 -1.72647122],[1.38550642 1.86737718],[-1.45600275 -0.60495654],[6.12156748 2.89079424],[-1.41912721  0.92868918],[7.51512421 3.39777707],[0.1727237  1.35578531],[1.97140904 6.98137822],[ 1.20316757 -1.31044752],[7.93683004 6.63123667],[1.494446   0.50113792],[9.23696739 0.5679234 ],[ 1.51324876 -0.35812286],[6.83370019 1.19803506],[ 0.36364808 -0.8132646 ],[4.17775962 5.03606005],[-1.15474434  1.20204329]
[2.82455461 6.2538761 ],[ 0.97205293 -1.11670918],[1.83127018 9.35359993],[ 0.39764429 -1.55423358],[1.25286251 1.81372566],[-1.21751693 -0.47709143],[5.98916614 2.97816322],[-1.24522177  0.83141363],[7.5287322  3.52945669],[0.10005107 1.28199895],[2.0847269  6.85927378],[ 1.07939271 -1.14959825],[8.07396463 6.67576822],[1.26733808 0.39544307],[9.37510702 0.53900837],[ 1.26758505 -0.22923576],[6.86785373 1.11951627],[ 0.32123206 -0.75686711],[4.07158053 5.14707248],[-0.98657147  1.03380136]
[2.91946272 6.1462507 ],[ 0.92951538 -1.04202573],[1.87174482 9.20303572],[ 0.41618999 -1.46217448],[1.1391422  1.77061159],[-1.0659369  -0.38920687],[5.87035668 3.05868844],[-1.13901988  0.78382863],[7.53527705 3.65486009],[0.03210564 1.22939076],[2.18912734 6.74898427],[ 1.0168046  -1.06220619],[8.19286143 6.71112425],[1.12092202 0.31596383],[9.4934022  0.52156805],[ 1.11036642 -0.11859195],[6.898119   1.04660691],[ 0.28599849 -0.70036408],[3.97874688 5.24539079],[-0.88120064  0.93589832]
[3.01108388 6.04471389],[ 0.90486211 -0.9919716 ],[1.9143599  9.05971509],[ 0.43863161 -1.40615978],[1.03802778 1.73493816],[-0.95713129 -0.32236774],[5.76018162 3.13555096],[-1.06599107  0.75863616],[7.53541044 3.77587694],[-0.0305469   1.19069495],[2.28916142 6.64593477],[ 0.98405838 -1.00569945],[8.29949181 6.73942408],[1.01522456 0.25015316],[9.597611   0.51422415],[ 0.98305041 -0.02455411],[6.92523484 0.97948464],[ 0.25195052 -0.64703385],[3.89466255 5.33561034],[-0.80591085  0.87067156]
[3.10037521 5.94702319],[ 0.88376658 -0.96205439],[1.95940151 8.92109558],[ 0.46366452 -1.36701279],[0.94721867 1.7060798 ],[-0.86340374 -0.25738759],[5.65598946 3.21023566],[-1.02093264  0.73571935],[7.52967914 3.89365896],[-0.0837492   1.16555813],[2.38632095 6.54719267],[ 0.96122836 -0.97096683],[8.39662413 6.76133143],[0.92846871 0.18671014],[9.69091934 0.51693008],[0.88361731 0.07696139],[6.9485982  0.91725469],[ 0.21725439 -0.59580803],[3.81703441 5.42012436],[-0.74860364  0.82215188]
[3.18810341 5.85210426],[ 0.87000582 -0.93898144],[2.00732662 8.78618189],[ 0.49359935 -1.33365902],[0.86501036 1.68339877],[-0.78483365 -0.19919994],[5.55607929 3.28336397],[-0.98076945  0.72573016],[7.51841906 4.00880393],[-0.14057555  1.13841925],[2.48185468 6.45160056],[ 0.94917238 -0.94345213],[8.48611759 6.77733384],[0.8637404  0.13428337],[9.77467192 0.52973682],[0.79156769 0.1786768 ],[6.96841776 0.8600734 ],[ 0.17997852 -0.54686082],[3.74432246 5.50010895],[-0.70681808  0.77923743]
[3.27479155 5.75935342],[ 0.86338475 -0.91760346],[2.05820593 8.65426817],[ 0.52296976 -1.30628616],[0.79001588 1.66617166],[-0.71337575 -0.14287685],[5.4593729  3.35527739],[-0.95057946  0.71684353],[7.50173753 4.12153453],[-0.19060389  1.11839558],[2.57625445 6.35825087],[ 0.9386742  -0.92509416],[8.56911563 6.78766916],[0.79725514 0.07220489],[9.84923509 0.55270959],[0.69959366 0.2810954 ],[6.98442797 0.80779477],[ 0.14020978 -0.49831005],[3.67565405 5.57639853],[-0.66836562  0.74664987]
[3.36079482 5.66841439],[ 0.85782153 -0.90080625],[2.11166762 8.52461909],[ 0.54410463 -1.28876443],[0.72198471 1.65461055],[-0.6508727  -0.09147508],[5.36559307 3.42660591],[-0.92188978  0.71390255],[7.48008254 4.23222965],[-0.24203634  1.09573655],[2.66985758 6.26663523],[ 0.93408683 -0.90739327],[8.64595085 6.79194005],[0.74033038 0.01315209],[9.91459068 0.58617059],[0.60961921 0.39136599],[6.99669838 0.76077795],[ 0.10365131 -0.44294196],[3.61051428 5.64960178],[-0.63426978  0.71889106]
[3.44639459 5.57911229],[ 0.85573552 -0.88417648],[2.16710433 8.39661269],[ 0.56489432 -1.27101231],[0.6605277  1.64865505],[-0.578218   -0.02707845],[5.2745559  3.49778684],[-0.90090419  0.70835468],[7.45334379 4.3406536 ],[-0.2962142   1.06910672],[2.76305835 6.1766262 ],[ 0.92935363 -0.89390922],[8.71727179 6.7902251 ],[ 0.68580947 -0.04846404],[9.97091845 0.63107219],[0.51290486 0.50404523],[7.00469882 0.71893551],[ 0.05768163 -0.39164744],[3.54864362 5.7202236 ],[-0.60308216  0.69453543]
