[5.43789295 1.81633312],[-1.56167376 -3.55592478],[9.05350995 6.70514605],[-2.46243412 -4.92482385],[0.21622598 8.18311529],[ 4.84086137 -3.95229892],[8.95451031 2.23292933],[-4.70766435  1.23746042],[3.25083639 8.04753335],[-3.19754649  2.37702519],[6.13606293 8.57415863],[ 2.7585082  -3.77124439],[2.7287606  3.04495899],[ 2.65819999 -4.41872647],[1.36078897 1.18427029],[-4.60936665 -1.20819751],[9.73806647 7.51423737],[-4.02287534  3.68049531],[3.39493903 5.85024387],[-1.30950974 -0.83157073]
[5.32990407 1.57518392],[-0.8501068  -1.83898148],[8.91218738 6.42881219],[-1.04117781 -1.96081108],[0.46889607 7.97765032],[ 1.77486897 -1.43157553],[8.66740674 2.31034506],[-2.12143485  0.59475195],[3.03557648 8.20612539],[-1.64600642  1.19002724],[6.30547114 8.33787949],[ 1.23190195 -1.7722209 ],[2.88624742 2.78882065],[ 1.15890555 -1.82383076],[1.08061011 1.11393477],[-2.03689082 -0.47611353],[9.50719875 7.71925724],[-1.68968332  1.42237815],[3.27351798 5.771229  ],[-1.13175794 -0.75595796]
[5.25400712 1.41614871],[-0.69501001 -1.40157357],[8.81807003 6.25886111],[-0.87719976 -1.51062317],[0.62484086 7.85294014],[ 1.41022875 -1.11857526],[8.48076937 2.36478316],[-1.68494784  0.51218111],[2.89170078 8.30832499],[-1.28234082  0.89387941],[6.41058072 8.18036061],[ 0.9130919  -1.43808496],[2.98951516 2.63301593],[ 0.947877   -1.35962358],[0.90555884 1.07684098],[-1.53796914 -0.2850255 ],[9.35619691 7.83868639],[-1.38849164  1.02288877],[3.16640252 5.69759701],[-1.01457537 -0.71814349]
[5.18786649 1.28837877],[-0.63593461 -1.17172433],[8.73318672 6.11934513],[-0.83451941 -1.30421492],[0.75755322 7.74811792],[ 1.26163436 -0.99380405],[8.32280261 2.41479759],[-1.49436458  0.49493791],[2.77276939 8.38838023],[-1.10718845  0.72475777],[6.49280437 8.04411828],[ 0.74248618 -1.30596405],[3.07961452 2.50935018],[ 0.86680292 -1.13253364],[0.76510247 1.0547796 ],[-1.29031291 -0.15888759],[9.22344374 7.92962262],[-1.28435743  0.81044107],[3.06941286 5.62676111],[-0.9296815  -0.70176463]
[5.12617872 1.17990611],[-0.60276475 -1.00700813],[8.65007945 5.99563184],[-0.83064571 -1.17767266],[0.87945239 7.6522335 ],[ 1.18725736 -0.92670989],[8.17913026 2.46440801],[-1.38884048  0.49875596],[2.66778843 8.45450216],[-0.99903801  0.60366679],[6.56096807 7.91715913],[ 0.62454309 -1.24251222],[3.16489162 2.40446868],[ 0.83888071 -0.97863558],[0.64439568 1.04414124],[-1.1303712  -0.05289308],[9.09729993 8.0028388 ],[-1.24798783  0.65769842],[2.98016156 5.55711638],[-0.8586334  -0.69371184]
[5.06618887 1.08533393],[-0.59605252 -0.88528696],[8.5662992  5.88241186],[-0.84645667 -1.09076284],[0.99590178 7.5617865 ],[ 1.14515921 -0.8855626 ],[8.04358518 2.51460523],[-1.32645489  0.50601617],[2.57171356 8.50963128],[-0.92360673  0.50440149],[6.61830285 7.79441455],[ 0.52467622 -1.21637024],[3.24859218 2.31291863],[ 0.83807808 -0.85648446],[0.53756802 1.04385633],[-1.01043669  0.04719346],[8.97304224 8.06216841],[-1.24045705  0.53213003],[2.89727405 5.48769671],[-0.80301629 -0.6982032 ]
[5.00630955 1.00197383],[-0.60261816 -0.7837235 ],[8.48049437 5.77681546],[-0.86973683 -1.0228714 ],[1.10919876 7.47486398],[ 1.12224072 -0.8550872 ],[7.91316643 2.56570294],[-1.28464376  0.51595449],[2.48216375 8.55543266],[-0.86866209  0.41409447],[6.66649553 7.6735369 ],[ 0.44068176 -1.20331485],[3.33309682 2.23273518],[ 0.85016184 -0.75297897],[0.44186546 1.05381122],[-0.90775839  0.15040223],[8.8485213  8.10945154],[-1.24937043  0.4174073 ],[2.81950705 5.41746214],[-0.75389002 -0.70784459]
[4.94512918 0.92800755],[-0.61796531 -0.69272832],[8.39193035 5.67716547],[-0.89992451 -0.96970489],[1.22062182 7.39050561],[ 1.10602161 -0.8343938 ],[7.78641003 2.61796883],[-1.25267552  0.52875029],[2.39776526 8.59276717],[-0.82200594  0.33211228],[6.70716167 7.55390579],[ 0.37318855 -1.19126395],[3.41858757 2.16170059],[ 0.86124911 -0.66843477],[0.35578113 1.07412112],[-0.81327745  0.25817834],[8.7228863  8.14580869],[-1.26159443  0.31325391],[2.74674945 5.34639656],[-0.69852682 -0.710614  ]
[4.88241216 0.86316385],[-0.63635654 -0.60391169],[8.30045255 5.58262202],[-0.92769437 -0.92023515],[1.3303297  7.30758474],[ 1.08821823 -0.82529579],[7.66234069 2.67137965],[-1.22813107  0.54095208],[2.31744862 8.62181583],[-0.78674966  0.24754097],[6.74115548 7.434963  ],[ 0.30460392 -1.19085091],[3.50585391 2.09922444],[ 0.8844215  -0.58203299],[0.2787368  1.10523144],[-0.72595239  0.36655473],[8.59618969 8.17233212],[-1.27100875  0.21973026],[2.67922892 5.27476274],[-0.65139444 -0.72154224]
[4.81789325 0.80736522],[-0.65832793 -0.51589917],[8.20662329 5.49318687],[-0.94861211 -0.86904189],[1.43887676 7.22587238],[ 1.08031707 -0.81211963],[7.54064111 2.72615242],[-1.20532317  0.55562736],[2.24024618 8.64220276],[-0.75893168  0.15888538],[6.76836256 7.31585464],[ 0.2392951  -1.19233701],[3.59492499 2.04456365],[ 0.8987308  -0.51024867],[0.21010006 1.14704432],[-0.64633739  0.47024352],[8.46821922 8.18938969],[-1.28787701  0.12197587],[2.61635509 5.20195629],[-0.60490769 -0.73342797]
[4.75077875 0.76015745],[-0.68608995 -0.42979314],[8.11017734 5.4081177 ],[-0.97942871 -0.83228339],[1.54633415 7.1449784 ],[ 1.07117567 -0.8038694 ],[7.42079646 2.78207846],[-1.18804756  0.56669555],[2.16600193 8.65391886],[-0.72711915  0.07412746],[6.78874216 7.1961654 ],[ 0.16744724 -1.20233485],[3.68589444 1.99738693],[ 0.92124147 -0.43292236],[0.15014776 1.19992714],[-0.55450217  0.58507624],[8.33906049 8.19721983],[-1.29758696  0.03234425],[2.55786206 5.12766878],[-0.5664597  -0.75380818]
[4.68061214 0.72149897],[-0.71927251 -0.34483975],[8.01133574 5.32720032],[-0.99951794 -0.78887753],[1.65281714 7.06472781],[ 1.05950486 -0.8004399 ],[7.30282815 2.83933883],[-1.17264039  0.57725128],[2.09459019 8.65668716],[-0.70088893 -0.01913262],[6.80231211 7.0758376 ],[ 0.10231566 -1.20601256],[3.77877906 1.95757374],[ 0.93669498 -0.36323434],[0.09945207 1.2641337 ],[-0.45519711  0.70194478],[8.20887897 8.19601358],[-1.30327396 -0.05365501],[2.50327527 5.05139232],[-0.52246654 -0.76895482]
[4.60723087 0.69164547],[-0.7491899 -0.2524727],[7.91000949 5.24994534],[-1.02504558 -0.75495328],[1.75819603 6.98479599],[ 1.05151858 -0.79488893],[7.18594543 2.89718104],[-1.16439751  0.58009699],[2.0258114  8.64988527],[-0.67452904 -0.11768658],[6.80952908 6.95528937],[ 0.04412384 -1.20317859],[3.87304924 1.92457186],[ 0.94972088 -0.29568062],[0.05944589 1.34030012],[-0.3487467  0.8154096],[8.07837854 8.18648116],[-1.30420702 -0.13435554],[2.4533521  4.97382939],[-0.47901215 -0.78535783]
[4.5309261  0.67129394],[-0.77793955 -0.15517688],[7.80654444 5.17631143],[-1.04812411 -0.72234335],[1.86283549 6.90544029],[ 1.04369355 -0.78990403],[7.07011859 2.95551064],[-1.15216053  0.58645401],[1.95979    8.63299854],[-0.64317811 -0.21848091],[6.81101622 6.83504804],[-0.01642755 -1.20367933],[3.968744   1.89852273],[ 0.96181548 -0.22745471],[0.02966533 1.42672588],[-0.2459993   0.91143037],[7.94815559 8.16931911],[-1.30032264 -0.20881638],[2.40783105 4.89465777],[-0.43405529 -0.80076329]
[4.45155128 0.66060232],[-0.80672713 -0.05574751],[7.70096374 5.10593499],[-1.06521804 -0.68755922],[1.96664102 6.82650863],[ 1.03130653 -0.79001377],[6.95554008 3.01449605],[-1.13963568  0.59300856],[1.89681567 8.60553484],[-0.61613522 -0.3319695 ],[6.80643155 6.71478046],[-0.07312086 -1.19956768],[4.06535721 1.87908759],[ 0.9711345  -0.16018861],[0.01036875 1.5221791 ],[-0.14117822  0.99369907],[7.81854892 8.14500827],[-1.29237194 -0.2775425 ],[2.36689699 4.81401485],[-0.3839041  -0.81151142]
[4.36945924 0.66005254],[-0.8339161   0.04552834],[7.59373732 5.03892722],[-1.07857192 -0.65238421],[2.06916068 6.74748116],[ 1.02109348 -0.78857793],[6.84195793 3.07385637],[-1.13216683  0.59394927],[1.83690225 8.56662918],[-0.58216158 -0.44745722],[6.79622316 6.59497139],[-0.12728563 -1.19294146],[4.16300723 1.86662253],[ 0.98230973 -0.08810499],[0.00175677 1.62524791],[-0.03139048  1.06461554],[7.69007969 8.11428826],[-1.27897575 -0.33816456],[2.33073931 4.73202222],[-0.34052347 -0.82954849]
[4.28484455 0.6697155 ],[-0.85914086  0.14604987],[7.485445   4.97557397],[-1.08835141 -0.61622653],[2.17050103 6.66842697],[ 1.0039074  -0.79443463],[6.72917299 3.13332062],[-1.12199039  0.59681425],[1.78074493 8.51612195],[-0.53850909 -0.56122927],[6.78116786 6.47632279],[-0.17786363 -1.18415339],[4.26173944 1.86152858],[ 0.98991964 -0.01566906],[0.00413629 1.73461347],[0.07753149 1.11891435],[7.562945   8.07764287],[-1.26383507 -0.39431234],[2.29894817 4.64826173],[-0.29576987 -0.84602351]
[4.19821737 0.68966688],[-0.87450929  0.25054019],[7.37587913 4.91539584],[-1.10086549 -0.5857945 ],[2.27015311 6.58878834],[ 0.9898631  -0.79761757],[6.61729284 3.19293255],[-1.11227131  0.59876317],[1.72934904 8.4543205 ],[-0.4887326  -0.67469243],[6.76076603 6.35829324],[-0.22849405 -1.17487184],[4.36064864 1.86324528],[0.99099581 0.05318809],[0.01710368 1.84842894],[0.17961237 1.15353764],[7.43750364 8.03572245],[-1.2436947 -0.4421138],[2.27171736 4.56295494],[-0.24969884 -0.86087508]
