[7.71786079 2.82506516],[-1.94394704 -2.18576454],[0.34143137 9.54504874],[ 1.69844496 -4.25791418],[1.08747198 8.60130286],[1.03022536 4.51894006],[4.40351268 4.26264099],[-4.59540702  0.08819435],[9.79851162 3.94001118],[ 2.94795118 -2.27864859],[7.32681285 8.91451961],[-4.54232262  4.26373093],[8.80335455 2.60829642],[-4.57672453  2.29274726],[1.07321673 8.08798824],[0.3831772 4.8074408],[6.17360369 6.50929866],[-0.39757316 -1.1537326 ],[9.9391528  2.01220412],[-1.08198965 -3.82994655]
[7.56365361 2.65739656],[-1.30635244 -1.35828844],[0.45216939 9.27608768],[ 0.86964867 -2.0152719 ],[1.15645481 8.88032793],[0.56809511 2.03733922],[4.11703887 4.26970916],[-2.11214893  0.07106094],[10.0017318   3.78159769],[ 1.55415967 -1.22671187],[7.09018751 9.13211908],[-1.65583225  1.46263897],[8.53301262 2.74510615],[-1.96856349  1.01430764],[1.10100907 8.37854163],[0.25777962 2.1070559 ],[6.13400679 6.39554401],[-0.39383247 -1.12146113],[9.86115513 1.75600354],[-0.65492475 -1.93433921]
[7.44325958 2.53825161],[-1.12983217 -1.05667122],[0.53262594 9.09865966],[ 0.7673502 -1.598993 ],[1.21148326 9.05530142],[0.54847841 1.53316654],[3.93368594 4.27762422],[-1.62786313  0.08885926],[10.13559959  3.67395234],[ 1.1733288 -0.9609444],[6.94538944 9.25470303],[-1.30579649  1.04689661],[8.36055987 2.8355434 ],[-1.55106329  0.82891049],[1.12863415 8.55984742],[0.30148543 1.59507917],[6.09483788 6.28488968],[-0.38936924 -1.09202067],[9.79813164 1.58931519],[-0.62085408 -1.45904322]
[7.33457714 2.44258499],[-1.05585702 -0.869756  ],[0.60833541 8.9491789 ],[ 0.75555607 -1.40893339],[1.26833082 9.19482755],[0.59439287 1.27896271],[3.78372581 4.28770703],[-1.39116077  0.11563012],[10.24140092  3.58510925],[ 0.95511629 -0.8307536 ],[6.82254239 9.34761214],[-1.17094533  0.82585217],[8.21554425 2.91453766],[-1.36786879  0.76260885],[1.16183168 8.70524866],[0.36392249 1.33446427],[6.05567772 6.17662247],[-0.39248276 -1.0722243 ],[9.73477353 1.45733316],[-0.65195169 -1.19922002]
[7.2306605  2.36278569],[-1.02704002 -0.73112666],[0.68473179 8.8144286 ],[ 0.77377534 -1.29571814],[1.33065227 9.31330209],[0.65213908 1.09726169],[3.65229788 4.3005765 ],[-1.24810169  0.14109594],[10.32890245  3.50654401],[ 0.80212341 -0.7454724 ],[6.70909261 9.42211074],[-1.10767873  0.66896818],[8.08413046 2.98904856],[-1.26887643  0.73176829],[1.20201765 8.82979463],[0.44260267 1.16718433],[6.01611139 6.07018831],[-0.3989425  -1.05664756],[9.66685327 1.34703791],[-0.70835863 -1.01369239]
[7.12859054 2.29579083],[-1.01818713 -0.61271589],[0.76314639 8.68861758],[ 0.79530854 -1.22469928],[1.39899087 9.41537838],[0.71502088 0.94784158],[3.53294566 4.31619836],[-1.14400088  0.17176394],[10.40252962  3.43503664],[ 0.67253756 -0.68881487],[6.59998716 9.48236012],[-1.07554359  0.54220247],[7.9608119 3.0616984],[-1.200227    0.72499234],[1.25069596 8.94002579],[0.52896763 1.03910284],[5.97590723 5.96530592],[-0.40460216 -1.04053735],[9.59262685 1.25350301],[-0.78084289 -0.86391198]
[7.02685379 2.2401154 ],[-1.02097601 -0.50521692],[0.84405508 8.56904569],[ 0.82550973 -1.16675735],[1.47426974 9.50387694],[0.79105948 0.82427555],[3.42267933 4.33494638],[-1.06361548  0.20424616],[10.4640383   3.36853533],[ 0.55645129 -0.64574648],[6.49308537 9.53068955],[-1.06220742  0.42860014],[7.84325777 3.13416305],[-1.15035353  0.72835884],[1.30806315 9.03834626],[0.61628583 0.92710392],[5.93529894 5.86216891],[-0.40893583 -1.02366161],[9.51098943 1.1743083 ],[-0.85354148 -0.72278625]
[6.92419896 2.1945651 ],[-1.03358471 -0.40745086],[0.92793687 8.4545983 ],[ 0.8528793  -1.12266317],[1.55719226 9.58042823],[0.86579145 0.70626923],[3.31899765 4.35629638],[-1.00726585  0.22737243],[10.51380897  3.30544186],[ 0.44181708 -0.6148914 ],[6.38677073 9.56784526],[-1.06254887  0.31807872],[7.72992764 3.20709112],[-1.11740974  0.73093016],[1.3740747  9.12580046],[0.70520813 0.82432052],[5.89425811 5.76070757],[-0.41221854 -1.00608065],[9.42150998 1.1084008 ],[-0.93731822 -0.59764272]
[6.82024689 2.15872719],[-1.04312837 -0.30708119],[1.01465939 8.34437221],[ 0.87841537 -1.08557195],[1.64748168 9.64533586],[0.93925896 0.59219732],[3.2210327  4.38057098],[-0.95399506  0.25758363],[10.55282276  3.24580808],[ 0.33724212 -0.57954866],[6.28039297 9.59440415],[-1.06488406  0.21423801],[7.619349   3.28021056],[-1.09436005  0.73234051],[1.44871728 9.20293842],[0.78610107 0.71764558],[5.85283449 5.66093265],[-0.41483066 -0.98811027],[9.32371364 1.05479584],[-1.01546322 -0.47259785]
[6.71513408 2.13269991],[-1.06012386 -0.21502027],[1.10377044 8.23757033],[ 0.90005361 -1.05438778],[1.74529    9.69930522],[1.0131376  0.48478225],[3.12823723 4.40809251],[-0.90356968  0.29223974],[10.58077074  3.18907587],[ 0.22316011 -0.55329254],[6.17384644 9.61087838],[-1.06830501  0.11348956],[7.51099459 3.35367009],[-1.07083559  0.73946886],[1.53178478 9.26990904],[0.8711932 0.6184996],[5.81085354 5.56265263],[-0.42603212 -0.97861845],[9.21829224 1.01350134],[-1.0906118  -0.35287085]
[6.60806732 2.11544792],[-1.07998911 -0.12969698],[1.19498691 8.13379426],[ 0.92365022 -1.02181163],[1.84971698 9.74213877],[1.07516339 0.37329935],[3.04014421 4.43901138],[-0.85650806  0.32865548],[10.59725675  3.13513665],[ 0.10678492 -0.52421468],[6.06679514 9.61716868],[-1.07492272  0.01002047],[7.40470984 3.42774358],[-1.0549456   0.74228872],[1.62301762 9.3268178 ],[0.9535644  0.52088393],[5.76803153 5.46563908],[-0.42923501 -0.96056757],[9.10594788 0.98418803],[-1.15220737 -0.23186202]
