[9.40844254 7.22366671],[ 0.82085789 -0.78395782],[0.63297596 0.55700309],[-4.27983015  3.43091164],[0.24127477 5.52265209],[4.1944376  1.51063647],[9.68217508 2.50608627],[-4.0675924   4.56835004],[4.90550394 4.83754703],[-2.91809542  2.14925951],[7.44249094 4.71688028],[-1.05132488 -3.66140098],[1.74013057 0.16352195],[-3.48610729  4.60540378],[8.30567732 0.28164909],[2.27751029 3.13055961],[3.6318931  9.91547002],[-1.07948742 -4.58403024],[4.73217512 5.74112114],[1.4321455  0.57820037]
[9.48417524 7.14258611],[ 0.69435432 -0.83909282],[0.39671194 0.7537209 ],[-1.62557161  1.44456568],[0.5115617  5.61666266],[2.05651594 0.67963592],[9.46574017 2.74543675],[-1.5393092   1.65839344],[4.69847935 4.98960478],[-1.6283626   1.18960316],[7.36746291 4.46325015],[-0.61115591 -1.97244493],[1.55398568 0.41719901],[-1.26473316  1.81819988],[8.45851775 0.50037797],[1.13977052 1.73289728],[3.56700322 9.62875856],[-0.45513347 -2.1522511 ],[4.86768736 5.79390827],[1.29368496 0.48645235]
[9.54737221 7.05566552],[ 0.57379169 -0.89585901],[0.26096689 0.88327229],[-1.15506508  1.19568715],[0.69465318 5.67394413],[1.67088499 0.48975101],[9.32937936 2.88852124],[-1.24495292  1.26790763],[4.55439267 5.09417216],[-1.30039271  0.93648178],[7.31109762 4.28957484],[-0.53374712 -1.56112097],[1.44877726 0.57796177],[-0.88907136  1.46499888],[8.55451895 0.65675095],[0.81770857 1.44545382],[3.52979364 9.43780808],[-0.30591625 -1.73824682],[4.99233952 5.83891126],[1.20739883 0.41825153]
[9.59880369 6.9632417 ],[ 0.45557449 -0.95176016],[0.15944505 0.9984529 ],[-0.8941406   1.12159876],[0.85292082 5.71735802],[1.51261083 0.38451874],[9.21072424 3.00539924],[-1.13974102  1.0916766 ],[4.43333031 5.18091652],[-1.13649581  0.80963602],[7.25889817 4.14461806],[-0.51892252 -1.35989903],[1.37113076 0.71719622],[-0.67879929  1.3376752 ],[8.62612278 0.79504169],[0.62391501 1.33426707],[3.50373332 9.27334228],[-0.21949673 -1.57060332],[5.10955276 5.87741561],[1.1434838  0.35624661]
[9.63856049 6.86549044],[ 0.33955724 -1.00258159],[0.08023657 1.10975854],[-0.697583    1.11022384],[0.99953444 5.75161407],[1.43151028 0.3074954 ],[9.09905795 3.10872321],[-1.09816831  0.98412141],[4.32515412 5.25770258],[-1.03479859  0.73068949],[7.20673526 4.01533843],[-0.52879796 -1.23591812],[1.3114132  0.84801139],[-0.52070437  1.28693053],[8.68089399 0.92576833],[0.47704028 1.28745967],[3.48495945 9.12082414],[-0.15857941 -1.48819052],[5.22144483 5.91025493],[1.09715373 0.30196414]
[9.66659036 6.76280645],[ 0.21925403 -1.05185851],[0.01894554 1.221282  ],[-0.53274978  1.12195536],[1.14017465 5.77918992],[1.38180292 0.24214629],[8.99021074 3.20326397],[-1.08023815  0.91213966],[4.22519104 5.32763984],[-0.96815253  0.67103845],[7.15306886 3.8965668 ],[-0.54395486 -1.14218468],[1.26589939 0.97534115],[-0.39007412  1.26577768],[8.72200759 1.05323103],[0.34734896 1.2645962 ],[3.47164586 8.97454767],[-0.10550594 -1.43786498],[5.32958963 5.93822422],[1.06726625 0.25825845]
[9.68237149 6.65537921],[ 0.09659545 -1.09497821],[-0.02708565  1.33422841],[-0.38876221  1.1391616 ],[1.27684306 5.80062376],[1.35323621 0.18755753],[8.88262281 3.29176669],[-1.07447712  0.85870727],[4.1308625  5.39225664],[-0.91870172  0.62507039],[7.09769558 3.78618405],[-0.56404472 -1.06791576],[1.23285875 1.10153779],[-0.27131262  1.26094523],[8.75112925 1.17948458],[0.23317143 1.2581829 ],[3.46362112 8.83256855],[-0.05764767 -1.40573386],[5.4348211  5.96170214],[1.0386634  0.21195895]
[9.6861169  6.54431498],[-0.01803032 -1.12157899],[-0.05885973  1.44941973],[-0.24903216  1.16366997],[1.4109676  5.81667722],[1.33241058 0.13633188],[8.77512716 3.37537452],[-1.07894428  0.81206663],[4.04107016 5.45290936],[-0.87651997  0.59132862],[7.03974967 3.6822178 ],[-0.59688215 -1.01429535],[1.21117894 1.22754571],[-0.16528736  1.25826863],[8.76905596 1.30523338],[0.12597699 1.25658635],[3.46029159 8.69339222],[-0.01325514 -1.38257423],[5.53768691 5.98089526],[1.01909034 0.17204577]
[9.6786922  6.43121132],[-0.13147308 -1.14054634],[-0.07690026  1.56704761],[-0.11455041  1.18649017],[1.5435767  5.82813923],[1.31703383 0.09024975],[8.66675339 3.45440465],[-1.08918048  0.76910934],[3.95502672 5.51041326],[-0.84499162  0.55990965],[6.97880851 3.58366323],[-0.62471609 -0.96031555],[1.19993602 1.35357928],[-0.06470557  1.25848144],[8.77665632 1.43096152],[0.02579746 1.25661432],[3.4610001  8.55604862],[ 0.02422532 -1.36738662],[5.63847704 5.99587519],[1.00096248 0.1316343 ]
[9.65974343 6.31638282],[-0.24594234 -1.15357803],[-0.08180198  1.68666334],[0.01446137 1.20373987],[1.67473966 5.83508101],[1.30822715 0.05097437],[8.55746604 3.52955401],[-1.09364506  0.73760481],[3.87189303 5.56499927],[-0.82179735  0.52893667],[6.91501132 3.4902615 ],[-0.65301541 -0.91002315],[1.19829529 1.47946495],[0.02916563 1.25719754],[8.77455899 1.5566665 ],[-0.06560143  1.25799461],[3.46483569 8.41970122],[ 0.0527565 -1.3588388],[5.73759776 6.00690885],[0.98016266 0.08754192]
[9.6296917  6.20086995],[-0.35272833 -1.15382323],[-0.07427657  1.8074792 ],[0.13603021 1.21239351],[1.8051368  5.83834596],[1.30007486 0.01513144],[8.44781003 3.6018458 ],[-1.09827876  0.71000069],[3.79128833 5.61702287],[-0.79524474  0.5075651 ],[6.8481039  3.40150151],[-0.68641805 -0.86678688],[1.20553522 1.60491134],[0.11846916 1.25502182],[8.76336168 1.68210587],[-0.1586491   1.24909268],[3.47164199 8.2844273 ],[ 0.08011373 -1.34944787],[5.83493147 6.01376173],[0.96685975 0.0498592 ]
