[8.9673997  9.16325271],[-0.22054339  3.40432874],[6.0662466  5.54770704],[ 3.59757755 -3.94275456],[2.59312684 6.05421968],[-2.23037619  3.31979835],[3.6548877  2.20881087],[0.06571075 3.60323547],[7.49800768 3.7772731 ],[-3.16793099  4.21767931],[2.86671774 9.3766114 ],[-2.76246984  0.675344  ],[0.40419273 9.66459659],[-1.4567424  -1.36915364],[5.64500982 8.26936335],[-3.0903483   1.52910394],[4.07163464 4.69098966],[0.7541456  3.05340098],[2.25737857 2.28241737],[-4.95487265 -4.87167584]
[8.94647184 9.40968307],[-0.22195964  1.94505351],[6.27075204 5.32269622],[ 1.44636631 -1.60384324],[2.44415753 6.27866559],[-1.12411522  1.72614571],[3.66028773 2.46816961],[0.04856399 2.06957521],[7.31322389 4.02132323],[-1.34863692  1.76150545],[2.64927496 9.42634349],[-1.808445   0.3790916],[0.27941481 9.53885827],[-1.08032905 -1.17961046],[5.41927417 8.37855384],[-1.8124261   0.84484889],[4.12904772 4.923594  ],[0.46915128 1.90679488],[2.0207528  2.05144738],[-1.58152307 -1.52158298]
[8.92093968 9.58003135],[-0.28795864  1.52045155],[6.39442923 5.18394416],[ 1.08316637 -1.22931861],[2.34735979 6.43105117],[-0.84984389  1.37382358],[3.66509175 2.65364324],[0.04696372 1.69587025],[7.19399762 4.17508817],[-1.08337526  1.37824354],[2.48714605 9.45727319],[-1.4769869   0.24728173],[0.18330803 9.42463059],[-0.85794657 -1.11870089],[5.25694154 8.45099346],[-1.48233557  0.62948619],[4.17107755 5.09504741],[0.3826056  1.56902543],[1.88588412 1.92396489],[-1.18031063 -1.09071054]
[8.88802961 9.71943189],[-0.37234856  1.28535529],[6.49311845 5.07071183],[ 0.90192081 -1.05695593],[2.27009395 6.55918412],[-0.70475443  1.20802534],[3.67011088 2.81405161],[0.05216607 1.52927072],[7.09137039 4.30343356],[-0.98201731  1.20792939],[2.34895198 9.47675623],[-1.29983243  0.14780238],[0.10593863 9.31352852],[-0.69410195 -1.10673801],[5.11710733 8.50701013],[-1.33123544  0.49848068],[4.20701595 5.24291662],[0.33975964 1.40446011],[1.77787955 1.8267689 ],[-0.9995797 -0.8719431]
[8.84645717 9.83967073],[-0.46110855  1.12628098],[6.57717672 4.97071443],[ 0.78483185 -0.95159027],[2.20442482 6.67442019],[-0.61049259  1.10777454],[3.6757366 2.9620945],[0.05846695 1.43792877],[6.99581254 4.41899218],[-0.93582486  1.11019847],[2.22489348 9.48697082],[-1.1869696   0.05947403],[0.04360034 9.20256957],[-0.55160952 -1.11056361],[4.98863059 8.55184185],[-1.24457913  0.40311432],[4.23966826 5.37821762],[0.3146253  1.30891971],[1.68406636 1.74789327],[-0.88610808 -0.71396397]
[8.79565843 9.94578418],[-0.55755792  0.99777733],[6.65106183 4.87938003],[ 0.69451495 -0.88085026],[2.14718989 6.78176658],[-0.53588633  1.04454851],[3.68191794 3.10293396],[0.06519004 1.3831178 ],[6.90361142 4.52678432],[-0.91107575  1.04963596],[2.11060655 9.4889138 ],[-1.10346941 -0.02069405],[-5.12301366e-03  9.09079628e+00],[-0.42597033 -1.12705746],[4.86682619 8.58786378],[-1.19369767  0.32116374],[4.27023487 5.50582583],[0.29527647 1.24513847],[1.59946983 1.68300739],[-0.81310403 -0.58998239]
[ 8.73510452 10.04000965],[-0.65479284  0.88754573],[6.71670921 4.79409462],[ 0.6181454  -0.82938653],[2.09687616 6.88398617],[-0.47299244  1.00135493],[3.68896845 3.23953448],[0.07641619 1.35170333],[6.81315286 4.62948704],[-0.8994975   1.00686228],[2.0037217  9.48300909],[-1.03938727 -0.09995595],[-0.04195902  8.97700333],[-0.30873853 -1.14572576],[4.7495191  8.61662444],[-1.15680139  0.25336388],[4.29859775 5.62767853],[0.27049254 1.19277425],[1.52118308 1.6298614 ],[-0.75538281 -0.47456058]
[ 8.66424497 10.12309256],[-0.76264241  0.77446301],[6.77501111 4.71319694],[ 0.54747187 -0.79152929],[2.05219362 6.98229972],[-0.4179937   0.97022694],[3.69691794 3.37335302],[0.08008175 1.3239281 ],[6.72352768 4.72855299],[-0.89395661  0.97578236],[1.90260966 9.46913256],[-0.98403816 -0.17724622],[-0.06736694  8.86138019],[-0.20081874 -1.16662166],[4.63523147 8.63884597],[-1.12870508  0.19366034],[4.32461526 5.74505611],[0.24904144 1.15548753],[1.44798138 1.58794059],[-0.70966831 -0.36360814]
[ 8.58289968 10.19521191],[-0.86276121  0.66882306],[6.82658942 4.63580362],[ 0.48629415 -0.7557314 ],[2.01295285 7.07810842],[-0.36655147  0.94795042],[3.70517949 3.50479375],[0.08371946 1.30466099],[6.63417095 4.82480126],[-0.89633567  0.94743317],[1.80677711 9.44761496],[-0.93412442 -0.25389444],[-0.08187574  8.74420557],[-0.09084128 -1.17701456],[4.52297506 8.65489519],[-1.11628196  0.12865121],[4.34837283 5.85902505],[0.22836755 1.12714711],[1.37879725 1.55696551],[-0.67558191 -0.25615905]
[ 8.49215991 10.25713229],[-0.95441737  0.56590431],[6.87186312 4.56142939],[ 0.42086409 -0.73093496],[1.97891217 7.17217521],[-0.31657631  0.93227032],[3.71376533 3.63456943],[0.0899958  1.29336516],[6.54422071 4.91821728],[-0.90094058  0.92348589],[1.71567525 9.41832444],[-0.89109741 -0.33480052],[-0.08583801  8.62600202],[ 0.0132054  -1.18380041],[4.41245351 8.66529513],[-1.09512197  0.07958069],[4.37028833 5.97065183],[0.20991034 1.10616152],[1.31300416 1.53714303],[-0.64051844 -0.13908987]
[ 8.39217683 10.30821419],[-1.04385035  0.45526127],[6.91086421 4.48961557],[ 0.3612599  -0.70367893],[1.94957504 7.26468758],[-0.26952871  0.91937115],[3.72279694 3.76318383],[0.0886106  1.27764616],[6.45374445 5.00939199],[-0.9099852   0.89914757],[1.62887331 9.38096884],[-0.8461046  -0.41337711],[-0.07970802  8.50731965],[ 0.10973196 -1.18756381],[4.30341634 8.6704335 ],[-1.08395637  0.02546436],[4.39046144 6.08048483],[0.19396653 1.0913339 ],[1.25032751 1.52908933],[-0.61512467 -0.02278685]
[ 8.28364717 10.34801073],[-1.12223867  0.34302383],[6.94370156 4.42025479],[ 0.29558978 -0.68345247],[1.925111   7.35626088],[-0.2201655   0.91212505],[3.73153142 3.89028216],[0.08561938 1.2643995 ],[6.36234379 5.09824725],[-0.91789661  0.87841714],[1.54666416 9.33583653],[-0.79729595 -0.48843924],[-0.0638971  8.388833 ],[ 0.20332932 -1.18328829],[4.19529229 8.67010193],[-1.0786836  -0.03207401],[4.40920171 6.18910374],[0.17673401 1.07739374],[1.19038376 1.53327378],[-0.58442463  0.10704269]
