[1.83887882 5.722916  ],[ 4.10340358 -3.97996271],[8.71759488 8.09842243],[-4.85273135  3.64892489],[3.0184349  9.00276915],[3.48599921 3.80019337],[9.87380212 5.15045648],[ 0.53932626 -1.32529811],[6.06650021 6.38581206],[-4.32817076  1.57111044],[6.01415497 9.52122302],[-0.49137232 -0.58707584],[3.25347454 5.7000647 ],[0.93610691 0.89406406],[6.29918993 1.80230843],[1.91248925 4.75461027],[6.64294011 4.00678545],[-2.18269816 -2.69608812],[9.64270567 1.0226151 ],[-0.51304401 -0.06132824]
[2.06675175 5.5058613 ],[ 1.63969922 -1.51595038],[8.46006813 8.2878219 ],[-1.81298127  1.28166814],[3.22504121 9.221363  ],[1.5246843  1.53433471],[9.92062669 5.02412274],[ 0.40520028 -1.20835678],[5.79584879 6.48296906],[-2.00761777  0.70620033],[5.96418594 9.45647175],[-0.50797765 -0.70775116],[3.34735242 5.78628701],[0.94255074 0.83232029],[6.41065198 2.08364305],[0.79368647 2.05671575],[6.48398465 3.81285375],[-1.27222405 -1.52506738],[9.58516678 1.0222372 ],[-0.63674217  0.05579519]
[2.21200847 5.37605195],[ 1.32610365 -1.13758049],[8.30108187 8.39513921],[-1.43516127  0.91697387],[3.36104674 9.35077564],[1.25039238 1.11356287],[9.9556205  4.90749081],[ 0.29610727 -1.13040046],[5.6210219  6.54392272],[-1.56099915  0.53504522],[5.91326019 9.3804285 ],[-0.50995698 -0.81183652],[3.44253588 5.86721143],[0.95984479 0.78561172],[6.47862873 2.26475378],[0.59543171 1.63835329],[6.37023996 3.6791743 ],[-1.03752445 -1.19153245],[9.51537754 1.03386084],[-0.75646633  0.17807202]
[2.33800734 5.27226168],[ 1.20844165 -0.95684069],[8.16613014 8.47666786],[-1.28381352  0.72753162],[3.48044563 9.44982108],[1.15352605 0.88444336],[9.98007004 4.79721679],[ 0.19085506 -1.08091495],[5.47639384 6.59267854],[-1.35129206  0.44870649],[5.86230269 9.29438058],[-0.50730563 -0.90602009],[3.53925306 5.94344897],[0.97325314 0.7384857 ],[6.53263585 2.41874071],[0.49355708 1.46277523],[6.27215777 3.56935686],[-0.9336289 -1.0168162],[9.43393804 1.0575033 ],[-0.8663131   0.29712878]
[2.45642667 5.1832241 ],[ 1.16586003 -0.83172596],[8.04161631 8.54218686],[-1.21011177  0.59347291],[3.5935545 9.5295534],[1.11614682 0.71813755],[9.99402473 4.69103382],[ 0.0891189  -1.04397803],[5.34799847 6.63456861],[-1.22431009  0.39404536],[5.81208155 9.19976267],[-0.49532305 -0.98297733],[3.63692582 6.01472716],[0.9812314  0.68850773],[6.57845493 2.56001732],[0.4261467  1.37136706],[6.18224231 3.47423443],[-0.87098347 -0.89295454],[9.34309268 1.09340939],[-0.94683516  0.41935014]
[2.5718732  5.10469837],[ 1.14593774 -0.74285076],[7.92296872 8.59623148],[-1.16803747  0.48952222],[3.70438741 9.59416737],[1.10775391 0.58162138],[9.99779615 4.58807699],[-0.01049449 -1.01290657],[5.2297155  6.67142692],[-1.14719309  0.34366985],[5.76354831 9.09838179],[-0.47356259 -1.04125692],[3.73603908 6.08178054],[1.00157755 0.65365304],[6.61826537 2.69416974],[0.37479312 1.31885328],[6.09715102 3.38984179],[-0.83384893 -0.79830527],[9.24511526 1.14074123],[-1.00553477  0.52793573]
[2.68609417 5.03412594],[ 1.13923583 -0.67169151],[7.80722522 8.64033418],[-1.14667926  0.39671735],[3.81523191 9.64603981],[1.11202584 0.45900228],[9.99196577 4.4883678 ],[-0.1060437  -0.98175534],[5.11817007 6.70386045],[-1.08334628  0.30946353],[5.71726925 8.99170632],[-0.4493506 -1.0880103],[3.83668384 6.14498871],[1.01258109 0.61224958],[6.6533506  2.82411348],[0.33162338 1.28593603],[6.01463456 3.31370396],[-0.81542652 -0.72352202],[9.14242717 1.19817933],[-1.04326127  0.61934609]
[2.80008135 4.97015484],[ 1.13865024 -0.61188088],[7.69303732 8.67556541],[-1.13909274  0.30812049],[3.92699181 9.6862328 ],[1.12191092 0.34403351],[9.97629327 4.39144968],[-0.20365481 -0.95290811],[5.01223665 6.7331437 ],[-1.03786152  0.2760192 ],[5.67370082 8.88108106],[-0.41839306 -1.11966862],[3.9388125  6.20457545],[1.02900722 0.57908739],[6.68490375 2.95182046],[0.2994999  1.26876191],[5.9338591  3.24494528],[-0.79981685 -0.65132062],[9.0369304  1.26390556],[-1.06291116  0.69337453]
[2.91417014 4.91174629],[ 1.14410517 -0.55659255],[7.57898493 8.70180554],[-1.13822964  0.22162191],[4.03986706 9.71518541],[1.13304702 0.23326022],[9.95083707 4.29744531],[-0.30892687 -0.93019232],[4.91057605 6.75943676],[-0.99579173  0.25119307],[5.63332047 8.76772986],[-0.38958261 -1.14647548],[4.04225269 6.26064968],[1.04141837 0.54461093],[6.71309327 3.07780708],[0.26448349 1.25160574],[5.85412785 3.1829375 ],[-0.79143406 -0.58528207],[8.93034793 1.33639521],[-1.06425115  0.75656628]
[3.02879794 4.85853631],[ 1.1479324  -0.50908186],[7.46527061 8.71995828],[-1.13648597  0.14178642],[4.15373427 9.73313351],[1.14305159 0.12541749],[9.9150734  4.20610349],[-0.40526599 -0.89528257],[4.81235436 6.78291495],[-0.97021066  0.21779208],[5.59556785 8.65182213],[-0.36319728 -1.16823853],[4.1469367  6.31341965],[1.05395053 0.51300646],[6.73820699 3.20257858],[0.23427762 1.24051103],[5.77501843 3.12739904],[-0.7930905  -0.52761931],[8.82431277 1.41473576],[-1.05645644  0.80703604]
[3.14419028 4.81026073],[ 1.15826222 -0.45846397],[7.35154174 8.73009173],[-1.13787219  0.06129517],[4.26845856 9.74042955],[1.15244676 0.02280179],[9.86969727 4.1183982 ],[-0.50088853 -0.85714498],[4.71705526 6.80369157],[-0.94038911  0.19400511],[5.56068629 8.53427393],[-0.33522637 -1.18250198],[4.25251164 6.36279574],[1.05802295 0.47527041],[6.75962663 3.32568649],[0.19814317 1.22592464],[5.69551324 3.07747483],[-0.79725111 -0.47090105],[8.71942394 1.49763428],[-1.0388989   0.85111962]
[3.26067157 4.76702757],[ 1.16941301 -0.4082955 ],[7.23779254 8.73233438],[-1.13639289 -0.01558217],[4.38379866 9.73752324],[ 1.15496949 -0.07896762],[9.81511274 4.03497028],[-0.58915491 -0.80963042],[4.62448897 6.82204521],[-0.91116028  0.17355326],[5.52850289 8.41548514],[-0.30501773 -1.18919966],[4.35898131 6.40900155],[1.06850791 0.44644322],[6.77814662 3.44804905],[0.16983495 1.21875332],[5.61547386 3.03318884],[-0.80099843 -0.41199929],[8.61646298 1.58451769],[-1.01922289  0.88602008]
[3.37800588 4.72851319],[ 1.17603419 -0.36347433],[7.12386364 8.72652886],[-1.13914369 -0.09766107],[4.49904818 9.72450418],[ 1.15078115 -0.17898913],[9.75169728 3.95635726],[-0.67775887 -0.76120521],[4.53434707 6.83800631],[-0.89072042  0.14690983],[5.49939918 8.29625766],[-0.27672058 -1.194295  ],[4.46598353 6.45191641],[1.07102665 0.41163175],[6.79364545 3.56949157],[0.14001286 1.21004509],[5.53533618 2.99518866],[-0.80463973 -0.35056152],[8.51584275 1.67484154],[-0.9953478   0.91716919]
