[3.39945982 5.75791451],[ 1.75929741 -1.81881378],[2.03401961 9.36761326],[-4.20370207 -1.32508916],[5.68410959 8.38437546],[0.287792   3.20295573],[3.71415051 1.53732316],[ 4.44517719 -4.13746874],[8.81244741 1.31546694],[-0.87014225  2.12466536],[6.89411021 0.9327837 ],[-4.78205545 -1.45328611],[6.50365807 6.0555157 ],[-4.92898872 -0.88595268],[0.2294136  3.94543029],[-1.2847349   4.65114232],[1.70173344 9.24576984],[2.15991744 2.45026056],[8.17852331 0.26041723],[-1.50962571  3.74240539]
[3.54609482 5.60703474],[ 1.2689807 -1.3069245],[1.76710378 9.27782817],[-1.96983174 -0.72829386],[5.70464334 8.6218554 ],[0.15629749 1.89854081],[3.94937141 1.32264897],[ 1.64664772 -1.45448999],[8.73423794 1.49980389],[-0.72674556  1.64655749],[6.60755198 0.84996654],[-2.10128085 -0.55637369],[6.20951932 6.00158855],[-2.14516245 -0.4058278 ],[0.1556406  4.22899615],[-0.48468919  2.08842282],[1.86613768 9.42376478],[1.36768029 1.38802627],[8.07404927 0.51474158],[-0.83287267  1.97320124]
[3.66260961 5.48733889],[ 1.08637659 -1.10782213],[1.59759531 9.20866518],[-1.49003512 -0.67892972],[5.71752989 8.78883259],[0.10735924 1.49295852],[4.09290976 1.20061162],[ 1.28752567 -1.04473358],[8.66355206 1.65307945],[-0.69443132  1.44328147],[6.42315292 0.80617329],[-1.66150385 -0.34250052],[6.0223638  5.96519584],[-1.67336413 -0.33435574],[0.1186428  4.41163933],[-0.27893069  1.63439244],[1.99176789 9.54247374],[1.17711229 1.02325211],[7.99790002 0.69040253],[-0.71393796  1.59983402]
[3.7659613  5.38246285],[ 0.99059287 -0.99771107],[1.4624653  9.14021521],[-1.23401977 -0.69791199],[5.72664485 8.92618295],[0.07447719 1.26971081],[4.21329098 1.10764266],[ 1.1397359  -0.82912395],[8.594106   1.79117395],[-0.69773388  1.32814213],[6.26760552 0.77928882],[-1.47247273 -0.20310631],[5.86626418 5.93269842],[-1.46869553 -0.31757897],[0.09800768 4.56382732],[-0.140876    1.42954977],[2.10568325 9.63300453],[1.11491725 0.80249912],[7.9289707  0.84140772],[-0.67408115  1.43636365]
[3.86171631 5.28631909],[ 0.92803533 -0.93051753],[1.34808443 9.06803833],[-1.05979547 -0.74612241],[5.73256827 9.04507828],[0.04425283 1.11612737],[4.3228789  1.03249369],[ 1.06058433 -0.67970317],[8.52331046 1.91979427],[-0.7175571   1.25107466],[6.12616006 0.76500847],[-1.36211783 -0.08142386],[5.72599306 5.90144013],[-1.34798416 -0.31071007],[0.0896128  4.70018716],[-0.02636608  1.30990469],[2.21599769 9.70435117],[1.1003229  0.63405187],[7.86216106 0.9800432 ],[-0.66582699  1.34350731]
[3.95234874 5.19584086],[ 0.88810272 -0.88056348],[1.24941634 8.99065196],[-0.9162286  -0.80134714],[5.73549542 9.15052973],[0.01522562 0.99816099],[4.42644622 0.97074925],[ 1.01565594 -0.55754249],[8.45026071 2.0419281 ],[-0.74389997  1.1942337 ],[5.99314077 0.76188676],[-1.3014873  0.0185199],[5.59539439 5.87041858],[-1.26929831 -0.31064815],[0.0922988  4.82692595],[0.07929844 1.22997592],[2.32590336 9.76004141],[1.09848823 0.48070629],[7.79532245 1.11115249],[-0.67271594  1.28235589]
[4.03956005 5.1096706 ],[ 0.85706496 -0.8449601 ],[1.16392474 8.90724093],[-0.79878796 -0.87033339],[5.73518512 9.24496002],[-0.018653    0.89595324],[4.52670402 0.92065506],[ 0.99037615 -0.44745184],[8.37460097 2.15916091],[-0.77100109  1.15042594],[5.86538918 0.76864474],[-1.25195944  0.11962888],[5.47109127 5.83887799],[-1.21999112 -0.32107662],[0.10543835 4.94694473],[0.18343042 1.17336628],[2.43623594 9.80105634],[1.11181787 0.34395245],[7.72744173 1.23712402],[-0.68452031  1.24026372]
[4.12418428 5.0267972 ],[ 0.83661289 -0.81328822],[1.08939887 8.81658104],[-0.69007133 -0.9397745 ],[5.73204388 9.33039874],[-0.0477461   0.81090679],[4.62509522 0.88128286],[ 0.97875385 -0.34075471],[8.29622084 2.27240291],[-0.79360513  1.11815311],[5.7418608  0.78513336],[-1.21727406  0.21167359],[5.35159713 5.80680528],[-1.17363176 -0.32227206],[0.12874981 5.06179072],[0.28224764 1.12482995],[2.54807763 9.82875438],[1.12673793 0.21261887],[7.65849123 1.35967511],[-0.69309069  1.21357945]
[4.20682485 4.94664528],[ 0.81703058 -0.79024704],[1.02565149 8.71925373],[-0.58251846 -1.00298638],[5.7257342  9.40752326],[-0.07746095  0.73368364],[4.72242211 0.85219089],[ 0.96974078 -0.24022541],[8.21576771 2.38277048],[-0.81291054  1.09203227],[5.62185301 0.81094519],[-1.18526594  0.30191649],[5.23592531 5.77425552],[-1.14173268 -0.32960904],[0.16214588 5.17238281],[0.38275353 1.0852035 ],[2.66127983 9.8434514 ],[1.13616808 0.08133593],[7.58866209 1.47987755],[-0.70244133  1.19223326]
[4.28788713 4.86883564],[ 0.80319877 -0.76787714],[0.97277487 8.61608666],[-0.47251541 -1.05641857],[5.716256   9.47701714],[-0.11191273  0.657187  ],[4.8192239  0.83331883],[ 0.96752633 -0.13627306],[8.13318512 2.49039968],[-0.8364758   1.06299157],[5.50482338 0.84543045],[-1.15484529  0.38757191],[5.12305534 5.74085595],[-1.11889052 -0.34092595],[0.20518589 5.2788566 ],[0.47831571 1.04534958],[2.77534501 9.84528536],[ 1.14554932 -0.04251818],[7.51793963 1.59816526],[-0.71278658  1.17319833]
[4.36758353 4.79304408],[ 0.7925138  -0.74681289],[0.93084355 8.50789864],[-0.37079319 -1.1102274 ],[5.70324558 9.53897108],[-0.14776496  0.58292656],[4.91599908 0.8250423 ],[ 0.96874396 -0.02819575],[8.04833033 2.59523773],[-0.86123751  1.03322022],[5.39087957 0.88830304],[-1.12438048  0.46857799],[5.01240968 5.70643029],[-1.09500206 -0.34788087],[0.25789674 5.38161422],[0.57261228 1.0071318 ],[2.89038043 9.83532021],[ 1.15219132 -0.15755658],[7.44595488 1.71444571],[-0.72410918  1.15536737]
[4.44614704 4.71912944],[ 0.77788274 -0.73282645],[0.89914961 8.39490205],[-0.26407169 -1.14877974],[5.68640306 9.5933665 ],[-0.19005096  0.50429843],[5.01225639 0.82704465],[0.95798936 0.07011153],[7.96152372 2.69761499],[-0.87608946  1.01303711],[5.28002094 0.93901009],[-1.09133929  0.54592632],[4.90400513 5.67132969],[-1.07600436 -0.35665808],[0.31952514 5.48019811],[0.65710314 0.9624141 ],[3.00539771 9.81380112],[ 1.14626981 -0.27245263],[7.37244577 1.82861699],[-0.74500068  1.12940016]
[4.52347036 4.64671659],[ 0.7694532 -0.7148932],[0.87759955 8.27807218],[-0.1657774  -1.18441042],[5.6650375  9.63965819],[-0.23623246  0.42258508],[5.10766465 0.83925428],[0.9512244  0.17586258],[7.87262315 2.79733886],[-0.89892377  0.98436513],[5.17300441 0.99768572],[-1.05142327  0.62407099],[4.79724121 5.63517077],[-1.05651109 -0.36336815],[0.38918628 5.57408808],[0.73595496 0.91602171],[3.11955832 9.78121243],[ 1.13396863 -0.37990508],[7.29758976 1.94097032],[-0.75102732  1.11859972]
