[8.25385162 7.59298521],[-2.8016663   3.77388825],[3.13754562 3.11053952],[-4.83248735  2.45350548],[7.03445411 3.96661869],[2.26352772 1.67268078],[4.41099792 6.39440247],[-4.0681441   1.22453718],[4.80561479 1.68036082],[-4.43253794 -1.1264848 ],[8.60744467 5.41999094],[ 4.10958413 -3.45964263],[1.8268212  1.76983447],[-4.62656609 -0.17921011],[6.96801841 4.844268  ],[-3.16715638  3.72326249],[0.90180896 7.70512857],[ 1.63681941 -0.10979953],[5.05884627 5.99216853],[-2.85376774 -3.38840912]
[8.07745757 7.82310231],[-1.33974501  1.66173407],[2.8653899  3.25108481],[-1.91895168  1.02105261],[7.21200132 4.10037044],[1.46690824 1.13386322],[4.14547642 6.47306623],[-2.00328086  0.5773621 ],[4.52733309 1.61249013],[-2.06477268 -0.46727084],[8.83850389 5.22194969],[ 1.61361877 -1.42570554],[1.54095347 1.76190776],[-2.09017357 -0.02055834],[6.77544556 5.06862192],[-1.4221293   1.63337405],[1.05845245 7.69165151],[ 1.50478702 -0.16309352],[4.87672583 5.77480914],[-1.35859823 -1.63425672]
[7.95709012 7.9648036 ],[-1.11091864  1.23281908],[2.70131649 3.34186726],[-1.43480739  0.83242169],[7.34220044 4.2039317 ],[1.17073328 0.96265279],[3.97017969 6.52187612],[-1.56739882  0.41985945],[4.34694839 1.57519495],[-1.61321975 -0.29589116],[8.97480847 5.09711381],[ 1.17478933 -1.12292503],[1.36078555 1.76370446],[-1.58600374  0.05464741],[6.65013565 5.21021877],[-1.13315388  1.25725973],[1.20467396 7.67278199],[ 1.42748811 -0.21190493],[4.75830947 5.63120018],[-1.05636629 -1.29278191]
[7.85048057 8.07583974],[-1.03642175  1.00357125],[2.57071143 3.42128815],[-1.19871416  0.76626233],[7.4500202  4.29584778],[0.99652674 0.88380446],[3.82503998 6.55933614],[-1.3589815   0.33208604],[4.19719514 1.55150121],[-1.4020137  -0.18176981],[9.07996424 4.99203058],[ 0.94563814 -0.99422696],[1.21605076 1.77276385],[-1.32984659  0.12719636],[6.54361014 5.32620761],[-1.01446772  1.07724422],[1.34452644 7.64912453],[ 1.37433424 -0.25899044],[4.66055101 5.51047888],[-0.91611215 -1.14127074]
[7.74799888 8.16765519],[-1.01614639  0.84301669],[2.45908401 3.49670381],[-1.04216783  0.74756929],[7.54333324 4.38220441],[0.87406404 0.84664429],[3.696219   6.58957415],[-1.22709541  0.27505458],[4.06394014 1.53844565],[-1.27477134 -0.08372116],[9.1662853 4.8964413],[ 0.7862681  -0.92608254],[1.09199193 1.78920562],[-1.16161188  0.20126926],[6.44542188 5.42795179],[-0.9583294   0.96248622],[1.47993725 7.62103262],[ 1.3359452  -0.30186528],[4.5738074  5.40136824],[-0.82872754 -1.05188501]
[7.64642635 8.24545652],[-1.01685926  0.71815482],[2.36066127 3.57112053],[-0.93022131  0.74398618],[7.62551799 4.46576254],[0.77263121 0.82720481],[3.57797871 6.61439753],[-1.14476022  0.22041802],[3.94115224 1.5347645 ],[-1.18627419  0.00896116],[9.23821204 4.80587113],[ 0.65465071 -0.89002272],[0.98224298 1.81293091],[-1.03578848  0.27614811],[6.35118696 5.51990932],[-0.93187396  0.87842159],[1.6119045  7.58878434],[ 1.30416757 -0.34288282],[4.4939026  5.29908223],[-0.77100798 -0.99589057]
[7.54366389 8.31126677],[-1.03795754  0.60198199],[2.27245472 3.64597846],[-0.83577954  0.75546028],[7.69802395 4.5478146 ],[0.67620344 0.81265347],[3.46648335 6.63375289],[-1.08561116  0.16983876],[3.82569029 1.5398579 ],[-1.12409129  0.09401085],[9.297673   4.71789136],[ 0.5372828 -0.8707208],[0.88392977 1.84434587],[-0.93488312  0.35075712],[6.25869652 5.60436369],[-0.92122145  0.81160679],[1.7408731  7.55249588],[ 1.27703798 -0.3811818 ],[4.41906228 5.20158845],[-0.72638549 -0.95476123]
[7.438835   8.36635776],[-1.06040965  0.49994075],[2.19298946 3.72232664],[-0.75472943  0.77282566],[7.76163228 4.62923525],[0.60018345 0.82020335],[3.36007402 6.64812186],[-1.04420784  0.1180945 ],[3.71579838 1.55340072],[-1.07514362  0.1767702 ],[9.34564752 4.63117532],[ 0.42170748 -0.86604064],[0.79535947 1.88365469],[-0.840227    0.43358939],[6.16671222 5.68263912],[-0.91622692  0.75877623],[1.86748014 7.51274536],[ 1.25348525 -0.41516403],[4.3480433  5.10752571],[-0.69671203 -0.92922038]
[7.33138131 8.41129196],[-1.08914402  0.39915427],[2.12167142 3.80108501],[-0.67727778  0.79823727],[7.81783495 4.71170735],[0.52530448 0.83100775],[3.25783152 6.6579113 ],[-1.00146464  0.07850512],[3.61050363 1.57526619],[-1.03198691  0.2599719 ],[9.38205139 4.54449244],[ 0.30684777 -0.86800524],[0.71553762 1.93098185],[-0.75526429  0.51480866],[6.07527523 5.75635771],[-0.91463293  0.71520392],[1.99167155 7.46958069],[ 1.23144613 -0.44673112],[4.27975225 5.01578375],[-0.66989252 -0.90632521]
[7.22067202 8.44590117],[-1.12595298  0.2920791 ],[2.05733727 3.88200756],[-0.60924094  0.82129731],[7.86629083 4.79514156],[0.44617429 0.8404585 ],[3.15932879 6.66361871],[-0.96927433  0.03596924],[3.50918893 1.60527568],[-0.99249876  0.34223375],[9.40698347 4.45750075],[ 0.19149708 -0.87218101],[0.64413973 1.98656998],[-0.67269894  0.59718611],[5.98328955 5.82544065],[-0.92640979  0.66614519],[2.11374966 7.42344683],[ 1.20916059 -0.47665622],[4.21406502 4.9262693 ],[-0.64287609 -0.8829551 ]
[7.10680072 8.47026471],[-1.15017707  0.19643142],[1.99950733 3.96516326],[-0.54411829  0.84558051],[7.906978   4.87982255],[0.36776664 0.85373705],[3.06374704 6.66501595],[-0.9442031  -0.00921418],[3.41182434 1.64356452],[-0.95747093  0.42054017],[9.42029218 4.37008725],[ 0.07421261 -0.87600925],[0.58151748 2.05093051],[-0.57978866  0.68962722],[5.8902144  5.88996773],[-0.93676015  0.6234507 ],[2.23369476 7.3745006 ],[ 1.18935627 -0.50225303],[4.15099793 4.83902208],[-0.61790218 -0.86136578]
