[5.06792042 8.14575038],[-1.12270141 -4.06789974],[2.45271893 4.719974  ],[0.5169978  4.41759902],[2.18021442 6.49028597],[ 3.7759439  -1.05813262],[3.75623916 0.30897493],[3.06562132 0.19433446],[8.06733921 5.4001233 ],[-0.11104407  4.39766027],[8.61734526 3.33119452],[-4.39517649 -2.03457717],[8.74732991 9.62090347],[-0.34417122 -4.75046409],[0.2309229  0.75553173],[0.51289128 4.16508387],[0.29915851 9.5471252 ],[-1.91795299 -2.76464632],[5.9687798  6.13141238],[-3.34946613  4.68677082]
[4.9938437  7.87691717],[-0.56620148 -2.05536619],[2.48747083 5.00168632],[0.28143055 2.10662882],[2.43957808 6.41744333],[ 2.01570539 -0.56959879],[3.99157284 0.3294901 ],[1.93740719 0.23350983],[8.05695927 5.68222743],[-0.12002473  2.11082494],[8.34769581 3.21044629],[-2.00781518 -0.85216079],[8.72211069 9.32725804],[-0.23501902 -2.1841945 ],[0.26858737 1.0325317 ],[0.33118419 2.12872565],[0.16271575 9.339644  ],[-1.04203864 -1.70901761],[5.78507853 6.38580705],[-1.30533234  1.77453687]
[4.94412709 7.69537427],[-0.44978225 -1.64443454],[2.51456592 5.18617263],[0.26614862 1.65104248],[2.61836453 6.36662166],[ 1.61907069 -0.46570413],[4.16507178 0.35624076],[1.57880089 0.30354254],[8.04218364 5.86643469],[-0.17637428  1.6446179 ],[8.16992128 3.13950181],[-1.61749447 -0.59984094],[8.69699112 9.13483079],[-0.27392839 -1.73993897],[0.30230173 1.2218379 ],[0.35178839 1.72434926],[0.07549153 9.18366286],[-0.73396588 -1.45474623],[5.67100574 6.53823823],[-1.02522562  1.34243957]
[4.90251079 7.54154506],[-0.39051251 -1.45477066],[2.54133725 5.33923713],[0.27415797 1.43402833],[2.77020368 6.32260899],[ 1.43757635 -0.41907938],[4.31262973 0.39045461],[1.39317293 0.38674891],[8.02161996 6.01878925],[-0.23817485  1.42131814],[8.01708918 3.08721812],[-1.46069497 -0.45697373],[8.66699217 8.97172594],[-0.32756493 -1.54412494],[0.33935087 1.3840462 ],[0.38957796 1.53852586],[0.0128719  9.04417005],[-0.53015497 -1.35107308],[5.57455804 6.66095528],[-0.91792557  1.13123952]
[4.86533433 7.40183423],[-0.35647495 -1.34917722],[2.5697874  5.47576897],[0.29513353 1.30504762],[2.90829814 6.28206197],[ 1.32939753 -0.39769896],[4.44519562 0.43315129],[1.26691284 0.46895457],[7.99490009 6.15388974],[-0.29440772  1.29164297],[7.87548424 3.04715819],[-1.38184297 -0.35047644],[8.63149867 8.82341602],[-0.38449697 -1.43295935],[0.38040764 1.53212064],[0.4352702  1.43469171],[-0.03201601  8.91145137],[-0.37331085 -1.31027064],[5.48584518 6.76719134],[-0.86498218  0.99919974]
[4.83068991 7.27030639],[-0.33831035 -1.2863562 ],[2.60069471 5.60173222],[0.32552288 1.22083697],[3.0376068  6.24300474],[ 1.26059754 -0.38527565],[4.56723338 0.48453228],[1.17733629 0.55851737],[7.96193193 6.27765446],[-0.3636009   1.19021448],[7.73988001 3.01687896],[-1.33634608 -0.25924355],[8.59019487 8.68401037],[-0.44321648 -1.36130075],[0.42646442 1.67211465],[0.4854352  1.36894368],[-0.06204741  8.78168697],[-0.23254156 -1.29025113],[5.40085529 6.86211901],[-0.83778886  0.90387129]
[4.79791509 7.14430498],[-0.31880848 -1.23719121],[2.63457928 5.7202349 ],[0.35288394 1.15261817],[3.161157   6.20488562],[ 1.21556745 -0.37507855],[4.68106289 0.544737  ],[1.10079073 0.64482356],[7.9223573  6.39282899],[-0.42641407  1.11728245],[7.60774882 2.9951055 ],[-1.30726517 -0.17640475],[8.54301737 8.550646  ],[-0.50057603 -1.30886511],[0.47721989 1.80629399],[0.53278698 1.32033731],[-0.07907437  8.65293197],[-0.10780876 -1.28380204],[5.3178099  6.94859926],[-0.82598429  0.82723028]
[4.7664756  7.02212287],[-0.31070152 -1.2080256 ],[2.67145719 5.83281283],[0.38368819 1.09954391],[3.28110516 6.16792577],[ 1.18130073 -0.36826566],[4.78752722 0.61327955],[1.0298915  0.72567749],[7.87630422 6.50115159],[-0.49249257  1.05274875],[7.47786088 2.98114938],[-1.29238676 -0.10472298],[8.49045591 8.42216522],[-0.55162755 -1.26380185],[0.53280153 1.93634057],[0.57674616 1.28043455],[-0.08394972  8.52477315],[ 0.00938983 -1.27891067],[5.23542757 7.02799869],[-0.82253316  0.76259362]
[4.73583511 6.90259108],[-0.30420567 -1.18522043],[2.71164446 5.94069077],[0.4178927  1.05687749],[3.39770486 6.13117616],[ 1.15065552 -0.3681613 ],[4.8870855  0.68964487],[0.96285714 0.80179068],[7.82378393 6.60349553],[-0.55679204  0.99584522],[7.34911776 2.97397086],[-1.28170621 -0.03860267],[8.43276798 8.29765816],[-0.6027692  -1.22822762],[0.59230674 2.06244745],[0.61525454 1.24516366],[-0.07734947  8.39726912],[ 0.1208606  -1.27126792],[5.15335689 7.10159061],[-0.82032607  0.70956447]
[4.70592999 6.78525935],[-0.29699605 -1.16495731],[2.75495018 6.0442605 ],[0.44977745 1.01689408],[3.51159508 6.09442957],[ 1.12847902 -0.36630358],[4.97997315 0.77327659],[0.89641407 0.87102   ],[7.76498226 6.70041983],[-0.62067089  0.94138155],[7.22118547 2.9729911 ],[-1.27265887  0.02274394],[8.37022215 8.17660317],[-0.64987079 -1.19568449],[0.65584417 2.18557053],[0.6529022  1.21583466],[-0.06036308  8.2703116 ],[ 0.21845328 -1.26605636],[5.07129818 7.17012061],[-0.82014021  0.66291974]
[4.67651313 6.66961767],[-0.29405545 -1.15074066],[2.8015552  6.14411378],[0.48187503 0.98025713],[3.62356597 6.05796358],[ 1.11058916 -0.36385737],[5.06651315 0.86376937],[0.83333268 0.9364656 ],[7.69973355 6.79184885],[-0.68177721  0.88947658],[7.09436354 2.97821417],[-1.26173308  0.08313717],[8.30313576 8.05867905],[-0.69023307 -1.1621618 ],[0.72282519 2.3057535 ],[0.68687114 1.18897269],[-0.0334277  8.1446459],[ 0.31682419 -1.2488514 ],[4.98941019 7.23444482],[-0.8187813   0.62322467]
