[2.31864775 4.55133475],[4.93877671 0.89660961],[0.63735868 8.43105787],[-2.18369651  1.81851772],[4.57433747 9.29941805],[-1.46844934 -4.47209365],[0.98282766 4.49585331],[ 0.39749486 -1.8240335 ],[9.41106139 9.74065174],[-0.68810105  1.99738055],[6.93005828 7.11165221],[-2.13075261  0.50978113],[7.49740966 2.40028493],[1.38987054 1.92413358],[7.89480989 4.72185321],[-0.65724028  3.89457483],[9.97190841 4.02011123],[1.11444362 0.88598162],[7.91688236 5.71154967],[3.48784401 2.10039248]
[2.61396424 4.60575404],[2.16240541 0.40753067],[0.46929454 8.57319062],[-1.36101685  1.17393023],[4.48538417 9.02128476],[-0.63515002 -2.07259284],[1.0244764  4.33272035],[ 0.44173256 -1.47791747],[9.34674271 9.91174855],[-0.62083335  1.49473527],[6.74454202 7.15451577],[-1.65710095  0.36815647],[7.61246935 2.56639309],[0.98048654 1.48843762],[7.84804757 4.98737759],[-0.38252525  2.05177881],[10.0739096   4.10780081],[0.93507609 0.87416623],[8.14845666 5.85268024],[1.74941289 1.08580168]
[2.80402552 4.64284983],[1.71245113 0.34619389],[0.3508116  8.67810022],[-1.04304751  0.9490332 ],[4.43180992 8.83840011],[-0.45754667 -1.65326631],[1.07216622 4.19584299],[ 0.51155653 -1.27662296],[ 9.28458403 10.0471182 ],[-0.63175741  1.23096604],[6.59044659 7.18730142],[-1.45093669  0.28949524],[7.69963368 2.70620792],[0.78132852 1.33179594],[7.81256319 5.16878581],[-0.33991816  1.63698903],[10.1595048   4.19516457],[0.78536594 0.88038952],[8.3002756  5.94891907],[1.34209388 0.87166411]
[2.96436453 4.67640389],[1.51546627 0.32793673],[0.25707635 8.76628975],[-0.8416467   0.82610656],[4.39148088 8.68322331],[-0.35794702 -1.47291447],[1.12732264 4.07573847],[ 0.59178736 -1.13266951],[ 9.21981934 10.16093944],[-0.66959953  1.05129893],[6.45175706 7.21338034],[-1.32978996  0.23759734],[7.77080555 2.83551041],[0.64729693 1.26162861],[7.77840049 5.32120832],[-0.34490378  1.43341802],[10.2310319   4.28382331],[0.65248743 0.8996888 ],[8.42309062 6.03085431],[1.13305414 0.77920653]
[3.10982163 4.70879246],[1.40521355 0.32375413],[0.18112906 8.84478831],[-0.68249449  0.74854275],[4.35980623 8.54160251],[-0.27938064 -1.36942661],[1.19081501 3.96856347],[ 0.679198   -1.01330305],[ 9.15049979 10.25887682],[-0.71898081  0.9112102 ],[6.32310763 7.23524183],[-1.25073675  0.19854536],[7.83029304 2.9600305 ],[0.54479618 1.23192713],[7.74316507 5.45809419],[-0.36217584  1.31208687],[10.29023778  4.37532108],[0.53152026 0.93002058],[8.52918131 6.10623746],[0.99706106 0.73404366]
[3.24680118 4.74150761],[1.33762605 0.32998015],[0.12000307 8.91677578],[-0.54227419  0.69394159],[4.33489952 8.40780323],[-0.22015611 -1.3107352 ],[1.26299882 3.87244748],[ 0.76406331 -0.91085593],[ 9.07559532 10.34359608],[-0.78133405  0.7840359 ],[6.20107271 7.25351615],[-1.1912123   0.16973677],[7.88002953 3.08230568],[0.4544731  1.21840185],[7.70618922 5.5853253 ],[-0.3758799   1.23896468],[10.33727759  4.46979948],[0.40916416 0.95934499],[8.6231367  6.17793868],[0.88768689 0.70432843]
[3.37817658 4.77504984],[1.29256354 0.34144709],[0.07256522 8.98411994],[-0.40857246  0.65323418],[4.31542717 8.27871726],[-0.16800946 -1.27126054],[1.34342142 3.78604874],[ 0.84406758 -0.81761891],[ 8.99438372 10.41624459],[-0.84325945  0.66995218],[6.08385499 7.26877499],[-1.15364175  0.13714795],[7.92146281 3.20400161],[0.37687706 1.21792921],[7.66788361 5.70651582],[-0.39235499  1.18579714],[10.37241521  4.56754469],[0.29377321 0.99544737],[8.70762156 6.24785988],[0.80208807 0.69366652]
[3.50568909 4.80985622],[1.25989891 0.35567685],[0.03810624 9.04749618],[-0.27965886  0.61602498],[4.30104768 8.15306906],[-0.11896164 -1.24184807],[1.43159548 3.70875497],[ 0.92065401 -0.72646249],[ 8.90701375 10.47780485],[-0.90453815  0.56119251],[5.97004237 7.28101967],[-1.12778958  0.10395034],[7.95543101 3.32586918],[0.30413193 1.22057892],[7.62757062 5.82280064],[-0.41648657  1.13940314],[10.39571485  4.66852706],[0.17598644 1.02732858],[8.78397127 6.3170473 ],[0.72608451 0.69112545]
[3.63008102 4.84590384],[1.22999652 0.36629864],[0.01651781 9.10719781],[-0.1516545  0.5781573],[4.29136728 8.02995874],[-0.07416042 -1.22022625],[1.52728465 3.64065919],[ 0.99376712 -0.63377233],[ 8.81319973 10.5281683 ],[-0.97090846  0.44639439],[5.85870274 7.29019082],[-1.10100199  0.07864584],[7.98212955 3.44790626],[0.233661   1.22334772],[7.58486883 5.93498578],[-0.43912424  1.10376748],[10.40785529  4.7730734 ],[0.06585178 1.06128802],[8.85308595 6.38635511],[0.65380742 0.69274518]
[3.75199371 4.88329582],[1.21153179 0.38439584],[8.38459469e-03 9.16352080e+00],[-0.00943605  0.54862094],[4.28608151 7.90883463],[-0.03221548 -1.20290187],[1.62992013 3.58181484],[ 1.06151436 -0.53916698],[ 8.71326105 10.56735565],[-1.02991809  0.33435662],[5.74983105 7.29692733],[-1.07864145  0.05473726],[8.00225935 3.57051258],[0.17204501 1.23103093],[7.53973633 6.0437405 ],[-0.4645601   1.07110794],[10.40898145  4.88062007],[-0.04248986  1.08862217],[8.91478627 6.45571631],[0.58255557 0.69714899]
[3.8722039  4.92256732],[1.19041594 0.39832229],[0.01477895 9.21669335],[0.13985476 0.51545041],[4.2849247  7.78936622],[ 0.00778223 -1.18763967],[1.7388071  3.53233308],[ 1.11473266 -0.45067354],[ 8.60766722 10.59524559],[-1.08237601  0.22176817],[5.64304611 7.30133753],[-1.05801501  0.03322107],[8.01648078 3.69387687],[0.11137241 1.23438974],[7.49208722 6.14946276],[-0.48505406  1.04698468],[10.39917783  4.99027859],[-0.15213727  1.10398982],[8.96974897 6.5260301 ],[0.51674237 0.70957029]
[3.99049103 4.96331556],[1.17133097 0.41240717],[0.03659881 9.2663767 ],[0.29784311 0.47728017],[4.28779372 7.67147204],[ 0.04875084 -1.17096783],[1.85275887 3.49183405],[ 1.16555801 -0.35656794],[ 8.49734262 10.61199815],[-1.12344793  0.11274527],[5.5376914  7.30309553],[-1.0479259   0.00328669],[8.02493071 3.81763633],[0.0582276  1.24033971],[7.44230844 6.25277253],[-0.50855864  1.02148565],[10.37865241  5.10111289],[-0.25501328  1.11362558],[9.0180567  6.59766462],[0.44827133 0.72246108]
[4.10672278 5.00522053],[1.15528827 0.42757005],[0.0751444 9.3124452],[0.47412277 0.44310393],[4.29453835 7.55506556],[ 0.08660915 -1.15643006],[1.97146336 3.46086166],[ 1.20752697 -0.26255572],[ 8.38325819 10.6178131 ],[-1.15663947  0.00397042],[5.4339828  7.30259768],[-1.0287622  -0.01536322],[8.02828232 3.94189735],[0.00582314 1.24111413],[7.39033843 6.35375195],[-0.53016568  0.99881317],[10.34772985  5.21211607],[-0.35977101  1.1078101 ],[9.05927078 6.67052338],[0.37768434 0.7369279 ]
[4.22143699 5.04870634],[1.14021296 0.4431775 ],[0.1308372 9.3540164],[0.64047303 0.38792103],[4.30485813 7.43998392],[ 0.12030797 -1.14439412],[2.09392766 3.43924026],[ 1.23956844 -0.17083292],[ 8.26664462 10.61321942],[-1.17533671 -0.09635258],[5.33252506 7.30071848],[-1.00496538 -0.02625321],[8.02612114 4.06577715],[-0.04513967  1.23954297],[7.33606096 6.4523428 ],[-0.55368253  0.97478816],[10.3069937  5.3224945],[-0.45514015  1.09701576],[9.09352689 6.74510974],[0.3062919  0.75419142]
[4.33429815 5.09335811],[1.11972194 0.45222788],[0.20338959 9.39003034],[0.80847948 0.33075126],[4.31867174 7.32631028],[ 0.15282862 -1.13189642],[2.21868431 3.42614793],[ 1.25655251 -0.08953971],[ 8.14881612 10.59904019],[-1.18037197 -0.18667112],[5.23270818 7.29710728],[-0.99084046 -0.04525531],[8.01918967 4.18957085],[-0.09251759  1.23636539],[7.27989743 6.54898946],[-0.57113519  0.95646033],[10.25699874  5.4313562 ],[-0.54510918  1.07752524],[9.12030661 6.82127147],[0.22864746 0.76891596]
[4.44604068 5.13984554],[1.11213525 0.47468699],[0.29233327 9.42020067],[0.96238741 0.26719172],[4.33568592 7.21393905],[ 0.18661151 -1.11607035],[2.34534169 3.42161495],[ 1.27350442 -0.00365422],[ 8.03035049 10.5755507 ],[-1.18557961 -0.28005228],[5.13453665 7.29189143],[-0.97395504 -0.06017769],[8.0080433  4.31329232],[-0.13286217  1.23468749],[7.22171784 6.64350949],[-0.59413029  0.93227244],[10.1982052   5.53779818],[-0.63012942  1.04975324],[9.13964734 6.89939136],[0.15650938 0.79208124]
[4.55657036 5.18815116],[1.09837044 0.4913314 ],[0.39542699 9.44362929],[1.09224663 0.19835392],[4.35594027 7.10309407],[ 0.21877628 -1.10021079],[2.47322807 3.42538383],[1.2815349 0.0767887],[ 7.91210157 10.54339269],[-1.17871214 -0.36247143],[5.03792601 7.28510946],[-0.96087199 -0.07794717],[7.99268899 4.43644734],[-0.17403474  1.22795627],[7.16154715 6.7359005 ],[-0.61149204  0.91319739],[10.13142105  5.64134134],[-0.70436627  1.02021052],[9.15152649 6.97967757],[0.07983565 0.81252687]
[4.66565348 5.23805106],[1.08199798 0.50531495],[0.50992835 9.45988218],[1.19339923 0.12746635],[4.37950617 6.99400284],[ 0.2512634  -1.08273389],[2.60168102 3.43708826],[1.28339906 0.15326958],[ 7.79490166 10.50337217],[-1.16435963 -0.43668411],[4.9427377  7.27668416],[-0.94120001 -0.08861347],[7.9732274  4.55875757],[-0.21421914  1.21862442],[7.09974006 6.8264426 ],[-0.62433727  0.8977538 ],[10.0578213   5.74194268],[-0.76628718  0.99125564],[9.1553958  7.06172189],[-0.00325517  0.82756475]
