[1.49746809 5.68663388],[-2.0055197  -4.83721482],[1.33843206 5.30178856],[-0.84037502 -2.99967261],[4.97074932 5.98149792],[ 2.79625321 -2.89982278],[3.29432719 1.68840757],[-0.17916877  0.99310817],[9.415874   4.11641657],[ 0.43787179 -4.53021444],[8.94403817 9.5439814 ],[4.56334091 0.70518653],[4.34258931 7.03636783],[2.45566674 4.30494393],[8.66824166 2.71290875],[-0.20183634  1.1452251 ],[9.62974913 9.16865978],[-2.84062912  0.32782766],[5.4145318  4.26126549],[-1.19086235  3.73493931]
[1.38552064 5.40627571],[-0.75458192 -2.01945985],[1.27914835 5.07335364],[-0.43246118 -1.86928429],[5.15923175 5.78598198],[ 1.4476281 -1.5008426],[3.27938308 1.79196559],[-0.12017217  1.07389274],[9.4399143  3.83247188],[ 0.13746594 -2.0981239 ],[9.22668087 9.58411289],[2.07007401 0.25122205],[4.49090366 7.29250884],[1.09626207 1.84663658],[8.64498964 2.8288375 ],[-0.26331338  1.16987679],[9.4023202  9.19028784],[-1.92888759  0.13600793],[5.33363369 4.51699533],[-0.62011821  1.9795212 ]
[1.3245422  5.23022187],[-0.49394979 -1.57390948],[1.24553876 4.90579685],[-0.25211647 -1.5273224 ],[5.28695327 5.65399143],[ 1.15210037 -1.18586676],[3.27069274 1.90290617],[-0.05271347  1.14243847],[9.44765712 3.65018775],[ 0.02360561 -1.62007088],[9.40527253 9.60159956],[1.5743345  0.10939944],[4.587922   7.45141561],[0.88216274 1.39811178],[8.61576079 2.94649007],[-0.32060376  1.18111136],[9.22587759 9.19813165],[-1.6407437   0.02539267],[5.27983465 4.69220639],[-0.47671945  1.58342889]
[1.28375874 5.08389946],[-0.33211676 -1.37579427],[1.22688395 4.76225713],[-0.12392203 -1.35781375],[5.39462346 5.54377018],[ 1.01352999 -1.03521681],[3.26863986 2.01965572],[0.01145971 1.18986614],[9.44540904 3.50093222],[-0.06691387 -1.38668595],[9.54931132 9.60716159],[1.32818323 0.00487779],[4.6712246  7.57899657],[0.79596944 1.17390397],[8.58127273 3.06496784],[-0.36931145  1.18600986],[9.06968722 9.19619284],[-1.49833756 -0.06312364],[5.23624998 4.84030999],[-0.4012328   1.39759932]
[1.25732793 4.95256012],[-0.2012779  -1.26142262],[1.22057879 4.63245044],[-0.00476   -1.2465194],[5.49109651 5.44461333],[ 0.92677453 -0.95003036],[3.27317422 2.14059191],[0.07754135 1.22521138],[9.43449352 3.37011587],[-0.149352   -1.23758833],[9.67340319 9.6025637 ],[ 1.1638591  -0.09526576],[4.74861749 7.68871697],[0.75731851 1.02936351],[8.54166613 3.18308909],[-0.4218678   1.17587369],[8.92429287 9.18575589],[-1.41472657 -0.14310313],[5.19857779 4.97400905],[-0.35810104  1.28204219]
[1.24336296 4.83060061],[-0.08084368 -1.18371051],[1.2257963  4.51199367],[ 0.10653294 -1.16831059],[5.58122545 5.35316127],[ 0.87952111 -0.88224545],[3.28394094 2.26416385],[0.13838076 1.24563057],[9.41533322 3.25187274],[-0.22980603 -1.12808597],[9.7834813  9.58825014],[ 1.0438033  -0.18934866],[4.82342312 7.78604692],[0.74254331 0.92260904],[8.49749099 3.30042   ],[-0.46037327  1.17040224],[8.78584752 9.1677946 ],[-1.35634137 -0.2139301 ],[5.16488269 5.09860278],[-0.31826173  1.21324135]
[1.24068532 4.71489379],[ 0.0293506  -1.13004612],[1.24216445 4.39863512],[ 0.22033973 -1.10115224],[5.66719095 5.26731254],[ 0.84077129 -0.83789001],[3.30077272 2.38940234],[0.19806037 1.25801199],[9.38833017 3.14360332],[-0.31178188 -1.04140352],[9.88233903 9.56415181],[ 0.93617915 -0.29267281],[4.89749646 7.87381247],[0.74076865 0.83536457],[8.44944422 3.41676691],[-0.49759425  1.15823156],[8.6521296 9.1426914],[-1.3189042  -0.28671386],[5.13464445 5.21726548],[-0.28512128  1.16490264]
[1.24905971 4.60415229],[ 0.13945555 -1.08434434],[1.2696142  4.29128881],[ 0.3257859  -1.04904824],[5.75004794 5.18561105],[ 0.81426741 -0.8008916 ],[3.32322445 2.51530186],[0.25016113 1.25891399],[9.35302085 3.04332979],[-0.39554511 -0.96647935],[9.97093436 9.52949356],[ 0.83917997 -0.39859575],[4.97197721 7.9536085 ],[0.74854849 0.76063422],[8.39804045 3.53191707],[-0.53066887  1.14365335],[8.5220198  9.11077763],[-1.28108327 -0.34747119],[5.10739252 5.33164598],[-0.26017622  1.12478893]
[1.26831211 4.49764533],[ 0.24785717 -1.04376136],[1.3074797  4.18896295],[ 0.43399273 -0.99495836],[5.83074859 5.10742081],[ 0.79791335 -0.76652304],[3.35022607 2.64059425],[0.29066127 1.24799801],[9.30932258 2.9502771 ],[-0.47858462 -0.89537407],[10.05022844  9.48428073],[ 0.74705879 -0.5058732 ],[5.04776874 8.02652849],[0.76852348 0.69917194],[8.34351874 3.6455354 ],[-0.56191754  1.12586585],[8.3953484 9.0729351],[-1.2521758  -0.40807511],[5.08274048 5.44269891],[-0.23217987  1.09832747]
[1.29853471 4.39528318],[ 0.35423326 -1.00537925],[1.35608733 4.09204107],[ 0.5400765  -0.94085112],[5.9094904  5.03188117],[ 0.78123872 -0.74120147],[3.381232  2.7648088],[0.33262757 1.23946879],[9.25721949 2.86413219],[-0.5654541  -0.82976174],[10.12034225  9.42828347],[ 0.65399126 -0.61504641],[5.12519708 8.09295064],[0.78103806 0.63025946],[8.28600016 3.75731052],[-0.59000668  1.10739355],[8.27173238 9.02952517],[-1.22130061 -0.46016536],[5.06103254 5.55157457],[-0.20377964  1.07820014]
[1.33936889 4.2968869 ],[ 0.46238179 -0.96181204],[1.41505306 4.00053142],[ 0.63771748 -0.889563  ],[5.98715087 4.95913806],[ 0.77206861 -0.71444861],[3.41648856 2.88821812],[0.37330089 1.22953708],[9.19663832 2.78474232],[-0.6465451  -0.75860033],[10.18092465  9.36129818],[ 0.55855448 -0.7227083 ],[5.20406196 8.1526304 ],[0.7986111  0.56557996],[8.22595623 3.86734661],[-0.60923101  1.09425483],[8.15055929 8.98049593],[-1.20099331 -0.51870106],[5.04193701 5.65843542],[-0.17971626  1.05808129]
