[2.20112512 8.80314036],[-2.58387233 -1.37855659],[1.27192031 1.98453648],[ 2.54682965 -3.67307312],[4.5338199  8.36166362],[4.64657167 2.00858172],[2.87590363 2.63349394],[ 1.64755992 -1.21479314],[2.678272   8.49695422],[1.15801334 3.09408089],[9.86444043 2.3609445 ],[-3.54924906  3.89619633],[3.43969097 9.79997311],[1.93931467 3.65528723],[6.21249773 9.09730433],[-4.55760763  4.08865507],[9.68478375 0.63931794],[3.02072386 2.51257683],[5.62179056 2.70815779],[-1.38402625 -2.31071015]
[2.00200729 8.69173852],[-1.62152812 -0.96345355],[1.43756849 1.75454367],[ 1.2823588  -1.67374843],[4.80884934 8.47764055],[1.99725397 0.80760993],[3.02350041 2.52948209],[ 1.35335956 -0.9023733 ],[2.76664967 8.72375868],[0.74152521 1.79957105],[9.65668134 2.58730803],[-1.5249619   1.64070585],[ 3.57017914 10.03881306],[1.01537147 1.77723099],[5.9726268  9.30814637],[-1.67894999  1.42179717],[9.88577956 0.81572188],[1.49184372 1.41800544],[5.50884855 2.52422488],[-0.97141541 -1.53198131]
[1.85901756 8.60108162],[-1.27710857 -0.87046928],[1.55356811 1.61198556],[ 1.0793018  -1.23480156],[4.98295687 8.5447104 ],[1.55842779 0.56663576],[3.15161812 2.44865926],[ 1.22581947 -0.72461987],[2.8355768  8.88136983],[0.65433176 1.40078442],[9.52123676 2.73110045],[-1.23829441  1.29291549],[ 3.6615604  10.19094467],[0.84400828 1.32472567],[5.82587383 9.42685712],[-1.31904559  1.01186753],[10.01158965  0.94635574],[1.07297413 1.23500543],[5.4194356  2.38800886],[-0.83786578 -1.22648213]
[1.7424705  8.51557805],[-1.06946904 -0.84907901],[1.65812549 1.50175278],[ 1.02383212 -0.98749907],[5.12766291 8.59376918],[1.35762288 0.4240404 ],[3.2709858  2.38335757],[ 1.16738866 -0.58750594],[2.89963702 9.00942174],[0.63341323 1.17681563],[9.40348754 2.8519529 ],[-1.13040617  1.14211733],[ 3.74254534 10.3101733 ],[0.78722445 1.07917436],[5.70224338 9.51646477],[-1.17130696  0.79676423],[10.10538511  1.06691996],[0.8145901  1.18568093],[5.33922516 2.27537182],[-0.77245888 -1.03711483]
[1.64332542 8.43023178],[-0.91991947 -0.86163159],[1.760001   1.41237771],[ 1.01722689 -0.80900174],[5.25726494 8.63068404],[1.24574886 0.32020075],[3.38601568 2.33039963],[ 1.13687464 -0.47417636],[2.96316755 9.11888895],[0.64288162 1.02237955],[9.29276059 2.96113447],[-1.08826525  1.05048349],[ 3.81994695 10.40865209],[0.76665589 0.89921338],[5.58895747 9.58787889],[-1.10246417  0.63774981],[10.17661581  1.18534315],[0.61541787 1.18697262],[5.2634618  2.17852409],[-0.74430103 -0.90330674]
[1.5575506  8.34265556],[-0.79786075 -0.89077436],[1.86271261 1.33939489],[ 1.03567931 -0.65803445],[5.37819495 8.65844763],[1.17598046 0.23539202],[3.49888906 2.28817329],[ 1.12012297 -0.37435735],[3.02896176 9.21514927],[0.67119555 0.90293411],[9.18527239 3.06329278],[-1.0657605   0.99485637],[ 3.8964185  10.49088558],[0.7670836  0.75079506],[5.48057225 9.64478944],[-1.06615005  0.50674276],[10.22951718  1.3051653 ],[0.44424829 1.20973135],[5.18984131 2.09394858],[-0.73104686 -0.79198145]
[1.48331182 8.25180995],[-0.68799204 -0.92633796],[1.96762712 1.28043059],[ 1.06411511 -0.52273171],[5.49306855 8.67791267],[1.12433253 0.15495038],[3.61050698 2.2554949 ],[ 1.11253469 -0.28091539],[3.09761708 9.29991975],[0.70453401 0.79601039],[9.07904301 3.16045844],[-1.05581596  0.95491573],[ 3.97398125 10.5594899 ],[0.78610161 0.62338061],[5.3750599  9.68958578],[-1.04594968  0.3912486 ],[10.26628952  1.42783795],[0.29342572 1.24374468],[5.11678617 2.01958923],[-0.73165709 -0.69706039]
[1.41984278 8.15737984],[-0.58230175 -0.96251192],[2.07577368 1.23472444],[ 1.10034931 -0.39094735],[5.60362018 8.68972793],[1.08474146 0.07822947],[3.72166544 2.23199313],[ 1.11349543 -0.18716002],[3.17033128 9.37488862],[0.75231343 0.70630328],[8.97368003 3.2543579 ],[-1.0553161   0.92110417],[ 4.05368239 10.61554521],[0.81002438 0.49955449],[5.27088613 9.72307401],[-1.03893649  0.279151  ],[10.28817891  1.55349407],[0.14653583 1.26924496],[5.04330282 1.95434312],[-0.7392564  -0.60903855]
[1.36695221 8.05947732],[-0.47674698 -0.99623041],[2.18722976 1.20166282],[ 1.12914019 -0.27038715],[5.71036681 8.69369059],[1.05089055e+00 9.54103396e-04],[3.83310584 2.21787854],[ 1.11396747 -0.09696278],[3.24782087 9.4409333 ],[0.79637008 0.61364037],[8.86802265 3.3450015 ],[-1.0569325   0.89376892],[ 4.13632019 10.65962936],[0.84316308 0.3822728 ],[5.1674947  9.74591278],[-1.02929031  0.17833753],[10.29569719  1.68131561],[0.00760741 1.28797599],[4.96895699 1.89786967],[-0.74854174 -0.52104229]
[1.324333   7.95805702],[-0.37514529 -1.03095757],[2.3015798  1.18064837],[ 1.15720252 -0.15032196],[5.81407332 8.69006734],[ 1.0225831  -0.07444388],[3.94450421 2.21260733],[ 1.11337535 -0.00930041],[3.32964195 9.49763149],[0.8409453  0.52131022],[8.76248064 3.43347261],[-1.05657043  0.8736765 ],[ 4.22230425 10.691884  ],[0.87850404 0.2646857 ],[5.06477926 9.75862239],[-1.02707076  0.07415445],[10.28983216  1.81064806],[-0.12271423  1.29759531],[4.89340402 1.85004245],[-0.76137011 -0.43395432]
[1.29180048 7.8532783 ],[-0.27695255 -1.06515862],[2.4185067 1.1715374],[ 1.18189804 -0.03076459],[5.91517144 8.67902271],[ 0.99963805 -0.14621922],[4.05593297 2.21619589],[1.11533267 0.08137457],[3.41588244 9.54504596],[0.88213453 0.42534087],[8.65686386 3.5199903 ],[-1.05932718  0.85350707],[ 4.31184866 10.71234745],[0.91302641 0.1453995 ],[4.96217051 9.76081297],[-1.02368076 -0.02903639],[10.27148298  1.94052727],[-0.24743257  1.29380314],[4.8165952  1.81111207],[-0.77373594 -0.34309153]
[1.2689035  7.74518043],[-0.17950742 -1.09413966],[2.53732763 1.17399121],[1.19627921 0.08201133],[6.01397659 8.66080138],[ 0.97190695 -0.22277252],[4.16709823 2.22845792],[1.10745451 0.16326568],[3.50648378 9.58311282],[0.9316194  0.33815118],[8.55076349 3.60436918],[-1.06409349  0.8328573 ],[ 4.40464156 10.72073506],[0.93941876 0.01947922],[4.86027234 9.7530044 ],[-1.01702168 -0.13013937],[10.24112319  2.06960845],[-0.3558421   1.28825874],[4.73846201 1.78135641],[-0.78636656 -0.24895441]
[1.25590911 7.63466296],[-0.08008151 -1.11460799],[2.65714365 1.18743193],[1.20068796 0.18765847],[6.11000904 8.63492615],[ 0.94688569 -0.29623418],[4.27729672 2.24873751],[1.09804158 0.24395544],[3.60156719 9.61210539],[0.96957842 0.24176513],[8.44424305 3.68678583],[-1.06587135  0.81606557],[ 4.49981447 10.7164455 ],[ 0.96167677 -0.10646343],[4.75896102 9.73486143],[-1.00837528 -0.23237792],[10.20085125  2.19803714],[-0.45093209  1.27578903],[4.65905471 1.7611819 ],[-0.80239765 -0.15486093]
[1.25250193 7.52213123],[ 0.0085796  -1.13751997],[2.77726824 1.21141539],[1.19956415 0.28991823],[6.20318187 8.60142891],[ 0.9176703  -0.37216958],[4.38655173 2.27713256],[1.08868003 0.32579338],[3.69995631 9.63109847],[0.99848111 0.13904207],[8.33765433 3.76766914],[-1.06395351  0.80365282],[ 4.59675906 10.69947722],[ 0.97439479 -0.23386158],[4.658599  9.7064039],[-0.99687259 -0.33531254],[10.15118295  2.3244827 ],[-0.53924027  1.25358136],[4.5778484  1.75032643],[-0.82359585 -0.06415278]
[1.25801528 7.40788522],[ 0.10084413 -1.14651913],[2.89671825 1.24510122],[1.18716542 0.38111869],[6.29368072 8.56073897],[ 0.89296547 -0.44018656],[4.49463713 2.31354182],[1.07293126 0.4022561 ],[3.80123766 9.64003162],[1.0281024 0.0417293],[8.2312671  3.84735178],[-1.06399247  0.78983572],[ 4.694413   10.66975949],[ 0.97766424 -0.35903353],[4.56002235 9.66813954],[-0.97481371 -0.43038995],[10.09360184  2.44883461],[-0.61140464  1.23199343],[4.49477181 1.74879319],[-0.8341311   0.03714387]
[1.27291687 7.29335897],[ 0.19459272 -1.14494154],[3.01473642 1.28764777],[1.16964769 0.46585265],[6.38143669 8.51320093],[ 0.8616241  -0.51031575],[4.60099706 2.35745165],[1.05349957 0.47506309],[3.90546152 9.63959192],[ 1.05429662 -0.05094024],[8.12524424 3.92603545],[-1.0551344   0.78536129],[ 4.79174945 10.62761618],[ 0.97077171 -0.47924548],[4.46393213 9.6205448 ],[-0.94400253 -0.51853038],[10.0290731   2.57063036],[-0.67429154  1.20683605],[4.4108265  1.75753829],[-0.84305222  0.13895491]
[1.2967985  7.17908512],[ 0.28331601 -1.13847441],[3.13106679 1.33863707],[1.15332775 0.54993002],[6.46609346 8.45893493],[ 0.82938298 -0.57619675],[4.70520168 2.40840439],[1.02900999 0.5420673 ],[4.01177809 9.6298293 ],[ 1.07166211 -0.14283122],[8.0202897  4.00450116],[-1.04860841  0.7793192 ],[ 4.88806862 10.57401443],[ 0.95184983 -0.59343635],[4.37115136 9.56433346],[-0.91034474 -0.6044132 ],[9.95872799 2.68981944],[-0.7317714  1.1761962],[4.32649806 1.77681836],[-0.84285374  0.24646613]
[1.32933305 7.06573182],[ 0.36350274 -1.13051755],[3.24514972 1.39728074],[1.12599457 0.61983786],[6.54702314 8.39785481],[ 0.78670011 -0.64694306],[4.80686245 2.46589061],[1.00075644 0.60381248],[4.11909223 9.61064776],[ 1.07598908 -0.23751434],[7.91545146 4.08181461],[-1.04989976  0.76512739],[ 4.9823994  10.50983676],[ 0.93113371 -0.69042521],[4.28215845 9.49995649],[-0.86992941 -0.68330521],[9.88303223 2.80591227],[-0.78041029  1.14616764],[4.24218264 1.80655538],[-0.84058206  0.34974075]
[1.36964798 6.95348072],[ 0.44041949 -1.11505464],[3.35643723 1.4626415 ],[1.09787335 0.68460429],[6.62388023 8.33019631],[ 0.74767004 -0.70787038],[4.90521161 2.52894191],[0.96681404 0.65725694],[4.22648484 9.5821883 ],[ 1.07158636 -0.33006252],[7.81061976 4.15782143],[-1.04726663  0.75447452],[ 5.07391897 10.43616543],[ 0.89855679 -0.78064946],[4.19705951 9.42758704],[-0.82710397 -0.75872941],[9.80282931 2.91900194],[-0.82276249  1.11554394],[4.15878266 1.84688863],[-0.82601546  0.45656653]
