[5.28315522 4.95700219],[-2.75298692  3.37214301],[5.5416021  9.28790346],[-0.45977645 -1.16827349],[5.16958697 6.43485147],[3.06510539 2.55642079],[9.17670231 8.74180541],[2.9953982  1.72069866],[0.48051018 0.12804108],[-3.65281997 -4.39378427],[5.84583751 7.88508824],[ 4.7885685  -3.33481391],[5.75473656 9.48732872],[-3.72406291  4.37181382],[4.83417792 9.80172168],[4.43822723 3.80233481],[3.29552262 8.97531036],[-0.43810593 -2.35030195],[0.30344585 4.46895354],[-4.41807294 -4.5024895 ]
[5.10479108 5.17554306],[-1.34207419  1.65672449],[5.49585034 9.17170282],[-0.45560623 -1.15627676],[5.37627013 6.60837731],[1.58054596 1.34025572],[9.3907553  8.86582584],[1.66792055 0.97800414],[ 0.28286306 -0.1077894 ],[-1.36628088 -1.60592456],[6.10315249 7.70397937],[ 1.78406162 -1.28108922],[5.55015686 9.72367529],[-1.45645513  1.63067986],[ 5.07375289 10.00448396],[1.67888329 1.390214  ],[3.26022112 8.77566867],[-0.28940515 -1.75463152],[0.0798649  4.23937705],[-1.50063505 -1.56284865]
[4.98724539 5.32183408],[-1.05301509  1.32308935],[5.45022756 9.05638676],[-0.45786161 -1.15104562],[5.5145715  6.72694251],[1.23754058 1.07484617],[9.53545916 8.95185391],[1.27232224 0.76829958],[ 0.16703012 -0.24148314],[-1.00241223 -1.13047405],[6.25583108 7.5922745 ],[ 1.33804523 -1.00253173],[5.42287264 9.86216903],[-1.14785734  1.19917495],[ 5.21909215 10.12186122],[1.29303626 1.01294874],[3.23532894 8.61336809],[-0.21409867 -1.51949584],[-0.04596728  4.10612035],[-1.07627369 -1.16408993]
[4.88921432 5.4456919 ],[-0.92011214  1.1714564 ],[5.40435327 8.94158807],[-0.46053166 -1.14576564],[5.62850918 6.82718589],[1.058102   0.94429014],[9.65091971 9.02293868],[1.0514695  0.66152567],[ 0.07678644 -0.3404763 ],[-0.81960935 -0.86892105],[6.37803987 7.49858345],[ 1.12150576 -0.88954693],[5.31505576 9.97020363],[-1.02404292  0.97963993],[ 5.3390375  10.21271782],[1.12206921 0.81739121],[3.21685916 8.4684214 ],[-0.15709389 -1.39046203],[-0.14196211  3.99977758],[-0.85751455 -0.97743702]
[4.80200959 5.55875942],[-0.83175613  1.09517131],[5.35844263 8.82755553],[-0.45732732 -1.13469326],[5.72835541 6.91763611],[0.94569014 0.87045419],[9.74747495 9.08504631],[0.88747156 0.5856616 ],[ 0.00157367 -0.41702046],[-0.69238485 -0.6701085 ],[6.48313638 7.41306409],[ 0.98885383 -0.82678944],[ 5.21617312 10.06050015],[-0.96271292  0.83159904],[ 5.44594167 10.28732184],[1.02397327 0.68101762],[3.20351151 8.33359022],[-0.11150615 -1.31231388],[-0.2197384   3.90820771],[-0.70409865 -0.86075258]
[4.72184039 5.66555524],[-0.77549849  1.04381439],[5.31275134 8.71449856],[-0.45615274 -1.1261795 ],[5.81865855 7.00213867],[0.86691107 0.82557857],[9.82972261 9.14103446],[0.76098334 0.536448  ],[-0.06265539 -0.4754238 ],[-0.59591231 -0.50120606],[6.57682394 7.33220087],[ 0.89004054 -0.79295212],[ 5.12158518 10.13760325],[-0.93280873  0.71409858],[ 5.54516425 10.34997901],[0.96588203 0.57649955],[3.19437049 8.20511541],[-0.07079723 -1.25923678],[-0.28348075  3.82677027],[-0.57317642 -0.77123731]
[4.64665347 5.76828915],[-0.72855554  1.01453704],[5.26717476 8.60227463],[-0.45726642 -1.12015907],[5.9022271  7.08316964],[0.80567844 0.79594948],[9.89991096 9.19245243],[0.64389118 0.49262457],[-0.11762934 -0.51710607],[-0.50730018 -0.33514503],[6.66188534 7.25408977],[ 0.81169806 -0.77321503],[ 5.02895473 10.20373414],[-0.91859909  0.61389875],[ 5.63946936 10.40276751],[0.9241058  0.48225863],[3.18933438 8.08131825],[-0.03201637 -1.22043802],[-0.33527671  3.75288715],[-0.4624169  -0.70691082]
[4.57559243 5.86853267],[-0.69527238  0.99019763],[5.22158986 8.49075766],[-0.45743945 -1.11312154],[5.98016258 7.1616597 ],[0.75706222 0.77771089],[9.95916452 9.24022788],[0.53974233 0.46159766],[-0.16422603 -0.54229711],[-0.42333992 -0.1660067 ],[6.73915617 7.17686815],[ 0.73679173 -0.77093342],[ 4.93761722 10.2607643 ],[-0.91110937  0.52627915],[ 5.73036009 10.44663335],[0.89223414 0.39272608],[3.18787897 7.96073523],[ 0.00534662 -1.18974967],[-0.37644674  3.68472242],[-0.36050515 -0.6567855 ]
[4.50740278 5.96653631],[-0.66893084  0.97115754],[5.17619384 8.38014759],[-0.45145632 -1.10024299],[6.05337138 7.23842723],[0.70822058 0.75866217],[10.00776024  9.28476395],[0.43284343 0.43032035],[-0.20241621 -0.55010049],[-0.33862893  0.01331929],[6.80977154 7.10000209],[ 0.67751461 -0.76620141],[ 4.84666008 10.30927409],[-0.91077215  0.44268614],[ 5.81845039 10.48166555],[0.87061404 0.30825449],[3.19024047 7.84303264],[ 0.04295322 -1.16381731],[-0.40726055  3.62144423],[-0.25396277 -0.60798804]
[4.44200076 6.06320657],[-0.63956998  0.96284258],[5.1309832  8.27039144],[-0.45258359 -1.09467207],[6.1218628 7.3134481],[0.66253075 0.74266813],[10.04561259  9.32633325],[0.32042177 0.39813463],[-0.23163361 -0.53898824],[-0.24538672  0.2105815 ],[6.87467735 7.02336665],[ 0.62072132 -0.76759224],[ 4.75518429 10.34919221],[-0.91775436  0.35745701],[ 5.90475691 10.5084045 ],[0.85565546 0.22609487],[3.19629659 7.72769337],[ 0.07759966 -1.14383229],[-0.42683231  3.56329299],[-0.13685484 -0.55559612]
[4.37940267 6.15917375],[-0.61512941  0.95451666],[5.0854192 8.16099  ],[-0.45388712 -1.08845583],[6.18628645 7.38737707],[0.62306084 0.73306035],[10.0718067   9.36457852],[0.20232953 0.3667772 ],[-0.25102406 -0.5072942 ],[-0.13622457  0.42988416],[6.93418389 6.94657061],[ 0.56813688 -0.77038406],[ 4.66301786 10.38074811],[-0.93004024  0.26934235],[ 5.9899059  10.52707846],[0.84778371 0.14738459],[3.20544969 7.61394276],[ 0.10616423 -1.13047352],[-0.43434343  3.5103554 ],[-0.01298796 -0.50395461]
