[5.92214396 4.98364809],[-0.96083195 -1.93465543],[6.67105665 3.96401489],[0.09338201 1.19161859],[0.4553685  9.47084507],[ 3.96197789 -2.23594423],[3.75927794 8.1443265 ],[-3.46231902 -0.09697477],[7.35614384 7.98395827],[-2.9857591   1.78986875],[4.98589505 3.53250792],[-4.48552708  2.36001365],[5.36480304 0.71661716],[-3.08926112  1.98287732],[4.45014949 0.62032148],[-4.45130003 -1.81085617],[5.69447372 1.83454024],[ 1.73578194 -3.56532123],[2.98064337 1.10380491],[-3.38362575  3.14687816]
[5.83738514 4.81489552],[-0.76693604 -1.50714089],[6.6776904 4.0810515],[0.03868423 1.15030258],[0.70698507 9.32593594],[ 1.8908791  -1.12273154],[3.50874808 8.13298413],[-1.98549051 -0.13752936],[7.13756734 8.10972971],[-1.76665121  0.9544243 ],[4.72100437 3.67225606],[-1.91499567  1.01845949],[5.14698824 0.85989989],[-1.70382233  1.16090317],[4.1786928  0.51341572],[-1.99482436 -0.74502199],[5.81141947 1.59436757],[ 0.89040954 -1.82956881],[2.77168525 1.30296341],[-1.52092019  1.50809792]
[5.76498375 4.67489048],[-0.69088087 -1.31252332],[6.67887285 4.19445453],[-0.01630138  1.11753519],[0.8739547  9.22395804],[ 1.50705306 -0.95547462],[3.33313319 8.11598614],[-1.58141382 -0.20332161],[6.97791997 8.18980742],[-1.47354255  0.67583601],[4.55480478 3.76138941],[-1.47953586  0.79949281],[4.99670312 0.96578842],[-1.35068628  0.98927363],[4.00485554 0.4527117 ],[-1.55439532 -0.49947626],[5.88869116 1.43489356],[ 0.68457269 -1.41641928],[2.64160975 1.4378254 ],[-1.13524999  1.2380428 ]
[5.69796913 4.54991089],[-0.64986982 -1.1918319 ],[6.67421503 4.30457608],[-0.07346075  1.08910696],[1.01516851 9.13140308],[ 1.33379337 -0.90726382],[3.18652558 8.09237354],[-1.36907797 -0.26958961],[6.8374026  8.24785551],[-1.35274464  0.49380886],[4.4178812  3.83603357],[-1.28172488  0.70150858],[4.87116977 1.06101846],[-1.1724952   0.92892781],[3.86041948 0.41062669],[-1.35360088 -0.3486139 ],[5.9512672  1.30466834],[ 0.57546117 -1.20646446],[2.53886575 1.55576839],[-0.93521052  1.13610396]
[5.6339415  4.43485927],[-0.63102945 -1.11163469],[6.66420668 4.41240121],[-0.12735927  1.06703917],[1.14300868 9.04123356],[ 1.22947897 -0.90125265],[3.05663555 8.06165322],[-1.23553049 -0.34381432],[6.70532291 8.28969314],[-1.29421313  0.34847462],[4.29583687 3.90304971],[-1.16696468  0.64454427],[4.75970406 1.15249137],[-1.06404976  0.90488414],[3.73113697 0.38172474],[-1.24067277 -0.23229074],[6.00556361 1.19181915],[ 0.50921485 -1.06390629],[2.45259265 1.66703689],[-0.7965367   1.09630709]
[5.57152008 4.32702434],[-0.62048632 -1.04937374],[6.64878398 4.51809193],[-0.18251795  1.04556519],[1.26222768 8.95072848],[ 1.15983059 -0.90939054],[2.93810644 8.02335669],[-1.13816433 -0.42125631],[6.57782943 8.31835649],[-1.25974985  0.22637944],[4.18350008 3.96590499],[-1.08602599  0.61360721],[4.65748197 1.24275874],[-0.98339318  0.90353071],[3.6112484  0.36402548],[-1.16175492 -0.12293231],[6.05369537 1.09077786],[ 0.45307641 -0.96359951],[2.37840503 1.77574201],[-0.68849457  1.08336487]
[5.50941224 4.22440069],[-0.62363099 -1.0056002 ],[6.6276596  4.62152671],[-0.2358392   1.02713615],[1.37584809 8.8594723 ],[ 1.11218821 -0.91889446],[2.82861664 7.97759648],[-1.05386705 -0.49370592],[6.45269095 8.33505892],[-1.2434487   0.11032879],[4.07807633 4.02630895],[-1.02632871  0.59496024],[4.56233819 1.33340223],[-0.92136227  0.91088479],[3.49784773 0.35672965],[-1.10762537 -0.02245366],[6.09691711 0.998907  ],[ 0.41177557 -0.87714876],[2.31414096 1.88394194],[-0.59945247  1.0818707 ]
[5.44676573 4.12580587],[-0.62910536 -0.96646219],[6.60109036 4.72298499],[-0.29601925  1.00156598],[1.48478768 8.76666874],[ 1.06906854 -0.9361921 ],[2.72696718 7.92459382],[-0.98130323 -0.56703383],[6.32934505 8.3410878 ],[-1.22437917  0.01147709],[3.97798507 4.08532396],[-0.97944295  0.58422282],[4.47266634 1.42490648],[-0.87140756  0.92189088],[3.38928489 0.35942991],[-1.06557798  0.07560943],[6.13610341 0.91485631],[ 0.37265204 -0.80539576],[2.25808211 1.99226531],[-0.52050261  1.08808855]
[5.38374963 4.03121414],[-0.63090736 -0.92531635],[6.56869304 4.8220713 ],[-0.35050569  0.98122767],[1.59007407 8.67244471],[ 1.03378498 -0.95193057],[2.63209163 7.86412876],[-0.91616245 -0.64122806],[6.20739706 8.33720431],[-1.21417439 -0.0876488 ],[3.88178638 4.14317619],[-0.9442387   0.57495409],[4.38797965 1.51800751],[-0.82348585  0.94017162],[3.28411716 0.37138484],[-1.03636216  0.16523297],[6.17157851 0.83764595],[ 0.33758849 -0.7393835 ],[2.20946016 2.10131556],[-0.45102572  1.09529611]
[5.31988709 3.94002851],[-0.64647278 -0.8985396 ],[6.53086626 4.91905288],[-0.4037186   0.96031711],[1.69176624 8.57639575],[ 1.00082657 -0.96864633],[2.54358822 7.79635103],[-0.85641604 -0.71599921],[6.08628309 8.32344612],[-1.20363438 -0.1823303 ],[3.78902336 4.20050783],[-0.91524826  0.56871745],[4.30763128 1.61278289],[-0.78548633  0.954078  ],[3.1820923  0.39262652],[-1.00455239  0.25926416],[6.20351284 0.76670618],[ 0.30032463 -0.68084579],[2.16745503 2.21111209],[-0.38849976  1.10218614]
[5.25432919 3.85139878],[-0.66336427 -0.87270781],[6.48773724 5.01383875],[-0.46097806  0.93289605],[1.79043588 8.47886446],[ 0.97546011 -0.97925291],[2.4609734  7.72121922],[-0.79847904 -0.78839278],[5.96651044 8.30070049],[-1.18964924 -0.26980154],[3.69854506 4.25691834],[-0.89493994  0.55972252],[4.23068453 1.70874348],[-0.75096731  0.9680326 ],[3.08302486 0.42303021],[-0.97500532  0.35023183],[6.2317476  0.70152817],[ 0.26306859 -0.62421199],[2.13198218 2.32207046],[-0.32424413  1.11411917]
[5.18692861 3.76522282],[-0.68376495 -0.84983717],[6.43892532 5.10581464],[-0.51325256  0.90807278],[1.88641816 8.38008781],[ 0.94472848 -0.9957899 ],[2.38435993 7.6392774 ],[-0.7351484  -0.85089369],[5.84815845 8.26938699],[-1.1787109 -0.3575178],[3.610131   4.31269042],[-0.87226676  0.5574881 ],[4.1572784  1.80629053],[-0.71514725  0.98515458],[2.98720698 0.46270866],[-0.94296403  0.44100286],[6.25588536 0.64165851],[ 0.21751467 -0.57509269],[2.10233182 2.43375309],[-0.26832943  1.12033288]
[5.11790605 3.68178149],[-0.69614802 -0.81844572],[6.38512814 5.19537469],[-0.56493872  0.88030323],[1.97961524 8.27993977],[ 0.91663192 -1.00974519],[2.31434406 7.55158706],[-0.66845934 -0.90525417],[5.73134159 8.22983753],[-1.15669241 -0.43177736],[3.52379876 4.36823715],[-0.85630626  0.55198658],[4.08759845 1.90573393],[-0.68146597  1.00076317],[2.89489908 0.51154333],[-0.90367413  0.53428054],[6.27585972 0.58722276],[ 0.17857507 -0.51648853],[2.07851633 2.54635641],[-0.20919134  1.13067377]
[5.04725448 3.60111411],[-0.7136399  -0.79159025],[6.32574449 5.28158175],[-0.61799003  0.84798245],[2.07004867 8.17845317],[ 0.88796956 -1.02398369],[2.25060617 7.45833707],[-0.6038555  -0.95627373],[5.61670762 8.18302926],[-1.13509966 -0.50289696],[3.43924594 4.42354587],[-0.83676619  0.55254018],[4.02084932 2.00633654],[-0.65254588  1.01233112],[2.80626301 0.56913374],[-0.86699048  0.61827058],[6.29124099 0.53817831],[ 0.12921877 -0.46332377],[2.06031462 2.65971487],[-0.15569149  1.13573256]
[4.97507447 3.52338487],[-0.72903698 -0.76200142],[6.26173536 5.36503666],[-0.66278272  0.8198125 ],[2.1574207  8.07537742],[ 0.86130909 -1.03561843],[2.19329729 7.36023638],[-0.54517044 -1.00733706],[5.50440409 8.12945514],[-1.10850106 -0.56537482],[3.35622926 4.47858906],[-0.82550576  0.5465892 ],[3.95702379 2.10813724],[-0.62637156  1.02133919],[2.72163733 0.63507056],[-0.82515857  0.69937319],[6.30207619 0.49516975],[ 0.08375145 -0.39938848],[2.04756517 2.77368368],[-0.102521    1.14040698]
[4.90152545 3.44882039],[-0.74292741 -0.73018708],[6.19280475 5.44503269],[-0.71438294  0.78087155],[2.24237394 7.97140391],[ 0.83697043 -1.04457818],[2.14199876 7.25751409],[-0.48288993 -1.0479149 ],[5.39449295 8.06956115],[-1.08871868 -0.63092263],[3.27421141 4.53296251],[-0.81379189  0.54213094],[3.89540484 2.2104596 ],[-0.60483501  1.02636872],[2.64139677 0.70887891],[-0.77805292  0.77683983],[6.3079108  0.45853476],[ 0.03233835 -0.33234199],[2.03996836 2.88795743],[-0.04878622  1.14573579]
[4.82641186 3.37730229],[-0.75837479 -0.69910901],[6.11910043 5.52131534],[-0.76127775  0.74249212],[2.32475886 7.86642794],[ 0.81133741 -1.05429222],[2.09665346 7.15082593],[-0.42286481 -1.08339552],[5.2868193  8.00354335],[-1.06421896 -0.68812638],[3.19331746 4.5868903 ],[-0.80247068  0.53818343],[3.83633339 2.31367451],[-0.57939364  1.03516689],[2.56631646 0.79041702],[-0.7250195  0.8508403],[6.30842934 0.42897523],[-0.0266234  -0.26155105],[2.03740082 3.00241186],[-0.00173262  1.14424787]
