[6.76490958 3.28877686],[-0.00646743  0.28530156],[2.85215431 5.16504462],[ 2.31554943 -0.63655257],[7.77049313 9.30281144],[ 2.50518938 -4.90670383],[5.1010723  4.70372313],[3.63759199 1.6853529 ],[5.69777122 1.78751144],[-1.25318056 -0.5856604 ],[5.66175493 4.75827894],[3.10350992 4.35817565],[3.47458744 6.49736009],[-4.8636334   2.45097983],[6.21754437 4.16541731],[ 0.31689491 -1.53951424],[3.32941688 3.69163634],[1.53070307 0.22630498],[2.27980313 2.58280281],[-1.47791123  3.64612649]
[6.76182845 3.32028605],[-0.05798507  0.34313827],[3.04853185 5.11084535],[ 1.72671066 -0.47532289],[7.90771179 9.02432503],[ 0.93276068 -2.01620962],[5.34620132 4.81725506],[1.8758715  0.86728845],[5.57662768 1.73487874],[-1.17745534 -0.47226836],[5.83819263 5.00695058],[1.25332929 1.77643167],[3.20072417 6.63401644],[-1.94234781  0.94852489],[6.24574057 4.02131092],[ 0.25094904 -1.35914553],[3.4754506  3.71428285],[1.4008748  0.22750567],[2.18184367 2.83281478],[-0.72411338  1.94301395]
[6.75374033 3.35805839],[-0.1080404   0.40887498],[3.20811843 5.06695569],[ 1.49416191 -0.40838354],[7.98439892 8.84602114],[ 0.63725951 -1.6232875 ],[5.51066628 4.89306342],[1.47300716 0.67668796],[5.4613734  1.69254867],[-1.13216387 -0.37747559],[5.94592641 5.16067743],[0.94863877 1.36444632],[3.03373653 6.71462187],[-1.47066435  0.70085833],[6.26820502 3.89135683],[ 0.20006017 -1.24776398],[3.61104468 3.7371755 ],[1.31718796 0.23132296],[2.12164498 3.00579662],[-0.50522079  1.57352898]
[6.74001945 3.40203219],[-0.16256027  0.47487457],[3.35065303 5.0280676 ],[ 1.36902727 -0.3712412 ],[8.03930488 8.69246522],[ 0.469379   -1.47032549],[5.64744838 4.95580522],[1.28258792 0.58815206],[5.34995938 1.65938968],[-1.09721868 -0.2857853 ],[6.03287275 5.286781  ],[0.8045776  1.17732905],[2.89841824 6.77739112],[-1.25363014  0.56819233],[6.28602755 3.77066506],[ 0.15588215 -1.17180507],[3.73960211 3.76047896],[1.25763878 0.23547293],[2.07798101 3.15370771],[-0.3742108   1.40448583]
[6.72061995 3.45250613],[-0.22191872  0.5380854 ],[3.48338988 4.99219916],[ 1.29039173 -0.34855161],[8.07983011 8.54959288],[ 0.34201744 -1.39903502],[5.76940515 5.01163759],[1.16687313 0.5343592 ],[5.24131537 1.63493898],[-1.07326011 -0.2001746 ],[6.1085161  5.39853228],[0.71398649 1.06580502],[2.78030112 6.82959976],[-1.11945043  0.47892978],[6.29991704 3.65675628],[ 0.12595917 -1.10587185],[3.86319337 3.78443004],[1.21540636 0.24297434],[2.04586343 3.28910432],[-0.26804388  1.31458996]
[6.69575989 3.50973452],[-0.2764716   0.60460818],[3.60988801 4.95846232],[ 1.24171706 -0.32798376],[8.10898868 8.41215597],[ 0.24161272 -1.35600827],[5.88199258 5.06323039],[1.08926289 0.49954293],[5.13468033 1.61883909],[-1.06051496 -0.12277317],[6.17686372 5.50147191],[0.65391144 0.995165  ],[2.67329605 6.87383171],[-1.02466916  0.40884569],[6.31045558 3.54822733],[ 0.08497127 -1.06627431],[3.98301388 3.80911467],[1.1833703  0.25179298],[2.02358807 3.41740598],[-0.17829839  1.2565606 ]
[6.6653251  3.57326587],[-0.33147152  0.66548362],[3.73228092 4.92656295],[ 1.20544504 -0.31321973],[8.12866907 8.27795164],[ 0.15169631 -1.33190152],[5.98762041 5.11153815],[1.02574671 0.46749756],[5.02926151 1.61045755],[-1.04690896 -0.04379297],[6.23963829 5.59810463],[0.60075413 0.93753064],[2.57498304 6.91204574],[-0.94475759  0.35648921],[6.31731137 3.44361716],[ 0.05342668 -1.02603727],[4.09995842 3.83471293],[1.15592093 0.25963009],[2.01007547 3.54112132],[-0.09302548  1.21989396]
[6.62925535 3.64234193],[-0.38903899  0.71512724],[3.85139133 4.89583863],[ 1.178223   -0.30143985],[8.13950016 8.14543865],[ 0.066515   -1.31876506],[6.08750258 5.15683893],[0.97365079 0.43915972],[4.92525956 1.61006516],[-1.03513601  0.03371458],[6.29776006 5.68985786],[0.56150769 0.89789186],[2.48348973 6.94488849],[-0.88692087  0.30099314],[6.32099323 3.34267053],[ 0.02192166 -0.99213462],[4.21458705 3.86132192],[1.13598323 0.27136362],[2.00458438 3.66147549],[-0.0177616   1.18835154]
[6.58810157 3.71649242],[-0.43488457  0.76474194],[3.96803245 4.86613269],[ 1.1559099  -0.29237172],[8.14245056 8.01433732],[-0.00864784 -1.30586005],[6.18326824 5.2001444 ],[0.94366847 0.4285624 ],[4.82235694 1.61727858],[-1.02034584  0.1128655 ],[6.35222402 5.77804998],[0.52663599 0.86523049],[2.39759605 6.97260463],[-0.83551101  0.25028466],[6.32198145 3.24532107],[-0.00278003 -0.956261  ],[4.32747456 3.88925055],[1.1191907  0.28437209],[2.00681646 3.77935142],[0.05947809 1.16744854]
[6.54270588 3.79526437],[-0.47425351  0.80697548],[4.0827239  4.83734678],[ 1.13917411 -0.28269206],[8.13779955 7.88411662],[-0.08531268 -1.30012147],[6.27606282 5.24230428],[0.91021869 0.41221746],[4.72099585 1.63239533],[-1.00587462  0.19001565],[6.40318543 5.86307815],[0.49322051 0.83623593],[2.31608364 6.99482013],[-0.79342942  0.1961483 ],[6.32027186 3.15115838],[-0.03082176 -0.92672417],[4.43846995 3.91817238],[1.10123991 0.2942351 ],[2.01683899 3.89545284],[0.13880825 1.15297321]
[6.49345737 3.87762517],[-0.51244289  0.8360957 ],[4.19562553 4.80923648],[ 1.11759287 -0.2815712 ],[8.12591554 7.75472278],[-0.15072492 -1.28685017],[6.36555547 5.2827447 ],[0.88010859 0.39673973],[4.62123061 1.65523704],[-0.99048225  0.2651212 ],[6.45105012 5.94553857],[0.46483104 0.8139632 ],[2.23902471 7.01205156],[-0.74875257  0.14795701],[6.31532859 3.05946002],[-0.06662827 -0.90586876],[4.54789121 3.94823541],[1.08789999 0.30764065],[2.03428035 4.00973731],[0.2091     1.13231962]
