[2.26684583 2.68453959],[ 4.63468721 -0.76505396],[6.7295788  9.77351871],[0.16699609 0.97863446],[5.45305741 4.03839294],[-0.94473155  2.04417208],[2.29494954 5.21403366],[-2.09989482  4.83891096],[8.27598893 8.30801275],[-3.79443531  1.54866186],[3.80115035 8.68727486],[-3.56685477 -2.167764  ],[5.50005434 1.61323315],[0.53507397 1.6292694 ],[2.18729807 8.4311973 ],[-1.04784915  4.1174973 ],[2.30300232 9.74068831],[-4.11897167  2.68164183],[9.25899189 0.49067419],[-2.05499407  3.69520597]
[2.55487159 2.64062969],[ 2.14220654 -0.28189364],[6.74375599 9.86680248],[0.11880181 0.89202691],[5.37143795 4.21565697],[-0.72182321  1.58493575],[2.17625546 5.49335852],[-0.82279658  2.00945474],[8.02038561 8.40873101],[-1.97829915  0.73779169],[3.56696761 8.54160773],[-1.76459747 -1.13723957],[5.54827213 1.76791613],[0.43541835 1.481993  ],[2.12114789 8.69872089],[-0.47071295  2.00719516],[2.05649409 9.89871088],[-1.78223093  1.11766435],[9.12087177 0.73639207],[-1.08112713  1.89349453]
[2.74299562 2.61992432],[ 1.69389555 -0.14351272],[6.75321533 9.9522452 ],[0.07208215 0.82036641],[5.30475433 4.36343112],[-0.62416549  1.39115156],[2.10776748 5.66850695],[-0.5785699   1.56765167],[7.84361561 8.47001557],[-1.61618383  0.51479064],[3.41368925 8.43908753],[-1.35892748 -0.94796711],[5.58812846 1.91209817],[0.36370553 1.40857626],[2.08250856 8.87306776],[-0.31799261  1.54764424],[1.9028111  9.99274016],[-1.35841489  0.80246226],[9.02277633 0.90519261],[-0.91355081  1.54091288]
[2.90168049 2.61113845],[ 1.49871297 -0.03785974],[ 6.75821712 10.03122264],[0.02486871 0.75749391],[5.24514546 4.49665703],[-0.57108558  1.28425974],[2.05690781 5.81428363],[-0.44566993  1.37155636],[7.69098234 8.51487984],[-1.45896712  0.38687416],[3.28903761 8.34836741],[-1.15332218 -0.87839897],[5.62169814 2.05097012],[0.30737271 1.370812  ],[2.05569935 9.01539672],[-0.22251837  1.32032077],[ 1.77833279 10.06390826],[-1.15445396  0.62900803],[8.93471107 1.05084346],[-0.85769005  1.38945146]
[3.04563186 2.61214183],[1.38831475 0.05554272],[ 6.75833706 10.10414456],[-0.02250366  0.70200222],[5.1898554  4.62157363],[-0.53878195  1.21720749],[2.01783675 5.94590469],[-0.34201968  1.26760725],[7.54940152 8.54837461],[-1.37926848  0.28808252],[3.1809318  8.26225871],[-1.01781976 -0.84947052],[5.64947577 2.18652388],[0.2509446  1.34429236],[2.03749199 9.13992798],[-0.1433877   1.17978715],[ 1.66971042 10.12033456],[-1.02660202  0.504549  ],[8.8504902  1.18574685],[-0.83229568  1.31427722]
[3.1804689 2.6219367],[1.31561883 0.14243001],[ 6.75312131 10.17123912],[-0.08030334  0.64241582],[5.13725356 4.74105641],[-0.51628314  1.17366677],[1.98791598 6.06908377],[-0.25832766  1.20104028],[7.41428024 8.57335745],[-1.33081553  0.21025271],[3.08448578 8.17795637],[-0.91557704 -0.83914979],[5.67223613 2.32033788],[0.20412508 1.33235415],[2.02634073 9.2522731 ],[-0.0782749   1.07455185],[ 1.57181156 10.16551059],[-0.93594741  0.40140997],[8.76751774 1.31451333],[-0.82721952  1.26632712]
[3.30924419 2.64043214],[1.26098115 0.22553839],[ 6.74178982 10.23232762],[-0.14736889  0.57916757],[5.08651975 4.85687937],[-0.49758813  1.14612386],[1.96576551 6.18672273],[-0.1857759   1.15477795],[7.28295385 8.59106205],[-1.30207352  0.14105501],[2.99684221 8.09372678],[-0.83974226 -0.84667564],[5.69048444 2.45323439],[0.16240331 1.32710258],[2.02174994 9.35558765],[-0.01364113  0.99509465],[ 1.48186739 10.20096109],[-0.86563089  0.30881243],[8.68500008 1.43972099],[-0.82544407  1.23817196]
[3.43288573 2.66684136],[1.21436752 0.30337635],[ 6.72387525 10.28745624],[-0.21186815  0.523092  ],[5.03758143 4.97050408],[-0.48291408  1.12635754],[1.9505164  6.30040273],[-0.12072356  1.11997385],[7.15371771 8.60191716],[-1.28167605  0.07947605],[2.91624398 8.00851192],[-0.77469216 -0.85918613],[5.70464681 2.58567078],[0.12060518 1.32135572],[2.02362972 9.45176328],[0.04862591 0.92778086],[ 1.39799179 10.22710716],[-0.81365051  0.21436894],[8.60231088 1.56243687],[-0.82704046  1.21889359]
[3.55223492 2.70097956],[1.17676563 0.38262575],[ 6.69946322 10.33710455],[-0.27757701  0.46913374],[4.98993063 5.08240623],[-0.47111868  1.11175995],[1.94157805 6.41106651],[-0.05756799  1.09536302],[7.02652045 8.6072595 ],[-1.26438709  0.02696055],[2.84181865 7.92194484],[-0.715671   -0.87326624],[5.71466569 2.71755881],[0.08223342 1.31851526],[2.0316246  9.54156112],[0.11190761 0.86989788],[ 1.31893449 10.24387579],[-0.76510879  0.12440588],[8.51915208 1.68327515],[-0.83317044  1.2016654 ]
[3.66830897 2.74336398],[1.1430522  0.46264879],[ 6.66802417 10.38102397],[-0.35269159  0.4080532 ],[4.94317119 5.19286112],[-0.46448012  1.09774265],[1.93903716 6.51973075],[0.00648599 1.07862972],[6.90091195 8.60765772],[-1.24903258 -0.01903822],[2.77322623 7.83408742],[-0.65791738 -0.88504695],[5.72100942 2.84922568],[0.04566895 1.31547342],[2.04579634 9.62564803],[0.17078901 0.8116955 ],[ 1.24470321 10.25181472],[-0.71989341  0.03426233],[8.43545586 1.80265952],[-0.84040473  1.18676509]
[3.78085266 2.79344879],[1.10502041 0.53562697],[ 6.62875921 10.41858318],[-0.43422483  0.34151922],[4.89684993 5.30191738],[-0.46108149  1.08489521],[1.94291501 6.62695584],[0.07112264 1.06646813],[6.77643208 8.60335459],[-1.2411881  -0.06696405],[2.71006197 7.74485869],[-0.60817023 -0.90172575],[5.7239451  2.98072829],[0.01497123 1.31579827],[2.06612195 9.70427204],[0.23655457 0.76169035],[ 1.17470621 10.25042858],[-0.68042882 -0.06276274],[8.35122345 1.92084074],[-0.84290449  1.17835174]
