[8.34115753 6.41173336],[ 2.28832787 -3.94568734],[8.94270382 4.6015961 ],[-1.52425044  0.51668758],[4.97452866 7.60791571],[-3.11628994  4.95638579],[4.14317304 3.71250871],[-4.05423592  1.99762111],[7.52536149 8.60536499],[-2.90769837 -3.31318251],[1.04420762 5.83965531],[ 3.93600568 -2.85665666],[8.17959616 7.22731354],[ 4.82186029 -3.58951137],[9.13939614 8.91571586],[-1.33121436  3.48249315],[4.43393989 0.08676481],[ 0.67295588 -4.7146819 ],[0.782272   5.77259511],[-2.61127419 -0.86644537]
[8.48269507 6.16332961],[ 1.01943308 -1.85495614],[8.79693789 4.65116137],[-1.40220315  0.47918679],[4.80702954 7.87376739],[-1.16729191  1.843782  ],[3.88880398 3.84105639],[-1.87452888  0.98290057],[7.33818252 8.39134557],[-1.40992576 -1.62083794],[1.28578176 5.6674277 ],[ 1.80218784 -1.24930773],[8.43264055 7.03551968],[ 1.72999608 -1.35512419],[9.04254128 9.15679821],[-0.79885914  1.85309267],[ 4.47676838 -0.19805058],[ 0.33641616 -2.04586531],[0.5775051  5.70291486],[-1.68404858 -0.59226978]
[8.56886012 6.00068192],[ 0.73807299 -1.46309432],[8.66033042 4.69761302],[-1.33389935  0.45337513],[4.70644859 8.03139168],[-0.88931074  1.38110996],[3.7269489 3.9294163],[-1.42500353  0.81865929],[7.21397551 8.24776693],[-1.11984345 -1.30277921],[1.4463249  5.56017068],[ 1.4691145  -0.94088604],[8.57960765 6.91704059],[ 1.27410606 -1.07010179],[8.96770177 9.31739394],[-0.71976811  1.41479855],[ 4.50818359 -0.37196493],[ 0.30166654 -1.50788895],[0.42891565 5.64864463],[-1.32430397 -0.50453686]
[8.63385717 5.86377514],[ 0.57384302 -1.29272604],[8.52962627 4.74243661],[-1.28739988  0.43997956],[4.62463258 8.15752861],[-0.76177798  1.16019511],[3.59666556 4.00795202],[-1.20036862  0.76143858],[7.10958038 8.12546709],[-0.98368392 -1.16077798],[1.58547351 5.47404067],[ 1.33387668 -0.7926712 ],[8.69458637 6.81626442],[ 1.04164076 -0.96319948],[8.89576993 9.44553588],[-0.7242362   1.16762975],[ 4.53805644 -0.50759038],[ 0.30132509 -1.22436949],[0.30791574 5.60016813],[-1.10865875 -0.46922369]
[8.68503992 5.73974441],[ 0.45683795 -1.19386078],[8.40307174 4.78648049],[-1.2501662   0.43703665],[4.55257411 8.26618488],[-0.68684289  1.0199079 ],[3.48442677 4.08302336],[-1.05339253  0.74372908],[7.0151909  8.01332203],[-0.91051074 -1.08928778],[1.71539678 5.40002433],[ 1.27037375 -0.69496128],[8.79060546 6.7227516 ],[ 0.8837594  -0.91648994],[8.82220191 9.55350164],[-0.74879167  1.00090838],[ 4.56884914 -0.61969653],[ 0.31555767 -1.02766726],[0.20571908 5.55447808],[-0.94341429 -0.44882403]
[8.72551227 5.62348199],[ 0.3548527  -1.13570977],[8.27962199 4.83025691],[-1.22308219  0.43593251],[4.48659532 8.36288057],[-0.63424622  0.92001484],[3.38449861 4.15701331],[-0.95179679  0.73602717],[6.92662412 7.90665527],[-0.86351187 -1.04711751],[1.84088536 5.33456292],[ 1.2434761  -0.61648572],[8.87252578 6.63214311],[ 0.7611551  -0.89655578],[8.74531566 9.64654364],[-0.78965984  0.86472541],[ 4.60144415 -0.71436493],[ 0.34129905 -0.86643752],[0.11838427 5.51003338],[-0.80684004 -0.44196581]
[8.75657555 5.51220778],[ 0.26458452 -1.09534898],[8.15831139 4.87373851],[-1.20645263  0.43117105],[4.42504047 8.45062756],[-0.5988499   0.83741294],[3.29384702 4.23099817],[-0.8653314   0.74344904],[6.84233827 7.80369356],[-0.82148127 -1.01163086],[1.9643902  5.27606746],[ 1.2316959  -0.55193874],[8.94333158 6.54285986],[ 0.65858171 -0.88966511],[8.6636565 9.7266139],[-0.84493638  0.7380842 ],[ 4.63731939 -0.79359834],[ 0.38064917 -0.71697875],[0.04387595 5.46576827],[-0.68639104 -0.44605605]
[8.77868911 5.40417242],[ 0.1825908  -1.06279382],[8.03791403 4.91615245],[-1.20080166  0.41787163],[4.36644684 8.53067217],[-0.57297781  0.76637135],[3.21119885 4.30606093],[-0.78962779  0.75818667],[6.76129464 7.70326393],[-0.80162119 -0.9991994 ],[2.08685999 5.22326501],[ 1.22028819 -0.50389366],[9.00433256 6.4536915 ],[ 0.56119662 -0.89635626],[8.57610485 9.7942963 ],[-0.90256533  0.62025294],[ 4.67736587 -0.85839756],[ 0.41811076 -0.58265981],[-0.01916108  5.42051338],[-0.57398958 -0.45905898]
[8.79298146 5.29920086],[ 0.10350244 -1.03767917],[7.91841347 4.95764686],[-1.18883435  0.41281894],[4.31026724 8.60415637],[-0.5512887   0.70449584],[3.13576121 4.3828352 ],[-0.71760758  0.78027915],[6.68253436 7.60436673],[-0.77467966 -0.9799133 ],[2.20875346 5.17525991],[ 1.21748337 -0.45762601],[9.05596278 6.36364836],[ 0.47352322 -0.90376779],[8.48303534 9.85067645],[-0.95860024  0.50775923],[ 4.7212347  -0.90999519],[ 0.46166302 -0.44735054],[-0.07086679  5.37384525],[-0.46061976 -0.47569243]
[8.79898541 5.19610194],[ 0.01832409 -1.02304257],[7.80010442 4.99873935],[-1.17690024  0.40985641],[4.25618971 8.67185092],[-0.53223116  0.64864526],[3.06726688 4.46191893],[-0.65165713  0.80287697],[6.60578072 7.50670187],[-0.75945104 -0.97239782],[2.33059455 5.1317853 ],[ 1.21639193 -0.41569269],[9.09868668 6.27241559],[ 0.38214052 -0.92031055],[8.38485658 9.89628927],[-1.00626121  0.40293732],[ 4.76970381 -0.94784039],[ 0.51060353 -0.30627719],[-0.1110714   5.32532747],[-0.34544851 -0.49791905]
[8.79681584 5.09471178],[-0.06279978 -1.00608622],[7.682928   5.03955994],[-1.16654892  0.40682949],[4.20342751 8.73367546],[-0.52261337  0.58906422],[3.00507039 4.54317064],[-0.58926936  0.82561926],[6.5307091  7.40995543],[-0.74350418 -0.96403948],[2.45246139 5.09242622],[ 1.21812544 -0.37489474],[9.13227681 6.1794315 ],[ 0.28923195 -0.9398712 ],[8.28159606 9.93091939],[-1.05837303  0.28930894],[ 4.82319193 -0.97123411],[ 0.5637633  -0.15587485],[-0.13971511  5.2741813 ],[-0.22661033 -0.52568364]
