[7.9582187  8.48940142],[ 0.44150379 -3.16500379],[8.34376731 3.36305933],[-0.18377793 -2.39227981],[7.3583061  8.53831554],[-2.37152461 -3.69328013],[4.7414306  5.88921135],[ 2.15797955 -0.50804592],[3.40171056 5.20406103],[1.85091597 0.27060488],[1.30834804 2.53639394],[ 2.42757179 -1.28554236],[8.63321085 7.18298422],[ 4.08660737 -4.09603927],[9.83068706 7.64791714],[-3.31501688 -3.12789249],[0.47962593 8.36025766],[1.92314237 2.09643242],[8.06598959 0.76125038],[ 4.45500513 -1.06506039],[0.57766491 2.27723674],[-1.59165811 -0.44008669],[4.06209308 3.79667741],[-2.41140311  2.87473263],[3.56936163 6.33360614],[-3.90556192  4.0947576 ],[6.38880344 7.58876877],[-2.47890135  3.10751789],[6.31131837 2.43756007],[-3.20065731 -2.60742275],[1.02458313 3.33472334],[-1.44725758 -4.03547685],[2.45546269 9.86728286],[-3.64430269 -0.99539484],[3.6041106  1.65309835],[-4.55840462 -4.68824178],[8.89166468 2.59278537],[-1.90248975  0.28767419],[3.76526476 2.17392776],[ 1.30792521 -4.00561594],[3.19855238 2.34246401],[-4.65609419  4.66853421],[7.00392067 6.35069656],[2.9551872  0.01720966],[7.80814621 9.42867252],[ 0.95133644 -4.08696486],[7.77021347 5.26667505],[-4.13249758 -1.11866017],[6.65279745 3.87975265],[-1.81207259  3.84833356],[7.27743152 9.55582406],[-0.49631556  1.61368158],[2.9017762  9.64162713],[ 3.23354779 -1.34087199],[7.78035927 5.21326761],[-3.51898568 -2.73688492],[5.18741342 2.99913079],[-1.57175525 -1.95042921],[1.02814386 0.25919466],[ 1.65181019 -2.7362658 ],[3.24262227 8.4023253 ],[0.96217498 2.07655447],[6.27266956 7.52599746],[-1.19483183 -3.18081558]
[7.98829668 8.24850679],[ 0.2070105  -1.98369972],[8.32475159 3.16369579],[-0.20552783 -1.71917537],[7.2047753  8.29920159],[-1.16603574 -1.81464767],[4.92813184 5.84499033],[ 1.65935543 -0.39519441],[3.5707556  5.22862103],[1.56646021 0.22597259],[1.50666787 2.43679082],[ 1.70968264 -0.8024336 ],[8.85189998 6.95845522],[ 1.49285737 -1.60145719],[9.61888064 7.45009863],[-1.60803254 -1.47833114],[0.636677   8.52245537],[1.36787231 1.31760364],[8.34371661 0.69914194],[ 2.04527789 -0.40549525],[0.43465568 2.23996997],[-1.29502435 -0.31206683],[3.89524301 3.99884882],[-1.2839061  1.5940021],[3.35552555 6.55872118],[-1.49379733  1.5790348 ],[6.21961854 7.79731746],[-1.31277684  1.58222842],[6.09732852 2.26707622],[-1.64494003 -1.26602666],[0.93441376 3.07332776],[-0.63214616 -1.95861076],[2.20454925 9.79326077],[-1.92805248 -0.63418034],[3.3767293  1.42116285],[-1.5460769  -1.55276831],[8.71755534 2.62181474],[-1.61994615  0.29435661],[3.85309934 1.91352682],[ 0.68704327 -1.94416089],[2.96888578 2.57706401],[-1.53852803  1.62712635],[7.23229958 6.35067963],[ 1.8795958  -0.01073887],[7.86794893 9.15671264],[ 0.42005521 -2.09212261],[7.49935765 5.19405396],[-2.06033076 -0.5438326 ],[6.53319637 4.13199637],[-0.91700172  1.91252328],[7.22916609 9.70085083],[-0.48006897  1.31099017],[3.13651483 9.5407178 ],[ 1.87175392 -0.84716166],[7.55444217 5.03972605],[-1.70721639 -1.28623589],[5.05708121 2.8399292 ],[-1.12704158 -1.34921094],[1.15704787 0.05798445],[ 1.09937839 -1.58257623],[3.32730059 8.57660572],[0.77305086 1.50305998],[6.18455951 7.29167215],[-0.70967213 -1.88659279]
[8.00322919 8.06915025],[ 0.09975511 -1.65097261],[8.30186587 3.00758279],[-0.2505389  -1.42921171],[7.10128711 8.13842586],[-0.93892338 -1.45710577],[5.08148387 5.80776276],[ 1.43201219 -0.35416877],[3.71921851 5.24974277],[1.41585916 0.19757579],[1.6642991  2.36747838],[ 1.47911766 -0.5994447 ],[8.97666506 6.81726482],[ 1.06727471 -1.27680209],[9.47543165 7.32041578],[-1.31566394 -1.16735931],[0.76475497 8.63686405],[1.21997075 1.0001523 ],[8.52042363 0.66867022],[ 1.5611593  -0.21951969],[0.31475841 2.2133658 ],[-1.11421559 -0.22348642],[3.78333661 4.14088928],[-0.99205113  1.29436855],[3.22785754 6.6947236 ],[-1.11987734  1.19886811],[6.10255694 7.93410408],[-1.0694736   1.20313628],[5.95141572 2.15906628],[-1.32523233 -0.93639235],[0.88320943 2.90242159],[-0.41292819 -1.52219306],[2.03728333 9.73192008],[-1.47426853 -0.60696407],[3.24445628 1.2906743 ],[-1.16392753 -1.12309468],[8.56335663 2.65227458],[-1.47684525  0.3173666 ],[3.91530478 1.74562847],[ 0.58019792 -1.47686422],[2.83910586 2.71986193],[-1.12097683  1.29120648],[7.39994207 6.34848958],[ 1.51754457 -0.03325489],[7.90101522 8.97020716],[ 0.26178518 -1.69850224],[7.31748911 5.1469468 ],[-1.64194266 -0.41450308],[6.45169362 4.30013736],[-0.7432695  1.5111982],[7.18017441 9.82124341],[-0.50072368  1.11048071],[3.30288878 9.46102767],[ 1.50841344 -0.76581252],[7.40330577 4.92823246],[-1.3738756  -0.98970699],[4.95373457 2.71891163],[-0.96133396 -1.09768929],[ 1.26064037 -0.07807701],[ 0.99525406 -1.18358051],[3.40115157 8.71196201],[0.71533048 1.2288378 ],[6.12049406 7.12239376],[-0.59155197 -1.54952049]
[8.00924019 7.91294055],[ 0.02160271 -1.49116271],[8.27415657 2.87394869],[-0.30520718 -1.25582406],[7.01283997 8.00135869],[-0.84238445 -1.30288117],[5.21766869 5.77357182],[ 1.29832017 -0.33573016],[3.8558729 5.2684362],[1.32594591 0.17938437],[1.80634278 2.31464868],[ 1.37612634 -0.46158365],[9.07144815 6.69691445],[ 0.84466882 -1.1476263 ],[9.35032156 7.21146676],[-1.20341116 -1.02787523],[0.88443724 8.72659454],[1.18102805 0.80310965],[8.66334809 0.65342831],[ 1.31579286 -0.09273815],[0.21047048 2.19506492],[-0.97842484 -0.14522228],[3.69268203 4.26294153],[-0.83798142  1.15720658],[3.12574057 6.80489432],[-0.93908854  1.0217211 ],[6.00129687 8.04337328],[-0.96948913  0.99697742],[5.82674283 2.07535518],[-1.1861876 -0.7526234],[0.84951065 2.76195109],[-0.26981807 -1.30932739],[1.90294907 9.66970912],[-1.22900146 -0.64102009],[3.13769864 1.19018757],[-0.98948789 -0.90504982],[8.420394  2.6855652],[-1.39090189  0.34687638],[3.97132544 1.61104959],[ 0.54585993 -1.23565231],[2.73841643 2.84185636],[-0.91033063  1.16593478],[7.54094779 6.34399316],[ 1.31882717 -0.05655793],[7.92182507 8.80981743],[ 0.15861409 -1.52948045],[7.16328504 5.10862385],[-1.46282956 -0.35852951],[6.38129762 4.44077705],[-0.67410219  1.32004224],[7.12868045 9.92459206],[-0.53056314  0.96223427],[3.44376713 9.38515856],[ 1.32590205 -0.75799799],[7.27398091 4.83740778],[-1.22969732 -0.84012808],[4.86213274 2.61711708],[-0.87857353 -0.94792325],[ 1.35931401 -0.18315943],[ 0.98798679 -0.93097172],[3.47177409 8.82538185],[0.7001757  1.04778777],[6.06460556 6.9766339 ],[-0.53235701 -1.38250662]
[8.00787719 7.76875468],[-0.04740902 -1.39986622],[8.24086241 2.7550086 ],[-0.36218693 -1.12971933],[6.93144904 7.87568144],[-0.78953195 -1.21764289],[5.34280599 5.74045751],[ 1.21148526 -0.32584331],[3.98502751 5.28539349],[1.26196433 0.16120969],[1.94120965 2.27434908],[ 1.32659698 -0.34772392],[9.14729274 6.58517989],[ 0.68050009 -1.09291001],[9.23306839 7.11322116],[-1.14735494 -0.94259771],[1.00220303 8.79887688],[1.17753517 0.64664942],[8.78650302 0.64978668],[1.15433408 0.01615372],[0.1185282  2.18442169],[-0.86270949 -0.06731247],[3.61406648 4.37427433],[-0.73876072  1.07744109],[3.0378535  6.90120285],[-0.82691604  0.91080632],[5.90701436 8.13556322],[-0.92211279  0.85356618],[5.71234415 2.00717513],[-1.11014729 -0.61764735],[0.82864676 2.63818522],[-0.14921349 -1.17426556],[1.78918516 9.6030313 ],[-1.05658797 -0.69755839],[3.04409374 1.10722096],[-0.88738011 -0.75885811],[8.28399053 2.72139049],[-1.34053444  0.36943698],[4.02546699 1.49602798],[ 0.5404152  -1.07333687],[2.65530017 2.95568886],[-0.76177595  1.11539495],[7.66590638 6.33721659],[ 1.18486581 -0.08240564],[7.93351733 8.66191216],[ 0.07553165 -1.43893996],[7.02280478 5.07499316],[-1.35772144 -0.31844202],[6.31607371 4.5669645 ],[-0.63418868  1.21195813],[ 7.07361299 10.01428693],[-0.57296936  0.83351779],[3.57055332 9.3089182 ],[ 1.21401414 -0.77263764],[7.15485884 4.75817136],[-1.15859111 -0.74896064],[4.777039   2.52811599],[-0.82862019 -0.83822268],[ 1.45901521 -0.26641569],[ 1.01193525 -0.73799609],[3.54203756 8.92302407],[0.70798254 0.91017453],[6.01312305 6.84359265],[-0.50083032 -1.28668036]
[7.99996449 7.63194432],[-0.10752323 -1.33787655],[8.20169798 2.64727679],[-0.4211651  -1.02775268],[6.85418269 7.75669213],[-0.75786135 -1.16569194],[5.46060177 5.70806973],[ 1.14727573 -0.32293093],[4.10889795 5.30081269],[1.21683489 0.14657691],[2.07216883 2.2443443 ],[ 1.29710468 -0.2525716 ],[9.2083665  6.47720895],[ 0.54577734 -1.06871306],[9.11986593 7.02196619],[-1.11736786 -0.88325448],[1.12036745 8.85645627],[1.18752206 0.50751564],[8.89593151 0.65698576],[1.0395051  0.12851544],[0.0374596 2.1815607],[-0.76195668  0.00845712],[3.54456958 4.47982064],[-0.6551625   1.03598997],[2.95951226 6.98826527],[-0.74288766  0.83514146],[5.81601819 8.2150206 ],[-0.90044089  0.73963464],[5.60345939 1.95083315],[-1.07148227 -0.5123288 ],[0.81934662 2.5258253 ],[-0.03976849 -1.07959894],[1.69066345 9.52989296],[-0.91860677 -0.76742932],[2.95897742 1.03724575],[-0.82004787 -0.64539796],[8.15212771 2.75978413],[-1.30017665  0.39684105],[4.07979996 1.39507514],[ 0.54777296 -0.95046247],[2.58476276 3.06566019],[-0.64988021  1.09045441],[7.77927006 6.32767368],[ 1.09046879 -0.10457954],[7.93702512 8.52069177],[-0.00280785 -1.38822319],[6.89050091 5.04456971],[-1.29138371 -0.28965425],[6.25351065 4.68397498],[-0.61563516  1.13615872],[ 7.01398639 10.0917779 ],[-0.62113213  0.71692898],[3.6880326  9.23069515],[ 1.13905644 -0.79321226],[7.04135323 4.68693019],[-1.11543861 -0.67898794],[4.69574049 2.44871397],[-0.79818472 -0.75099089],[ 1.56205671 -0.33169216],[ 1.04989246 -0.57102754],[3.61406194 9.00836077],[0.73138685 0.79640893],[5.96379556 6.71799807],[-0.48652426 -1.22843489]
[7.98616919 7.50026105],[-0.16885643 -1.29886627],[8.15654243 2.54900781],[-0.48583655 -0.94293232],[6.77951809 7.64197127],[-0.73544825 -1.12959246],[5.57270298 5.67570654],[ 1.09740017 -0.32414619],[4.22917338 5.31520986],[1.18702996 0.13854465],[2.20089539 2.22341163],[ 1.27842499 -0.16785875],[9.25687815 6.37086321],[ 0.42622715 -1.06022047],[9.00859617 6.93554611],[-1.10980092 -0.84727535],[1.24029628 8.9011302 ],[1.21167201 0.38793659],[8.99507976 0.67561389],[0.94208186 0.24069117],[-0.03397047  2.18627297],[-0.66636407  0.08722095],[3.48226583 4.58169478],[-0.59111512  1.00516384],[2.88880186 7.06888687],[-0.67523931  0.77786273],[5.72651626 8.28405908],[-0.89537113  0.63914087],[5.49743524 1.90425261],[-1.04953408 -0.4193111 ],[0.82044514 2.42148886],[ 0.06238786 -1.00859508],[1.60509046 9.44949263],[-0.79807186 -0.84434449],[2.87981114 0.97797105],[-0.76819516 -0.54451793],[8.02344378 2.80047359],[-1.27447223  0.41679492],[4.13552278 1.3054866 ],[ 0.5691019  -0.84271646],[2.52457162 3.1740761 ],[-0.55733014  1.07865687],[7.88398642 6.31560793],[ 1.0097373  -0.13368875],[7.93364419 8.38411569],[-0.06442006 -1.34642703],[6.76381846 5.0168733 ],[-1.2472848  -0.26743925],[6.19233771 4.79454404],[-0.61124533  1.07571352],[ 6.9492739  10.15786003],[-0.67383243  0.60505472],[3.79838957 9.14957935],[ 1.07012781 -0.8297423 ],[6.93118224 4.62190337],[-1.09403832 -0.62727968],[4.61688255 2.37737478],[-0.77871645 -0.67562209],[ 1.66957979 -0.38057048],[ 1.10190245 -0.40674325],[3.68848005 9.08255199],[0.75778114 0.68854024],[5.9157596  6.59746908],[-0.47512311 -1.18464535]
[7.9663221  7.37192765],[-0.22630016 -1.2677998 ],[8.10437347 2.45839811],[-0.55975448 -0.87203966],[6.70702668 7.53056085],[-0.71338043 -1.0983037 ],[5.6803599  5.64313925],[ 1.05473797 -0.32995626],[4.34661586 5.32863962],[1.16153241 0.128981  ],[2.32828839 2.21080891],[ 1.27030306 -0.08478911],[9.29332023 6.26438873],[ 0.30721365 -1.0665036 ],[8.89808969 6.85264699],[-1.1018408  -0.81245583],[1.36251542 8.93409496],[1.23227984 0.27238168],[9.08478159 0.70536068],[0.84984414 0.35152989],[-0.0963567   2.19863551],[-0.58147519  0.16052793],[3.42593552 4.6810408 ],[-0.53598709  0.98378383],[2.82422251 7.14427718],[-0.61756977  0.73152833],[5.63718861 8.34364945],[-0.89139239  0.5547611 ],[5.39334389 1.86688983],[-1.03219305 -0.32739876],[0.83181077 2.32374114],[ 0.16325527 -0.94930985],[1.53067436 9.36085115],[-0.68862829 -0.92562414],[2.80531002 0.92843997],[-0.72385755 -0.44747103],[7.89731569 2.84335428],[-1.25324842  0.43596727],[4.193679   1.22602105],[ 0.59146593 -0.75141223],[2.47309751 3.28179591],[-0.47410777  1.07618998],[7.98141863 6.30068805],[ 0.94310467 -0.16236007],[7.92407195 8.2508362 ],[-0.12708179 -1.32107827],[6.64059241 4.99087883],[-1.21695532 -0.25122452],[6.13145076 4.89990422],[-0.60648806  1.03375691],[ 6.87907231 10.21274787],[-0.73282971  0.49026268],[3.90271541 9.06502801],[ 1.01554313 -0.8634937 ],[6.82268261 4.56164695],[-1.07991844 -0.58164182],[4.53959785 2.31320672],[-0.76782557 -0.60853752],[ 1.78173944 -0.41388216],[ 1.14149976 -0.25964502],[3.76570607 9.14613838],[0.7895182 0.5859383],[5.86870293 6.48075711],[-0.46610881 -1.15068026]
[7.94076378 7.24630206],[-0.28482971 -1.2455873 ],[8.0449909  2.37494883],[-0.63145093 -0.80084796],[6.63632091 7.42168741],[-0.70306346 -1.0817689 ],[5.78376198 5.60952926],[ 1.01463286 -0.34223896],[4.46163689 5.34102415],[1.13677781 0.11587009],[2.45478508 2.20604877],[ 1.26105455 -0.01011492],[9.31854622 6.15753772],[ 0.19928033 -1.06957606],[8.78772755 6.77248756],[-1.1021172 -0.787784 ],[1.48669935 8.95584168],[1.24779587 0.16050041],[9.16562828 0.74652813],[0.76588001 0.47086835],[-0.15000753  2.21873197],[-0.48741607  0.24589209],[3.37494675 4.77870141],[-0.48607311  0.968753  ],[2.76522588 7.21555511],[-0.56615226  0.69206152],[5.54773933 8.39484053],[-0.8974642   0.47053878],[5.29060432 1.83848693],[-1.02400366 -0.24192768],[0.85351256 2.23183238],[ 0.27218123 -0.88827022],[1.46727333 9.26447159],[-0.5798846  -1.00113431],[2.73480047 0.88839238],[-0.68942943 -0.35586295],[7.7733294 2.8882424],[-1.22615509  0.46267955],[4.25431869 1.15537569],[ 0.62171485 -0.66248617],[2.42964339 3.38956008],[-0.39140479  1.08385681],[8.07268712 6.28291529],[ 0.88558891 -0.19102078],[7.90803101 8.11946406],[-0.18878773 -1.30257908],[6.52020949 4.96659831],[-1.19383787 -0.23675411],[6.07066602 5.00128822],[-0.6087513   0.99592434],[ 6.80260965 10.25575576],[-0.79638355  0.36936445],[4.00183462 8.97703386],[ 0.9637655  -0.90013799],[6.71540146 4.5058039 ],[-1.0685374  -0.53799951],[4.46340052 2.25579537],[-0.75829488 -0.5416831 ],[ 1.89790647 -0.43242702],[ 1.18087901 -0.11155458],[3.84652349 9.19982152],[0.82744555 0.48821699],[5.82226044 6.3668982 ],[-0.46401799 -1.12833893]
[7.90959486 7.122895  ],[-0.33735226 -1.22241078],[7.97817085 2.29830908],[-0.70496571 -0.73219263],[6.56666244 7.31440797],[-0.69119527 -1.06520513],[5.88357561 5.57479214],[ 0.97968614 -0.3554493 ],[4.57440416 5.35212673],[1.11973481 0.10691656],[2.58037711 2.20850739],[1.25021992 0.05797894],[9.33310912 6.05029889],[ 0.08995648 -1.07741699],[8.67737528 6.6947441 ],[-1.10478225 -0.76735588],[1.61235044 8.96678857],[1.26395866 0.05913916],[9.23785079 0.79957249],[0.67673884 0.58867185],[-0.19380189  2.24789147],[-0.38703725  0.33870725],[3.32887513 4.87518564],[-0.43919702  0.95818511],[2.71057887 7.28255445],[-0.52624586  0.64969455],[5.45783198 8.43807353],[-0.90181085  0.39378405],[5.18838285 1.8183833 ],[-1.02000866 -0.15974782],[0.88633561 2.14604662],[ 0.38308666 -0.82882802],[1.4147026  9.16087251],[-0.47094939 -1.06866525],[2.66751782 0.85753119],[-0.65690384 -0.26121722],[7.65179389 2.93565578],[-1.20463417  0.48553918],[4.31809724 1.09341002],[ 0.65639122 -0.57502043],[2.39470591 3.49858008],[-0.30912778  1.09542642],[8.15816995 6.26189527],[ 0.82533449 -0.22917797],[7.88617541 7.98997882],[-0.24511202 -1.28488726],[6.40189382 4.94369006],[-1.17457017 -0.22308577],[6.00954862 5.09918019],[-0.61424742  0.96229208],[ 6.71984856 10.28647945],[-0.85830001  0.24448815],[4.09590214 8.88535485],[ 0.91725241 -0.933991  ],[6.60902849 4.45412598],[-1.06455358 -0.50132653],[4.38783474 2.20482716],[-0.75133795 -0.4757219 ],[ 2.01708862 -0.43690926],[1.20520985 0.02492078],[3.93120902 9.24373719],[0.86349033 0.38716896],[5.77595381 6.25506557],[-0.46062681 -1.10733048]
[7.87323213 7.00164107],[-0.38653044 -1.19996472],[7.90413525 2.22864069],[-0.77614773 -0.66186043],[6.49764271 7.20818404],[-0.68961304 -1.05965075],[5.98016139 5.53876586],[ 0.95074022 -0.36697821],[4.68568645 5.36246884],[1.10777377 0.10162302],[2.70499321 2.21768694],[1.24233349 0.12540052],[9.3367362  5.94228648],[-0.01531954 -1.08064672],[8.56710616 6.61930467],[-1.10138242 -0.74245697],[1.73928148 8.96785855],[ 1.2731921  -0.03719657],[9.30063682 0.86407955],[0.57881957 0.70170442],[-0.22739374  2.28644374],[-0.28229244  0.43436677],[3.28749216 4.97088042],[-0.38888265  0.95583638],[2.6601385  7.34582534],[-0.48656209  0.61251151],[5.36670459 8.47297967],[-0.91846276  0.30664621],[5.08661784 1.80656613],[-1.01512921 -0.07651869],[0.9303266  2.06626824],[ 0.49426371 -0.76878404],[1.37284775 9.05081114],[-0.36604005 -1.13038346],[2.60304157 0.83595815],[-0.63285049 -0.16966367],[7.5322732  2.98522754],[-1.18501725  0.50662223],[4.38554141 1.04023917],[ 0.69245609 -0.48866083],[2.36782014 3.60869782],[-0.23245308  1.10336297],[8.23818622 6.23735084],[ 0.77660539 -0.26075772],[7.85888463 7.8622154 ],[-0.2994776  -1.26982311],[6.28534058 4.92208957],[-1.15790545 -0.20992997],[5.94791265 5.19400373],[-0.62040591  0.93294554],[ 6.63116395 10.3045693 ],[-0.91528675  0.11585819],[4.18544069 8.79037773],[ 0.87703182 -0.96203504],[6.50279387 4.40581043],[-1.06075567 -0.46563496],[4.31259004 2.16018649],[-0.7528184 -0.4161059],[ 2.13858455 -0.42761472],[1.22178111 0.15846373],[4.01962831 9.27761635],[0.90368882 0.28932181],[5.72982133 6.14505167],[-0.46251162 -1.09365378]
