[5.18818343 9.72521154],[2.29865939 3.15800507],[3.60074917 0.77401828],[-1.25441543 -1.64443555],[2.83000675 1.43852389],[-1.04306478 -2.07037727],[1.28748032 2.35983346],[ 4.97823012 -1.66414519],[8.98020562 9.40374132],[ 2.52410385 -3.58108496],[6.63480924 9.11717197],[0.9601452  4.94643747],[0.50804604 4.1349414 ],[2.9019443  4.42861109],[1.7973439  4.94063192],[4.06702532 1.59367236],[7.10768678 2.5348756 ],[-0.34100447  4.40247429],[3.25598231 3.80844465],[-2.12081176  0.96790426],[1.32839887 5.45361583],[-3.48922678  3.72869517],[1.33397981 5.95132619],[ 0.55444652 -3.65335034],[9.03920939 6.52494055],[ 2.83383569 -4.0815824 ],[2.0374908  8.16500166],[-1.44454705 -3.14185865],[6.72493135 4.95543001],[ 0.34040687 -4.43932873],[0.55856333 1.01387883],[-4.88671683  1.20362776],[5.84694808 2.0485424 ],[-3.83850622  1.62560255],[4.73734328 8.38926978],[ 3.2019166  -1.70099511],[8.0846335  2.31490358],[4.87650168 1.91182345],[6.41506374 7.87296559],[4.48859845 4.32202647],[2.83604579 9.92945014],[-0.40900636 -4.52634101],[1.97369916 3.21344036],[-4.57513412  2.0071407 ],[2.19528717 0.07008058],[-1.85006603  0.19642513],[4.71052176 0.32650757],[-4.33041855 -1.11017702],[6.70054578 4.55246751],[-4.17001369  0.92445449],[1.80300671 1.4773385 ],[-4.90118583  0.76815755],[8.10674152 0.40062785],[ 2.42654505 -0.61939835],[4.99838515 2.90491985],[ 1.58740466 -4.84255661],[7.24183155 6.87324572],[0.25726831 0.59363978],[3.94069178 8.57011083],[ 2.28272093 -4.6646093 ],[1.73618993 6.55221559],[-3.48196134  1.2937288 ],[2.57857206 7.80412865],[-4.88184844  2.9327118 ]
[5.27838044 9.84812883],[1.49627365 2.01667201],[3.54244287 0.69854919],[-1.09235825 -1.39418051],[2.7829531  1.34514669],[-0.85626431 -1.70058401],[1.46002169 2.30313129],[ 2.67131548 -0.8579962 ],[9.07355812 9.26825342],[ 1.47695742 -2.20801563],[6.66807804 9.29059409],[0.50700979 2.68532815],[0.6086674  4.28719749],[1.56729129 2.34121236],[1.95063486 5.00045241],[2.48175244 0.96147533],[7.09419771 2.69988288],[-0.23461961  2.66201345],[3.1597065  3.85281992],[-1.76766985  0.82284265],[1.20695528 5.58405773],[-1.8692619   2.02537659],[1.35715553 5.80477013],[ 0.40789003 -2.46383963],[9.13848818 6.37973535],[ 1.52590115 -2.27933893],[1.97896272 8.03534957],[-0.98081144 -2.22501375],[6.73694718 4.79001999],[ 0.17771139 -2.65719062],[0.38715652 1.05733862],[-2.6530955  0.7006121],[5.6997731  2.11153702],[-2.40466204  1.04405784],[4.86634959 8.31964503],[ 2.1711834  -1.19411565],[8.25236181 2.38170886],[2.56766075 1.04596548],[6.55640407 8.00881418],[2.08027949 1.99363656],[2.82135937 9.76132527],[-0.22536713 -2.70545708],[1.8123723  3.28480383],[-2.50777182  1.12220668],[2.10824673 0.08072833],[-1.64428658  0.23122762],[4.54932966 0.28640558],[-2.58912464 -0.61650464],[6.54197181 4.58753887],[-2.58150577  0.56951033],[1.6296381 1.5054898],[-2.69944267  0.46007082],[8.21468203 0.37416348],[ 1.94981678 -0.45281621],[5.05376247 2.73559735],[ 0.85533859 -2.62224609],[7.2539527  6.90272423],[0.22502208 0.58306739],[4.01984496 8.40745549],[ 1.22094673 -2.52862718],[1.59741999 6.60358963],[-2.31624571  0.85478683],[2.41716168 7.90068067],[-2.42884086  1.44724551]
[5.34527346 9.93720552],[1.21513838 1.59534756],[3.49051907 0.6332634 ],[-0.99379504 -1.22897096],[2.74290932 1.26584267],[-0.75119097 -1.48499582],[1.5772719  2.26641193],[ 2.10407982 -0.6364432 ],[9.1374936 9.1693584],[ 1.12152705 -1.80464486],[6.68968477 9.40746763],[0.37401581 2.07312113],[0.67794314 4.3892735 ],[1.25255483 1.81644159],[2.06088783 5.04281129],[1.99236382 0.75725753],[7.08294326 2.81790764],[-0.2193057   2.13122216],[3.07694224 3.89176607],[-1.55790331  0.74271591],[1.12571829 5.67260131],[-1.43728381  1.58014247],[1.37630228 5.69398847],[ 0.36472736 -2.02104509],[9.20410507 6.27922393],[ 1.14642638 -1.80861011],[1.93545563 7.93410781],[-0.78057033 -1.86825602],[6.74403283 4.67251266],[ 0.11243938 -2.1139064 ],[0.27174321 1.08921363],[-2.04462426  0.59491719],[5.59279053 2.15865918],[-1.93508315  0.86570316],[4.96368677 8.26492531],[ 1.77216157 -1.01420421],[8.36375568 2.42830111],[1.97004022 0.84989173],[6.64601481 8.09440662],[1.57816618 1.5013271 ],[2.81189406 9.64109343],[-0.15931528 -2.17656125],[1.7030217  3.33452525],[-1.9434679   0.89940809],[2.02983455 0.09321555],[-1.5004992   0.26793695],[4.43470759 0.26041524],[-2.06384556 -0.43923775],[6.42704717 4.61276216],[-2.08137185  0.45409633],[1.51168444 1.52654202],[-2.09927682  0.39550546],[8.3048976  0.35428761],[ 1.67982394 -0.34871749],[5.09100486 2.62114545],[ 0.6628388  -2.03503961],[7.26449692 6.93173415],[0.19513088 0.57581368],[4.0730246  8.29618424],[ 0.9459278  -1.99858186],[1.49403391 6.64172063],[-1.87052636  0.68934656],[2.31186013 7.96295623],[-1.86546524  1.09240224]
[ 5.40190112 10.0104347 ],[1.06261077 1.35142304],[3.44269907 0.57511947],[-0.92184165 -1.1010329 ],[2.70720646 1.19549066],[-0.67968377 -1.33590682],[1.67483038 2.23780933],[ 1.82653972 -0.51597646],[9.1879428  9.08444823],[ 0.90953628 -1.61325263],[6.70626042 9.50238287],[0.29587216 1.75268815],[0.73663077 4.47294852],[1.11055934 1.55458229],[2.15372453 5.07776941],[1.7440561 0.6501175],[7.07193246 2.916992  ],[-0.22414565  1.85615237],[3.00287887 3.92762424],[-1.41432112  0.69386281],[1.0600106  5.74550634],[-1.20930413  1.35795529],[1.39415123 5.59958205],[ 0.35139227 -1.77657093],[9.25563683 6.1950098 ],[ 0.93050035 -1.58283465],[1.8996511  7.84590495],[-0.65870603 -1.67594652],[6.74849416 4.57453282],[ 0.06717736 -1.83135585],[0.17822833 1.11799181],[-1.7232071   0.56304878],[5.50274922 2.1995222 ],[-1.68893812  0.77735745],[5.04614455 8.21663856],[ 1.54353376 -0.92731452],[8.45382403 2.46845645],[1.65926256 0.76665251],[6.7182261 8.1628035],[1.332339   1.25573599],[2.80505668 9.53952141],[-0.118367   -1.91358347],[1.61390739 3.37670957],[-1.64832556  0.79757312],[1.95774577 0.10766753],[-1.38830262  0.30994427],[4.3388511  0.24134813],[-1.79372155 -0.32853692],[6.33010187 4.63385228],[-1.81971773  0.39549116],[1.41524296 1.54582082],[-1.78513585  0.38072377],[8.38403641 0.33883054],[ 1.49788433 -0.27111093],[5.12149264 2.5275989 ],[ 0.56553189 -1.73391869],[7.27338631 6.96024548],[0.16088065 0.56520912],[4.11643424 8.20322643],[ 0.80280006 -1.74551518],[1.40717441 6.67348499],[-1.62374721  0.58833227],[2.2260498 8.0123942],[-1.59244979  0.90130277]
[ 5.45237937 10.07351348],[0.96491968 1.18253227],[3.3979684  0.52269873],[-0.87083331 -1.0000915 ],[2.67456107 1.13158091],[-0.62799415 -1.22478395],[1.76175054 2.21427066],[ 1.66219021 -0.43059709],[9.2294538  9.00675984],[ 0.75848222 -1.5033026 ],[6.71953408 9.58446633],[0.23832109 1.54446365],[0.78995295 4.54622935],[1.03198942 1.39027101],[2.23680668 5.10840606],[1.5905533  0.57989765],[7.06048379 3.00526934],[-0.23382811  1.68767714],[2.93486519 3.96138032],[-1.31104962  0.65867488],[1.0034863  5.80971405],[-1.06116984  1.21968089],[1.41169179 5.51498932],[ 0.35377124 -1.6155744 ],[9.29828059 6.11954604],[ 0.78166217 -1.44739125],[1.86895436 7.76525981],[-0.57323157 -1.55842538],[6.75100478 4.48782451],[ 0.03373388 -1.64972924],[0.09747388 1.1457873 ],[-1.51821324  0.55333245],[5.42246639 2.23703514],[-1.5312596   0.72947579],[5.11924465 8.17153405],[ 1.39103789 -0.88015619],[8.53139637 2.50563692],[1.45546241 0.72483407],[6.78073005 8.22140222],[1.17661643 1.0965911 ],[2.79989937 9.44805944],[-0.08894654 -1.75674777],[1.53650381 3.41500634],[-1.45934689  0.74009692],[1.89073167 0.12432257],[-1.29777993  0.35403776],[4.25369055 0.22714354],[-1.62455252 -0.24270021],[6.24347918 4.65265526],[-1.65707489  0.35889792],[1.33128877 1.564824  ],[-1.58609481  0.38126629],[8.45543959 0.3269745 ],[ 1.36507737 -0.20398618],[5.14792906 2.44580753],[ 0.49977726 -1.54661461],[7.28060664 6.98829572],[0.12735052 0.55634077],[4.15425848 8.12009361],[ 0.71424769 -1.59354394],[1.33029961 6.70101246],[-1.46085718  0.51673441],[2.15118133 8.05435501],[-1.41611233  0.78265053]
[ 5.49879238 10.12924566],[0.89841685 1.05487219],[3.35547085 0.47491349],[-0.83026835 -0.91304456],[2.64426142 1.07268741],[-0.58440906 -1.13296831],[1.84199029 2.19449919],[ 1.55406283 -0.36292873],[9.26422472 8.93338007],[ 0.63768175 -1.4358865 ],[6.73030599 9.65778852],[0.19410701 1.39587274],[0.84032481 4.61273685],[0.98616701 1.27552948],[2.3135574  5.13605182],[1.48557756 0.52822134],[7.04843608 3.08656465],[-0.24884152  1.57066519],[2.87143338 3.99369532],[-1.22950249  0.63531667],[0.95333263 5.86824133],[-0.9512248   1.12568098],[1.42956555 5.43719128],[ 0.3634489  -1.50098082],[9.33424665 6.04944713],[ 0.66287574 -1.3607281 ],[1.84213465 7.68952735],[-0.50075943 -1.47479037],[6.75179131 4.40855536],[-0.00249778 -1.52845645],[0.02543533 1.17348019],[-1.37118105  0.55529662],[5.34886238 2.27280811],[-1.42200729  0.70088935],[5.18577611 8.12814743],[ 1.27453967 -0.8591365 ],[8.60018873 2.54123767],[1.30423467 0.70304691],[6.83674269 8.27328468],[1.07011527 0.98469708],[2.79615645 9.36304996],[-0.06284924 -1.6517819 ],[1.46703935 3.45101131],[-1.32513084  0.7038775 ],[1.82781861 0.14317449],[-1.21990165  0.40115723],[4.17555873 0.21687949],[-1.5074933  -0.16960354],[6.16367239 4.67003774],[-1.54341796  0.33633207],[1.25581397 1.58419549],[-1.44016452  0.39475879],[8.52111011 0.31844695],[ 1.264747   -0.13885477],[5.17169012 2.37196883],[ 0.45331109 -1.4137015 ],[7.28604361 7.01582214],[0.08902404 0.54375102],[4.18841229 8.04316785],[ 0.65674615 -1.48862849],[1.26040366 6.72545518],[-1.34282474  0.46105982],[2.08352083 8.0910887 ],[-1.2981828   0.68938102]
[ 5.54235377 10.17921674],[0.84701333 0.94773949],[3.31467588 0.43110052],[-0.80331575 -0.84157964],[2.61597188 1.01801442],[-0.54704559 -1.05497763],[1.91759736 2.17772647],[ 1.47431537 -0.30981446],[9.29346258 8.86273075],[ 0.5343618  -1.39328574],[6.73906284 9.72460507],[0.15594499 1.28026812],[0.8888509  4.67422075],[0.95918751 1.18952166],[2.38595045 5.16152952],[1.41376879 0.49226855],[7.03553771 3.1628234 ],[-0.26598088  1.48527843],[2.81162784 4.0249877 ],[-1.16538351  0.61692695],[0.90811009 5.92280142],[-0.86245306  1.05849087],[1.44799434 5.36432568],[ 0.37370518 -1.41793389],[9.36496134 5.98312585],[ 0.5670436  -1.29706823],[1.81864198 7.61732615],[-0.43921594 -1.41523419],[6.75086565 4.33455276],[-0.03427903 -1.43606259],[-0.04009396  1.20152013],[-1.25404111  0.5677587 ],[5.27974623 2.30723717],[-1.34521047  0.67900239],[5.24716254 8.08547402],[ 1.18421235 -0.84962809],[8.66221017 2.57604152],[1.18198035 0.69190481],[6.88810039 8.32020944],[0.98765091 0.89559041],[2.79348165 9.28230211],[-0.04496218 -1.58245648],[1.40350528 3.48562814],[-1.2205393   0.68250059],[1.76858686 0.16446969],[-1.15156968  0.45001965],[4.10236752 0.20998473],[-1.42335348 -0.10639683],[6.08845096 4.686181  ],[-1.46624601  0.3135798 ],[1.18670697 1.60436384],[-1.32889667  0.41243332],[8.58206298 0.31288755],[ 1.17708985 -0.08303069],[5.19343919 2.30392541],[ 0.41605763 -1.31443596],[7.2896793  7.04286144],[0.05469432 0.53622695],[4.2199097  7.97047694],[ 0.60634698 -1.42178873],[1.19559349 6.7472754 ],[-1.25219158  0.41425824],[2.02091081 8.12361258],[-1.20992155  0.61439781]
[ 5.58354259 10.22411396],[0.80514967 0.85322515],[3.27509182 0.39069578],[-0.7797222  -0.77448362],[2.58943235 0.96698021],[-0.51546865 -0.98810919],[1.98990235 2.16356828],[ 1.41877569 -0.25941677],[9.31778223 8.79375148],[ 0.44094279 -1.36699479],[6.74592334 9.78612558],[0.11897752 1.1835718 ],[0.93634199 4.73188514],[0.94345439 1.12100653],[2.45512638 5.18528695],[1.35519282 0.45830493],[7.02180015 3.2353978 ],[-0.28350839  1.42066107],[2.75486892 4.05561905],[-1.10777754  0.60789613],[0.86687047 5.97436601],[-0.78882617  1.00677646],[1.46705755 5.29518478],[ 0.38889657 -1.35056174],[9.3909855  5.91931893],[ 0.4732264 -1.2598277],[1.79804948 7.54769584],[-0.38645876 -1.37305428],[6.74835689 4.26459967],[-0.06696127 -1.36602933],[-0.10009471  1.23055828],[-1.15051949  0.59298045],[5.21419092 2.34097578],[-1.28053339  0.67066812],[5.30440361 8.04299525],[ 1.10847278 -0.84993378],[8.71871743 2.61058764],[1.08176467 0.69180142],[6.93587534 8.36319545],[0.92318838 0.82356948],[2.79178713 9.20464291],[-0.0243045  -1.52778825],[1.3446048  3.51933879],[-1.13674371  0.66868524],[1.71251761 0.18815874],[-1.09249812  0.49733781],[4.0330229  0.20629351],[-1.35313008 -0.04180358],[6.01673675 4.70147271],[-1.40603565  0.29772048],[1.12269209 1.62560962],[-1.23330691  0.43939248],[8.63901496 0.31011317],[ 1.1041409  -0.02693757],[5.21369367 2.24047845],[ 0.39293519 -1.22869611],[7.29148684 7.06943898],[0.0167573  0.52614967],[4.24923864 7.90072272],[ 0.56875243 -1.37044799],[1.13487708 6.76695527],[-1.17637309  0.37656474],[1.96220744 8.15269589],[-1.14240995  0.54909468]
[ 5.62305072 10.26474111],[0.77798755 0.77493646],[3.2366011  0.35354774],[-0.76240647 -0.71404633],[2.56426934 0.91899059],[-0.49284507 -0.9338015 ],[2.05972147 2.15174054],[ 1.37707583 -0.21329223],[9.33767497 8.72587089],[ 0.35522424 -1.35033269],[6.75107341 9.84327141],[0.08911986 1.10606931],[0.98325615 4.78644703],[0.93178083 1.0608533 ],[2.52177544 5.20753738],[1.31168599 0.43151295],[7.00706837 3.30500896],[-0.30646447  1.36522401],[2.7007308  4.08584543],[-1.05953228  0.60116134],[0.82906513 6.02364884],[-0.72374909  0.96724543],[1.48687601 5.22903018],[ 0.40231638 -1.29910723],[9.41273631 5.8572966 ],[ 0.39551223 -1.22523172],[1.77994338 7.47987915],[-0.33599561 -1.33862925],[6.74421949 4.19777602],[-0.09849527 -1.30905997],[-0.15543412  1.26081446],[-1.06596795  0.61688103],[5.15138681 2.37427581],[-1.22926389  0.66626195],[5.35827828 8.00048214],[ 1.0473739  -0.85212214],[8.77056831 2.64530056],[0.9953067  0.69869375],[6.98064355 8.40277683],[0.86866382 0.76070218],[2.79101727 9.12929722],[-0.00761662 -1.48871776],[1.28960667 3.55258629],[-1.06369196  0.66357402],[1.65914182 0.21409155],[-1.04302366  0.54017386],[3.96671628 0.20563985],[-1.30248843  0.0136463 ],[5.94766392 4.71602749],[-1.35860257  0.28517916],[1.06301434 1.64822027],[-1.15580795  0.46546045],[8.69257361 0.31014819],[1.03910431 0.02773274],[5.23277274 2.1807933 ],[ 0.36900825 -1.16264727],[7.29134984 7.09549219],[-0.02210955  0.51621826],[4.27686214 7.83319936],[ 0.53775282 -1.33173263],[1.0776822  6.78492755],[-1.11364372  0.34263539],[1.90644702 8.17861896],[-1.09015253  0.48867805]
[ 5.66149161 10.30176238],[0.75935379 0.70576249],[3.19879526 0.31924073],[-0.75002971 -0.65847962],[2.54027733 0.87368961],[-0.46892644 -0.88076363],[2.12765907 2.14209007],[ 1.34182444 -0.17327922],[9.3532929  8.65853354],[ 0.27283994 -1.34154944],[6.75467282 9.89670736],[0.05449881 1.03237438],[1.0297435  4.83824278],[0.9291624  1.01296085],[2.5864809  5.22853382],[1.27803829 0.40909034],[6.99114933 3.37209152],[-0.33036462  1.31952047],[2.64878429 4.11574189],[-1.01890192  0.59546619],[0.79427002 6.07109842],[-0.66961512  0.93147096],[1.50741193 5.16523856],[ 0.41899343 -1.25416626],[9.43055358 5.79661122],[ 0.31787722 -1.20340732],[1.76425984 7.41356989],[-0.29205046 -1.31490996],[6.73854676 4.13357161],[-0.12887051 -1.26112683],[-0.20677414  1.29235898],[-0.98840943  0.64593408],[5.09106047 2.407606  ],[-1.1842595   0.66834259],[5.40931148 7.95776518],[ 0.99470187 -0.85752657],[8.81830118 2.68044873],[0.91675907 0.70926452],[7.02287976 8.43939131],[0.82222881 0.70523154],[2.79111753 9.05573145],[ 0.01002323 -1.45670782],[1.23790692 3.58558875],[-1.00223795  0.66066705],[1.60825915 0.24227848],[-0.99295948  0.58712808],[3.90284013 0.20784368],[-1.25555688  0.072549  ],[5.88070208 4.73000064],[-1.32126699  0.27410558],[1.00685741 1.67209012],[-1.09066745  0.49085317],[8.74300934 0.31287876],[0.98029022 0.08237671],[5.25081574 2.12422346],[ 0.35430573 -1.10071329],[7.28933747 7.12114173],[-0.05804933  0.51019245],[4.30294328 7.76726879],[ 0.50869671 -1.30429217],[1.0235274 6.8014261],[-1.05514254  0.31663504],[1.85321379 8.20181189],[-1.04082035  0.43966312]
[ 5.69906368 10.33538926],[0.7443231  0.64015965],[3.16154773 0.28766041],[-0.7391439 -0.6039939],[2.51728756 0.83079847],[-0.45043419 -0.83497931],[2.19419772 2.13456829],[ 1.31880202 -0.12982772],[9.36506966 8.59169378],[ 0.19746661 -1.33407299],[6.75666292 9.94675483],[0.02338244 0.96882661],[1.07616945 4.88777525],[0.93001671 0.97091195],[2.64967019 5.248473  ],[1.25168664 0.3900661 ],[6.9740685  3.43712171],[-0.35266595  1.28290973],[2.59878247 4.14544111],[-0.98205889  0.59267569],[0.76213004 6.11699234],[-0.61692763  0.9050374 ],[1.52875432 5.10347476],[ 0.43411967 -1.21800029],[9.4446584  5.73695123],[ 0.24700602 -1.18381601],[1.75069793 7.34830423],[-0.25115369 -1.2967418 ],[6.73134806 4.07156266],[-0.15863908 -1.2199456 ],[-0.25445228  1.32537047],[-0.91864332  0.675895  ],[5.03271285 2.44100824],[-1.14819853  0.67055736],[5.45775922 7.91460306],[ 0.94640942 -0.86702502],[8.86223956 2.71618782],[0.84388799 0.72290603],[7.06297608 8.47339822],[0.78199531 0.6553346 ],[2.79208911 8.98360153],[ 0.02680599 -1.43133588],[1.18929806 3.61873526],[-0.94365967  0.66523935],[1.55998203 0.27298385],[-0.94078886  0.63876548],[3.84114607 0.21297418],[-1.21638698  0.12920612],[5.8154036  4.74343751],[-1.29227202  0.26307934],[0.95392496 1.69742445],[-1.02792238  0.5225512 ],[8.79055918 0.31828917],[0.92461127 0.13624244],[5.26807195 2.07043158],[ 0.33609992 -1.05231222],[7.28530291 7.14628862],[-0.10282134  0.49630912],[4.32780424 7.70268377],[ 0.48687836 -1.27953823],[0.9720249  6.81658875],[-1.00716127  0.2890692 ],[1.80230521 8.22269331],[-0.99705466  0.39574052]
