[7.73130306 6.44738296],[-4.17156868 -3.57272025],[3.38161566 7.9130291 ],[2.77259108 3.67709876],[7.62242165 0.67239891],[1.15817085 4.69043277],[0.74344541 6.88706945],[-4.50106157  3.16849243],[0.0824873 4.451497 ],[-1.73141598  3.10116511],[5.63842529 8.31220459],[-3.90394661 -1.6011065 ],[2.56262503 9.87405719],[4.71852403 0.18543701],[2.51831458 1.05019608],[2.43084571 1.79843926],[9.80289669 3.17527009],[-2.16904427 -3.72403101],[9.77519443 8.59525694],[-4.57731964 -0.45775635],[0.19550839 2.88372629],[-1.61819981 -0.25134146],[5.9064708 9.2907281],[4.13565383 4.96368751],[8.4077233 7.8224092],[-2.49996726 -2.84920895],[3.16945419 3.80825149],[-2.932423    3.26544708],[0.24007373 4.62243757],[-2.16751153 -3.78310641],[2.32600734 2.48344812],[-4.76240079 -4.19554705],[7.38571017 5.51509964],[-4.70850312 -0.984488  ],[8.89414666 0.88832521],[-0.11856311  4.31000056],[0.15354823 8.99394086],[ 1.06411349 -2.05489372],[0.34737301 0.11227734],[ 1.18522368 -0.3305591 ],[7.51126991 3.19155587],[-1.61241855  1.6786475 ],[9.70624253 3.99317173],[ 4.56986038 -0.82803201],[5.4525495  9.37774932],[3.21183241 2.7335361 ],[2.22065357 5.01127788],[4.91685258 2.16733848],[3.44843374 9.73248069],[4.41220649 3.77356068],[4.57313012 2.41583065],[ 4.76462004 -2.54261211],[8.6944513  2.85960393],[ 4.05599353 -2.2496267 ],[2.61958013 3.921802  ],[3.49110911 0.72434389],[5.69294949 9.77190462],[ 0.5967347  -4.15565158],[2.90390546 5.89493875],[ 0.05397322 -4.5628232 ],[0.8082822  6.68171124],[ 4.17871839 -2.32837691],[4.94493453 3.54335729],[-0.27495813 -1.66171207]
[7.49487351 6.24643909],[-1.70252145 -1.42845181],[3.55625767 8.14046648],[1.31063519 1.65764776],[7.68941164 0.96064341],[0.44945482 2.14506975],[0.49371189 7.06395506],[-1.74081006  1.24650118],[-0.03710941  4.67508492],[-0.89488191  1.78325427],[5.38184344 8.20437439],[-1.94450587 -0.8474012 ],[2.8544669  9.88089686],[ 2.16124775 -0.00402644],[2.70694349 1.19273971],[1.56244083 1.21317523],[9.65704001 2.93618613],[-1.15772375 -1.77012477],[9.48571799 8.56355261],[-2.17790448 -0.27058427],[0.04934196 2.86313649],[-1.33169014 -0.16520173],[6.11462563 9.53831674],[1.41916126 1.65961922],[8.23111095 7.62308101],[-1.40485767 -1.56377535],[2.98265356 4.0193576 ],[-1.38217314  1.59859691],[0.10435802 4.37860436],[-0.97315638 -1.83270437],[2.08410442 2.27117013],[-1.64645734 -1.43440658],[7.09710516 5.45514707],[-2.13331846 -0.43857802],[8.88210721 1.1707335 ],[-0.1409846  2.1551512],[0.24851613 8.81601044],[ 0.8763388  -1.58686818],[0.46799025 0.08647773],[ 1.22581905 -0.18665162],[7.37154327 3.33593848],[-1.25012737  1.2806022 ],[9.98686955 3.94271679],[ 2.03635247 -0.3613955 ],[5.66322822 9.55367509],[1.59550336 1.29271977],[2.50207334 5.13462102],[2.02377607 0.87842943],[3.68902299 9.93305615],[1.7051745  1.35785423],[4.84386157 2.27418537],[ 1.93351863 -0.97717526],[8.94401038 2.72134918],[ 1.81475408 -1.00341252],[2.87074771 3.9749596 ],[1.99668068 0.43426832],[5.7308506  9.49535234],[ 0.27089157 -2.12747647],[2.90895212 5.60803565],[ 0.05705885 -2.13238836],[1.06614286 6.53874871],[ 1.91827812 -1.05509335],[4.91896915 3.39138675],[-0.24825665 -1.40350682]
[7.34529871 6.12268089],[-1.35105389 -1.09997633],[3.67228415 8.28245094],[1.05414833 1.24043914],[7.72456541 1.15046388],[0.27193448 1.72418808],[0.34597684 7.17108999],[-1.28113384  0.94370258],[-0.11139346  4.83457762],[-0.61847992  1.45624095],[5.21137676 8.12715696],[-1.52756556 -0.72259227],[3.04386219 9.87528991],[ 1.70073459 -0.10509229],[2.84765272 1.30510312],[1.28779483 1.06022161],[9.55002312 2.78429304],[-1.01711988 -1.32732408],[9.29286966 8.53657274],[-1.75090827 -0.27591329],[-0.0741462   2.85013546],[-1.14901931 -0.09650537],[6.23639335 9.67791918],[1.0732755  1.20051107],[8.10441637 7.48408807],[-1.16880335 -1.261703  ],[2.86357969 4.16069048],[-1.04631901  1.28046577],[0.02370135 4.21801017],[-0.67455884 -1.44015503],[1.94368737 2.14984914],[-1.22811428 -1.05029031],[6.90977816 5.41706607],[-1.68689592 -0.33848768],[8.86496851 1.36182766],[-0.20318942  1.73517944],[0.33292379 8.66824037],[ 0.82261389 -1.39074445],[0.59223593 0.07474089],[ 1.25734553 -0.04938637],[7.25449733 3.45477837],[-1.10866228  1.11504896],[10.16090896  3.91230354],[ 1.51709633 -0.25998598],[5.80321444 9.66318205],[1.25635397 0.94144048],[2.67882957 5.21051626],[1.58543424 0.67210431],[ 3.83821516 10.04571839],[1.34313349 0.9499771 ],[5.01176404 2.19267317],[ 1.49645843 -0.69123731],[9.09943537 2.63560925],[ 1.35829016 -0.74715882],[3.04863576 4.01477023],[1.61680941 0.37339811],[5.75299833 9.30611245],[ 0.18181158 -1.72374983],[2.91584311 5.42174774],[ 0.08166758 -1.66602468],[1.23550495 6.4463952 ],[ 1.53430265 -0.82842857],[4.89478025 3.25939171],[-0.23721214 -1.24729992]
[7.21824523 6.02093918],[-1.20764447 -0.9500406 ],[3.77181466 8.39471513],[0.94991872 1.02219426],[7.74571691 1.31309912],[0.15660823 1.54954704],[0.2305479  7.25762821],[-1.04660527  0.80079732],[-0.16380947  4.97185836],[-0.43853317  1.30560792],[5.06960203 8.057088  ],[-1.32709737 -0.68663799],[3.20239839 9.86017002],[ 1.49166993 -0.19638893],[2.96865846 1.40778959],[1.14494293 1.00247959],[9.44991553 2.66440307],[-0.9953453  -1.08829675],[9.12797802 8.50765361],[-1.56791217 -0.30428093],[-0.18196085  2.84364814],[-1.01273626 -0.03380371],[6.3351247  9.78531878],[0.91743289 0.96622096],[7.99300784 7.36575294],[-1.07181941 -1.11941535],[2.76838717 4.28106641],[-0.87173423  1.14305004],[-0.03417485  4.0840352 ],[-0.49305815 -1.25801254],[1.83171658 2.05517708],[-1.02985241 -0.85937105],[6.75197493 5.38582416],[-1.49084624 -0.29091409],[8.84133401 1.52504108],[-0.2696126   1.54945319],[0.41437688 8.5350853 ],[ 0.81063863 -1.28141045],[0.71909632 0.076362  ],[1.27795259 0.0803158 ],[7.14757287 3.56131036],[-1.03711944  1.02333687],[10.29795763  3.88934657],[ 1.24550109 -0.20298348],[5.92013451 9.74663922],[1.09829569 0.74092648],[2.82685256 5.27242216],[1.39631356 0.57536656],[ 3.96431631 10.12859256],[1.19729147 0.72254207],[5.1506374  2.13201698],[ 1.30182712 -0.53267431],[9.22249027 2.56814162],[ 1.12208073 -0.61284205],[3.20030335 4.05091576],[1.43476164 0.35324069],[5.76826118 9.14348199],[ 0.12650959 -1.54901628],[2.92540342 5.26711346],[ 0.1099     -1.44850195],[1.37987328 6.36923134],[ 1.37221105 -0.72555646],[4.87128205 3.14039951],[-0.23366566 -1.1382172 ]
[7.10152371 5.93073821],[-1.13422858 -0.86045947],[3.86403254 8.48909934],[0.90047869 0.87294694],[7.75659792 1.4630365 ],[0.06359635 1.4579158 ],[0.13423594 7.33301516],[-0.88772489  0.71294243],[-0.20018069  5.09782897],[-0.29254846  1.22105633],[4.94348357 7.98880473],[-1.20365834 -0.68243279],[3.3449521  9.83611924],[ 1.36853143 -0.28408258],[3.07831896 1.5067823 ],[1.0541209  0.98134032],[9.34963325 2.56437804],[-1.01447198 -0.91978433],[8.97662186 8.47550054],[-1.46799048 -0.33930149],[-0.27746358  2.84334307],[-0.90026219  0.02769945],[6.42194373 9.87350305],[0.82594302 0.80519626],[7.88844014 7.25833108],[-1.024916  -1.0353926],[2.68741136 4.39138496],[-0.75397499  1.07041584],[-0.07614562  3.96398323],[-0.35040319 -1.15127634],[1.73535709 1.97592925],[-0.90527678 -0.73242082],[6.6088239 5.3582966],[-1.38152812 -0.26162557],[8.8110535  1.67430892],[-0.33567645  1.44445224],[0.49561376 8.41071483],[ 0.81594726 -1.21046151],[0.84745107 0.09052335],[1.28729065 0.2012291 ],[7.04606471 3.66051889],[-0.99665333  0.9647243 ],[10.41276577  3.87123025],[ 1.059964   -0.16091241],[6.02500368 9.81302587],[1.00642945 0.59233169],[2.96081847 5.32678204],[1.29213961 0.51583739],[ 4.08003616 10.19207381],[1.12499754 0.55313156],[5.27480662 2.08479444],[ 1.19059742 -0.4162488 ],[9.32631785 2.51168332],[ 0.96282966 -0.52090768],[3.3379853  4.08591139],[1.32713994 0.34833845],[5.77870002 8.99371452],[ 0.08370746 -1.45500793],[2.93788702 5.12922454],[ 0.13999027 -1.31886481],[1.51239968 6.29991216],[ 1.2864892  -0.66543162],[4.84790417 3.03091033],[-0.2344605  -1.05488785]
[6.99035896 5.84794043],[-1.09282873 -0.79884757],[3.95278565 8.57032683],[0.87785839 0.75537703],[7.75880839 1.60587526],[-0.01780132  1.40305773],[0.05190167 7.40106632],[-0.76297888  0.65127424],[-0.22278581  5.21708603],[-0.16130182  1.16774949],[4.8276945  7.92011601],[-1.11648007 -0.69305387],[3.47735697 9.80343051],[ 1.28404926 -0.36917292],[3.18031687 1.60461278],[0.98898729 0.97720759],[9.24646085 2.47941659],[-1.05068907 -0.78326308],[8.83317059 8.43973707],[-1.40535411 -0.37598148],[-0.3624172   2.84924323],[-0.80036405  0.09064493],[6.50130912 9.94739403],[0.76511072 0.67635084],[7.78727245 7.15777633],[-1.00112578 -0.97902633],[2.61673262 4.49616368],[-0.66281056  1.02892464],[-0.10475842  3.85261643],[-0.22361393 -1.08034437],[1.64955124 1.90775574],[-0.81497045 -0.63449294],[6.47435291 5.33321889],[-1.31273065 -0.24097593],[8.77426883 1.81510446],[-0.39946609  1.37563939],[0.57781964 8.29234924],[ 0.82897782 -1.15930221],[0.97620376 0.11629192],[1.2861188  0.31233312],[6.94771647 3.75482378],[-0.97228922  0.92356201],[10.51122146  3.85696246],[ 0.91380244 -0.12514193],[6.12247404 9.8658272 ],[0.94694405 0.46626743],[3.08656732 5.37614988],[1.22757181 0.47359756],[ 4.19042585 10.2400017 ],[1.08680091 0.40823243],[5.39003547 2.04817387],[ 1.11871966 -0.31833271],[9.41620945 2.46333327],[ 0.83926492 -0.44839282],[3.46691017 4.12082313],[1.25577233 0.35075835],[5.78521007 8.85126806],[ 0.04734806 -1.39831082],[2.95344732 5.00198503],[ 0.17137169 -1.23097384],[1.6383151  6.23549984],[ 1.23597046 -0.62519073],[4.82429535 2.92891754],[-0.23810807 -0.98705912]
[6.88240562 5.77047545],[-1.06832974 -0.75239275],[4.0401073  8.64070177],[0.87054363 0.65417355],[7.75328414 1.74424041],[-0.09150568  1.36639639],[-0.01891117  7.46374565],[-0.65536541  0.60421164],[-0.23265568  5.33189675],[-0.03700986  1.13032593],[4.71955098 7.84993815],[-1.04888444 -0.71140947],[3.60239355 9.76237016],[ 1.21903363 -0.4514362 ],[3.27658342 1.70250104],[0.93820909 0.98151949],[9.13928167 2.40719095],[-1.09334392 -0.66340956],[8.69493178 8.40031802],[-1.36174121 -0.41217194],[-0.43772256  2.86158531],[-0.70640729  0.15677938],[ 6.57553082 10.00926922],[0.72158343 0.56298832],[7.68782488 7.06203581],[-0.98926266 -0.93769994],[2.55438926 4.59773689],[-0.58588409  1.00474767],[-0.1210627   3.74729239],[-0.10317089 -1.02848945],[1.57175955 1.84854753],[-0.74324534 -0.55153628],[6.34556208 5.3099462 ],[-1.26586108 -0.22509659],[8.73126695 1.95003018],[-0.4598832  1.3250887],[0.66151655 8.17849046],[ 0.84524838 -1.11932515],[1.10437211 0.15265389],[1.27589237 0.41305351],[6.85131062 3.84556113],[-0.95697358  0.89250909],[10.59616301  3.84612141],[ 0.78742615 -0.09193737],[6.21498829 9.90659665],[0.90568566 0.35026356],[3.20703568 5.4218065 ],[1.18452689 0.44074042],[ 4.29797744 10.27407398],[1.06635198 0.2745729 ],[5.49925406 2.02084204],[ 1.06839433 -0.22941633],[9.49476823 2.42168891],[ 0.73421025 -0.38569164],[3.58979862 4.15619332],[1.2045949  0.35712267],[5.78830062 8.71341234],[ 0.01505884 -1.36122626],[2.97219818 4.88228166],[ 0.20376494 -1.16603835],[1.76020304 6.17452453],[ 1.20410735 -0.59567985],[4.80021366 2.83317759],[-0.24381915 -0.92911653]
[6.7763776  5.69716784],[-1.05345464 -0.71497212],[4.12720737 8.70143978],[0.87269979 0.56171018],[7.74070039 1.87945825],[-0.15917725  1.33907325],[-0.07943796  7.52219842],[-0.55616324  0.56604517],[-0.23029227  5.44339762],[0.08371219 1.10049344],[4.61754671 7.7776956 ],[-0.99271566 -0.73390697],[3.7214926  9.71324924],[ 1.1641998  -0.53027697],[3.3682421  1.80105299],[0.89615239 0.98996278],[9.02777089 2.34642689],[-1.13657708 -0.55324968],[8.5604833  8.35735136],[-1.32854293 -0.44681259],[-0.50373545  2.88075487],[-0.61386689  0.22736933],[ 6.64597777 10.06020837],[0.6888151  0.45655901],[7.58920809 6.96994616],[-0.98385827 -0.90527705],[2.49929405 4.6974558 ],[-0.51711219  0.99099707],[-0.12543625  3.64658464],[ 0.01553005 -0.98689356],[1.50054999 1.7971953 ],[-0.68238603 -0.47650103],[6.22075824 5.28810512],[-1.23191277 -0.21212054],[8.68242105 2.08044026],[-0.51626923  1.28434403],[0.74690129 8.06826484],[ 0.86246174 -1.08610152],[1.23113803 0.19856271],[1.2583819  0.50330387],[6.75614772 3.93352877],[-0.94696691  0.86768723],[10.66900635  3.83856261],[ 0.67052132 -0.05922323],[6.3039679  9.93598562],[0.87532343 0.23785679],[3.3238911  5.46447938],[1.15426631 0.41346962],[ 4.40399535 10.29506936],[1.05502131 0.14600125],[5.60412921 2.00215614],[ 1.03076267 -0.14485929],[9.56335876 2.38604309],[ 0.63877995 -0.32778531],[3.70822715 4.19232215],[1.16560291 0.36572233],[5.78831715 8.57866178],[-0.0142624  -1.33518977],[2.99423132 4.76833045],[ 0.23699142 -1.11481065],[1.87948615 6.11615739],[ 1.18292477 -0.57250503],[4.77547726 2.74288406],[-0.25114443 -0.87768095]
[6.6715278  5.62729421],[-1.04427392 -0.68330303],[4.21484744 8.75318134],[0.8808808  0.47369673],[7.72161696 2.01220779],[-0.22159464  1.31647369],[-0.1302363   7.57713805],[-0.46007773  0.53352168],[-0.21597809  5.55207324],[0.20208993 1.07313521],[4.52078244 7.7030855 ],[-0.943525   -0.75849649],[3.83540163 9.6564434 ],[ 1.11463682 -0.60503126],[3.45599735 1.90055279],[0.85975791 1.00018621],[8.91206272 2.29633917],[-1.17683551 -0.44952452],[8.42902962 8.31102177],[-1.30130622 -0.47937388],[-0.5604174  2.9072448],[-0.51926967  0.30329279],[ 6.71352342 10.10062752],[0.66306184 0.3518918 ],[7.49093771 6.88079806],[-0.98197023 -0.87845757],[2.45081531 4.79615138],[-0.45312704  0.9837766 ],[-0.11792705  3.5497603 ],[ 0.13471562 -0.95006701],[1.43507389 1.75313032],[-0.62800226 -0.40523768],[6.09891697 5.26746064],[-1.20599468 -0.20103727],[8.62815401 2.2070758 ],[-0.56827311  1.24908181],[0.83400086 7.96113034],[ 0.87940123 -1.05719863],[1.35586365 0.25298471],[1.23538148 0.58340955],[6.66181326 4.01922929],[-0.94013186  0.84688302],[10.73035325  3.83431088],[ 0.55659519 -0.0255941 ],[6.39026221 9.9541496 ],[0.85135924 0.12528288],[3.43815196 5.50461486],[1.13203636 0.38973504],[ 4.50910219 10.30333367],[1.04738301 0.01965498],[5.70565481 1.99181834],[ 1.00073562 -0.06214335],[9.62265304 2.35608247],[ 0.54754353 -0.2715584 ],[3.82317209 4.22938069],[1.13435924 0.3755934 ],[5.78552479 8.44616325],[-0.0411921  -1.31561809],[3.01962306 4.65904067],[ 0.27091569 -1.07215325],[1.9969975  6.05989397],[ 1.16813851 -0.55331182],[4.74993914 2.65750314],[-0.2598183  -0.83056253]
[6.56741086 5.5603826 ],[-1.03850272 -0.65548578],[4.3035074  8.79623104],[0.89276544 0.38753348],[7.6965365 2.1428239],[-0.27917666  1.29610248],[-0.17142334  7.62901708],[-0.36340099  0.50453774],[-0.18994063  5.65798982],[0.31810076 1.04485145],[4.42870171 7.62596667],[-0.89870733 -0.78391414],[3.94450032 9.59239181],[ 1.06766951 -0.67510866],[3.54031954 2.00110558],[0.82726501 1.01085685],[8.79257239 2.25636544],[-1.21195452 -0.3508298 ],[8.30010799 8.26155073],[-1.27760162 -0.50962228],[-0.60741498  2.94161308],[-0.41974737  0.3849458 ],[ 6.77873865 10.13051564],[0.64185216 0.2454371 ],[7.39275356 6.79413436],[-0.98192159 -0.85534549],[2.4085834 4.8943467],[-0.39191082  0.98066421],[-0.09843887  3.45654609],[ 0.25513221 -0.91413313],[1.37483367 1.71612298],[-0.57727733 -0.33495122],[5.97939066 5.24785556],[-1.18524062 -0.1912555 ],[8.56891174 2.33035855],[-0.61577414  1.21701257],[0.92275252 7.85673099],[ 0.89543137 -1.03121995],[1.47808359 0.3149343 ],[1.20852515 0.65398511],[6.56805953 4.1029924 ],[-0.93518463  0.82876411],[10.78025311  3.83351485],[0.4408697  0.01005805],[6.47434274 9.96094888],[0.83056991 0.01028567],[3.55046966 5.54250157],[1.11503762 0.36833799],[ 4.6134651  10.29902774],[ 1.03959321 -0.10545237],[5.80441701 1.98972234],[0.97504302 0.02014974],[9.67286917 2.33175649],[ 0.45665434 -0.21476117],[3.93526525 4.26746454],[1.10822044 0.3861518 ],[5.78014458 8.31541253],[-0.06606491 -1.29990212],[3.0484373  4.55372288],[ 0.3054229  -1.03495828],[2.11324253 6.00540989],[ 1.15728217 -0.53674338],[4.72347305 2.57668303],[-0.26968282 -0.78625004]
