[9.7803942  7.80386973],[ 3.10425333 -2.93719318],[3.44055187 9.8203091 ],[-4.85467104  3.30460226],[7.1311259  1.89577513],[ 1.14286695 -3.30021654],[4.42911105 3.94885856],[-0.94243545  3.19267967],[9.70130368 8.69295679],[3.23886918 2.69351453],[0.36739226 8.0247451 ],[-3.52546773  2.80256258],[2.53028635 8.41872774],[-3.0708844  -1.87925259],[5.8172056 2.1625362],[-1.83251155  2.93762731],[6.89075194 7.50558791],[ 1.64406202 -3.4561128 ],[2.94501111 8.02288023],[ 2.24089442 -3.13014657],[2.02464279 9.49057504],[0.11994915 0.67791287],[0.38776823 3.96684632],[-2.90488925 -1.40646159],[1.28660715 4.81870401],[3.99901044 0.10526574],[8.38920725 0.48650377],[-1.8076547  -0.38985987],[2.07569776 8.4242328 ],[ 2.61559238 -0.1719607 ],[8.31082483 9.84987563],[2.548417   3.77757139],[7.80262899 5.55413525],[-3.90884287  1.68140048],[9.39966111 0.3413489 ],[-1.96568444  0.43296734],[0.74068989 2.37587369],[ 0.56622405 -0.0827636 ],[0.85090233 7.87643476],[-4.33022435  4.77261819],[8.03670292 4.58670631],[-2.94179544 -3.3485199 ],[1.15827574 8.1016303 ],[-4.2373829   1.57023602],[1.57738003 8.24270165],[ 4.46121359 -3.27073909],[1.04460673 4.67082415],[4.18714745 1.22082148],[3.83733594 0.49223235],[-1.11426558 -3.52143014],[4.47480788 8.62004152],[2.24081265 4.87715487],[2.31686828 9.35064147],[1.31767937 4.54604487],[0.86701471 4.45093517],[-0.29465267 -1.16874006],[9.13180519 5.03301624],[4.63727035 4.10871538],[6.37163164 3.97482642],[2.07387105 3.1514579 ],[9.98292265 4.86999327],[-1.39636003 -2.91852654],[9.8781843  4.91841753],[2.62744888 2.04605318]
[9.97354046 7.60559515],[ 1.48640805 -1.44347129],[3.18288437 9.99760778],[-1.6362746   1.36917822],[7.19155989 1.64459675],[ 0.28096472 -2.06259649],[4.35422193 4.18233005],[-0.53214132  1.96257601],[9.91185069 8.8698915 ],[1.60083174 1.36959469],[0.14412134 8.19662583],[-1.39784733  1.49457846],[2.3032734  8.26995039],[-1.81916929 -1.29084323],[5.65802702 2.35501147],[-1.60351764  1.2506129 ],[7.00469211 7.26697198],[ 0.88833791 -1.8346881 ],[3.11683728 7.82080135],[ 1.42246912 -1.51350095],[1.99485707 9.51062687],[-0.21190166  0.22606609],[0.19022077 3.88258534],[-1.53770097 -0.58077871],[1.58071162 4.8563212 ],[2.3950126  0.60093557],[8.22757321 0.46511264],[-1.61782605 -0.21497172],[2.29108795 8.40678391],[ 1.90251679 -0.12857997],[ 8.46466597 10.08093082],[1.02866164 1.6148264 ],[7.55535837 5.67701624],[-1.91745995  0.9269893 ],[9.21380905 0.37672918],[-1.68475856  0.38641594],[0.79048659 2.3578921 ],[ 0.35761964 -0.35133807],[0.63385956 8.1154491 ],[-1.53016695  1.54798189],[7.86046277 4.3879906 ],[-1.47249362 -1.59439844],[0.92108598 8.23532508],[-1.62787491  1.16022507],[1.81792698 8.04620076],[ 1.66978381 -1.47044046],[1.31393348 4.74796246],[1.9946378  0.51257692],[3.75276021 0.24377347],[-0.61860745 -1.83648988],[4.60844208 8.90004842],[0.94856948 1.93610937],[2.40485604 9.63121714],[0.87969549 2.20501634],[0.83066744 4.3272262 ],[-0.26051648 -1.13793273],[9.36254771 5.24074462],[1.54884019 1.44594576],[6.51786522 4.19929587],[1.05798128 1.69533032],[9.8845578  4.66037621],[-0.80604873 -1.64921436],[10.065049    5.06793727],[1.36320341 1.13130285]
[10.11928197  7.4976163 ],[ 1.41090797 -0.83170571],[ 3.03011505 10.10092192],[-1.56098754  0.65542219],[7.21460682 1.46826604],[ 0.30251885 -1.42451738],[4.29482929 4.34610233],[-0.64069256  1.41169826],[10.04926496  8.98956373],[1.14153466 1.00754041],[0.0250823  8.32608164],[-0.67722406  1.49268247],[2.14957145 8.15601164],[-1.41497545 -1.12146914],[5.53679618 2.49053401],[-1.23409993  1.12028416],[7.08639031 7.1081466 ],[ 0.64404837 -1.51742765],[3.24727927 7.68978898],[ 1.11453779 -1.26349611],[1.95285631 9.50604851],[-0.63302904 -0.32636405],[0.05000615 3.82797557],[-1.38744998 -0.6096109 ],[1.76819493 4.88889309],[1.5325978  0.11746769],[8.05961405 0.43540192],[-1.63609813 -0.2785485 ],[2.47481812 8.40575361],[ 1.58712664 -0.12236859],[ 8.58734011 10.25256838],[1.03962424 1.44197369],[7.39307368 5.766396  ],[-1.49331726  0.79228953],[9.03886087 0.39800849],[-1.45893546  0.43626558],[0.85168645 2.34535781],[ 0.52803117 -0.23493084],[0.51573328 8.25794545],[-0.86430556  1.39074098],[7.73414792 4.25631441],[-1.07772239 -1.07030716],[0.8200411  8.37584762],[-0.75723989  1.36354674],[1.94885307 7.90203342],[ 0.93326744 -1.54092126],[1.50078908 4.80447885],[1.524241   0.35721548],[3.68706897 0.07448181],[-0.74552886 -1.60836249],[4.67791671 9.05333438],[0.43207344 1.17180682],[2.49992723 9.82787165],[0.91112322 1.68586393],[0.80925084 4.2164717 ],[-0.02662575 -0.93723324],[9.48240162 5.35764608],[0.99808948 1.03524449],[6.62148468 4.36281362],[1.07372067 1.63076617],[9.80137325 4.50774907],[-1.21093688 -1.75565855],[10.19499808  5.18417773],[1.10156563 1.05153602]
[10.27110707  7.44971316],[ 0.9759465  -0.83861879],[ 2.87710151 10.14507906],[-1.51178666  0.24303371],[7.23780254 1.33482027],[ 0.16547838 -1.254841  ],[4.24751117 4.49113373],[-0.41079723  1.40630816],[10.17296867  9.10368966],[0.99666265 0.93525824],[-0.02657947  8.46768146],[-0.44305883  1.29207732],[2.014336   8.04147083],[-1.49640326 -1.37025054],[5.4330947  2.60941172],[-0.889471    1.23078521],[7.13407913 6.95744572],[ 0.32301568 -1.5077061 ],[3.31920788 7.54076698],[ 0.68103836 -1.38635546],[1.89426468 9.47075103],[-0.55623928 -0.3988855 ],[-0.09688516  3.74795642],[-1.15717027 -0.5747242 ],[1.92811469 4.91638119],[1.48926163 0.24288772],[7.89917179 0.40700879],[-1.35568055 -0.01333389],[2.61939485 8.38385016],[ 1.41458365 -0.22098907],[ 8.67708132 10.37859781],[0.71634617 1.05136994],[7.25929604 5.84692011],[-1.12547689  0.91034097],[8.88162823 0.4276693 ],[-1.55217649  0.29138324],[0.88677202 2.30110624],[ 0.60327974 -0.21968652],[0.42322202 8.36872876],[-0.92674604  0.92603643],[7.63152471 4.1599259 ],[-0.91499991 -0.79987991],[0.74516352 8.49348664],[-0.67891283  1.08601224],[2.0162683  7.74054973],[ 0.20314966 -1.90329933],[1.65191987 4.8431411 ],[1.70169092 0.64566722],[ 3.6102495  -0.07523003],[-0.74173567 -1.35048216],[4.70871836 9.15322519],[0.18300925 0.83176932],[2.58169831 9.97242792],[0.75652474 1.2597558 ],[0.84209502 4.15363215],[ 0.62033489 -0.3880413 ],[9.5893884  5.47427818],[1.01635217 1.16967123],[6.72164056 4.51675754],[1.28892169 1.80053025],[9.72355708 4.38761167],[-0.39514638 -0.72448271],[10.30692476  5.29871865],[1.13436406 1.2326694 ]
[10.35472406  7.361592  ],[ 0.53937118 -1.09034081],[ 2.71293577 10.13629938],[-1.83008819 -0.50448721],[7.2607158  1.22598446],[-0.09501959 -1.30040747],[4.20311947 4.62084961],[-0.37714288  1.3029299 ],[10.19527141  9.12256155],[-0.30213846 -0.31002874],[-0.05993054  8.59227788],[-0.39018716  1.04841897],[1.89086276 7.92349352],[-1.00887423 -1.01850875],[5.39009968 2.76643809],[-0.29027195  1.58583504],[7.1549925  6.80817536],[-0.00744895 -1.58451653],[3.40659446 7.42858933],[ 0.90884731 -1.02728181],[1.84062982 9.4250462 ],[-0.5925265  -0.59273307],[-0.21857817  3.6783587 ],[-1.3114222  -0.84898646],[2.08169304 4.95284388],[1.27664008 0.16299809],[7.79209718 0.44153109],[-0.87855826  0.62856508],[2.76064801 8.36423332],[ 1.32922799 -0.25351948],[ 8.77750775 10.50902993],[0.60274458 0.8676999 ],[7.14959521 5.93388935],[-1.34283451  0.55824415],[8.74382136 0.47544247],[-1.33405833  0.53508768],[0.96615764 2.29621692],[ 0.84206814 -0.01707246],[0.35457505 8.47107204],[-0.88223058  0.69917121],[7.55201174 4.09759561],[-0.88641219 -0.65721038],[0.66175487 8.57436257],[-0.67267309  0.8602866 ],[2.03107094 7.56267199],[ 0.17555898 -1.61523875],[1.8188225  4.91408866],[1.55247971 0.66796811],[ 3.55778429 -0.18016051],[-0.56054927 -1.02107053],[4.74274018 9.24787627],[0.34667839 0.90984084],[ 2.63867494 10.07052054],[0.60202555 0.93197563],[0.90993542 4.11575296],[ 0.86837424 -0.23335546],[9.66587945 5.57188428],[0.56921644 0.84213594],[6.81759391 4.66229768],[0.73278194 1.22362948],[9.66117693 4.30029783],[-0.79768114 -0.96254199],[10.42124796  5.42910758],[1.11154605 1.33039734]
[10.42951401  7.28098219],[ 0.56979438 -0.91667057],[ 2.55373311 10.08895426],[-1.25744897 -0.29846192],[7.2656171  1.12135082],[ 0.15660603 -0.85059943],[4.15969385 4.73971794],[-0.54505278  1.04464014],[10.16802132  9.0973079 ],[-0.33293343 -0.28437019],[-0.0935853   8.69206679],[-0.25686599  0.97546478],[1.7721739  7.79816749],[-1.26405328 -1.38161719],[5.35430295 2.91099296],[-0.33298717  1.41227627],[7.16999468 6.67497529],[ 0.23969318 -1.17554547],[3.47570937 7.30929873],[ 0.6035118  -1.22565811],[1.76438092 9.34080139],[-0.60436355 -0.76321059],[-0.33046981  3.60687795],[-0.96396065 -0.60553225],[2.21831551 4.98041268],[1.65828577 0.60694689],[7.68860392 0.49652244],[-1.11762996  0.53865695],[2.88304497 8.32878712],[ 1.07906541 -0.51013878],[ 8.83492364 10.59192592],[0.50007623 0.74829867],[7.00274205 5.96852579],[-1.57305379  0.14794628],[8.62867079 0.54969098],[-1.01942274  0.90734636],[1.08458741 2.32971593],[1.45062372 0.63586858],[0.27627757 8.5407848 ],[-0.69323887  0.69352715],[7.45708954 4.03089979],[-0.96756988 -0.63473157],[0.60330385 8.6598125 ],[-0.36270871  0.98262536],[2.04406635 7.40575031],[ 0.08655345 -1.55511463],[1.98123677 4.99559544],[1.39223039 0.64864709],[ 3.51192946 -0.26610394],[-0.6873033  -1.02724791],[4.76177966 9.31965838],[-0.06852133  0.4302562 ],[ 2.72302959 10.17849383],[0.77221373 0.92071994],[1.01660856 4.10960662],[1.44573009 0.32004914],[9.72206392 5.66156595],[0.41045946 0.80884267],[6.88275608 4.77849878],[0.52988695 1.06210419],[9.56284956 4.19421743],[-1.23155401 -1.22536132],[10.48618389  5.52286161],[0.53338814 0.8961604 ]
[10.49687686  7.20570188],[ 0.68904259 -0.68200361],[ 2.45213712 10.0737799 ],[-0.65506609  0.13244506],[7.30200641 1.06434098],[ 0.36551927 -0.49796971],[4.14171544 4.87576703],[0.15445339 1.60177789],[10.12162631  9.05874893],[-0.6437416  -0.53585377],[-0.12063908  8.7791016 ],[-0.29917969  0.75667025],[1.68001416 7.68928862],[-0.70445162 -0.92765536],[5.32100398 3.04762686],[-0.32036086  1.3436283 ],[7.19555601 6.56401424],[ 0.402112   -0.92660933],[3.53048404 7.18637789],[ 0.73308854 -1.01157283],[1.73128193 9.2833765 ],[-0.0606153  -0.39356546],[-0.38693214  3.58340185],[-0.40776635 -0.10167719],[2.37732872 5.04250597],[1.53012968 0.62789027],[7.57455739 0.55317753],[-1.162195    0.59248862],[2.97180777 8.25640478],[ 0.70752657 -0.92862575],[ 8.89127403 10.67221285],[0.36431189 0.5968827 ],[6.86490694 5.99721631],[-1.46285536  0.14259742],[8.52507412 0.6413586 ],[-1.09574491  0.87846881],[1.21995936 2.38790751],[1.38249901 0.65663936],[0.20831329 8.60319158],[-0.84796933  0.37557566],[7.32817226 3.93864737],[-1.39875644 -1.00999622],[0.56602918 8.74861455],[-0.25271557  0.9253228 ],[2.06144877 7.26402678],[ 0.29189306 -1.28052692],[2.10309226 5.04414903],[1.19793385 0.46269431],[ 3.4549671  -0.35049074],[-0.45363189 -0.66750144],[4.74310794 9.34863019],[-0.34039174  0.1133243 ],[ 2.77567541 10.2380128 ],[0.54094894 0.53126679],[1.16811367 4.15337041],[1.59036714 0.57892468],[9.75066394 5.73728613],[0.24993896 0.79301476],[6.91141549 4.8645475 ],[0.23833122 0.8595751 ],[9.46073695 4.10053523],[-0.71859709 -0.55633418],[10.5403052   5.62039512],[0.43460843 0.93790126]
[10.57951058  7.15653743],[ 0.76276538 -0.50459294],[ 2.39182482 10.08621977],[-0.44677461  0.22147988],[7.33421253 1.01685064],[ 0.22567382 -0.50432745],[4.18276059 5.04795385],[0.44252367 1.61740475],[10.06531454  9.01620755],[-0.41016423 -0.24054816],[-0.13929729  8.8579084 ],[-0.17339588  0.71985306],[1.60454543 7.58616022],[-0.91687746 -1.24327089],[5.29245879 3.18240362],[-0.14515313  1.45466785],[7.22968713 6.46776601],[ 0.33691743 -0.93561976],[3.63615464 7.11938439],[ 1.3531228  -0.34519793],[1.71681731 9.22622763],[-0.12261358 -0.64079422],[-0.40184782  3.59683681],[-0.15157601  0.10925494],[2.52139996 5.10163112],[1.25565803 0.44077742],[7.43950601 0.5951109 ],[-1.25098202  0.52541747],[3.02910425 8.14889229],[ 0.42613763 -1.23010043],[ 8.90522091 10.70946342],[-0.19198033  0.04288639],[6.74519501 6.03445086],[-1.18710363  0.36937188],[8.4056571 0.7200867],[-1.0030622   0.98400218],[1.35053344 2.45060087],[1.09835103 0.45029171],[0.11058133 8.61912365],[-1.27568395 -0.23709863],[7.18362818 3.83394045],[-1.31918551 -0.90747723],[0.52147084 8.81469644],[-0.20225957  0.83491096],[2.10112462 7.14608913],[ 0.38961337 -1.19308878],[2.22416144 5.09204054],[1.26457887 0.53654225],[ 3.41749045 -0.4037024 ],[-0.44833646 -0.54739029],[4.68918835 9.3373404 ],[-0.66654003 -0.27213842],[ 2.82808982 10.28137986],[0.65947155 0.4866606 ],[1.31759081 4.20786096],[1.32452357 0.41632107],[9.81762092 5.86218285],[0.70210246 1.31345489],[6.91534075 4.93600014],[-0.18873653  0.54309525],[9.39698915 4.0613853 ],[-0.43516089 -0.10014135],[10.5720112   5.70992921],[0.04533079 0.70420428]
[10.66849969  7.12402028],[ 0.81504521 -0.34749634],[ 2.35650402 10.1117293 ],[-0.09779593  0.45073834],[7.35138804 0.96809783],[ 0.23563518 -0.35355661],[4.24361294 5.21482251],[0.54815951 1.49826228],[9.99030993 8.96120137],[-0.94724283 -0.72277756],[-0.15730176  8.92138427],[-0.16946894  0.56981672],[1.52343158 7.46842971],[-0.54549925 -0.95393222],[5.28085926 3.32520492],[-0.14296757  1.36915566],[7.25988452 6.37360534],[ 0.42818277 -0.79282114],[3.74630887 7.06251581],[ 0.77341681 -0.8836564 ],[1.68482551 9.1340827 ],[-0.32933609 -1.00620193],[-0.42012197  3.60221545],[0.16383827 0.37538247],[2.63017179 5.12917267],[1.03096274 0.20573723],[7.31012985 0.64436148],[-1.22206014  0.5837276 ],[3.04494455 8.0025397 ],[-0.11739392 -1.67466894],[ 8.85753739 10.68538348],[-0.71680957 -0.48321285],[6.602744   6.04280359],[-1.57724313 -0.137714  ],[8.27762651 0.79072775],[-1.54317234  0.41714805],[1.46596874 2.50259857],[1.29726385 0.6914999 ],[-0.01766936  8.5807819 ],[-0.97985792 -0.20274842],[7.06115607 3.75528812],[-1.0178189  -0.54363297],[0.49893711 8.8885481 ],[-0.34853155  0.54589073],[2.11942294 7.00757347],[-0.27894546 -1.79807833],[2.35075243 5.14748583],[0.99457654 0.29115552],[ 3.36299282 -0.46202301],[-0.56603118 -0.54240567],[4.61026296 9.29410408],[-1.0117051  -0.69913254],[ 2.86765146 10.29489715],[0.45417788 0.10302244],[1.4555522  4.25738301],[1.62425044 0.77659977],[9.84948088 5.96008493],[-0.09675678  0.63265615],[6.87763924 4.97800239],[-0.395721  0.46639 ],[9.35796111 4.0654669 ],[-0.17481706  0.35585193],[10.52866927  5.74237131],[-0.53303205  0.3242702 ]
[10.75972568  7.10408986],[ 1.02632434 -0.02637373],[ 2.33780293 10.14168817],[-0.34946236  0.0742939 ],[7.40250153 0.96771956],[0.73160354 0.29890896],[4.29568986 5.35585311],[0.43001044 1.26894153],[9.91108863 8.90728662],[-1.02734077 -0.74717204],[-0.15836869  8.98636256],[0.20951568 0.78733747],[1.50569807 7.40303268],[ 0.02928158 -0.52251137],[5.29940069 3.48797433],[0.37830322 1.71795508],[7.3193228 6.3122618],[ 0.86357222 -0.3308934 ],[3.84181655 6.99344681],[ 0.58089683 -1.05680821],[1.65487336 9.02903735],[-0.16172588 -0.97858357],[-0.38224976  3.6582775 ],[0.58254575 0.73180671],[2.73154207 5.14685307],[0.97822958 0.12616942],[7.19465689 0.71132632],[-1.02063384  0.8304412 ],[3.01277667 7.82759458],[-0.15124882 -1.48476808],[ 8.82483754 10.6760081 ],[0.00373867 0.23893119],[6.44965946 6.02571674],[-1.41791659 -0.12540388],[8.13180503 0.83755485],[-1.46924812  0.44033999],[1.56218032 2.53999131],[ 0.57733067 -0.01384249],[-0.09800151  8.56996136],[-0.86517193 -0.25255743],[6.97575683 3.72290511],[-0.72639611 -0.13327803],[0.43992738 8.91220512],[-0.68300245  0.07597301],[2.11153077 6.8548149 ],[-0.16750404 -1.57605939],[2.46523431 5.19031113],[1.56972898 0.86874342],[ 3.30240763 -0.51389525],[-0.57870448 -0.42786883],[4.49721865 9.2064459 ],[-1.13000562 -0.93277187],[ 2.92728699 10.3102897 ],[0.87122376 0.33740384],[1.58361802 4.3035281 ],[1.14300383 0.32939356],[9.84223939 6.03405667],[-0.06626105  0.82190021],[6.84726265 5.04007322],[-0.07436138  0.9096589 ],[9.31995904 4.09096298],[-0.33252322  0.40738631],[10.50276852  5.81168326],[-0.1574684   0.87983244]
[10.83870166  7.08263915],[ 0.6962194  -0.26557383],[ 2.32163228 10.16128676],[-0.33472252 -0.04479075],[7.47133044 1.00223964],[0.63714678 0.38209239],[4.34929716 5.49011176],[0.64184756 1.39061454],[9.81561442 8.84200194],[-1.13073042 -0.80709326],[-0.13274596  9.06050073],[0.23922376 0.63424408],[1.51498539 7.3490707 ],[ 0.05344275 -0.65911196],[5.33075389 3.64589458],[0.31344939 1.52188365],[7.41255652 6.28814691],[ 1.02738716 -0.1173781 ],[3.87853459 6.86916001],[ 0.1899058  -1.37676471],[1.66694685 8.95069707],[ 0.31343858 -0.68648424],[-0.3207696   3.73117769],[0.70449845 0.78292055],[2.82890362 5.15753598],[ 0.78170275 -0.10281342],[7.08091355 0.78469094],[-1.25157925  0.62877966],[3.00809596 7.6905903 ],[-0.05538279 -1.35947706],[ 8.78321617 10.65803529],[-0.73302795 -0.49812773],[6.30266182 6.0026089 ],[-1.46988539 -0.29160579],[8.01235516 0.90887641],[-0.95443246  0.97018508],[1.64393838 2.5620079 ],[0.79862965 0.19753127],[-0.18403233  8.53627508],[-0.90812757 -0.47669268],[6.89725483 3.7105237 ],[-0.81094565 -0.08490324],[0.35858298 8.89851679],[-0.52676011  0.06850476],[2.11639074 6.72179314],[ 0.34126095 -1.04078633],[2.59651005 5.25366729],[1.41314949 0.75201698],[ 3.24383865 -0.55071901],[-0.43578154 -0.14915978],[4.36284696 9.08584362],[-1.39437622 -1.31570391],[ 3.02506428 10.34720036],[0.99280914 0.31053679],[1.71016909 4.34957356],[1.44384258 0.65914465],[9.82059043 6.10935841],[-0.15477846  0.89117402],[6.86193648 5.15603705],[0.45999351 1.47178016],[9.28645385 4.14206032],[-0.21380387  0.73531279],[10.47752499  5.89849671],[-0.46186952  0.73863897]
