[9.88424269 3.28039331],[-1.84940613 -3.06325497],[5.00337111 3.1385692 ],[-3.1099257  -0.59882909],[4.68819745 9.95803713],[-3.75466288 -2.50733847],[3.36565309 1.68488914],[-3.6885048 -3.6285723],[0.65230521 7.54510897],[-4.7396125  1.9276967],[6.41537492 4.3590607 ],[-3.8413879  -1.09547562],[7.90126422 3.28513849],[-3.56609095 -1.05533913],[2.25635422 9.98553971],[-0.91075889 -1.99387045],[1.6614203  0.97759462],[-3.15177414 -1.16364601],[4.84133697 3.5493092 ],[-0.03677743 -2.3499609 ]
[9.7467713  3.06346608],[-1.14251154 -1.68705854],[4.76780876 3.09483099],[-1.92272418 -0.3393101 ],[4.45168623 9.79485988],[-1.74724576 -1.26689206],[3.15120255 1.47571115],[-1.53868794 -1.47915074],[0.37664408 7.65605176],[-1.96258056  0.77491667],[6.15456398 4.28569381],[-2.01523552 -0.55646695],[7.64859539 3.212734  ],[-2.00059028 -0.54590657],[2.18066514 9.80781586],[-0.63642715 -1.62680365],[1.43150315 0.89555104],[-1.8261949  -0.62014054],[4.83825785 3.35162263],[-0.02745603 -1.71742713]
[9.64008815 2.91662777],[-1.02123267 -1.29957338],[4.59553761 3.06615126],[-1.57158945 -0.24432022],[4.30042179 9.67918939],[-1.33591544 -1.08421248],[3.01812004 1.34990893],[-1.17732059 -1.09011381],[0.20871369 7.72069891],[-1.46577542  0.5511621 ],[5.97624376 4.23744356],[-1.61202838 -0.42494116],[7.46978985 3.16676883],[-1.63418506 -0.39197556],[2.1252276  9.65294845],[-0.48048047 -1.48763699],[1.27090077 0.8444    ],[-1.43583502 -0.42073289],[4.83548002 3.19474801],[-0.02723385 -1.44710207]
[9.53936966 2.79825354],[-1.00258006 -1.0838235 ],[4.44841722 3.04535802],[-1.38906562 -0.17600784],[4.17824796 9.57388162],[-1.12460009 -1.03281849],[2.90967236 1.25178668],[-1.008692   -0.88878188],[0.07580409 7.76933654],[-1.2180532   0.42561144],[5.82527382 4.19866422],[-1.42685007 -0.35639115],[7.31546833 3.13244221],[-1.47147259 -0.30114036],[2.08364887 9.50818063],[-0.35531392 -1.41567391],[1.13826693 0.80899428],[-1.23358095 -0.2932228 ],[4.83252257 3.05842574],[-0.02983052 -1.28873158]
[9.43848336 2.69795233],[-1.01942723 -0.92957265],[4.31575244 3.03085186],[-1.27423866 -0.11749833],[4.07278596 9.47069199],[-0.99045838 -1.03389285],[2.81416763 1.17005326],[-0.9075714  -0.75154404],[-0.0369234   7.80753566],[-1.0448462   0.34288538],[5.68829942 4.16541063],[-1.32358577 -0.31368231],[7.17326313 3.10594471],[-1.37858052 -0.22901339],[2.05304911 9.36826267],[-0.2575244  -1.38445763],[1.02229378 0.78540075],[-1.09653196 -0.18373745],[4.82934889 2.93521826],[-0.03513727 -1.18273595]
[9.33512099 2.61154344],[-1.04910065 -0.80178669],[4.19200217 3.02118804],[-1.20306506 -0.0747237 ],[3.97922763 9.36659006],[-0.88524425 -1.0508387 ],[2.72704716 1.10047975],[-0.83741994 -0.64196779],[-0.13475436  7.83806557],[-0.92112419  0.26437967],[5.55962717 4.13586058],[-1.25621631 -0.28051534],[7.0382602  3.08595799],[-1.32714823 -0.17386993],[2.03150142 9.23053773],[-0.17873172 -1.3747627 ],[0.91802497 0.77214328],[-0.99658586 -0.08597932],[4.82572494 2.82124876],[-0.03723841 -1.10001011]
[9.22818253 2.53681129],[-1.09010374 -0.69487555],[4.07469967 3.01600886],[-1.14474966 -0.02834593],[3.8953799  9.26044857],[-0.7952053  -1.07408475],[2.64594523 1.04104252],[-0.78644977 -0.54805424],[-0.22159177  7.86077119],[-0.8221249   0.18620797],[5.43676608 4.10952666],[-1.20591161 -0.2490281 ],[6.9075772  3.07129632],[-1.2884489  -0.11972801],[2.01754789 9.09365969],[-0.1021158 -1.3640568],[0.82267529 0.76840904],[-0.9106158   0.01330055],[4.8216718  2.71446315],[-0.04389282 -1.03781385]
[9.11715131 2.47234663],[-1.1310989  -0.59659496],[3.96250814 3.01532884],[-1.0995341   0.01577558],[3.81986027 9.15167873],[-0.71662919 -1.10149437],[2.56940848 0.99065295],[-0.74867374 -0.46351225],[-0.29913444  7.87569497],[-0.72898245  0.11330102],[5.31829476 4.08622259],[-1.16408834 -0.21609488],[6.77999968 3.0616569 ],[-1.26187895 -0.07112095],[2.01072335 8.95752117],[-0.03307908 -1.35659531],[0.73545596 0.77475115],[-0.83746772  0.11128755],[4.81705495 2.61346893],[-0.04951247 -0.98458256]
[9.00217183 2.41742472],[-1.16583562 -0.50067276],[3.85436796 3.01897146],[-1.06598946  0.05522155],[3.75197002 9.04026415],[-0.64642838 -1.13077177],[2.49627121 0.9485368 ],[-0.71654117 -0.38060272],[-0.36750193  7.88340849],[-0.63983687  0.03962598],[5.20334089 4.06592776],[-1.13765463 -0.1916525 ],[6.65477494 3.05677671],[-1.24383173 -0.02755017],[2.01045361 8.82203827],[ 0.02968356 -1.35007642],[0.65554953 0.79129418],[-0.75863785  0.22276449],[4.8120101  2.51757026],[-0.05093373 -0.93403119]
[8.88374044 2.37169378],[-1.20175665 -0.41464603],[3.7495179  3.02672701],[-1.03379753  0.09773675],[3.69067896 8.92586204],[-0.57679116 -1.15361877],[2.42616766 0.91475576],[-0.68626908 -0.29500194],[-0.42717219  7.88341968],[-0.55182888 -0.03846349],[5.09082815 4.04808284],[-1.11668278 -0.16889147],[6.53143122 3.05640298],[-1.22393474  0.0193684 ],[2.016745 8.687708],[ 0.09399135 -1.33785806],[0.58317698 0.81893469],[-0.68699833  0.33235908],[4.80682168 2.42644675],[-0.05617858 -0.89239769]
[8.762416   2.33480671],[-1.22438865 -0.32415485],[3.64780841 3.03883362],[-1.00142415  0.14387487],[3.63600299 8.80912332],[-0.51648471 -1.17961346],[2.35869737 0.88938463],[-0.66175039 -0.21024633],[-0.47804356  7.87524618],[-0.46408302 -0.12510429],[4.9800463  4.03224945],[-1.09978657 -0.14834292],[6.40950169 3.06016422],[-1.21538158  0.05460957],[2.02904784 8.55442993],[ 0.15088906 -1.32793817],[0.51824766 0.85792681],[-0.60708767  0.4519569 ],[4.8011831  2.33940277],[-0.05923195 -0.85160744]
